
SearchBayesianSkopt-CV: New best config found. Config 0: {'a': 0.15407362015864837, 'b': 0.720642785483448, 'c': 0.37303537918377955, 'normalize': True} - results: ROC_AUC: 0.1774723, PRECISION: 0.0384768, PRECISION_RECALL_MIN_DEN: 0.1329208, RECALL: 0.1284868, MAP: 0.0599862, MRR: 0.1304808, NDCG: 0.0918739, F1: 0.0592184, HIT_RATE: 0.3847679, ARHR: 0.1518595, NOVELTY: 0.0048366, AVERAGE_POPULARITY: 0.0924198, DIVERSITY_MEAN_INTER_LIST: 0.9908655, DIVERSITY_HERFINDAHL: 0.9990690, COVERAGE_ITEM: 0.3349143, COVERAGE_ITEM_CORRECT: 0.0449817, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2002517, DIVERSITY_GINI: 0.1050278, SHANNON_ENTROPY: 11.4971667, 

SearchBayesianSkopt-CV: New best config found. Config 1: {'a': 0.7929328577876421, 'b': 0.35410495815386295, 'c': 0.6049511430582019, 'normalize': False} - results: ROC_AUC: 0.1896829, PRECISION: 0.0415613, PRECISION_RECALL_MIN_DEN: 0.1447047, RECALL: 0.1399870, MAP: 0.0671746, MRR: 0.1418766, NDCG: 0.1011680, F1: 0.0640921, HIT_RATE: 0.4156133, ARHR: 0.1656475, NOVELTY: 0.0048351, AVERAGE_POPULARITY: 0.0924680, DIVERSITY_MEAN_INTER_LIST: 0.9906521, DIVERSITY_HERFINDAHL: 0.9990477, COVERAGE_ITEM: 0.3596843, COVERAGE_ITEM_CORRECT: 0.0500789, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2129860, DIVERSITY_GINI: 0.1121990, SHANNON_ENTROPY: 11.5319013, 
SearchBayesianSkopt-CV: Config 2 is suboptimal. Config: {'a': 0.8651954502314532, 'b': 0.7806239330789095, 'c': 0.04646830250263035, 'normalize': True} - results: ROC_AUC: 0.1806997, PRECISION: 0.0388895, PRECISION_RECALL_MIN_DEN: 0.1354477, RECALL: 0.1312736, MAP: 0.0628395, MRR: 0.1340670, NDCG: 0.0951005, F1: 0.0600007, HIT_RATE: 0.3888948, ARHR: 0.1555480, NOVELTY: 0.0048138, AVERAGE_POPULARITY: 0.1092354, DIVERSITY_MEAN_INTER_LIST: 0.9853784, DIVERSITY_HERFINDAHL: 0.9985204, COVERAGE_ITEM: 0.4029721, COVERAGE_ITEM_CORRECT: 0.0440731, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2028690, DIVERSITY_GINI: 0.1267408, SHANNON_ENTROPY: 11.4306954, 

SearchBayesianSkopt-CV: New best config found. Config 3: {'a': 0.7072501639461644, 'b': 0.15210883183112647, 'c': 0.2889119819187321, 'normalize': False} - results: ROC_AUC: 0.1942278, PRECISION: 0.0421840, PRECISION_RECALL_MIN_DEN: 0.1481167, RECALL: 0.1435289, MAP: 0.0692794, MRR: 0.1454268, NDCG: 0.1040311, F1: 0.0652027, HIT_RATE: 0.4218396, ARHR: 0.1692683, NOVELTY: 0.0048361, AVERAGE_POPULARITY: 0.0946575, DIVERSITY_MEAN_INTER_LIST: 0.9897936, DIVERSITY_HERFINDAHL: 0.9989619, COVERAGE_ITEM: 0.3814668, COVERAGE_ITEM_CORRECT: 0.0510876, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2168617, DIVERSITY_GINI: 0.1195179, SHANNON_ENTROPY: 11.5466799, 
SearchBayesianSkopt-CV: Config 4 is suboptimal. Config: {'a': 0.43633822351501184, 'b': 0.7961130443588582, 'c': 0.3578748370699772, 'normalize': False} - results: ROC_AUC: 0.1895364, PRECISION: 0.0414590, PRECISION_RECALL_MIN_DEN: 0.1443045, RECALL: 0.1396092, MAP: 0.0669173, MRR: 0.1417121, NDCG: 0.1008917, F1: 0.0639303, HIT_RATE: 0.4145903, ARHR: 0.1653498, NOVELTY: 0.0048301, AVERAGE_POPULARITY: 0.0945668, DIVERSITY_MEAN_INTER_LIST: 0.9901725, DIVERSITY_HERFINDAHL: 0.9989998, COVERAGE_ITEM: 0.3612166, COVERAGE_ITEM_CORRECT: 0.0493474, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2127595, DIVERSITY_GINI: 0.1122928, SHANNON_ENTROPY: 11.5112670, 
SearchBayesianSkopt-CV: Config 5 is suboptimal. Config: {'a': 0.7230524985301382, 'b': 0.5519423418219322, 'c': 0.6909839304159425, 'normalize': True} - results: ROC_AUC: 0.1769653, PRECISION: 0.0385620, PRECISION_RECALL_MIN_DEN: 0.1331441, RECALL: 0.1285985, MAP: 0.0602540, MRR: 0.1307294, NDCG: 0.0920116, F1: 0.0593318, HIT_RATE: 0.3856199, ARHR: 0.1522358, NOVELTY: 0.0048451, AVERAGE_POPULARITY: 0.0878745, DIVERSITY_MEAN_INTER_LIST: 0.9918875, DIVERSITY_HERFINDAHL: 0.9991712, COVERAGE_ITEM: 0.3273532, COVERAGE_ITEM_CORRECT: 0.0464524, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1999245, DIVERSITY_GINI: 0.1034955, SHANNON_ENTROPY: 11.5302886, 
SearchBayesianSkopt-CV: Config 6 is suboptimal. Config: {'a': 0.6936469531790137, 'b': 0.5621529163636534, 'c': 0.9394614581380849, 'normalize': True} - results: ROC_AUC: 0.1746914, PRECISION: 0.0382049, PRECISION_RECALL_MIN_DEN: 0.1318803, RECALL: 0.1273880, MAP: 0.0594655, MRR: 0.1290853, NDCG: 0.0909399, F1: 0.0587802, HIT_RATE: 0.3820493, ARHR: 0.1502173, NOVELTY: 0.0048489, AVERAGE_POPULARITY: 0.0864785, DIVERSITY_MEAN_INTER_LIST: 0.9921684, DIVERSITY_HERFINDAHL: 0.9991993, COVERAGE_ITEM: 0.3234264, COVERAGE_ITEM_CORRECT: 0.0463754, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1984397, DIVERSITY_GINI: 0.1027523, SHANNON_ENTROPY: 11.5387122, 
SearchBayesianSkopt-CV: Config 7 is suboptimal. Config: {'a': 0.5584072413160309, 'b': 0.7480119419026123, 'c': 0.04316222439872653, 'normalize': True} - results: ROC_AUC: 0.1773919, PRECISION: 0.0381509, PRECISION_RECALL_MIN_DEN: 0.1325084, RECALL: 0.1283779, MAP: 0.0611532, MRR: 0.1313869, NDCG: 0.0928627, F1: 0.0588195, HIT_RATE: 0.3815094, ARHR: 0.1522077, NOVELTY: 0.0048139, AVERAGE_POPULARITY: 0.1099249, DIVERSITY_MEAN_INTER_LIST: 0.9851949, DIVERSITY_HERFINDAHL: 0.9985021, COVERAGE_ITEM: 0.3974899, COVERAGE_ITEM_CORRECT: 0.0426410, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1998742, DIVERSITY_GINI: 0.1251912, SHANNON_ENTROPY: 11.4195238, 
SearchBayesianSkopt-CV: Config 8 is suboptimal. Config: {'a': 0.9581782290978234, 'b': 0.8670980202873098, 'c': 0.7669630159285482, 'normalize': False} - results: ROC_AUC: 0.1893804, PRECISION: 0.0415404, PRECISION_RECALL_MIN_DEN: 0.1445125, RECALL: 0.1397902, MAP: 0.0669396, MRR: 0.1416770, NDCG: 0.1009263, F1: 0.0640465, HIT_RATE: 0.4154038, ARHR: 0.1654444, NOVELTY: 0.0048335, AVERAGE_POPULARITY: 0.0930736, DIVERSITY_MEAN_INTER_LIST: 0.9905273, DIVERSITY_HERFINDAHL: 0.9990352, COVERAGE_ITEM: 0.3591145, COVERAGE_ITEM_CORRECT: 0.0498325, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2128854, DIVERSITY_GINI: 0.1119330, SHANNON_ENTROPY: 11.5244958, 

