
SearchBayesianSkopt-CV: New best config found. Config 0: {'a': 0.09735591577502803, 'b': 0.7598040810517013, 'c': 0.9256075301479226, 'normalize': True} - results: ROC_AUC: 0.1804278, PRECISION: 0.0384955, PRECISION_RECALL_MIN_DEN: 0.1344128, RECALL: 0.1302032, MAP: 0.0634256, MRR: 0.1346979, NDCG: 0.0951408, F1: 0.0594201, HIT_RATE: 0.3849546, ARHR: 0.1555463, NOVELTY: 0.0048003, AVERAGE_POPULARITY: 0.1105214, DIVERSITY_MEAN_INTER_LIST: 0.9852181, DIVERSITY_HERFINDAHL: 0.9985044, COVERAGE_ITEM: 0.4347103, COVERAGE_ITEM_CORRECT: 0.0443349, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2015352, DIVERSITY_GINI: 0.1360003, SHANNON_ENTROPY: 11.4586696, 
SearchBayesianSkopt-CV: Config 1 is suboptimal. Config: {'a': 0.24087188903472329, 'b': 0.42770928901391325, 'c': 0.13654462212342625, 'normalize': True} - results: ROC_AUC: 0.1771791, PRECISION: 0.0378587, PRECISION_RECALL_MIN_DEN: 0.1318347, RECALL: 0.1277418, MAP: 0.0619463, MRR: 0.1319376, NDCG: 0.0932130, F1: 0.0584057, HIT_RATE: 0.3785867, ARHR: 0.1524947, NOVELTY: 0.0048181, AVERAGE_POPULARITY: 0.1126275, DIVERSITY_MEAN_INTER_LIST: 0.9839350, DIVERSITY_HERFINDAHL: 0.9983761, COVERAGE_ITEM: 0.4464139, COVERAGE_ITEM_CORRECT: 0.0431646, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1983893, DIVERSITY_GINI: 0.1435761, SHANNON_ENTROPY: 11.4778423, 

SearchBayesianSkopt-CV: New best config found. Config 2: {'a': 0.29131768919081885, 'b': 0.5873065304960701, 'c': 0.9118399926517474, 'normalize': True} - results: ROC_AUC: 0.1825254, PRECISION: 0.0389545, PRECISION_RECALL_MIN_DEN: 0.1362095, RECALL: 0.1319621, MAP: 0.0642014, MRR: 0.1360670, NDCG: 0.0962907, F1: 0.0601512, HIT_RATE: 0.3895446, ARHR: 0.1573980, NOVELTY: 0.0047996, AVERAGE_POPULARITY: 0.1092371, DIVERSITY_MEAN_INTER_LIST: 0.9856668, DIVERSITY_HERFINDAHL: 0.9985493, COVERAGE_ITEM: 0.4334398, COVERAGE_ITEM_CORRECT: 0.0453513, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2034478, DIVERSITY_GINI: 0.1353844, SHANNON_ENTROPY: 11.4690440, 

SearchBayesianSkopt-CV: New best config found. Config 3: {'a': 0.543386898504963, 'b': 0.7342976604662068, 'c': 0.841096169323537, 'normalize': False} - results: ROC_AUC: 0.1930872, PRECISION: 0.0416722, PRECISION_RECALL_MIN_DEN: 0.1476946, RECALL: 0.1432774, MAP: 0.0693547, MRR: 0.1444123, NDCG: 0.1038510, F1: 0.0645644, HIT_RATE: 0.4167216, ARHR: 0.1677242, NOVELTY: 0.0048182, AVERAGE_POPULARITY: 0.1027759, DIVERSITY_MEAN_INTER_LIST: 0.9866515, DIVERSITY_HERFINDAHL: 0.9986477, COVERAGE_ITEM: 0.4528046, COVERAGE_ITEM_CORRECT: 0.0513648, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2152510, DIVERSITY_GINI: 0.1458137, SHANNON_ENTROPY: 11.5780608, 

SearchBayesianSkopt-CV: New best config found. Config 4: {'a': 0.9002656237960389, 'b': 0.6604377108324274, 'c': 0.15893914283313973, 'normalize': False} - results: ROC_AUC: 0.1948919, PRECISION: 0.0420320, PRECISION_RECALL_MIN_DEN: 0.1498379, RECALL: 0.1454281, MAP: 0.0700716, MRR: 0.1451884, NDCG: 0.1049788, F1: 0.0652137, HIT_RATE: 0.4203196, ARHR: 0.1686634, NOVELTY: 0.0048222, AVERAGE_POPULARITY: 0.1012149, DIVERSITY_MEAN_INTER_LIST: 0.9865690, DIVERSITY_HERFINDAHL: 0.9986395, COVERAGE_ITEM: 0.4605890, COVERAGE_ITEM_CORRECT: 0.0524119, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2173650, DIVERSITY_GINI: 0.1503390, SHANNON_ENTROPY: 11.6085651, 
SearchBayesianSkopt-CV: Config 5 is suboptimal. Config: {'a': 0.0496436964031768, 'b': 0.7352032642709245, 'c': 0.72103645775687, 'normalize': False} - results: ROC_AUC: 0.1841474, PRECISION: 0.0395027, PRECISION_RECALL_MIN_DEN: 0.1383827, RECALL: 0.1340879, MAP: 0.0651683, MRR: 0.1377421, NDCG: 0.0977068, F1: 0.0610256, HIT_RATE: 0.3950270, ARHR: 0.1594898, NOVELTY: 0.0048037, AVERAGE_POPULARITY: 0.1089981, DIVERSITY_MEAN_INTER_LIST: 0.9855626, DIVERSITY_HERFINDAHL: 0.9985388, COVERAGE_ITEM: 0.4385756, COVERAGE_ITEM_CORRECT: 0.0463523, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2056625, DIVERSITY_GINI: 0.1377688, SHANNON_ENTROPY: 11.4805687, 
SearchBayesianSkopt-CV: Config 6 is suboptimal. Config: {'a': 0.24491463745393566, 'b': 0.8238499688341738, 'c': 0.3267937743195019, 'normalize': False} - results: ROC_AUC: 0.1912850, PRECISION: 0.0412974, PRECISION_RECALL_MIN_DEN: 0.1460289, RECALL: 0.1416583, MAP: 0.0688455, MRR: 0.1431783, NDCG: 0.1029110, F1: 0.0639498, HIT_RATE: 0.4129741, ARHR: 0.1662845, NOVELTY: 0.0048126, AVERAGE_POPULARITY: 0.1063662, DIVERSITY_MEAN_INTER_LIST: 0.9856112, DIVERSITY_HERFINDAHL: 0.9985437, COVERAGE_ITEM: 0.4525967, COVERAGE_ITEM_CORRECT: 0.0501405, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2136907, DIVERSITY_GINI: 0.1449515, SHANNON_ENTROPY: 11.5306986, 
SearchBayesianSkopt-CV: Config 7 is suboptimal. Config: {'a': 0.920647097320486, 'b': 0.48598313973542406, 'c': 0.6867270937180993, 'normalize': False} - results: ROC_AUC: 0.1946048, PRECISION: 0.0419051, PRECISION_RECALL_MIN_DEN: 0.1494405, RECALL: 0.1450415, MAP: 0.0698712, MRR: 0.1450994, NDCG: 0.1047036, F1: 0.0650228, HIT_RATE: 0.4190507, ARHR: 0.1684899, NOVELTY: 0.0048235, AVERAGE_POPULARITY: 0.1005907, DIVERSITY_MEAN_INTER_LIST: 0.9869589, DIVERSITY_HERFINDAHL: 0.9986785, COVERAGE_ITEM: 0.4569471, COVERAGE_ITEM_CORRECT: 0.0522733, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2170127, DIVERSITY_GINI: 0.1488340, SHANNON_ENTROPY: 11.6141594, 
