
SearchBayesianSkopt-CV: New best config found. Config 0: {'a': 0.09735591577502803, 'b': 0.7598040810517013, 'c': 0.9256075301479226, 'normalize': True} - results: ROC_AUC: 0.1814982, PRECISION: 0.0389121, PRECISION_RECALL_MIN_DEN: 0.1356249, RECALL: 0.1312879, MAP: 0.0637398, MRR: 0.1356325, NDCG: 0.0956756, F1: 0.0600306, HIT_RATE: 0.3891210, ARHR: 0.1569858, NOVELTY: 0.0047962, AVERAGE_POPULARITY: 0.1053839, DIVERSITY_MEAN_INTER_LIST: 0.9870163, DIVERSITY_HERFINDAHL: 0.9986842, COVERAGE_ITEM: 0.4177016, COVERAGE_ITEM_CORRECT: 0.0458903, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2030703, DIVERSITY_GINI: 0.1282846, SHANNON_ENTROPY: 11.4619059, 

SearchBayesianSkopt-CV: New best config found. Config 1: {'a': 0.24087188903472329, 'b': 0.42770928901391325, 'c': 0.13654462212342625, 'normalize': True} - results: ROC_AUC: 0.1852025, PRECISION: 0.0395763, PRECISION_RECALL_MIN_DEN: 0.1382943, RECALL: 0.1339761, MAP: 0.0653887, MRR: 0.1386091, NDCG: 0.0979309, F1: 0.0611017, HIT_RATE: 0.3957629, ARHR: 0.1606876, NOVELTY: 0.0047957, AVERAGE_POPULARITY: 0.1059670, DIVERSITY_MEAN_INTER_LIST: 0.9863851, DIVERSITY_HERFINDAHL: 0.9986211, COVERAGE_ITEM: 0.4228989, COVERAGE_ITEM_CORRECT: 0.0468296, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2054360, DIVERSITY_GINI: 0.1291982, SHANNON_ENTROPY: 11.4295649, 
SearchBayesianSkopt-CV: Config 2 is suboptimal. Config: {'a': 0.29131768919081885, 'b': 0.5873065304960701, 'c': 0.9118399926517474, 'normalize': True} - results: ROC_AUC: 0.1832163, PRECISION: 0.0393966, PRECISION_RECALL_MIN_DEN: 0.1373821, RECALL: 0.1330099, MAP: 0.0643836, MRR: 0.1369877, NDCG: 0.0967658, F1: 0.0607871, HIT_RATE: 0.3939658, ARHR: 0.1586893, NOVELTY: 0.0048012, AVERAGE_POPULARITY: 0.1044842, DIVERSITY_MEAN_INTER_LIST: 0.9872184, DIVERSITY_HERFINDAHL: 0.9987044, COVERAGE_ITEM: 0.4218980, COVERAGE_ITEM_CORRECT: 0.0468681, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2052598, DIVERSITY_GINI: 0.1305470, SHANNON_ENTROPY: 11.4885501, 
SearchBayesianSkopt-CV: Config 3 is suboptimal. Config: {'a': 0.543386898504963, 'b': 0.7342976604662068, 'c': 0.841096169323537, 'normalize': False} - results: ROC_AUC: 0.1842881, PRECISION: 0.0395266, PRECISION_RECALL_MIN_DEN: 0.1382409, RECALL: 0.1339330, MAP: 0.0653010, MRR: 0.1377819, NDCG: 0.0977863, F1: 0.0610372, HIT_RATE: 0.3952656, ARHR: 0.1597660, NOVELTY: 0.0047886, AVERAGE_POPULARITY: 0.1075325, DIVERSITY_MEAN_INTER_LIST: 0.9856297, DIVERSITY_HERFINDAHL: 0.9985456, COVERAGE_ITEM: 0.4207199, COVERAGE_ITEM_CORRECT: 0.0469066, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2053102, DIVERSITY_GINI: 0.1268006, SHANNON_ENTROPY: 11.3726668, 

SearchBayesianSkopt-CV: New best config found. Config 4: {'a': 0.9002656237960389, 'b': 0.6604377108324274, 'c': 0.15893914283313973, 'normalize': False} - results: ROC_AUC: 0.1880957, PRECISION: 0.0405443, PRECISION_RECALL_MIN_DEN: 0.1425280, RECALL: 0.1381798, MAP: 0.0671698, MRR: 0.1408333, NDCG: 0.1005870, F1: 0.0626917, HIT_RATE: 0.4054431, ARHR: 0.1634654, NOVELTY: 0.0047958, AVERAGE_POPULARITY: 0.1061254, DIVERSITY_MEAN_INTER_LIST: 0.9857066, DIVERSITY_HERFINDAHL: 0.9985532, COVERAGE_ITEM: 0.4277344, COVERAGE_ITEM_CORRECT: 0.0489933, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2099409, DIVERSITY_GINI: 0.1306580, SHANNON_ENTROPY: 11.4084372, 
SearchBayesianSkopt-CV: Config 5 is suboptimal. Config: {'a': 0.0496436964031768, 'b': 0.7352032642709245, 'c': 0.72103645775687, 'normalize': False} - results: ROC_AUC: 0.1743097, PRECISION: 0.0369014, PRECISION_RECALL_MIN_DEN: 0.1288118, RECALL: 0.1247471, MAP: 0.0604251, MRR: 0.1295368, NDCG: 0.0909619, F1: 0.0569515, HIT_RATE: 0.3690141, ARHR: 0.1494536, NOVELTY: 0.0047691, AVERAGE_POPULARITY: 0.1105313, DIVERSITY_MEAN_INTER_LIST: 0.9851013, DIVERSITY_HERFINDAHL: 0.9984927, COVERAGE_ITEM: 0.4068989, COVERAGE_ITEM_CORRECT: 0.0416015, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1943123, DIVERSITY_GINI: 0.1189416, SHANNON_ENTROPY: 11.2805835, 
SearchBayesianSkopt-CV: Config 6 is suboptimal. Config: {'a': 0.24491463745393566, 'b': 0.8238499688341738, 'c': 0.3267937743195019, 'normalize': False} - results: ROC_AUC: 0.1780590, PRECISION: 0.0379651, PRECISION_RECALL_MIN_DEN: 0.1322402, RECALL: 0.1280500, MAP: 0.0622472, MRR: 0.1327649, NDCG: 0.0935068, F1: 0.0585631, HIT_RATE: 0.3796512, ARHR: 0.1535285, NOVELTY: 0.0047757, AVERAGE_POPULARITY: 0.1094883, DIVERSITY_MEAN_INTER_LIST: 0.9851691, DIVERSITY_HERFINDAHL: 0.9984995, COVERAGE_ITEM: 0.4118576, COVERAGE_ITEM_CORRECT: 0.0436728, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1983390, DIVERSITY_GINI: 0.1213268, SHANNON_ENTROPY: 11.3033946, 

SearchBayesianSkopt-CV: New best config found. Config 7: {'a': 0.920647097320486, 'b': 0.48598313973542406, 'c': 0.6867270937180993, 'normalize': False} - results: ROC_AUC: 0.1896627, PRECISION: 0.0408664, PRECISION_RECALL_MIN_DEN: 0.1440532, RECALL: 0.1396953, MAP: 0.0680115, MRR: 0.1423457, NDCG: 0.1017207, F1: 0.0632326, HIT_RATE: 0.4086640, ARHR: 0.1651811, NOVELTY: 0.0048024, AVERAGE_POPULARITY: 0.1049079, DIVERSITY_MEAN_INTER_LIST: 0.9860592, DIVERSITY_HERFINDAHL: 0.9985885, COVERAGE_ITEM: 0.4328932, COVERAGE_ITEM_CORRECT: 0.0495938, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2113250, DIVERSITY_GINI: 0.1339471, SHANNON_ENTROPY: 11.4518982, 
SearchBayesianSkopt-CV: Config 8 is suboptimal. Config: {'a': 0.3037332775725749, 'b': 0.988584104735041, 'c': 0.9800813954114933, 'normalize': True} - results: ROC_AUC: 0.1823765, PRECISION: 0.0392336, PRECISION_RECALL_MIN_DEN: 0.1367732, RECALL: 0.1324199, MAP: 0.0641870, MRR: 0.1364397, NDCG: 0.0964092, F1: 0.0605314, HIT_RATE: 0.3923357, ARHR: 0.1580570, NOVELTY: 0.0047971, AVERAGE_POPULARITY: 0.1053578, DIVERSITY_MEAN_INTER_LIST: 0.9869429, DIVERSITY_HERFINDAHL: 0.9986769, COVERAGE_ITEM: 0.4197036, COVERAGE_ITEM_CORRECT: 0.0462676, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2043790, DIVERSITY_GINI: 0.1289405, SHANNON_ENTROPY: 11.4613329, 
SearchBayesianSkopt-CV: Config 9 is suboptimal. Config: {'a': 0.3769748018378213, 'b': 0.7193282799869982, 'c': 0.3566998185956843, 'normalize': True} - results: ROC_AUC: 0.1846404, PRECISION: 0.0395974, PRECISION_RECALL_MIN_DEN: 0.1382796, RECALL: 0.1339401, MAP: 0.0651373, MRR: 0.1382129, NDCG: 0.0976924, F1: 0.0611229, HIT_RATE: 0.3959737, ARHR: 0.1601650, NOVELTY: 0.0047969, AVERAGE_POPULARITY: 0.1056114, DIVERSITY_MEAN_INTER_LIST: 0.9866248, DIVERSITY_HERFINDAHL: 0.9986450, COVERAGE_ITEM: 0.4222291, COVERAGE_ITEM_CORRECT: 0.0468065, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2058638, DIVERSITY_GINI: 0.1292762, SHANNON_ENTROPY: 11.4435507, 
SearchBayesianSkopt-CV: Config 10 is suboptimal. Config: {'a': 0.5439400729307473, 'b': 0.5453789381734487, 'c': 0.3395854879757713, 'normalize': False} - results: ROC_AUC: 0.1859615, PRECISION: 0.0400106, PRECISION_RECALL_MIN_DEN: 0.1402919, RECALL: 0.1359702, MAP: 0.0663046, MRR: 0.1393857, NDCG: 0.0992052, F1: 0.0618257, HIT_RATE: 0.4001063, ARHR: 0.1617006, NOVELTY: 0.0047917, AVERAGE_POPULARITY: 0.1069330, DIVERSITY_MEAN_INTER_LIST: 0.9856369, DIVERSITY_HERFINDAHL: 0.9985463, COVERAGE_ITEM: 0.4238768, COVERAGE_ITEM_CORRECT: 0.0479615, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2074242, DIVERSITY_GINI: 0.1284707, SHANNON_ENTROPY: 11.3867882, 
SearchBayesianSkopt-CV: Config 11 is suboptimal. Config: {'a': 0.21419388716333093, 'b': 0.5416862032516889, 'c': 0.6214603946934795, 'normalize': True} - results: ROC_AUC: 0.1829404, PRECISION: 0.0393294, PRECISION_RECALL_MIN_DEN: 0.1370833, RECALL: 0.1327375, MAP: 0.0643654, MRR: 0.1368635, NDCG: 0.0966774, F1: 0.0606786, HIT_RATE: 0.3932942, ARHR: 0.1585436, NOVELTY: 0.0047987, AVERAGE_POPULARITY: 0.1050223, DIVERSITY_MEAN_INTER_LIST: 0.9870417, DIVERSITY_HERFINDAHL: 0.9986867, COVERAGE_ITEM: 0.4212589, COVERAGE_ITEM_CORRECT: 0.0465217, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2048823, DIVERSITY_GINI: 0.1297395, SHANNON_ENTROPY: 11.4721658, 
SearchBayesianSkopt-CV: Config 12 is suboptimal. Config: {'a': 0.8526881434142133, 'b': 0.9657215570839356, 'c': 0.5292721445768458, 'normalize': False} - results: ROC_AUC: 0.1851809, PRECISION: 0.0398196, PRECISION_RECALL_MIN_DEN: 0.1394832, RECALL: 0.1351535, MAP: 0.0657930, MRR: 0.1385761, NDCG: 0.0985466, F1: 0.0615132, HIT_RATE: 0.3981963, ARHR: 0.1607623, NOVELTY: 0.0047899, AVERAGE_POPULARITY: 0.1072622, DIVERSITY_MEAN_INTER_LIST: 0.9855751, DIVERSITY_HERFINDAHL: 0.9985401, COVERAGE_ITEM: 0.4223985, COVERAGE_ITEM_CORRECT: 0.0475226, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2065433, DIVERSITY_GINI: 0.1275617, SHANNON_ENTROPY: 11.3760119, 
SearchBayesianSkopt-CV: Config 13 is suboptimal. Config: {'a': 0.11182507204253325, 'b': 0.7039898927077867, 'c': 0.20430632732773674, 'normalize': True} - results: ROC_AUC: 0.1803396, PRECISION: 0.0387104, PRECISION_RECALL_MIN_DEN: 0.1345794, RECALL: 0.1302992, MAP: 0.0630430, MRR: 0.1346454, NDCG: 0.0948777, F1: 0.0596868, HIT_RATE: 0.3871036, ARHR: 0.1558392, NOVELTY: 0.0047867, AVERAGE_POPULARITY: 0.1075659, DIVERSITY_MEAN_INTER_LIST: 0.9861299, DIVERSITY_HERFINDAHL: 0.9985956, COVERAGE_ITEM: 0.4146372, COVERAGE_ITEM_CORRECT: 0.0447661, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2020133, DIVERSITY_GINI: 0.1247802, SHANNON_ENTROPY: 11.3833064, 

SearchBayesianSkopt-CV: New best config found. Config 14: {'a': 0.5059240190432776, 'b': 0.16209028153679408, 'c': 0.034464831107614675, 'normalize': True} - results: ROC_AUC: 0.1919726, PRECISION: 0.0414072, PRECISION_RECALL_MIN_DEN: 0.1464508, RECALL: 0.1420415, MAP: 0.0690738, MRR: 0.1438095, NDCG: 0.1032254, F1: 0.0641208, HIT_RATE: 0.4140724, ARHR: 0.1670283, NOVELTY: 0.0048122, AVERAGE_POPULARITY: 0.1025722, DIVERSITY_MEAN_INTER_LIST: 0.9866060, DIVERSITY_HERFINDAHL: 0.9986432, COVERAGE_ITEM: 0.4427796, COVERAGE_ITEM_CORRECT: 0.0508566, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2139172, DIVERSITY_GINI: 0.1401014, SHANNON_ENTROPY: 11.5272600, 
SearchBayesianSkopt-CV: Config 15 is suboptimal. Config: {'a': 0.6401798173284028, 'b': 0.6747979209867668, 'c': 0.7852942008214441, 'normalize': False} - results: ROC_AUC: 0.1859853, PRECISION: 0.0399894, PRECISION_RECALL_MIN_DEN: 0.1400298, RECALL: 0.1356960, MAP: 0.0662683, MRR: 0.1394878, NDCG: 0.0991306, F1: 0.0617722, HIT_RATE: 0.3998939, ARHR: 0.1618098, NOVELTY: 0.0047922, AVERAGE_POPULARITY: 0.1069128, DIVERSITY_MEAN_INTER_LIST: 0.9857313, DIVERSITY_HERFINDAHL: 0.9985557, COVERAGE_ITEM: 0.4235765, COVERAGE_ITEM_CORRECT: 0.0478537, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2074494, DIVERSITY_GINI: 0.1284283, SHANNON_ENTROPY: 11.3909707, 
SearchBayesianSkopt-CV: Config 16 is suboptimal. Config: {'a': 0.022275990784933367, 'b': 0.880048535212035, 'c': 0.45533982835482767, 'normalize': False} - results: ROC_AUC: 0.1718644, PRECISION: 0.0363536, PRECISION_RECALL_MIN_DEN: 0.1270185, RECALL: 0.1230315, MAP: 0.0597132, MRR: 0.1278806, NDCG: 0.0897992, F1: 0.0561205, HIT_RATE: 0.3635358, ARHR: 0.1473679, NOVELTY: 0.0047638, AVERAGE_POPULARITY: 0.1112869, DIVERSITY_MEAN_INTER_LIST: 0.9848787, DIVERSITY_HERFINDAHL: 0.9984705, COVERAGE_ITEM: 0.4047507, COVERAGE_ITEM_CORRECT: 0.0405159, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1917705, DIVERSITY_GINI: 0.1173756, SHANNON_ENTROPY: 11.2563468, 
