
SearchBayesianSkopt-CV: New best config found. Config 0: {'a': 0.09735591577502803, 'b': 0.7598040810517013, 'c': 0.9256075301479226, 'normalize': True} - results: ROC_AUC: 0.1676383, PRECISION: 0.0351588, PRECISION_RECALL_MIN_DEN: 0.1224474, RECALL: 0.1186693, MAP: 0.0578453, MRR: 0.1243056, NDCG: 0.0870315, F1: 0.0542426, HIT_RATE: 0.3515881, ARHR: 0.1430622, NOVELTY: 0.0048108, AVERAGE_POPULARITY: 0.1167110, DIVERSITY_MEAN_INTER_LIST: 0.9823349, DIVERSITY_HERFINDAHL: 0.9982161, COVERAGE_ITEM: 0.4394071, COVERAGE_ITEM_CORRECT: 0.0379596, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1860073, DIVERSITY_GINI: 0.1397374, SHANNON_ENTROPY: 11.3986048, 

SearchBayesianSkopt-CV: New best config found. Config 1: {'a': 0.24087188903472329, 'b': 0.42770928901391325, 'c': 0.13654462212342625, 'normalize': True} - results: ROC_AUC: 0.1816108, PRECISION: 0.0387141, PRECISION_RECALL_MIN_DEN: 0.1354054, RECALL: 0.1312123, MAP: 0.0637993, MRR: 0.1352483, NDCG: 0.0957354, F1: 0.0597863, HIT_RATE: 0.3871415, ARHR: 0.1564975, NOVELTY: 0.0047819, AVERAGE_POPULARITY: 0.1139003, DIVERSITY_MEAN_INTER_LIST: 0.9835335, DIVERSITY_HERFINDAHL: 0.9983360, COVERAGE_ITEM: 0.4290664, COVERAGE_ITEM_CORRECT: 0.0444042, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2025922, DIVERSITY_GINI: 0.1301370, SHANNON_ENTROPY: 11.3275389, 
SearchBayesianSkopt-CV: Config 2 is suboptimal. Config: {'a': 0.29131768919081885, 'b': 0.5873065304960701, 'c': 0.9118399926517474, 'normalize': True} - results: ROC_AUC: 0.1701468, PRECISION: 0.0358161, PRECISION_RECALL_MIN_DEN: 0.1248854, RECALL: 0.1210307, MAP: 0.0589535, MRR: 0.1264505, NDCG: 0.0886636, F1: 0.0552712, HIT_RATE: 0.3581608, ARHR: 0.1457102, NOVELTY: 0.0048133, AVERAGE_POPULARITY: 0.1160295, DIVERSITY_MEAN_INTER_LIST: 0.9825358, DIVERSITY_HERFINDAHL: 0.9982362, COVERAGE_ITEM: 0.4413090, COVERAGE_ITEM_CORRECT: 0.0391992, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1892035, DIVERSITY_GINI: 0.1408994, SHANNON_ENTROPY: 11.4129877, 

SearchBayesianSkopt-CV: New best config found. Config 3: {'a': 0.543386898504963, 'b': 0.7342976604662068, 'c': 0.841096169323537, 'normalize': False} - results: ROC_AUC: 0.1838550, PRECISION: 0.0394456, PRECISION_RECALL_MIN_DEN: 0.1380822, RECALL: 0.1337974, MAP: 0.0649633, MRR: 0.1371998, NDCG: 0.0974596, F1: 0.0609256, HIT_RATE: 0.3944565, ARHR: 0.1590867, NOVELTY: 0.0047818, AVERAGE_POPULARITY: 0.1096245, DIVERSITY_MEAN_INTER_LIST: 0.9848849, DIVERSITY_HERFINDAHL: 0.9984711, COVERAGE_ITEM: 0.4205351, COVERAGE_ITEM_CORRECT: 0.0463061, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2051843, DIVERSITY_GINI: 0.1257258, SHANNON_ENTROPY: 11.3323960, 

SearchBayesianSkopt-CV: New best config found. Config 4: {'a': 0.9002656237960389, 'b': 0.6604377108324274, 'c': 0.15893914283313973, 'normalize': False} - results: ROC_AUC: 0.1880887, PRECISION: 0.0405265, PRECISION_RECALL_MIN_DEN: 0.1425651, RECALL: 0.1382235, MAP: 0.0671575, MRR: 0.1408467, NDCG: 0.1005863, F1: 0.0626749, HIT_RATE: 0.4052648, ARHR: 0.1634565, NOVELTY: 0.0047945, AVERAGE_POPULARITY: 0.1065359, DIVERSITY_MEAN_INTER_LIST: 0.9855695, DIVERSITY_HERFINDAHL: 0.9985395, COVERAGE_ITEM: 0.4276805, COVERAGE_ITEM_CORRECT: 0.0489086, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2099157, DIVERSITY_GINI: 0.1304696, SHANNON_ENTROPY: 11.4013139, 
SearchBayesianSkopt-CV: Config 5 is suboptimal. Config: {'a': 0.0496436964031768, 'b': 0.7352032642709245, 'c': 0.72103645775687, 'normalize': False} - results: ROC_AUC: 0.1732336, PRECISION: 0.0365374, PRECISION_RECALL_MIN_DEN: 0.1279438, RECALL: 0.1239618, MAP: 0.0604183, MRR: 0.1287745, NDCG: 0.0906321, F1: 0.0564369, HIT_RATE: 0.3653744, ARHR: 0.1484788, NOVELTY: 0.0047591, AVERAGE_POPULARITY: 0.1132720, DIVERSITY_MEAN_INTER_LIST: 0.9841583, DIVERSITY_HERFINDAHL: 0.9983984, COVERAGE_ITEM: 0.4068219, COVERAGE_ITEM_CORRECT: 0.0405852, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1923745, DIVERSITY_GINI: 0.1176759, SHANNON_ENTROPY: 11.2320823, 
SearchBayesianSkopt-CV: Config 6 is suboptimal. Config: {'a': 0.24491463745393566, 'b': 0.8238499688341738, 'c': 0.3267937743195019, 'normalize': False} - results: ROC_AUC: 0.1776233, PRECISION: 0.0378343, PRECISION_RECALL_MIN_DEN: 0.1320680, RECALL: 0.1279142, MAP: 0.0620374, MRR: 0.1321978, NDCG: 0.0932368, F1: 0.0583926, HIT_RATE: 0.3783429, ARHR: 0.1528167, NOVELTY: 0.0047714, AVERAGE_POPULARITY: 0.1106086, DIVERSITY_MEAN_INTER_LIST: 0.9848064, DIVERSITY_HERFINDAHL: 0.9984632, COVERAGE_ITEM: 0.4108104, COVERAGE_ITEM_CORRECT: 0.0432955, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1981125, DIVERSITY_GINI: 0.1204290, SHANNON_ENTROPY: 11.2812851, 

