
SearchBayesianSkopt-CV: New best config found. Config 0: {'a': 0.09735591577502803, 'b': 0.7598040810517013, 'c': 0.9256075301479226, 'normalize': True} - results: ROC_AUC: 0.1792973, PRECISION: 0.0383082, PRECISION_RECALL_MIN_DEN: 0.1340096, RECALL: 0.1298517, MAP: 0.0630086, MRR: 0.1340068, NDCG: 0.0946484, F1: 0.0591605, HIT_RATE: 0.3830816, ARHR: 0.1546760, NOVELTY: 0.0047995, AVERAGE_POPULARITY: 0.1108359, DIVERSITY_MEAN_INTER_LIST: 0.9851115, DIVERSITY_HERFINDAHL: 0.9984937, COVERAGE_ITEM: 0.4333936, COVERAGE_ITEM_CORRECT: 0.0439115, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2006795, DIVERSITY_GINI: 0.1353420, SHANNON_ENTROPY: 11.4496771, 
SearchBayesianSkopt-CV: Config 1 is suboptimal. Config: {'a': 0.24087188903472329, 'b': 0.42770928901391325, 'c': 0.13654462212342625, 'normalize': True} - results: ROC_AUC: 0.1727974, PRECISION: 0.0366287, PRECISION_RECALL_MIN_DEN: 0.1269510, RECALL: 0.1229520, MAP: 0.0599262, MRR: 0.1286370, NDCG: 0.0901483, F1: 0.0564399, HIT_RATE: 0.3662875, ARHR: 0.1485054, NOVELTY: 0.0048132, AVERAGE_POPULARITY: 0.1137129, DIVERSITY_MEAN_INTER_LIST: 0.9835225, DIVERSITY_HERFINDAHL: 0.9983349, COVERAGE_ITEM: 0.4405313, COVERAGE_ITEM_CORRECT: 0.0406160, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1925255, DIVERSITY_GINI: 0.1405840, SHANNON_ENTROPY: 11.4397902, 

SearchBayesianSkopt-CV: New best config found. Config 2: {'a': 0.29131768919081885, 'b': 0.5873065304960701, 'c': 0.9118399926517474, 'normalize': True} - results: ROC_AUC: 0.1801455, PRECISION: 0.0384173, PRECISION_RECALL_MIN_DEN: 0.1343121, RECALL: 0.1301158, MAP: 0.0631980, MRR: 0.1346522, NDCG: 0.0948940, F1: 0.0593187, HIT_RATE: 0.3841731, ARHR: 0.1554709, NOVELTY: 0.0047974, AVERAGE_POPULARITY: 0.1101360, DIVERSITY_MEAN_INTER_LIST: 0.9853537, DIVERSITY_HERFINDAHL: 0.9985180, COVERAGE_ITEM: 0.4307449, COVERAGE_ITEM_CORRECT: 0.0440500, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2010570, DIVERSITY_GINI: 0.1338485, SHANNON_ENTROPY: 11.4444085, 
SearchBayesianSkopt-CV: Config 3 is suboptimal. Config: {'a': 0.543386898504963, 'b': 0.7342976604662068, 'c': 0.841096169323537, 'normalize': False} - results: ROC_AUC: 0.1765119, PRECISION: 0.0375119, PRECISION_RECALL_MIN_DEN: 0.1302969, RECALL: 0.1261682, MAP: 0.0611017, MRR: 0.1313758, NDCG: 0.0920846, F1: 0.0578286, HIT_RATE: 0.3751192, ARHR: 0.1518118, NOVELTY: 0.0047952, AVERAGE_POPULARITY: 0.1125806, DIVERSITY_MEAN_INTER_LIST: 0.9837517, DIVERSITY_HERFINDAHL: 0.9983578, COVERAGE_ITEM: 0.4362194, COVERAGE_ITEM_CORRECT: 0.0421174, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1967032, DIVERSITY_GINI: 0.1352515, SHANNON_ENTROPY: 11.3831089, 
SearchBayesianSkopt-CV: Config 4 is suboptimal. Config: {'a': 0.9002656237960389, 'b': 0.6604377108324274, 'c': 0.15893914283313973, 'normalize': False} - results: ROC_AUC: 0.1752771, PRECISION: 0.0372433, PRECISION_RECALL_MIN_DEN: 0.1293478, RECALL: 0.1252525, MAP: 0.0604650, MRR: 0.1301747, NDCG: 0.0912578, F1: 0.0574132, HIT_RATE: 0.3724334, ARHR: 0.1504174, NOVELTY: 0.0047951, AVERAGE_POPULARITY: 0.1131702, DIVERSITY_MEAN_INTER_LIST: 0.9833756, DIVERSITY_HERFINDAHL: 0.9983202, COVERAGE_ITEM: 0.4381598, COVERAGE_ITEM_CORRECT: 0.0415630, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1955455, DIVERSITY_GINI: 0.1361179, SHANNON_ENTROPY: 11.3750127, 
SearchBayesianSkopt-CV: Config 5 is suboptimal. Config: {'a': 0.0496436964031768, 'b': 0.7352032642709245, 'c': 0.72103645775687, 'normalize': False} - results: ROC_AUC: 0.1785998, PRECISION: 0.0379290, PRECISION_RECALL_MIN_DEN: 0.1318314, RECALL: 0.1276759, MAP: 0.0622666, MRR: 0.1334138, NDCG: 0.0935439, F1: 0.0584824, HIT_RATE: 0.3792899, ARHR: 0.1540898, NOVELTY: 0.0047969, AVERAGE_POPULARITY: 0.1115117, DIVERSITY_MEAN_INTER_LIST: 0.9846073, DIVERSITY_HERFINDAHL: 0.9984433, COVERAGE_ITEM: 0.4331165, COVERAGE_ITEM_CORRECT: 0.0428797, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1989178, DIVERSITY_GINI: 0.1344313, SHANNON_ENTROPY: 11.4153557, 
SearchBayesianSkopt-CV: Config 6 is suboptimal. Config: {'a': 0.24491463745393566, 'b': 0.8238499688341738, 'c': 0.3267937743195019, 'normalize': False} - results: ROC_AUC: 0.1760166, PRECISION: 0.0373776, PRECISION_RECALL_MIN_DEN: 0.1296395, RECALL: 0.1255255, MAP: 0.0607601, MRR: 0.1309275, NDCG: 0.0916477, F1: 0.0576016, HIT_RATE: 0.3737764, ARHR: 0.1512568, NOVELTY: 0.0047959, AVERAGE_POPULARITY: 0.1132570, DIVERSITY_MEAN_INTER_LIST: 0.9834798, DIVERSITY_HERFINDAHL: 0.9983306, COVERAGE_ITEM: 0.4377594, COVERAGE_ITEM_CORRECT: 0.0418787, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1961243, DIVERSITY_GINI: 0.1361345, SHANNON_ENTROPY: 11.3817543, 
SearchBayesianSkopt-CV: Config 7 is suboptimal. Config: {'a': 0.920647097320486, 'b': 0.48598313973542406, 'c': 0.6867270937180993, 'normalize': False} - results: ROC_AUC: 0.1760299, PRECISION: 0.0373742, PRECISION_RECALL_MIN_DEN: 0.1299209, RECALL: 0.1258093, MAP: 0.0608724, MRR: 0.1307840, NDCG: 0.0917520, F1: 0.0576270, HIT_RATE: 0.3737415, ARHR: 0.1511471, NOVELTY: 0.0047950, AVERAGE_POPULARITY: 0.1127437, DIVERSITY_MEAN_INTER_LIST: 0.9836106, DIVERSITY_HERFINDAHL: 0.9983437, COVERAGE_ITEM: 0.4367199, COVERAGE_ITEM_CORRECT: 0.0418325, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1960488, DIVERSITY_GINI: 0.1354621, SHANNON_ENTROPY: 11.3784000, 
SearchBayesianSkopt-CV: Config 8 is suboptimal. Config: {'a': 0.3037332775725749, 'b': 0.988584104735041, 'c': 0.9800813954114933, 'normalize': True} - results: ROC_AUC: 0.1780534, PRECISION: 0.0379753, PRECISION_RECALL_MIN_DEN: 0.1322971, RECALL: 0.1281663, MAP: 0.0624175, MRR: 0.1328515, NDCG: 0.0937055, F1: 0.0585882, HIT_RATE: 0.3797528, ARHR: 0.1534560, NOVELTY: 0.0048010, AVERAGE_POPULARITY: 0.1115673, DIVERSITY_MEAN_INTER_LIST: 0.9847513, DIVERSITY_HERFINDAHL: 0.9984577, COVERAGE_ITEM: 0.4343946, COVERAGE_ITEM_CORRECT: 0.0431261, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1988675, DIVERSITY_GINI: 0.1359413, SHANNON_ENTROPY: 11.4408201, 
SearchBayesianSkopt-CV: Config 9 is suboptimal. Config: {'a': 0.3769748018378213, 'b': 0.7193282799869982, 'c': 0.3566998185956843, 'normalize': True} - results: ROC_AUC: 0.1749711, PRECISION: 0.0370247, PRECISION_RECALL_MIN_DEN: 0.1285333, RECALL: 0.1245054, MAP: 0.0608876, MRR: 0.1302394, NDCG: 0.0914057, F1: 0.0570745, HIT_RATE: 0.3702471, ARHR: 0.1503614, NOVELTY: 0.0048086, AVERAGE_POPULARITY: 0.1130840, DIVERSITY_MEAN_INTER_LIST: 0.9839110, DIVERSITY_HERFINDAHL: 0.9983737, COVERAGE_ITEM: 0.4388450, COVERAGE_ITEM_CORRECT: 0.0412859, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1946143, DIVERSITY_GINI: 0.1389850, SHANNON_ENTROPY: 11.4372235, 
