
SearchBayesianSkopt-CV: New best config found. Config 0: {'a': 0.7642850414352251, 'b': 0.3781671450570825, 'c': 0.03244011645967638, 'normalize': False} - results: ROC_AUC: 0.1696594, PRECISION: 0.0370607, PRECISION_RECALL_MIN_DEN: 0.1295225, RECALL: 0.1252658, MAP: 0.0578012, MRR: 0.1245602, NDCG: 0.0886511, F1: 0.0571979, HIT_RATE: 0.3706066, ARHR: 0.1439502, NOVELTY: 0.0048433, AVERAGE_POPULARITY: 0.0794894, DIVERSITY_MEAN_INTER_LIST: 0.9931209, DIVERSITY_HERFINDAHL: 0.9992945, COVERAGE_ITEM: 0.3099057, COVERAGE_ITEM_CORRECT: 0.0492628, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1950170, DIVERSITY_GINI: 0.0963907, SHANNON_ENTROPY: 11.5064100, 

SearchBayesianSkopt-CV: New best config found. Config 1: {'a': 0.78786338108642, 'b': 0.9948115692977698, 'c': 0.12290452293208523, 'normalize': False} - results: ROC_AUC: 0.1743511, PRECISION: 0.0383849, PRECISION_RECALL_MIN_DEN: 0.1332527, RECALL: 0.1288038, MAP: 0.0599234, MRR: 0.1284843, NDCG: 0.0915749, F1: 0.0591437, HIT_RATE: 0.3838486, ARHR: 0.1494121, NOVELTY: 0.0048653, AVERAGE_POPULARITY: 0.0794674, DIVERSITY_MEAN_INTER_LIST: 0.9933019, DIVERSITY_HERFINDAHL: 0.9993126, COVERAGE_ITEM: 0.3186372, COVERAGE_ITEM_CORRECT: 0.0507565, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1990940, DIVERSITY_GINI: 0.1020746, SHANNON_ENTROPY: 11.5863542, 
SearchBayesianSkopt-CV: Config 2 is suboptimal. Config: {'a': 0.5939532427344822, 'b': 0.03444397083889628, 'c': 0.370889023537416, 'normalize': True} - results: ROC_AUC: 0.1665056, PRECISION: 0.0355904, PRECISION_RECALL_MIN_DEN: 0.1304261, RECALL: 0.1269207, MAP: 0.0572709, MRR: 0.1205693, NDCG: 0.0882272, F1: 0.0555896, HIT_RATE: 0.3559043, ARHR: 0.1378286, NOVELTY: 0.0049271, AVERAGE_POPULARITY: 0.0660629, DIVERSITY_MEAN_INTER_LIST: 0.9942139, DIVERSITY_HERFINDAHL: 0.9994038, COVERAGE_ITEM: 0.3956266, COVERAGE_ITEM_CORRECT: 0.0539442, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1916698, DIVERSITY_GINI: 0.1286495, SHANNON_ENTROPY: 11.8372231, 
SearchBayesianSkopt-CV: Config 3 is suboptimal. Config: {'a': 0.8666043385460823, 'b': 0.7253587751292379, 'c': 0.37087438669679246, 'normalize': True} - results: ROC_AUC: 0.1729237, PRECISION: 0.0380846, PRECISION_RECALL_MIN_DEN: 0.1322443, RECALL: 0.1278240, MAP: 0.0594019, MRR: 0.1276736, NDCG: 0.0908467, F1: 0.0586836, HIT_RATE: 0.3808464, ARHR: 0.1482176, NOVELTY: 0.0048587, AVERAGE_POPULARITY: 0.0794134, DIVERSITY_MEAN_INTER_LIST: 0.9932624, DIVERSITY_HERFINDAHL: 0.9993087, COVERAGE_ITEM: 0.3163734, COVERAGE_ITEM_CORRECT: 0.0505948, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1980873, DIVERSITY_GINI: 0.1004721, SHANNON_ENTROPY: 11.5640786, 
SearchBayesianSkopt-CV: Config 4 is suboptimal. Config: {'a': 0.9903913475980554, 'b': 0.02122663635749489, 'c': 0.49562816991344816, 'normalize': True} - results: ROC_AUC: 0.1542242, PRECISION: 0.0331587, PRECISION_RECALL_MIN_DEN: 0.1202207, RECALL: 0.1168253, MAP: 0.0520380, MRR: 0.1115457, NDCG: 0.0808646, F1: 0.0516543, HIT_RATE: 0.3315871, ARHR: 0.1272749, NOVELTY: 0.0049079, AVERAGE_POPULARITY: 0.0657328, DIVERSITY_MEAN_INTER_LIST: 0.9939466, DIVERSITY_HERFINDAHL: 0.9993771, COVERAGE_ITEM: 0.4018864, COVERAGE_ITEM_CORRECT: 0.0506410, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1793381, DIVERSITY_GINI: 0.1287165, SHANNON_ENTROPY: 11.8080014, 
SearchBayesianSkopt-CV: Config 5 is suboptimal. Config: {'a': 0.9927533296931749, 'b': 0.7898232406343567, 'c': 0.10576589306327869, 'normalize': False} - results: ROC_AUC: 0.1735035, PRECISION: 0.0382861, PRECISION_RECALL_MIN_DEN: 0.1330872, RECALL: 0.1286513, MAP: 0.0596865, MRR: 0.1278550, NDCG: 0.0912929, F1: 0.0590104, HIT_RATE: 0.3828613, ARHR: 0.1486545, NOVELTY: 0.0048589, AVERAGE_POPULARITY: 0.0792323, DIVERSITY_MEAN_INTER_LIST: 0.9932792, DIVERSITY_HERFINDAHL: 0.9993104, COVERAGE_ITEM: 0.3169355, COVERAGE_ITEM_CORRECT: 0.0510491, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1988423, DIVERSITY_GINI: 0.1005538, SHANNON_ENTROPY: 11.5647354, 

SearchBayesianSkopt-CV: New best config found. Config 6: {'a': 0.27191635759094396, 'b': 0.3635479793823389, 'c': 0.5783590645194175, 'normalize': False} - results: ROC_AUC: 0.1789101, PRECISION: 0.0379224, PRECISION_RECALL_MIN_DEN: 0.1449192, RECALL: 0.1416220, MAP: 0.0627195, MRR: 0.1257739, NDCG: 0.0964242, F1: 0.0598242, HIT_RATE: 0.3792238, ARHR: 0.1433353, NOVELTY: 0.0051101, AVERAGE_POPULARITY: 0.0547837, DIVERSITY_MEAN_INTER_LIST: 0.9961374, DIVERSITY_HERFINDAHL: 0.9995961, COVERAGE_ITEM: 0.4458210, COVERAGE_ITEM_CORRECT: 0.0594880, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2079275, DIVERSITY_GINI: 0.1741430, SHANNON_ENTROPY: 12.3627253, 

SearchBayesianSkopt-CV: New best config found. Config 7: {'a': 0.15285931130531785, 'b': 0.17589611733115088, 'c': 0.20022053778413124, 'normalize': False} - results: ROC_AUC: 0.1845276, PRECISION: 0.0393068, PRECISION_RECALL_MIN_DEN: 0.1465362, RECALL: 0.1429535, MAP: 0.0648790, MRR: 0.1319879, NDCG: 0.0991455, F1: 0.0616593, HIT_RATE: 0.3930676, ARHR: 0.1514402, NOVELTY: 0.0050368, AVERAGE_POPULARITY: 0.0625962, DIVERSITY_MEAN_INTER_LIST: 0.9954101, DIVERSITY_HERFINDAHL: 0.9995234, COVERAGE_ITEM: 0.4092166, COVERAGE_ITEM_CORRECT: 0.0589490, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2118284, DIVERSITY_GINI: 0.1499619, SHANNON_ENTROPY: 12.1360153, 
