
SearchBayesianSkopt-CV: New best config found. Config 0: {'a': 0.7642850414352251, 'b': 0.3781671450570825, 'c': 0.03244011645967638, 'normalize': False} - results: ROC_AUC: 0.1664870, PRECISION: 0.0363572, PRECISION_RECALL_MIN_DEN: 0.1258219, RECALL: 0.1215332, MAP: 0.0561573, MRR: 0.1221046, NDCG: 0.0862282, F1: 0.0559700, HIT_RATE: 0.3635723, ARHR: 0.1413462, NOVELTY: 0.0048306, AVERAGE_POPULARITY: 0.0812888, DIVERSITY_MEAN_INTER_LIST: 0.9928575, DIVERSITY_HERFINDAHL: 0.9992682, COVERAGE_ITEM: 0.2966930, COVERAGE_ITEM_CORRECT: 0.0471453, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1906128, DIVERSITY_GINI: 0.0920260, SHANNON_ENTROPY: 11.4461638, 

SearchBayesianSkopt-CV: New best config found. Config 1: {'a': 0.3573637571648874, 'b': 0.8295686529175585, 'c': 0.4147537029355476, 'normalize': False} - results: ROC_AUC: 0.1757068, PRECISION: 0.0383003, PRECISION_RECALL_MIN_DEN: 0.1318189, RECALL: 0.1273329, MAP: 0.0599858, MRR: 0.1298743, NDCG: 0.0914066, F1: 0.0588864, HIT_RATE: 0.3830030, ARHR: 0.1513746, NOVELTY: 0.0048463, AVERAGE_POPULARITY: 0.0841676, DIVERSITY_MEAN_INTER_LIST: 0.9925873, DIVERSITY_HERFINDAHL: 0.9992412, COVERAGE_ITEM: 0.3212320, COVERAGE_ITEM_CORRECT: 0.0467218, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1986913, DIVERSITY_GINI: 0.1020296, SHANNON_ENTROPY: 11.5429648, 
SearchBayesianSkopt-CV: Config 2 is suboptimal. Config: {'a': 0.15869328740703195, 'b': 0.5318217842767814, 'c': 0.10251512023685841, 'normalize': True} - results: ROC_AUC: 0.1685570, PRECISION: 0.0363150, PRECISION_RECALL_MIN_DEN: 0.1264664, RECALL: 0.1223414, MAP: 0.0566234, MRR: 0.1228912, NDCG: 0.0869009, F1: 0.0560055, HIT_RATE: 0.3631498, ARHR: 0.1422157, NOVELTY: 0.0048554, AVERAGE_POPULARITY: 0.0820550, DIVERSITY_MEAN_INTER_LIST: 0.9929478, DIVERSITY_HERFINDAHL: 0.9992772, COVERAGE_ITEM: 0.3018980, COVERAGE_ITEM_CORRECT: 0.0465448, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1912168, DIVERSITY_GINI: 0.0974670, SHANNON_ENTROPY: 11.5270200, 
SearchBayesianSkopt-CV: Config 3 is suboptimal. Config: {'a': 0.18719506446781822, 'b': 0.94648302905499, 'c': 0.6680785430470091, 'normalize': True} - results: ROC_AUC: 0.1697970, PRECISION: 0.0369407, PRECISION_RECALL_MIN_DEN: 0.1277522, RECALL: 0.1234268, MAP: 0.0572970, MRR: 0.1244907, NDCG: 0.0877960, F1: 0.0568626, HIT_RATE: 0.3694074, ARHR: 0.1445563, NOVELTY: 0.0048541, AVERAGE_POPULARITY: 0.0826780, DIVERSITY_MEAN_INTER_LIST: 0.9928708, DIVERSITY_HERFINDAHL: 0.9992695, COVERAGE_ITEM: 0.3054783, COVERAGE_ITEM_CORRECT: 0.0467680, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1930288, DIVERSITY_GINI: 0.0984570, SHANNON_ENTROPY: 11.5324781, 
SearchBayesianSkopt-CV: Config 4 is suboptimal. Config: {'a': 0.5148068280924584, 'b': 0.053464855901512856, 'c': 0.3016767795782754, 'normalize': False} - results: ROC_AUC: 0.1639820, PRECISION: 0.0356529, PRECISION_RECALL_MIN_DEN: 0.1230506, RECALL: 0.1188476, MAP: 0.0555041, MRR: 0.1208075, NDCG: 0.0849483, F1: 0.0548494, HIT_RATE: 0.3565294, ARHR: 0.1397891, NOVELTY: 0.0048429, AVERAGE_POPULARITY: 0.0828590, DIVERSITY_MEAN_INTER_LIST: 0.9919734, DIVERSITY_HERFINDAHL: 0.9991798, COVERAGE_ITEM: 0.3567122, COVERAGE_ITEM_CORRECT: 0.0429413, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1874418, DIVERSITY_GINI: 0.1080622, SHANNON_ENTROPY: 11.5231375, 
SearchBayesianSkopt-CV: Config 5 is suboptimal. Config: {'a': 0.7229460084641889, 'b': 0.1903469066378864, 'c': 0.279199262038012, 'normalize': True} - results: ROC_AUC: 0.1620517, PRECISION: 0.0354354, PRECISION_RECALL_MIN_DEN: 0.1228486, RECALL: 0.1185654, MAP: 0.0543380, MRR: 0.1181350, NDCG: 0.0836703, F1: 0.0545625, HIT_RATE: 0.3543537, ARHR: 0.1364705, NOVELTY: 0.0048150, AVERAGE_POPULARITY: 0.0812915, DIVERSITY_MEAN_INTER_LIST: 0.9926395, DIVERSITY_HERFINDAHL: 0.9992464, COVERAGE_ITEM: 0.2934822, COVERAGE_ITEM_CORRECT: 0.0460597, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1865861, DIVERSITY_GINI: 0.0886099, SHANNON_ENTROPY: 11.3862725, 
SearchBayesianSkopt-CV: Config 6 is suboptimal. Config: {'a': 0.5530581559017611, 'b': 0.6220793250763169, 'c': 0.05391748071521553, 'normalize': True} - results: ROC_AUC: 0.1682922, PRECISION: 0.0363851, PRECISION_RECALL_MIN_DEN: 0.1261960, RECALL: 0.1220917, MAP: 0.0565542, MRR: 0.1232102, NDCG: 0.0868858, F1: 0.0560621, HIT_RATE: 0.3638515, ARHR: 0.1423095, NOVELTY: 0.0048474, AVERAGE_POPULARITY: 0.0814513, DIVERSITY_MEAN_INTER_LIST: 0.9929747, DIVERSITY_HERFINDAHL: 0.9992799, COVERAGE_ITEM: 0.2988258, COVERAGE_ITEM_CORRECT: 0.0471530, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1915691, DIVERSITY_GINI: 0.0952385, SHANNON_ENTROPY: 11.4990303, 
SearchBayesianSkopt-CV: Config 7 is suboptimal. Config: {'a': 0.4347133268206309, 'b': 0.04173374201835945, 'c': 0.5341200647862722, 'normalize': False} - results: ROC_AUC: 0.1666218, PRECISION: 0.0360170, PRECISION_RECALL_MIN_DEN: 0.1242295, RECALL: 0.1200667, MAP: 0.0562308, MRR: 0.1226189, NDCG: 0.0860453, F1: 0.0554110, HIT_RATE: 0.3601702, ARHR: 0.1420025, NOVELTY: 0.0048809, AVERAGE_POPULARITY: 0.0833515, DIVERSITY_MEAN_INTER_LIST: 0.9916635, DIVERSITY_HERFINDAHL: 0.9991488, COVERAGE_ITEM: 0.4011165, COVERAGE_ITEM_CORRECT: 0.0427411, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1885240, DIVERSITY_GINI: 0.1260533, SHANNON_ENTROPY: 11.6578766, 
SearchBayesianSkopt-CV: Config 8 is suboptimal. Config: {'a': 0.5446984003945655, 'b': 0.8853041970163904, 'c': 0.3088141769756458, 'normalize': False} - results: ROC_AUC: 0.1740952, PRECISION: 0.0379935, PRECISION_RECALL_MIN_DEN: 0.1305680, RECALL: 0.1260751, MAP: 0.0592829, MRR: 0.1285582, NDCG: 0.0903978, F1: 0.0583900, HIT_RATE: 0.3799350, ARHR: 0.1498727, NOVELTY: 0.0048446, AVERAGE_POPULARITY: 0.0835362, DIVERSITY_MEAN_INTER_LIST: 0.9927083, DIVERSITY_HERFINDAHL: 0.9992533, COVERAGE_ITEM: 0.3145563, COVERAGE_ITEM_CORRECT: 0.0468450, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1968290, DIVERSITY_GINI: 0.0996733, SHANNON_ENTROPY: 11.5262926, 

