
SearchBayesianSkopt-CV: New best config found. Config 0: {'a': 0.7642850414352251, 'b': 0.3781671450570825, 'c': 0.03244011645967638, 'normalize': False} - results: ROC_AUC: 0.1713794, PRECISION: 0.0375404, PRECISION_RECALL_MIN_DEN: 0.1291009, RECALL: 0.1246236, MAP: 0.0581946, MRR: 0.1261474, NDCG: 0.0890113, F1: 0.0576997, HIT_RATE: 0.3754043, ARHR: 0.1466308, NOVELTY: 0.0048164, AVERAGE_POPULARITY: 0.0860989, DIVERSITY_MEAN_INTER_LIST: 0.9921309, DIVERSITY_HERFINDAHL: 0.9991956, COVERAGE_ITEM: 0.3043619, COVERAGE_ITEM_CORRECT: 0.0462291, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1957720, DIVERSITY_GINI: 0.0925570, SHANNON_ENTROPY: 11.4094040, 

SearchBayesianSkopt-CV: New best config found. Config 1: {'a': 0.3573637571648874, 'b': 0.8295686529175585, 'c': 0.4147537029355476, 'normalize': False} - results: ROC_AUC: 0.1798055, PRECISION: 0.0390627, PRECISION_RECALL_MIN_DEN: 0.1341312, RECALL: 0.1296925, MAP: 0.0617071, MRR: 0.1333454, NDCG: 0.0938141, F1: 0.0600400, HIT_RATE: 0.3906272, ARHR: 0.1551438, NOVELTY: 0.0047913, AVERAGE_POPULARITY: 0.1024232, DIVERSITY_MEAN_INTER_LIST: 0.9882251, DIVERSITY_HERFINDAHL: 0.9988050, COVERAGE_ITEM: 0.3459942, COVERAGE_ITEM_CORRECT: 0.0436035, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2023153, DIVERSITY_GINI: 0.1039326, SHANNON_ENTROPY: 11.3451136, 
SearchBayesianSkopt-CV: Config 2 is suboptimal. Config: {'a': 0.15869328740703195, 'b': 0.5318217842767814, 'c': 0.10251512023685841, 'normalize': True} - results: ROC_AUC: 0.1691073, PRECISION: 0.0363330, PRECISION_RECALL_MIN_DEN: 0.1267211, RECALL: 0.1226380, MAP: 0.0567360, MRR: 0.1233342, NDCG: 0.0871151, F1: 0.0560580, HIT_RATE: 0.3633297, ARHR: 0.1426857, NOVELTY: 0.0048536, AVERAGE_POPULARITY: 0.0826224, DIVERSITY_MEAN_INTER_LIST: 0.9928515, DIVERSITY_HERFINDAHL: 0.9992676, COVERAGE_ITEM: 0.3022830, COVERAGE_ITEM_CORRECT: 0.0463138, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1916698, DIVERSITY_GINI: 0.0973390, SHANNON_ENTROPY: 11.5205546, 
SearchBayesianSkopt-CV: Config 3 is suboptimal. Config: {'a': 0.18719506446781822, 'b': 0.94648302905499, 'c': 0.6680785430470091, 'normalize': True} - results: ROC_AUC: 0.1713667, PRECISION: 0.0371769, PRECISION_RECALL_MIN_DEN: 0.1283954, RECALL: 0.1240710, MAP: 0.0578371, MRR: 0.1259982, NDCG: 0.0885502, F1: 0.0572106, HIT_RATE: 0.3717687, ARHR: 0.1463328, NOVELTY: 0.0048475, AVERAGE_POPULARITY: 0.0847173, DIVERSITY_MEAN_INTER_LIST: 0.9925105, DIVERSITY_HERFINDAHL: 0.9992335, COVERAGE_ITEM: 0.3064177, COVERAGE_ITEM_CORRECT: 0.0463677, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1940355, DIVERSITY_GINI: 0.0979332, SHANNON_ENTROPY: 11.5080931, 
SearchBayesianSkopt-CV: Config 4 is suboptimal. Config: {'a': 0.5148068280924584, 'b': 0.053464855901512856, 'c': 0.3016767795782754, 'normalize': False} - results: ROC_AUC: 0.1737754, PRECISION: 0.0368852, PRECISION_RECALL_MIN_DEN: 0.1278036, RECALL: 0.1237040, MAP: 0.0594171, MRR: 0.1290200, NDCG: 0.0900088, F1: 0.0568254, HIT_RATE: 0.3688523, ARHR: 0.1490209, NOVELTY: 0.0047394, AVERAGE_POPULARITY: 0.1165406, DIVERSITY_MEAN_INTER_LIST: 0.9832045, DIVERSITY_HERFINDAHL: 0.9983031, COVERAGE_ITEM: 0.3714726, COVERAGE_ITEM_CORRECT: 0.0400847, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1935825, DIVERSITY_GINI: 0.1049109, SHANNON_ENTROPY: 11.1136483, 
SearchBayesianSkopt-CV: Config 5 is suboptimal. Config: {'a': 0.7229460084641889, 'b': 0.1903469066378864, 'c': 0.279199262038012, 'normalize': True} - results: ROC_AUC: 0.1641703, PRECISION: 0.0359756, PRECISION_RECALL_MIN_DEN: 0.1245040, RECALL: 0.1201621, MAP: 0.0553368, MRR: 0.1199580, NDCG: 0.0850433, F1: 0.0553721, HIT_RATE: 0.3597564, ARHR: 0.1387792, NOVELTY: 0.0048059, AVERAGE_POPULARITY: 0.0840577, DIVERSITY_MEAN_INTER_LIST: 0.9922427, DIVERSITY_HERFINDAHL: 0.9992067, COVERAGE_ITEM: 0.2945833, COVERAGE_ITEM_CORRECT: 0.0458133, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1891280, DIVERSITY_GINI: 0.0878592, SHANNON_ENTROPY: 11.3542324, 
SearchBayesianSkopt-CV: Config 6 is suboptimal. Config: {'a': 0.5530581559017611, 'b': 0.6220793250763169, 'c': 0.05391748071521553, 'normalize': True} - results: ROC_AUC: 0.1686494, PRECISION: 0.0363744, PRECISION_RECALL_MIN_DEN: 0.1262951, RECALL: 0.1222036, MAP: 0.0566684, MRR: 0.1235076, NDCG: 0.0870223, F1: 0.0560613, HIT_RATE: 0.3637439, ARHR: 0.1426290, NOVELTY: 0.0048467, AVERAGE_POPULARITY: 0.0817040, DIVERSITY_MEAN_INTER_LIST: 0.9929357, DIVERSITY_HERFINDAHL: 0.9992760, COVERAGE_ITEM: 0.2990876, COVERAGE_ITEM_CORRECT: 0.0470221, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1916698, DIVERSITY_GINI: 0.0952057, SHANNON_ENTROPY: 11.4965049, 
SearchBayesianSkopt-CV: Config 7 is suboptimal. Config: {'a': 0.4347133268206309, 'b': 0.04173374201835945, 'c': 0.5341200647862722, 'normalize': False} - results: ROC_AUC: 0.1734250, PRECISION: 0.0366558, PRECISION_RECALL_MIN_DEN: 0.1273844, RECALL: 0.1233369, MAP: 0.0593450, MRR: 0.1285479, NDCG: 0.0898060, F1: 0.0565141, HIT_RATE: 0.3665577, ARHR: 0.1482829, NOVELTY: 0.0047522, AVERAGE_POPULARITY: 0.1194549, DIVERSITY_MEAN_INTER_LIST: 0.9817077, DIVERSITY_HERFINDAHL: 0.9981534, COVERAGE_ITEM: 0.3990529, COVERAGE_ITEM_CORRECT: 0.0398614, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1931546, DIVERSITY_GINI: 0.1146555, SHANNON_ENTROPY: 11.1384643, 
SearchBayesianSkopt-CV: Config 8 is suboptimal. Config: {'a': 0.5446984003945655, 'b': 0.8853041970163904, 'c': 0.3088141769756458, 'normalize': False} - results: ROC_AUC: 0.1801976, PRECISION: 0.0391731, PRECISION_RECALL_MIN_DEN: 0.1346536, RECALL: 0.1301546, MAP: 0.0616127, MRR: 0.1337604, NDCG: 0.0938761, F1: 0.0602200, HIT_RATE: 0.3917307, ARHR: 0.1556147, NOVELTY: 0.0047994, AVERAGE_POPULARITY: 0.0984838, DIVERSITY_MEAN_INTER_LIST: 0.9894006, DIVERSITY_HERFINDAHL: 0.9989226, COVERAGE_ITEM: 0.3365621, COVERAGE_ITEM_CORRECT: 0.0444042, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2031207, DIVERSITY_GINI: 0.1015054, SHANNON_ENTROPY: 11.3745806, 
SearchBayesianSkopt-CV: Config 9 is suboptimal. Config: {'a': 0.1131508014582984, 'b': 0.2985694025115306, 'c': 0.3248900134453407, 'normalize': False} - results: ROC_AUC: 0.1782229, PRECISION: 0.0382678, PRECISION_RECALL_MIN_DEN: 0.1322268, RECALL: 0.1280102, MAP: 0.0612932, MRR: 0.1321699, NDCG: 0.0929147, F1: 0.0589208, HIT_RATE: 0.3826782, ARHR: 0.1530717, NOVELTY: 0.0047712, AVERAGE_POPULARITY: 0.1099819, DIVERSITY_MEAN_INTER_LIST: 0.9855953, DIVERSITY_HERFINDAHL: 0.9985421, COVERAGE_ITEM: 0.3624947, COVERAGE_ITEM_CORRECT: 0.0420635, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1999245, DIVERSITY_GINI: 0.1074020, SHANNON_ENTROPY: 11.2615898, 
