
SearchBayesianSkopt-CV: New best config found. Config 0: {'a': 0.7642850414352251, 'b': 0.3781671450570825, 'c': 0.03244011645967638, 'normalize': False} - results: ROC_AUC: 0.1658824, PRECISION: 0.0359263, PRECISION_RECALL_MIN_DEN: 0.1258275, RECALL: 0.1217928, MAP: 0.0558590, MRR: 0.1213478, NDCG: 0.0860293, F1: 0.0554845, HIT_RATE: 0.3592627, ARHR: 0.1398386, NOVELTY: 0.0048355, AVERAGE_POPULARITY: 0.0803283, DIVERSITY_MEAN_INTER_LIST: 0.9929873, DIVERSITY_HERFINDAHL: 0.9992812, COVERAGE_ITEM: 0.3054629, COVERAGE_ITEM_CORRECT: 0.0472146, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1900843, DIVERSITY_GINI: 0.0946029, SHANNON_ENTROPY: 11.4799371, 

SearchBayesianSkopt-CV: New best config found. Config 1: {'a': 0.3573637571648874, 'b': 0.8295686529175585, 'c': 0.4147537029355476, 'normalize': False} - results: ROC_AUC: 0.1720504, PRECISION: 0.0370923, PRECISION_RECALL_MIN_DEN: 0.1288877, RECALL: 0.1246103, MAP: 0.0582700, MRR: 0.1264263, NDCG: 0.0890422, F1: 0.0571672, HIT_RATE: 0.3709229, ARHR: 0.1465114, NOVELTY: 0.0048530, AVERAGE_POPULARITY: 0.0823946, DIVERSITY_MEAN_INTER_LIST: 0.9928883, DIVERSITY_HERFINDAHL: 0.9992713, COVERAGE_ITEM: 0.3154572, COVERAGE_ITEM_CORRECT: 0.0472762, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1941865, DIVERSITY_GINI: 0.1007147, SHANNON_ENTROPY: 11.5530210, 
SearchBayesianSkopt-CV: Config 2 is suboptimal. Config: {'a': 0.15869328740703195, 'b': 0.5318217842767814, 'c': 0.10251512023685841, 'normalize': True} - results: ROC_AUC: 0.1706986, PRECISION: 0.0367216, PRECISION_RECALL_MIN_DEN: 0.1282576, RECALL: 0.1240987, MAP: 0.0575648, MRR: 0.1248130, NDCG: 0.0882448, F1: 0.0566728, HIT_RATE: 0.3672155, ARHR: 0.1444426, NOVELTY: 0.0048568, AVERAGE_POPULARITY: 0.0820533, DIVERSITY_MEAN_INTER_LIST: 0.9929470, DIVERSITY_HERFINDAHL: 0.9992772, COVERAGE_ITEM: 0.3144562, COVERAGE_ITEM_CORRECT: 0.0469990, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1934315, DIVERSITY_GINI: 0.1009378, SHANNON_ENTROPY: 11.5607886, 

SearchBayesianSkopt-CV: New best config found. Config 3: {'a': 0.18719506446781822, 'b': 0.94648302905499, 'c': 0.6680785430470091, 'normalize': True} - results: ROC_AUC: 0.1752627, PRECISION: 0.0381101, PRECISION_RECALL_MIN_DEN: 0.1318270, RECALL: 0.1273774, MAP: 0.0598813, MRR: 0.1299360, NDCG: 0.0912809, F1: 0.0586667, HIT_RATE: 0.3811010, ARHR: 0.1509102, NOVELTY: 0.0048508, AVERAGE_POPULARITY: 0.0843372, DIVERSITY_MEAN_INTER_LIST: 0.9925939, DIVERSITY_HERFINDAHL: 0.9992418, COVERAGE_ITEM: 0.3215245, COVERAGE_ITEM_CORRECT: 0.0475611, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1982132, DIVERSITY_GINI: 0.1026141, SHANNON_ENTROPY: 11.5580391, 
SearchBayesianSkopt-CV: Config 4 is suboptimal. Config: {'a': 0.5148068280924584, 'b': 0.053464855901512856, 'c': 0.3016767795782754, 'normalize': False} - results: ROC_AUC: 0.1584218, PRECISION: 0.0342044, PRECISION_RECALL_MIN_DEN: 0.1199334, RECALL: 0.1157709, MAP: 0.0531648, MRR: 0.1158847, NDCG: 0.0816990, F1: 0.0528060, HIT_RATE: 0.3420444, ARHR: 0.1332402, NOVELTY: 0.0047843, AVERAGE_POPULARITY: 0.0849230, DIVERSITY_MEAN_INTER_LIST: 0.9917424, DIVERSITY_HERFINDAHL: 0.9991567, COVERAGE_ITEM: 0.3014283, COVERAGE_ITEM_CORRECT: 0.0443118, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1817793, DIVERSITY_GINI: 0.0859479, SHANNON_ENTROPY: 11.2878790, 
SearchBayesianSkopt-CV: Config 5 is suboptimal. Config: {'a': 0.7229460084641889, 'b': 0.1903469066378864, 'c': 0.279199262038012, 'normalize': True} - results: ROC_AUC: 0.1683334, PRECISION: 0.0366232, PRECISION_RECALL_MIN_DEN: 0.1271720, RECALL: 0.1228258, MAP: 0.0570900, MRR: 0.1233055, NDCG: 0.0873263, F1: 0.0564223, HIT_RATE: 0.3662320, ARHR: 0.1427774, NOVELTY: 0.0048130, AVERAGE_POPULARITY: 0.0836027, DIVERSITY_MEAN_INTER_LIST: 0.9923832, DIVERSITY_HERFINDAHL: 0.9992208, COVERAGE_ITEM: 0.3112608, COVERAGE_ITEM_CORRECT: 0.0471684, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1923996, DIVERSITY_GINI: 0.0933669, SHANNON_ENTROPY: 11.4208650, 
SearchBayesianSkopt-CV: Config 6 is suboptimal. Config: {'a': 0.5530581559017611, 'b': 0.6220793250763169, 'c': 0.05391748071521553, 'normalize': True} - results: ROC_AUC: 0.1692839, PRECISION: 0.0365761, PRECISION_RECALL_MIN_DEN: 0.1273221, RECALL: 0.1232094, MAP: 0.0570248, MRR: 0.1239618, NDCG: 0.0875882, F1: 0.0564062, HIT_RATE: 0.3657612, ARHR: 0.1431892, NOVELTY: 0.0048504, AVERAGE_POPULARITY: 0.0810418, DIVERSITY_MEAN_INTER_LIST: 0.9930482, DIVERSITY_HERFINDAHL: 0.9992873, COVERAGE_ITEM: 0.3105756, COVERAGE_ITEM_CORRECT: 0.0474533, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1925758, DIVERSITY_GINI: 0.0985861, SHANNON_ENTROPY: 11.5360493, 
SearchBayesianSkopt-CV: Config 7 is suboptimal. Config: {'a': 0.4347133268206309, 'b': 0.04173374201835945, 'c': 0.5341200647862722, 'normalize': False} - results: ROC_AUC: 0.1655700, PRECISION: 0.0358435, PRECISION_RECALL_MIN_DEN: 0.1247782, RECALL: 0.1203705, MAP: 0.0563795, MRR: 0.1221139, NDCG: 0.0859340, F1: 0.0552368, HIT_RATE: 0.3584350, ARHR: 0.1410816, NOVELTY: 0.0047826, AVERAGE_POPULARITY: 0.0890508, DIVERSITY_MEAN_INTER_LIST: 0.9912573, DIVERSITY_HERFINDAHL: 0.9991082, COVERAGE_ITEM: 0.3184755, COVERAGE_ITEM_CORRECT: 0.0447430, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1883478, DIVERSITY_GINI: 0.0911514, SHANNON_ENTROPY: 11.3178871, 
SearchBayesianSkopt-CV: Config 8 is suboptimal. Config: {'a': 0.5446984003945655, 'b': 0.8853041970163904, 'c': 0.3088141769756458, 'normalize': False} - results: ROC_AUC: 0.1709622, PRECISION: 0.0369225, PRECISION_RECALL_MIN_DEN: 0.1284902, RECALL: 0.1242926, MAP: 0.0577393, MRR: 0.1252844, NDCG: 0.0884842, F1: 0.0569319, HIT_RATE: 0.3692251, ARHR: 0.1450519, NOVELTY: 0.0048517, AVERAGE_POPULARITY: 0.0818128, DIVERSITY_MEAN_INTER_LIST: 0.9929593, DIVERSITY_HERFINDAHL: 0.9992784, COVERAGE_ITEM: 0.3134167, COVERAGE_ITEM_CORRECT: 0.0474225, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1939097, DIVERSITY_GINI: 0.0997832, SHANNON_ENTROPY: 11.5455931, 
