
SearchBayesianSkopt-CV: New best config found. Config 0: {'a': 0.7642850414352251, 'b': 0.3781671450570825, 'c': 0.03244011645967638, 'normalize': False} - results: ROC_AUC: 0.1671106, PRECISION: 0.0362724, PRECISION_RECALL_MIN_DEN: 0.1261508, RECALL: 0.1219899, MAP: 0.0563814, MRR: 0.1224306, NDCG: 0.0865868, F1: 0.0559175, HIT_RATE: 0.3627236, ARHR: 0.1414104, NOVELTY: 0.0048238, AVERAGE_POPULARITY: 0.0830553, DIVERSITY_MEAN_INTER_LIST: 0.9925774, DIVERSITY_HERFINDAHL: 0.9992402, COVERAGE_ITEM: 0.2949990, COVERAGE_ITEM_CORRECT: 0.0466756, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1910155, DIVERSITY_GINI: 0.0909792, SHANNON_ENTROPY: 11.4199143, 

SearchBayesianSkopt-CV: New best config found. Config 1: {'a': 0.3573637571648874, 'b': 0.8295686529175585, 'c': 0.4147537029355476, 'normalize': False} - results: ROC_AUC: 0.1764764, PRECISION: 0.0383217, PRECISION_RECALL_MIN_DEN: 0.1315039, RECALL: 0.1270023, MAP: 0.0602626, MRR: 0.1304870, NDCG: 0.0916182, F1: 0.0588767, HIT_RATE: 0.3832173, ARHR: 0.1519651, NOVELTY: 0.0048103, AVERAGE_POPULARITY: 0.0920035, DIVERSITY_MEAN_INTER_LIST: 0.9909722, DIVERSITY_HERFINDAHL: 0.9990797, COVERAGE_ITEM: 0.3098364, COVERAGE_ITEM_CORRECT: 0.0453282, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1988927, DIVERSITY_GINI: 0.0950129, SHANNON_ENTROPY: 11.3900748, 
SearchBayesianSkopt-CV: Config 2 is suboptimal. Config: {'a': 0.15869328740703195, 'b': 0.5318217842767814, 'c': 0.10251512023685841, 'normalize': True} - results: ROC_AUC: 0.1685524, PRECISION: 0.0362477, PRECISION_RECALL_MIN_DEN: 0.1265311, RECALL: 0.1224989, MAP: 0.0566282, MRR: 0.1229327, NDCG: 0.0869780, F1: 0.0559419, HIT_RATE: 0.3624769, ARHR: 0.1420604, NOVELTY: 0.0048540, AVERAGE_POPULARITY: 0.0824284, DIVERSITY_MEAN_INTER_LIST: 0.9928762, DIVERSITY_HERFINDAHL: 0.9992701, COVERAGE_ITEM: 0.3009740, COVERAGE_ITEM_CORRECT: 0.0463369, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1914936, DIVERSITY_GINI: 0.0970911, SHANNON_ENTROPY: 11.5197105, 
SearchBayesianSkopt-CV: Config 3 is suboptimal. Config: {'a': 0.18719506446781822, 'b': 0.94648302905499, 'c': 0.6680785430470091, 'normalize': True} - results: ROC_AUC: 0.1700604, PRECISION: 0.0366714, PRECISION_RECALL_MIN_DEN: 0.1275972, RECALL: 0.1234505, MAP: 0.0573423, MRR: 0.1245638, NDCG: 0.0879065, F1: 0.0565456, HIT_RATE: 0.3667143, ARHR: 0.1441596, NOVELTY: 0.0048487, AVERAGE_POPULARITY: 0.0840005, DIVERSITY_MEAN_INTER_LIST: 0.9926135, DIVERSITY_HERFINDAHL: 0.9992438, COVERAGE_ITEM: 0.3024293, COVERAGE_ITEM_CORRECT: 0.0462214, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1929533, DIVERSITY_GINI: 0.0970421, SHANNON_ENTROPY: 11.5054187, 
SearchBayesianSkopt-CV: Config 4 is suboptimal. Config: {'a': 0.5148068280924584, 'b': 0.053464855901512856, 'c': 0.3016767795782754, 'normalize': False} - results: ROC_AUC: 0.1662647, PRECISION: 0.0356839, PRECISION_RECALL_MIN_DEN: 0.1235229, RECALL: 0.1193931, MAP: 0.0563900, MRR: 0.1226932, NDCG: 0.0859657, F1: 0.0549439, HIT_RATE: 0.3568390, ARHR: 0.1418401, NOVELTY: 0.0047382, AVERAGE_POPULARITY: 0.1024579, DIVERSITY_MEAN_INTER_LIST: 0.9880474, DIVERSITY_HERFINDAHL: 0.9987873, COVERAGE_ITEM: 0.3139172, COVERAGE_ITEM_CORRECT: 0.0400539, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1873915, DIVERSITY_GINI: 0.0860303, SHANNON_ENTROPY: 11.1104585, 
SearchBayesianSkopt-CV: Config 5 is suboptimal. Config: {'a': 0.7229460084641889, 'b': 0.1903469066378864, 'c': 0.279199262038012, 'normalize': True} - results: ROC_AUC: 0.1618874, PRECISION: 0.0351427, PRECISION_RECALL_MIN_DEN: 0.1230259, RECALL: 0.1190176, MAP: 0.0543517, MRR: 0.1179242, NDCG: 0.0838174, F1: 0.0542623, HIT_RATE: 0.3514268, ARHR: 0.1357727, NOVELTY: 0.0048067, AVERAGE_POPULARITY: 0.0832442, DIVERSITY_MEAN_INTER_LIST: 0.9923324, DIVERSITY_HERFINDAHL: 0.9992157, COVERAGE_ITEM: 0.2895630, COVERAGE_ITEM_CORRECT: 0.0457825, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1865861, DIVERSITY_GINI: 0.0868397, SHANNON_ENTROPY: 11.3507177, 
SearchBayesianSkopt-CV: Config 6 is suboptimal. Config: {'a': 0.5530581559017611, 'b': 0.6220793250763169, 'c': 0.05391748071521553, 'normalize': True} - results: ROC_AUC: 0.1683522, PRECISION: 0.0362864, PRECISION_RECALL_MIN_DEN: 0.1260933, RECALL: 0.1220307, MAP: 0.0564797, MRR: 0.1231663, NDCG: 0.0868181, F1: 0.0559384, HIT_RATE: 0.3628635, ARHR: 0.1421502, NOVELTY: 0.0048467, AVERAGE_POPULARITY: 0.0816416, DIVERSITY_MEAN_INTER_LIST: 0.9929408, DIVERSITY_HERFINDAHL: 0.9992765, COVERAGE_ITEM: 0.2985486, COVERAGE_ITEM_CORRECT: 0.0470221, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1914433, DIVERSITY_GINI: 0.0950733, SHANNON_ENTROPY: 11.4955897, 
SearchBayesianSkopt-CV: Config 7 is suboptimal. Config: {'a': 0.4347133268206309, 'b': 0.04173374201835945, 'c': 0.5341200647862722, 'normalize': False} - results: ROC_AUC: 0.1676446, PRECISION: 0.0355468, PRECISION_RECALL_MIN_DEN: 0.1231509, RECALL: 0.1191138, MAP: 0.0566887, MRR: 0.1241049, NDCG: 0.0862572, F1: 0.0547513, HIT_RATE: 0.3554676, ARHR: 0.1429692, NOVELTY: 0.0047299, AVERAGE_POPULARITY: 0.1077872, DIVERSITY_MEAN_INTER_LIST: 0.9864746, DIVERSITY_HERFINDAHL: 0.9986300, COVERAGE_ITEM: 0.3257748, COVERAGE_ITEM_CORRECT: 0.0390144, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1878193, DIVERSITY_GINI: 0.0891264, SHANNON_ENTROPY: 11.0787986, 
SearchBayesianSkopt-CV: Config 8 is suboptimal. Config: {'a': 0.5446984003945655, 'b': 0.8853041970163904, 'c': 0.3088141769756458, 'normalize': False} - results: ROC_AUC: 0.1756018, PRECISION: 0.0379824, PRECISION_RECALL_MIN_DEN: 0.1311333, RECALL: 0.1266976, MAP: 0.0597301, MRR: 0.1296539, NDCG: 0.0909736, F1: 0.0584433, HIT_RATE: 0.3798240, ARHR: 0.1508752, NOVELTY: 0.0048177, AVERAGE_POPULARITY: 0.0895781, DIVERSITY_MEAN_INTER_LIST: 0.9915047, DIVERSITY_HERFINDAHL: 0.9991330, COVERAGE_ITEM: 0.3061405, COVERAGE_ITEM_CORRECT: 0.0457517, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1978105, DIVERSITY_GINI: 0.0945343, SHANNON_ENTROPY: 11.4119669, 

