
SearchBayesianSkopt-CV: New best config found. Config 0: {'a': 0.7642850414352251, 'b': 0.3781671450570825, 'c': 0.03244011645967638, 'normalize': False} - results: ROC_AUC: 0.1457198, PRECISION: 0.0309102, PRECISION_RECALL_MIN_DEN: 0.1117029, RECALL: 0.1087368, MAP: 0.0483338, MRR: 0.1028481, NDCG: 0.0752894, F1: 0.0481350, HIT_RATE: 0.3091018, ARHR: 0.1168752, NOVELTY: 0.0051626, AVERAGE_POPULARITY: 0.0348711, DIVERSITY_MEAN_INTER_LIST: 0.9974013, DIVERSITY_HERFINDAHL: 0.9997225, COVERAGE_ITEM: 0.5577286, COVERAGE_ITEM_CORRECT: 0.0525274, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1692211, DIVERSITY_GINI: 0.2500604, SHANNON_ENTROPY: 12.8841688, 

SearchBayesianSkopt-CV: New best config found. Config 1: {'a': 0.3573637571648874, 'b': 0.8295686529175585, 'c': 0.4147537029355476, 'normalize': False} - results: ROC_AUC: 0.1559921, PRECISION: 0.0337832, PRECISION_RECALL_MIN_DEN: 0.1207612, RECALL: 0.1169432, MAP: 0.0532801, MRR: 0.1120078, NDCG: 0.0816357, F1: 0.0524187, HIT_RATE: 0.3378322, ARHR: 0.1287229, NOVELTY: 0.0051697, AVERAGE_POPULARITY: 0.0374475, DIVERSITY_MEAN_INTER_LIST: 0.9972314, DIVERSITY_HERFINDAHL: 0.9997055, COVERAGE_ITEM: 0.5747603, COVERAGE_ITEM_CORRECT: 0.0540751, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1811753, DIVERSITY_GINI: 0.2644348, SHANNON_ENTROPY: 12.9380270, 
SearchBayesianSkopt-CV: Config 2 is suboptimal. Config: {'a': 0.15869328740703195, 'b': 0.5318217842767814, 'c': 0.10251512023685841, 'normalize': True} - results: ROC_AUC: 0.1410800, PRECISION: 0.0299603, PRECISION_RECALL_MIN_DEN: 0.1081498, RECALL: 0.1051542, MAP: 0.0468943, MRR: 0.0994377, NDCG: 0.0728190, F1: 0.0466324, HIT_RATE: 0.2996027, ARHR: 0.1129206, NOVELTY: 0.0051905, AVERAGE_POPULARITY: 0.0318176, DIVERSITY_MEAN_INTER_LIST: 0.9975881, DIVERSITY_HERFINDAHL: 0.9997412, COVERAGE_ITEM: 0.5694398, COVERAGE_ITEM_CORRECT: 0.0519577, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1643136, DIVERSITY_GINI: 0.2625832, SHANNON_ENTROPY: 12.9674347, 

SearchBayesianSkopt-CV: New best config found. Config 3: {'a': 0.18719506446781822, 'b': 0.94648302905499, 'c': 0.6680785430470091, 'normalize': True} - results: ROC_AUC: 0.1574156, PRECISION: 0.0339911, PRECISION_RECALL_MIN_DEN: 0.1216515, RECALL: 0.1179758, MAP: 0.0538518, MRR: 0.1130955, NDCG: 0.0825070, F1: 0.0527722, HIT_RATE: 0.3399113, ARHR: 0.1300401, NOVELTY: 0.0051521, AVERAGE_POPULARITY: 0.0390391, DIVERSITY_MEAN_INTER_LIST: 0.9972408, DIVERSITY_HERFINDAHL: 0.9997065, COVERAGE_ITEM: 0.5681925, COVERAGE_ITEM_CORRECT: 0.0546679, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1816786, DIVERSITY_GINI: 0.2576497, SHANNON_ENTROPY: 12.9033991, 

SearchBayesianSkopt-CV: New best config found. Config 4: {'a': 0.5148068280924584, 'b': 0.053464855901512856, 'c': 0.3016767795782754, 'normalize': False} - results: ROC_AUC: 0.1898844, PRECISION: 0.0418833, PRECISION_RECALL_MIN_DEN: 0.1491147, RECALL: 0.1446029, MAP: 0.0678695, MRR: 0.1412163, NDCG: 0.1026539, F1: 0.0649528, HIT_RATE: 0.4188327, ARHR: 0.1646931, NOVELTY: 0.0048425, AVERAGE_POPULARITY: 0.0847108, DIVERSITY_MEAN_INTER_LIST: 0.9914413, DIVERSITY_HERFINDAHL: 0.9991266, COVERAGE_ITEM: 0.4293051, COVERAGE_ITEM_CORRECT: 0.0549605, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2159054, DIVERSITY_GINI: 0.1369530, SHANNON_ENTROPY: 11.7119338, 
SearchBayesianSkopt-CV: Config 5 is suboptimal. Config: {'a': 0.7229460084641889, 'b': 0.1903469066378864, 'c': 0.279199262038012, 'normalize': True} - results: ROC_AUC: 0.1488665, PRECISION: 0.0321581, PRECISION_RECALL_MIN_DEN: 0.1135012, RECALL: 0.1095953, MAP: 0.0497650, MRR: 0.1084488, NDCG: 0.0766917, F1: 0.0497231, HIT_RATE: 0.3215812, ARHR: 0.1246558, NOVELTY: 0.0048180, AVERAGE_POPULARITY: 0.0740942, DIVERSITY_MEAN_INTER_LIST: 0.9924468, DIVERSITY_HERFINDAHL: 0.9992271, COVERAGE_ITEM: 0.3607315, COVERAGE_ITEM_CORRECT: 0.0460982, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1714861, DIVERSITY_GINI: 0.1046486, SHANNON_ENTROPY: 11.4858289, 
SearchBayesianSkopt-CV: Config 6 is suboptimal. Config: {'a': 0.5530581559017611, 'b': 0.6220793250763169, 'c': 0.05391748071521553, 'normalize': True} - results: ROC_AUC: 0.1521147, PRECISION: 0.0321869, PRECISION_RECALL_MIN_DEN: 0.1163032, RECALL: 0.1131964, MAP: 0.0505638, MRR: 0.1086550, NDCG: 0.0787005, F1: 0.0501210, HIT_RATE: 0.3218693, ARHR: 0.1237825, NOVELTY: 0.0050408, AVERAGE_POPULARITY: 0.0483391, DIVERSITY_MEAN_INTER_LIST: 0.9963222, DIVERSITY_HERFINDAHL: 0.9996146, COVERAGE_ITEM: 0.5082502, COVERAGE_ITEM_CORRECT: 0.0521655, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1752611, DIVERSITY_GINI: 0.2010768, SHANNON_ENTROPY: 12.4996680, 

