
SearchBayesianSkopt-CV: New best config found. Config 0: {'a': 0.7642850414352251, 'b': 0.3781671450570825, 'c': 0.03244011645967638, 'normalize': False} - results: ROC_AUC: 0.1632228, PRECISION: 0.0345780, PRECISION_RECALL_MIN_DEN: 0.1251107, RECALL: 0.1216840, MAP: 0.0554425, MRR: 0.1172614, NDCG: 0.0852514, F1: 0.0538516, HIT_RATE: 0.3457796, ARHR: 0.1339264, NOVELTY: 0.0051123, AVERAGE_POPULARITY: 0.0442582, DIVERSITY_MEAN_INTER_LIST: 0.9968653, DIVERSITY_HERFINDAHL: 0.9996689, COVERAGE_ITEM: 0.5421213, COVERAGE_ITEM_CORRECT: 0.0548912, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1862086, DIVERSITY_GINI: 0.2323855, SHANNON_ENTROPY: 12.7346128, 

SearchBayesianSkopt-CV: New best config found. Config 1: {'a': 0.3573637571648874, 'b': 0.8295686529175585, 'c': 0.4147537029355476, 'normalize': False} - results: ROC_AUC: 0.1975616, PRECISION: 0.0429405, PRECISION_RECALL_MIN_DEN: 0.1537658, RECALL: 0.1492174, MAP: 0.0712932, MRR: 0.1468456, NDCG: 0.1067809, F1: 0.0666864, HIT_RATE: 0.4294050, ARHR: 0.1713490, NOVELTY: 0.0049363, AVERAGE_POPULARITY: 0.0886691, DIVERSITY_MEAN_INTER_LIST: 0.9900331, DIVERSITY_HERFINDAHL: 0.9989858, COVERAGE_ITEM: 0.4958152, COVERAGE_ITEM_CORRECT: 0.0561078, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2214924, DIVERSITY_GINI: 0.1793570, SHANNON_ENTROPY: 11.9956048, 
SearchBayesianSkopt-CV: Config 2 is suboptimal. Config: {'a': 0.15869328740703195, 'b': 0.5318217842767814, 'c': 0.10251512023685841, 'normalize': True} - results: ROC_AUC: 0.1454272, PRECISION: 0.0307907, PRECISION_RECALL_MIN_DEN: 0.1112812, RECALL: 0.1082402, MAP: 0.0484307, MRR: 0.1026493, NDCG: 0.0751141, F1: 0.0479403, HIT_RATE: 0.3079065, ARHR: 0.1165058, NOVELTY: 0.0051795, AVERAGE_POPULARITY: 0.0344474, DIVERSITY_MEAN_INTER_LIST: 0.9974792, DIVERSITY_HERFINDAHL: 0.9997303, COVERAGE_ITEM: 0.5651511, COVERAGE_ITEM_CORRECT: 0.0521886, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1689443, DIVERSITY_GINI: 0.2578222, SHANNON_ENTROPY: 12.9326882, 
SearchBayesianSkopt-CV: Config 3 is suboptimal. Config: {'a': 0.18719506446781822, 'b': 0.94648302905499, 'c': 0.6680785430470091, 'normalize': True} - results: ROC_AUC: 0.1706411, PRECISION: 0.0370385, PRECISION_RECALL_MIN_DEN: 0.1328315, RECALL: 0.1289105, MAP: 0.0596830, MRR: 0.1244008, NDCG: 0.0907857, F1: 0.0575414, HIT_RATE: 0.3703853, ARHR: 0.1440442, NOVELTY: 0.0051061, AVERAGE_POPULARITY: 0.0515950, DIVERSITY_MEAN_INTER_LIST: 0.9962581, DIVERSITY_HERFINDAHL: 0.9996082, COVERAGE_ITEM: 0.5504678, COVERAGE_ITEM_CORRECT: 0.0557228, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1945640, DIVERSITY_GINI: 0.2379624, SHANNON_ENTROPY: 12.7178073, 
SearchBayesianSkopt-CV: Config 4 is suboptimal. Config: {'a': 0.5148068280924584, 'b': 0.053464855901512856, 'c': 0.3016767795782754, 'normalize': False} - results: ROC_AUC: 0.1796369, PRECISION: 0.0379069, PRECISION_RECALL_MIN_DEN: 0.1336240, RECALL: 0.1294694, MAP: 0.0628306, MRR: 0.1336759, NDCG: 0.0943234, F1: 0.0586414, HIT_RATE: 0.3790687, ARHR: 0.1542641, NOVELTY: 0.0047553, AVERAGE_POPULARITY: 0.1163589, DIVERSITY_MEAN_INTER_LIST: 0.9828365, DIVERSITY_HERFINDAHL: 0.9982663, COVERAGE_ITEM: 0.4128893, COVERAGE_ITEM_CORRECT: 0.0424716, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1991443, DIVERSITY_GINI: 0.1190910, SHANNON_ENTROPY: 11.1930853, 
SearchBayesianSkopt-CV: Config 5 is suboptimal. Config: {'a': 0.7229460084641889, 'b': 0.1903469066378864, 'c': 0.279199262038012, 'normalize': True} - results: ROC_AUC: 0.1507737, PRECISION: 0.0325215, PRECISION_RECALL_MIN_DEN: 0.1150987, RECALL: 0.1110643, MAP: 0.0505581, MRR: 0.1093251, NDCG: 0.0777221, F1: 0.0503096, HIT_RATE: 0.3252153, ARHR: 0.1259034, NOVELTY: 0.0047962, AVERAGE_POPULARITY: 0.0801336, DIVERSITY_MEAN_INTER_LIST: 0.9916383, DIVERSITY_HERFINDAHL: 0.9991463, COVERAGE_ITEM: 0.3419057, COVERAGE_ITEM_CORRECT: 0.0450356, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1727444, DIVERSITY_GINI: 0.0950075, SHANNON_ENTROPY: 11.3404631, 
SearchBayesianSkopt-CV: Config 6 is suboptimal. Config: {'a': 0.5530581559017611, 'b': 0.6220793250763169, 'c': 0.05391748071521553, 'normalize': True} - results: ROC_AUC: 0.1528222, PRECISION: 0.0323601, PRECISION_RECALL_MIN_DEN: 0.1171994, RECALL: 0.1140926, MAP: 0.0508621, MRR: 0.1093132, NDCG: 0.0792130, F1: 0.0504189, HIT_RATE: 0.3236013, ARHR: 0.1245231, NOVELTY: 0.0050366, AVERAGE_POPULARITY: 0.0491281, DIVERSITY_MEAN_INTER_LIST: 0.9962500, DIVERSITY_HERFINDAHL: 0.9996074, COVERAGE_ITEM: 0.5058017, COVERAGE_ITEM_CORRECT: 0.0522425, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1763433, DIVERSITY_GINI: 0.1989027, SHANNON_ENTROPY: 12.4800573, 
SearchBayesianSkopt-CV: Config 7 is suboptimal. Config: {'a': 0.4347133268206309, 'b': 0.04173374201835945, 'c': 0.5341200647862722, 'normalize': False} - results: ROC_AUC: 0.1773103, PRECISION: 0.0373734, PRECISION_RECALL_MIN_DEN: 0.1318678, RECALL: 0.1278147, MAP: 0.0620137, MRR: 0.1318334, NDCG: 0.0930887, F1: 0.0578340, HIT_RATE: 0.3737345, ARHR: 0.1520094, NOVELTY: 0.0047629, AVERAGE_POPULARITY: 0.1186581, DIVERSITY_MEAN_INTER_LIST: 0.9816577, DIVERSITY_HERFINDAHL: 0.9981484, COVERAGE_ITEM: 0.4284042, COVERAGE_ITEM_CORRECT: 0.0414321, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1970303, DIVERSITY_GINI: 0.1262538, SHANNON_ENTROPY: 11.2135752, 
SearchBayesianSkopt-CV: Config 8 is suboptimal. Config: {'a': 0.5446984003945655, 'b': 0.8853041970163904, 'c': 0.3088141769756458, 'normalize': False} - results: ROC_AUC: 0.1927197, PRECISION: 0.0421665, PRECISION_RECALL_MIN_DEN: 0.1510586, RECALL: 0.1465162, MAP: 0.0697503, MRR: 0.1433216, NDCG: 0.1045458, F1: 0.0654856, HIT_RATE: 0.4216652, ARHR: 0.1673966, NOVELTY: 0.0049944, AVERAGE_POPULARITY: 0.0756332, DIVERSITY_MEAN_INTER_LIST: 0.9927521, DIVERSITY_HERFINDAHL: 0.9992577, COVERAGE_ITEM: 0.5174360, COVERAGE_ITEM_CORRECT: 0.0574398, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2168869, DIVERSITY_GINI: 0.2005010, SHANNON_ENTROPY: 12.2733744, 
SearchBayesianSkopt-CV: Config 9 is suboptimal. Config: {'a': 0.1131508014582984, 'b': 0.2985694025115306, 'c': 0.3248900134453407, 'normalize': False} - results: ROC_AUC: 0.1920989, PRECISION: 0.0418094, PRECISION_RECALL_MIN_DEN: 0.1474262, RECALL: 0.1428972, MAP: 0.0691165, MRR: 0.1436033, NDCG: 0.1034121, F1: 0.0646903, HIT_RATE: 0.4180937, ARHR: 0.1672249, NOVELTY: 0.0048367, AVERAGE_POPULARITY: 0.1080896, DIVERSITY_MEAN_INTER_LIST: 0.9848831, DIVERSITY_HERFINDAHL: 0.9984709, COVERAGE_ITEM: 0.4557767, COVERAGE_ITEM_CORRECT: 0.0508258, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2151000, DIVERSITY_GINI: 0.1467365, SHANNON_ENTROPY: 11.5247354, 
