
SearchBayesianSkopt-CV: New best config found. Config 0: {'a': 0.7642850414352251, 'b': 0.3781671450570825, 'c': 0.03244011645967638, 'normalize': False} - results: ROC_AUC: 0.1492158, PRECISION: 0.0313734, PRECISION_RECALL_MIN_DEN: 0.1150638, RECALL: 0.1121911, MAP: 0.0500034, MRR: 0.1053084, NDCG: 0.0776491, F1: 0.0490326, HIT_RATE: 0.3137340, ARHR: 0.1193225, NOVELTY: 0.0051443, AVERAGE_POPULARITY: 0.0382330, DIVERSITY_MEAN_INTER_LIST: 0.9972592, DIVERSITY_HERFINDAHL: 0.9997083, COVERAGE_ITEM: 0.5529856, COVERAGE_ITEM_CORRECT: 0.0524504, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1725179, DIVERSITY_GINI: 0.2447393, SHANNON_ENTROPY: 12.8413028, 

SearchBayesianSkopt-CV: New best config found. Config 1: {'a': 0.3573637571648874, 'b': 0.8295686529175585, 'c': 0.4147537029355476, 'normalize': False} - results: ROC_AUC: 0.1670863, PRECISION: 0.0348684, PRECISION_RECALL_MIN_DEN: 0.1298420, RECALL: 0.1265488, MAP: 0.0586289, MRR: 0.1201826, NDCG: 0.0889581, F1: 0.0546714, HIT_RATE: 0.3486841, ARHR: 0.1368761, NOVELTY: 0.0050929, AVERAGE_POPULARITY: 0.0519624, DIVERSITY_MEAN_INTER_LIST: 0.9960613, DIVERSITY_HERFINDAHL: 0.9995885, COVERAGE_ITEM: 0.5494976, COVERAGE_ITEM_CORRECT: 0.0530048, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1892790, DIVERSITY_GINI: 0.2380263, SHANNON_ENTROPY: 12.7040469, 
SearchBayesianSkopt-CV: Config 2 is suboptimal. Config: {'a': 0.15869328740703195, 'b': 0.5318217842767814, 'c': 0.10251512023685841, 'normalize': True} - results: ROC_AUC: 0.1415363, PRECISION: 0.0299174, PRECISION_RECALL_MIN_DEN: 0.1094815, RECALL: 0.1066550, MAP: 0.0473303, MRR: 0.0993762, NDCG: 0.0735474, F1: 0.0467253, HIT_RATE: 0.2991744, ARHR: 0.1124742, NOVELTY: 0.0051804, AVERAGE_POPULARITY: 0.0342044, DIVERSITY_MEAN_INTER_LIST: 0.9975169, DIVERSITY_HERFINDAHL: 0.9997341, COVERAGE_ITEM: 0.5661598, COVERAGE_ITEM_CORRECT: 0.0513417, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1654712, DIVERSITY_GINI: 0.2592310, SHANNON_ENTROPY: 12.9437069, 
SearchBayesianSkopt-CV: Config 3 is suboptimal. Config: {'a': 0.18719506446781822, 'b': 0.94648302905499, 'c': 0.6680785430470091, 'normalize': True} - results: ROC_AUC: 0.1576384, PRECISION: 0.0332141, PRECISION_RECALL_MIN_DEN: 0.1231860, RECALL: 0.1200649, MAP: 0.0545278, MRR: 0.1126402, NDCG: 0.0835216, F1: 0.0520322, HIT_RATE: 0.3321411, ARHR: 0.1280801, NOVELTY: 0.0051259, AVERAGE_POPULARITY: 0.0450693, DIVERSITY_MEAN_INTER_LIST: 0.9968226, DIVERSITY_HERFINDAHL: 0.9996646, COVERAGE_ITEM: 0.5566660, COVERAGE_ITEM_CORRECT: 0.0528585, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1813263, DIVERSITY_GINI: 0.2464514, SHANNON_ENTROPY: 12.8094745, 

SearchBayesianSkopt-CV: New best config found. Config 4: {'a': 0.5148068280924584, 'b': 0.053464855901512856, 'c': 0.3016767795782754, 'normalize': False} - results: ROC_AUC: 0.1763171, PRECISION: 0.0379293, PRECISION_RECALL_MIN_DEN: 0.1325470, RECALL: 0.1281439, MAP: 0.0622279, MRR: 0.1316192, NDCG: 0.0931765, F1: 0.0585301, HIT_RATE: 0.3792930, ARHR: 0.1528682, NOVELTY: 0.0047595, AVERAGE_POPULARITY: 0.1008440, DIVERSITY_MEAN_INTER_LIST: 0.9880952, DIVERSITY_HERFINDAHL: 0.9987921, COVERAGE_ITEM: 0.3625794, COVERAGE_ITEM_CORRECT: 0.0459827, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1962250, DIVERSITY_GINI: 0.1005628, SHANNON_ENTROPY: 11.2309782, 
SearchBayesianSkopt-CV: Config 5 is suboptimal. Config: {'a': 0.7229460084641889, 'b': 0.1903469066378864, 'c': 0.279199262038012, 'normalize': True} - results: ROC_AUC: 0.1448442, PRECISION: 0.0307768, PRECISION_RECALL_MIN_DEN: 0.1102800, RECALL: 0.1067628, MAP: 0.0481123, MRR: 0.1048640, NDCG: 0.0744628, F1: 0.0477788, HIT_RATE: 0.3077682, ARHR: 0.1194546, NOVELTY: 0.0048006, AVERAGE_POPULARITY: 0.0781473, DIVERSITY_MEAN_INTER_LIST: 0.9918897, DIVERSITY_HERFINDAHL: 0.9991714, COVERAGE_ITEM: 0.3483272, COVERAGE_ITEM_CORRECT: 0.0440192, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1665534, DIVERSITY_GINI: 0.0981321, SHANNON_ENTROPY: 11.3883747, 
SearchBayesianSkopt-CV: Config 6 is suboptimal. Config: {'a': 0.5530581559017611, 'b': 0.6220793250763169, 'c': 0.05391748071521553, 'normalize': True} - results: ROC_AUC: 0.1519666, PRECISION: 0.0321304, PRECISION_RECALL_MIN_DEN: 0.1166691, RECALL: 0.1136029, MAP: 0.0506835, MRR: 0.1087247, NDCG: 0.0788911, F1: 0.0500916, HIT_RATE: 0.3213036, ARHR: 0.1236848, NOVELTY: 0.0050370, AVERAGE_POPULARITY: 0.0490797, DIVERSITY_MEAN_INTER_LIST: 0.9962813, DIVERSITY_HERFINDAHL: 0.9996105, COVERAGE_ITEM: 0.5066641, COVERAGE_ITEM_CORRECT: 0.0520038, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1753618, DIVERSITY_GINI: 0.1998155, SHANNON_ENTROPY: 12.4887005, 
SearchBayesianSkopt-CV: Config 7 is suboptimal. Config: {'a': 0.4347133268206309, 'b': 0.04173374201835945, 'c': 0.5341200647862722, 'normalize': False} - results: ROC_AUC: 0.1755023, PRECISION: 0.0370628, PRECISION_RECALL_MIN_DEN: 0.1301123, RECALL: 0.1258915, MAP: 0.0610613, MRR: 0.1300447, NDCG: 0.0916383, F1: 0.0572636, HIT_RATE: 0.3706281, ARHR: 0.1501392, NOVELTY: 0.0047439, AVERAGE_POPULARITY: 0.1071537, DIVERSITY_MEAN_INTER_LIST: 0.9864024, DIVERSITY_HERFINDAHL: 0.9986228, COVERAGE_ITEM: 0.3654206, COVERAGE_ITEM_CORRECT: 0.0429336, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1944382, DIVERSITY_GINI: 0.1008371, SHANNON_ENTROPY: 11.1665174, 
SearchBayesianSkopt-CV: Config 8 is suboptimal. Config: {'a': 0.5446984003945655, 'b': 0.8853041970163904, 'c': 0.3088141769756458, 'normalize': False} - results: ROC_AUC: 0.1586235, PRECISION: 0.0329320, PRECISION_RECALL_MIN_DEN: 0.1229569, RECALL: 0.1198571, MAP: 0.0551865, MRR: 0.1131523, NDCG: 0.0839413, F1: 0.0516660, HIT_RATE: 0.3293203, ARHR: 0.1282543, NOVELTY: 0.0051321, AVERAGE_POPULARITY: 0.0449793, DIVERSITY_MEAN_INTER_LIST: 0.9967325, DIVERSITY_HERFINDAHL: 0.9996556, COVERAGE_ITEM: 0.5595226, COVERAGE_ITEM_CORRECT: 0.0519654, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1808733, DIVERSITY_GINI: 0.2493035, SHANNON_ENTROPY: 12.8185924, 
