
SearchBayesianSkopt-CV: New best config found. Config 0: {'a': 0.2402083311066015, 'b': 0.39231489722851487, 'c': 0.19322076285125317, 'normalize': True} - results: ROC_AUC: 0.1787862, PRECISION: 0.0379430, PRECISION_RECALL_MIN_DEN: 0.1322809, RECALL: 0.1281087, MAP: 0.0623719, MRR: 0.1336199, NDCG: 0.0936920, F1: 0.0585442, HIT_RATE: 0.3794298, ARHR: 0.1542665, NOVELTY: 0.0047927, AVERAGE_POPULARITY: 0.1111606, DIVERSITY_MEAN_INTER_LIST: 0.9845861, DIVERSITY_HERFINDAHL: 0.9984412, COVERAGE_ITEM: 0.4333167, COVERAGE_ITEM_CORRECT: 0.0429182, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1994212, DIVERSITY_GINI: 0.1327196, SHANNON_ENTROPY: 11.3881486, 
SearchBayesianSkopt-CV: Config 1 is suboptimal. Config: {'a': 0.6260947676657251, 'b': 0.8163287494432733, 'c': 0.6583835716132438, 'normalize': False} - results: ROC_AUC: 0.1751881, PRECISION: 0.0369643, PRECISION_RECALL_MIN_DEN: 0.1286713, RECALL: 0.1246420, MAP: 0.0604442, MRR: 0.1300514, NDCG: 0.0910617, F1: 0.0570173, HIT_RATE: 0.3696433, ARHR: 0.1501224, NOVELTY: 0.0047946, AVERAGE_POPULARITY: 0.1157117, DIVERSITY_MEAN_INTER_LIST: 0.9823576, DIVERSITY_HERFINDAHL: 0.9982184, COVERAGE_ITEM: 0.4503484, COVERAGE_ITEM_CORRECT: 0.0411473, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1945137, DIVERSITY_GINI: 0.1385189, SHANNON_ENTROPY: 11.3371980, 
SearchBayesianSkopt-CV: Config 2 is suboptimal. Config: {'a': 0.9953856593904037, 'b': 0.8242464768057526, 'c': 0.27096301034656506, 'normalize': True} - results: ROC_AUC: 0.1774495, PRECISION: 0.0374975, PRECISION_RECALL_MIN_DEN: 0.1306075, RECALL: 0.1265277, MAP: 0.0616749, MRR: 0.1322506, NDCG: 0.0926565, F1: 0.0578479, HIT_RATE: 0.3749746, ARHR: 0.1525747, NOVELTY: 0.0047901, AVERAGE_POPULARITY: 0.1135595, DIVERSITY_MEAN_INTER_LIST: 0.9835082, DIVERSITY_HERFINDAHL: 0.9983334, COVERAGE_ITEM: 0.4391453, COVERAGE_ITEM_CORRECT: 0.0419865, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1975588, DIVERSITY_GINI: 0.1342777, SHANNON_ENTROPY: 11.3538414, 
SearchBayesianSkopt-CV: Config 3 is suboptimal. Config: {'a': 0.8490806214717617, 'b': 0.22519798480808623, 'c': 0.5961181908448233, 'normalize': False} - results: ROC_AUC: 0.1743243, PRECISION: 0.0368436, PRECISION_RECALL_MIN_DEN: 0.1287013, RECALL: 0.1246684, MAP: 0.0602542, MRR: 0.1292059, NDCG: 0.0908260, F1: 0.0568764, HIT_RATE: 0.3684363, ARHR: 0.1491707, NOVELTY: 0.0047809, AVERAGE_POPULARITY: 0.1185272, DIVERSITY_MEAN_INTER_LIST: 0.9813474, DIVERSITY_HERFINDAHL: 0.9981174, COVERAGE_ITEM: 0.4471684, COVERAGE_ITEM_CORRECT: 0.0407084, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1940858, DIVERSITY_GINI: 0.1355929, SHANNON_ENTROPY: 11.2763215, 
SearchBayesianSkopt-CV: Config 4 is suboptimal. Config: {'a': 0.832571339270521, 'b': 0.8653273721642215, 'c': 0.7506134926755891, 'normalize': False} - results: ROC_AUC: 0.1749057, PRECISION: 0.0369394, PRECISION_RECALL_MIN_DEN: 0.1285193, RECALL: 0.1244892, MAP: 0.0603435, MRR: 0.1297900, NDCG: 0.0909319, F1: 0.0569717, HIT_RATE: 0.3693943, ARHR: 0.1498743, NOVELTY: 0.0047926, AVERAGE_POPULARITY: 0.1161605, DIVERSITY_MEAN_INTER_LIST: 0.9821927, DIVERSITY_HERFINDAHL: 0.9982019, COVERAGE_ITEM: 0.4501790, COVERAGE_ITEM_CORRECT: 0.0410164, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1942368, DIVERSITY_GINI: 0.1381344, SHANNON_ENTROPY: 11.3276039, 
SearchBayesianSkopt-CV: Config 5 is suboptimal. Config: {'a': 0.11340363717192684, 'b': 0.07221362174970904, 'c': 0.7644867129062151, 'normalize': False} - results: ROC_AUC: 0.1770331, PRECISION: 0.0373952, PRECISION_RECALL_MIN_DEN: 0.1307407, RECALL: 0.1266848, MAP: 0.0615902, MRR: 0.1320862, NDCG: 0.0925876, F1: 0.0577424, HIT_RATE: 0.3739517, ARHR: 0.1523257, NOVELTY: 0.0047856, AVERAGE_POPULARITY: 0.1147001, DIVERSITY_MEAN_INTER_LIST: 0.9830980, DIVERSITY_HERFINDAHL: 0.9982924, COVERAGE_ITEM: 0.4388835, COVERAGE_ITEM_CORRECT: 0.0417247, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1971562, DIVERSITY_GINI: 0.1335451, SHANNON_ENTROPY: 11.3308166, 
SearchBayesianSkopt-CV: Config 6 is suboptimal. Config: {'a': 0.9801472537312181, 'b': 0.3865104888076023, 'c': 0.4157385942815598, 'normalize': True} - results: ROC_AUC: 0.1784078, PRECISION: 0.0377909, PRECISION_RECALL_MIN_DEN: 0.1322186, RECALL: 0.1280752, MAP: 0.0621633, MRR: 0.1329869, NDCG: 0.0934392, F1: 0.0583598, HIT_RATE: 0.3779087, ARHR: 0.1534646, NOVELTY: 0.0047865, AVERAGE_POPULARITY: 0.1126003, DIVERSITY_MEAN_INTER_LIST: 0.9841324, DIVERSITY_HERFINDAHL: 0.9983959, COVERAGE_ITEM: 0.4323465, COVERAGE_ITEM_CORRECT: 0.0424947, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1989430, DIVERSITY_GINI: 0.1314349, SHANNON_ENTROPY: 11.3582703, 
SearchBayesianSkopt-CV: Config 7 is suboptimal. Config: {'a': 0.022256007292573158, 'b': 0.425606523197265, 'c': 0.47842847470210215, 'normalize': False} - results: ROC_AUC: 0.1764624, PRECISION: 0.0374906, PRECISION_RECALL_MIN_DEN: 0.1304695, RECALL: 0.1263550, MAP: 0.0611065, MRR: 0.1314115, NDCG: 0.0921218, F1: 0.0578225, HIT_RATE: 0.3749064, ARHR: 0.1518142, NOVELTY: 0.0048000, AVERAGE_POPULARITY: 0.1125556, DIVERSITY_MEAN_INTER_LIST: 0.9836430, DIVERSITY_HERFINDAHL: 0.9983469, COVERAGE_ITEM: 0.4424716, COVERAGE_ITEM_CORRECT: 0.0420712, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1967535, DIVERSITY_GINI: 0.1374066, SHANNON_ENTROPY: 11.3887268, 
SearchBayesianSkopt-CV: Config 8 is suboptimal. Config: {'a': 0.2901802313422713, 'b': 0.4392120921456557, 'c': 0.16625489563936016, 'normalize': False} - results: ROC_AUC: 0.1748274, PRECISION: 0.0369042, PRECISION_RECALL_MIN_DEN: 0.1281894, RECALL: 0.1241756, MAP: 0.0602046, MRR: 0.1296438, NDCG: 0.0907501, F1: 0.0568969, HIT_RATE: 0.3690416, ARHR: 0.1497224, NOVELTY: 0.0047971, AVERAGE_POPULARITY: 0.1155305, DIVERSITY_MEAN_INTER_LIST: 0.9823833, DIVERSITY_HERFINDAHL: 0.9982210, COVERAGE_ITEM: 0.4519038, COVERAGE_ITEM_CORRECT: 0.0410395, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1940355, DIVERSITY_GINI: 0.1393139, SHANNON_ENTROPY: 11.3437146, 
SearchBayesianSkopt-CV: Config 9 is suboptimal. Config: {'a': 0.5683111940284784, 'b': 0.7001538331023999, 'c': 0.15382612588769043, 'normalize': True} - results: ROC_AUC: 0.1773911, PRECISION: 0.0375012, PRECISION_RECALL_MIN_DEN: 0.1307056, RECALL: 0.1266237, MAP: 0.0616748, MRR: 0.1323095, NDCG: 0.0926715, F1: 0.0578629, HIT_RATE: 0.3750125, ARHR: 0.1526823, NOVELTY: 0.0047926, AVERAGE_POPULARITY: 0.1134378, DIVERSITY_MEAN_INTER_LIST: 0.9835055, DIVERSITY_HERFINDAHL: 0.9983332, COVERAGE_ITEM: 0.4407315, COVERAGE_ITEM_CORRECT: 0.0419557, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1972820, DIVERSITY_GINI: 0.1352321, SHANNON_ENTROPY: 11.3616158, 
SearchBayesianSkopt-CV: Config 10 is suboptimal. Config: {'a': 0.10069452704624818, 'b': 0.32752587360924085, 'c': 0.24724692065505866, 'normalize': False} - results: ROC_AUC: 0.1757376, PRECISION: 0.0372078, PRECISION_RECALL_MIN_DEN: 0.1293738, RECALL: 0.1253120, MAP: 0.0607885, MRR: 0.1307401, NDCG: 0.0915785, F1: 0.0573772, HIT_RATE: 0.3720785, ARHR: 0.1509489, NOVELTY: 0.0048009, AVERAGE_POPULARITY: 0.1140308, DIVERSITY_MEAN_INTER_LIST: 0.9829911, DIVERSITY_HERFINDAHL: 0.9982817, COVERAGE_ITEM: 0.4498864, COVERAGE_ITEM_CORRECT: 0.0415630, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1954952, DIVERSITY_GINI: 0.1394354, SHANNON_ENTROPY: 11.3710281, 
