
SearchBayesianSkopt-CV: New best config found. Config 0: {'a': 0.09735591577502803, 'b': 0.7598040810517013, 'c': 0.9256075301479226, 'normalize': True} - results: ROC_AUC: 0.1666119, PRECISION: 0.0352711, PRECISION_RECALL_MIN_DEN: 0.1203552, RECALL: 0.1164361, MAP: 0.0567664, MRR: 0.1236716, NDCG: 0.0857295, F1: 0.0541399, HIT_RATE: 0.3527110, ARHR: 0.1427219, NOVELTY: 0.0048371, AVERAGE_POPULARITY: 0.1148520, DIVERSITY_MEAN_INTER_LIST: 0.9825960, DIVERSITY_HERFINDAHL: 0.9982422, COVERAGE_ITEM: 0.4474148, COVERAGE_ITEM_CORRECT: 0.0380751, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1854285, DIVERSITY_GINI: 0.1439629, SHANNON_ENTROPY: 11.4368851, 

SearchBayesianSkopt-CV: New best config found. Config 1: {'a': 0.24087188903472329, 'b': 0.42770928901391325, 'c': 0.13654462212342625, 'normalize': True} - results: ROC_AUC: 0.1715181, PRECISION: 0.0362749, PRECISION_RECALL_MIN_DEN: 0.1245638, RECALL: 0.1205411, MAP: 0.0584345, MRR: 0.1274580, NDCG: 0.0883767, F1: 0.0557664, HIT_RATE: 0.3627495, ARHR: 0.1470938, NOVELTY: 0.0048103, AVERAGE_POPULARITY: 0.1156991, DIVERSITY_MEAN_INTER_LIST: 0.9823372, DIVERSITY_HERFINDAHL: 0.9982164, COVERAGE_ITEM: 0.4427950, COVERAGE_ITEM_CORRECT: 0.0396843, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1903108, DIVERSITY_GINI: 0.1374811, SHANNON_ENTROPY: 11.3512159, 
SearchBayesianSkopt-CV: Config 2 is suboptimal. Config: {'a': 0.29131768919081885, 'b': 0.5873065304960701, 'c': 0.9118399926517474, 'normalize': True} - results: ROC_AUC: 0.1665826, PRECISION: 0.0352426, PRECISION_RECALL_MIN_DEN: 0.1203513, RECALL: 0.1164532, MAP: 0.0568128, MRR: 0.1235665, NDCG: 0.0857450, F1: 0.0541084, HIT_RATE: 0.3524262, ARHR: 0.1426433, NOVELTY: 0.0048339, AVERAGE_POPULARITY: 0.1155316, DIVERSITY_MEAN_INTER_LIST: 0.9823606, DIVERSITY_HERFINDAHL: 0.9982187, COVERAGE_ITEM: 0.4465987, COVERAGE_ITEM_CORRECT: 0.0379596, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1853530, DIVERSITY_GINI: 0.1433173, SHANNON_ENTROPY: 11.4236657, 

SearchBayesianSkopt-CV: New best config found. Config 3: {'a': 0.543386898504963, 'b': 0.7342976604662068, 'c': 0.841096169323537, 'normalize': False} - results: ROC_AUC: 0.1724428, PRECISION: 0.0364869, PRECISION_RECALL_MIN_DEN: 0.1259049, RECALL: 0.1218979, MAP: 0.0588036, MRR: 0.1277106, NDCG: 0.0890017, F1: 0.0561619, HIT_RATE: 0.3648686, ARHR: 0.1475217, NOVELTY: 0.0047997, AVERAGE_POPULARITY: 0.1161381, DIVERSITY_MEAN_INTER_LIST: 0.9821406, DIVERSITY_HERFINDAHL: 0.9981967, COVERAGE_ITEM: 0.4387834, COVERAGE_ITEM_CORRECT: 0.0401848, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1916698, DIVERSITY_GINI: 0.1340117, SHANNON_ENTROPY: 11.3087335, 

SearchBayesianSkopt-CV: New best config found. Config 4: {'a': 0.9002656237960389, 'b': 0.6604377108324274, 'c': 0.15893914283313973, 'normalize': False} - results: ROC_AUC: 0.1720638, PRECISION: 0.0364267, PRECISION_RECALL_MIN_DEN: 0.1256706, RECALL: 0.1216449, MAP: 0.0588107, MRR: 0.1275832, NDCG: 0.0889239, F1: 0.0560639, HIT_RATE: 0.3642667, ARHR: 0.1473481, NOVELTY: 0.0047934, AVERAGE_POPULARITY: 0.1172581, DIVERSITY_MEAN_INTER_LIST: 0.9817160, DIVERSITY_HERFINDAHL: 0.9981543, COVERAGE_ITEM: 0.4375438, COVERAGE_ITEM_CORRECT: 0.0399076, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1914181, DIVERSITY_GINI: 0.1326297, SHANNON_ENTROPY: 11.2802224, 

SearchBayesianSkopt-CV: New best config found. Config 5: {'a': 0.0496436964031768, 'b': 0.7352032642709245, 'c': 0.72103645775687, 'normalize': False} - results: ROC_AUC: 0.1727486, PRECISION: 0.0367305, PRECISION_RECALL_MIN_DEN: 0.1261795, RECALL: 0.1221030, MAP: 0.0589675, MRR: 0.1281074, NDCG: 0.0892215, F1: 0.0564722, HIT_RATE: 0.3673049, ARHR: 0.1481370, NOVELTY: 0.0048137, AVERAGE_POPULARITY: 0.1134004, DIVERSITY_MEAN_INTER_LIST: 0.9831466, DIVERSITY_HERFINDAHL: 0.9982973, COVERAGE_ITEM: 0.4424023, COVERAGE_ITEM_CORRECT: 0.0405390, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1922486, DIVERSITY_GINI: 0.1371735, SHANNON_ENTROPY: 11.3727034, 
SearchBayesianSkopt-CV: Config 6 is suboptimal. Config: {'a': 0.24491463745393566, 'b': 0.8238499688341738, 'c': 0.3267937743195019, 'normalize': False} - results: ROC_AUC: 0.1729582, PRECISION: 0.0365645, PRECISION_RECALL_MIN_DEN: 0.1257493, RECALL: 0.1217001, MAP: 0.0589086, MRR: 0.1280387, NDCG: 0.0890818, F1: 0.0562330, HIT_RATE: 0.3656446, ARHR: 0.1479609, NOVELTY: 0.0048080, AVERAGE_POPULARITY: 0.1144413, DIVERSITY_MEAN_INTER_LIST: 0.9827503, DIVERSITY_HERFINDAHL: 0.9982577, COVERAGE_ITEM: 0.4413782, COVERAGE_ITEM_CORRECT: 0.0403080, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1916446, DIVERSITY_GINI: 0.1359536, SHANNON_ENTROPY: 11.3463385, 
