
SearchBayesianSkopt-CV: New best config found. Config 0: {'a': 0.09735591577502803, 'b': 0.7598040810517013, 'c': 0.9256075301479226, 'normalize': True} - results: ROC_AUC: 0.1794134, PRECISION: 0.0382975, PRECISION_RECALL_MIN_DEN: 0.1339907, RECALL: 0.1298285, MAP: 0.0630319, MRR: 0.1340481, NDCG: 0.0946688, F1: 0.0591454, HIT_RATE: 0.3829752, ARHR: 0.1547078, NOVELTY: 0.0047987, AVERAGE_POPULARITY: 0.1110889, DIVERSITY_MEAN_INTER_LIST: 0.9850377, DIVERSITY_HERFINDAHL: 0.9984864, COVERAGE_ITEM: 0.4337863, COVERAGE_ITEM_CORRECT: 0.0438884, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2007802, DIVERSITY_GINI: 0.1353689, SHANNON_ENTROPY: 11.4466037, 
SearchBayesianSkopt-CV: Config 1 is suboptimal. Config: {'a': 0.24087188903472329, 'b': 0.42770928901391325, 'c': 0.13654462212342625, 'normalize': True} - results: ROC_AUC: 0.1721181, PRECISION: 0.0364203, PRECISION_RECALL_MIN_DEN: 0.1266789, RECALL: 0.1227535, MAP: 0.0597439, MRR: 0.1281648, NDCG: 0.0898942, F1: 0.0561716, HIT_RATE: 0.3642025, ARHR: 0.1478256, NOVELTY: 0.0048119, AVERAGE_POPULARITY: 0.1155641, DIVERSITY_MEAN_INTER_LIST: 0.9828815, DIVERSITY_HERFINDAHL: 0.9982708, COVERAGE_ITEM: 0.4450279, COVERAGE_ITEM_CORRECT: 0.0401540, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1919466, DIVERSITY_GINI: 0.1417818, SHANNON_ENTROPY: 11.4236941, 

SearchBayesianSkopt-CV: New best config found. Config 2: {'a': 0.29131768919081885, 'b': 0.5873065304960701, 'c': 0.9118399926517474, 'normalize': True} - results: ROC_AUC: 0.1802258, PRECISION: 0.0383292, PRECISION_RECALL_MIN_DEN: 0.1344988, RECALL: 0.1303449, MAP: 0.0631967, MRR: 0.1344266, NDCG: 0.0949034, F1: 0.0592375, HIT_RATE: 0.3832917, ARHR: 0.1551374, NOVELTY: 0.0047949, AVERAGE_POPULARITY: 0.1109579, DIVERSITY_MEAN_INTER_LIST: 0.9851131, DIVERSITY_HERFINDAHL: 0.9984939, COVERAGE_ITEM: 0.4312916, COVERAGE_ITEM_CORRECT: 0.0438268, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2009563, DIVERSITY_GINI: 0.1336502, SHANNON_ENTROPY: 11.4326364, 
SearchBayesianSkopt-CV: Config 3 is suboptimal. Config: {'a': 0.543386898504963, 'b': 0.7342976604662068, 'c': 0.841096169323537, 'normalize': False} - results: ROC_AUC: 0.1749232, PRECISION: 0.0368933, PRECISION_RECALL_MIN_DEN: 0.1289459, RECALL: 0.1249199, MAP: 0.0605095, MRR: 0.1299291, NDCG: 0.0911388, F1: 0.0569615, HIT_RATE: 0.3689332, ARHR: 0.1498549, NOVELTY: 0.0047744, AVERAGE_POPULARITY: 0.1196297, DIVERSITY_MEAN_INTER_LIST: 0.9810824, DIVERSITY_HERFINDAHL: 0.9980909, COVERAGE_ITEM: 0.4432955, COVERAGE_ITEM_CORRECT: 0.0407392, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1945892, DIVERSITY_GINI: 0.1336721, SHANNON_ENTROPY: 11.2560496, 
SearchBayesianSkopt-CV: Config 4 is suboptimal. Config: {'a': 0.9002656237960389, 'b': 0.6604377108324274, 'c': 0.15893914283313973, 'normalize': False} - results: ROC_AUC: 0.1733077, PRECISION: 0.0365437, PRECISION_RECALL_MIN_DEN: 0.1275491, RECALL: 0.1235557, MAP: 0.0596342, MRR: 0.1285462, NDCG: 0.0900257, F1: 0.0564026, HIT_RATE: 0.3654365, ARHR: 0.1482246, NOVELTY: 0.0047730, AVERAGE_POPULARITY: 0.1209131, DIVERSITY_MEAN_INTER_LIST: 0.9804419, DIVERSITY_HERFINDAHL: 0.9980269, COVERAGE_ITEM: 0.4464447, COVERAGE_ITEM_CORRECT: 0.0401078, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1929785, DIVERSITY_GINI: 0.1344387, SHANNON_ENTROPY: 11.2356899, 
SearchBayesianSkopt-CV: Config 5 is suboptimal. Config: {'a': 0.0496436964031768, 'b': 0.7352032642709245, 'c': 0.72103645775687, 'normalize': False} - results: ROC_AUC: 0.1773020, PRECISION: 0.0376675, PRECISION_RECALL_MIN_DEN: 0.1316847, RECALL: 0.1276210, MAP: 0.0620002, MRR: 0.1325931, NDCG: 0.0932249, F1: 0.0581653, HIT_RATE: 0.3766745, ARHR: 0.1529277, NOVELTY: 0.0047860, AVERAGE_POPULARITY: 0.1150887, DIVERSITY_MEAN_INTER_LIST: 0.9833416, DIVERSITY_HERFINDAHL: 0.9983168, COVERAGE_ITEM: 0.4363965, COVERAGE_ITEM_CORRECT: 0.0422252, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1981125, DIVERSITY_GINI: 0.1336283, SHANNON_ENTROPY: 11.3530116, 
SearchBayesianSkopt-CV: Config 6 is suboptimal. Config: {'a': 0.24491463745393566, 'b': 0.8238499688341738, 'c': 0.3267937743195019, 'normalize': False} - results: ROC_AUC: 0.1745932, PRECISION: 0.0367944, PRECISION_RECALL_MIN_DEN: 0.1284299, RECALL: 0.1244158, MAP: 0.0602323, MRR: 0.1294720, NDCG: 0.0907678, F1: 0.0567915, HIT_RATE: 0.3679443, ARHR: 0.1492969, NOVELTY: 0.0047765, AVERAGE_POPULARITY: 0.1199196, DIVERSITY_MEAN_INTER_LIST: 0.9809638, DIVERSITY_HERFINDAHL: 0.9980791, COVERAGE_ITEM: 0.4449740, COVERAGE_ITEM_CORRECT: 0.0405698, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1942872, DIVERSITY_GINI: 0.1347753, SHANNON_ENTROPY: 11.2626987, 
SearchBayesianSkopt-CV: Config 7 is suboptimal. Config: {'a': 0.920647097320486, 'b': 0.48598313973542406, 'c': 0.6867270937180993, 'normalize': False} - results: ROC_AUC: 0.1742561, PRECISION: 0.0366991, PRECISION_RECALL_MIN_DEN: 0.1282937, RECALL: 0.1242893, MAP: 0.0601623, MRR: 0.1291503, NDCG: 0.0906380, F1: 0.0566645, HIT_RATE: 0.3669908, ARHR: 0.1490099, NOVELTY: 0.0047731, AVERAGE_POPULARITY: 0.1203520, DIVERSITY_MEAN_INTER_LIST: 0.9807178, DIVERSITY_HERFINDAHL: 0.9980544, COVERAGE_ITEM: 0.4447584, COVERAGE_ITEM_CORRECT: 0.0404312, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1936077, DIVERSITY_GINI: 0.1338739, SHANNON_ENTROPY: 11.2420998, 
SearchBayesianSkopt-CV: Config 8 is suboptimal. Config: {'a': 0.3037332775725749, 'b': 0.988584104735041, 'c': 0.9800813954114933, 'normalize': True} - results: ROC_AUC: 0.1780685, PRECISION: 0.0379507, PRECISION_RECALL_MIN_DEN: 0.1325076, RECALL: 0.1283969, MAP: 0.0624056, MRR: 0.1328305, NDCG: 0.0937381, F1: 0.0585834, HIT_RATE: 0.3795069, ARHR: 0.1533748, NOVELTY: 0.0047997, AVERAGE_POPULARITY: 0.1121877, DIVERSITY_MEAN_INTER_LIST: 0.9845683, DIVERSITY_HERFINDAHL: 0.9984394, COVERAGE_ITEM: 0.4356728, COVERAGE_ITEM_CORRECT: 0.0430953, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1989682, DIVERSITY_GINI: 0.1362005, SHANNON_ENTROPY: 11.4348140, 
SearchBayesianSkopt-CV: Config 9 is suboptimal. Config: {'a': 0.3769748018378213, 'b': 0.7193282799869982, 'c': 0.3566998185956843, 'normalize': True} - results: ROC_AUC: 0.1749513, PRECISION: 0.0368302, PRECISION_RECALL_MIN_DEN: 0.1282558, RECALL: 0.1242924, MAP: 0.0609352, MRR: 0.1302757, NDCG: 0.0913776, F1: 0.0568208, HIT_RATE: 0.3683017, ARHR: 0.1502373, NOVELTY: 0.0048066, AVERAGE_POPULARITY: 0.1146056, DIVERSITY_MEAN_INTER_LIST: 0.9834160, DIVERSITY_HERFINDAHL: 0.9983242, COVERAGE_ITEM: 0.4415476, COVERAGE_ITEM_CORRECT: 0.0410318, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1941865, DIVERSITY_GINI: 0.1395846, SHANNON_ENTROPY: 11.4218620, 
