
SearchBayesianSkopt-CV: New best config found. Config 0: {'a': 0.8497167052341151, 'b': 0.41275300998201414, 'c': 0.6323492404921449, 'normalize': False} - results: ROC_AUC: 0.1921492, PRECISION: 0.0418166, PRECISION_RECALL_MIN_DEN: 0.1562558, RECALL: 0.1522885, MAP: 0.0689166, MRR: 0.1389825, NDCG: 0.1050910, F1: 0.0656149, HIT_RATE: 0.4181658, ARHR: 0.1602937, NOVELTY: 0.0050908, AVERAGE_POPULARITY: 0.0579886, DIVERSITY_MEAN_INTER_LIST: 0.9957670, DIVERSITY_HERFINDAHL: 0.9995591, COVERAGE_ITEM: 0.4563927, COVERAGE_ITEM_CORRECT: 0.0623523, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2216434, DIVERSITY_GINI: 0.1766514, SHANNON_ENTROPY: 12.3434356, 
SearchBayesianSkopt-CV: Config 1 is suboptimal. Config: {'a': 0.2735118841770245, 'b': 0.0634148534887873, 'c': 0.809631391703299, 'normalize': True} - results: ROC_AUC: 0.1712491, PRECISION: 0.0374003, PRECISION_RECALL_MIN_DEN: 0.1305010, RECALL: 0.1261852, MAP: 0.0582128, MRR: 0.1255318, NDCG: 0.0892701, F1: 0.0576986, HIT_RATE: 0.3740027, ARHR: 0.1456873, NOVELTY: 0.0048719, AVERAGE_POPULARITY: 0.0804903, DIVERSITY_MEAN_INTER_LIST: 0.9932085, DIVERSITY_HERFINDAHL: 0.9993033, COVERAGE_ITEM: 0.3178672, COVERAGE_ITEM_CORRECT: 0.0485775, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1954197, DIVERSITY_GINI: 0.1035128, SHANNON_ENTROPY: 11.6049373, 
SearchBayesianSkopt-CV: Config 2 is suboptimal. Config: {'a': 0.2273362234830451, 'b': 0.9539552454754116, 'c': 0.9907709072194892, 'normalize': False} - results: ROC_AUC: 0.1890604, PRECISION: 0.0414459, PRECISION_RECALL_MIN_DEN: 0.1438354, RECALL: 0.1391033, MAP: 0.0666998, MRR: 0.1413483, NDCG: 0.1005030, F1: 0.0638622, HIT_RATE: 0.4144586, ARHR: 0.1652064, NOVELTY: 0.0048859, AVERAGE_POPULARITY: 0.0815179, DIVERSITY_MEAN_INTER_LIST: 0.9928902, DIVERSITY_HERFINDAHL: 0.9992715, COVERAGE_ITEM: 0.3663754, COVERAGE_ITEM_CORRECT: 0.0517113, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2119542, DIVERSITY_GINI: 0.1196998, SHANNON_ENTROPY: 11.7200027, 
SearchBayesianSkopt-CV: Config 3 is suboptimal. Config: {'a': 0.44663055433319676, 'b': 0.38358945372079223, 'c': 0.1381684249210582, 'normalize': True} - results: ROC_AUC: 0.1904222, PRECISION: 0.0421599, PRECISION_RECALL_MIN_DEN: 0.1477753, RECALL: 0.1432035, MAP: 0.0680587, MRR: 0.1416329, NDCG: 0.1026341, F1: 0.0651409, HIT_RATE: 0.4215991, ARHR: 0.1657675, NOVELTY: 0.0049335, AVERAGE_POPULARITY: 0.0750828, DIVERSITY_MEAN_INTER_LIST: 0.9939961, DIVERSITY_HERFINDAHL: 0.9993820, COVERAGE_ITEM: 0.3746526, COVERAGE_ITEM_CORRECT: 0.0564928, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2156789, DIVERSITY_GINI: 0.1273306, SHANNON_ENTROPY: 11.8590737, 
SearchBayesianSkopt-CV: Config 4 is suboptimal. Config: {'a': 0.5415069011035386, 'b': 0.24897844833710275, 'c': 0.0030122507222235537, 'normalize': True} - results: ROC_AUC: 0.1517070, PRECISION: 0.0326731, PRECISION_RECALL_MIN_DEN: 0.1200050, RECALL: 0.1165695, MAP: 0.0518962, MRR: 0.1079470, NDCG: 0.0800307, F1: 0.0510390, HIT_RATE: 0.3267312, ARHR: 0.1233845, NOVELTY: 0.0052153, AVERAGE_POPULARITY: 0.0327249, DIVERSITY_MEAN_INTER_LIST: 0.9973388, DIVERSITY_HERFINDAHL: 0.9997163, COVERAGE_ITEM: 0.5814745, COVERAGE_ITEM_CORRECT: 0.0544447, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1770228, DIVERSITY_GINI: 0.2680391, SHANNON_ENTROPY: 12.9645686, 
SearchBayesianSkopt-CV: Config 5 is suboptimal. Config: {'a': 0.20481036709375872, 'b': 0.7759496244184362, 'c': 0.44948985450065493, 'normalize': True} - results: ROC_AUC: 0.1769847, PRECISION: 0.0389473, PRECISION_RECALL_MIN_DEN: 0.1343651, RECALL: 0.1297332, MAP: 0.0609676, MRR: 0.1308003, NDCG: 0.0927352, F1: 0.0599085, HIT_RATE: 0.3894734, ARHR: 0.1527803, NOVELTY: 0.0048662, AVERAGE_POPULARITY: 0.0819108, DIVERSITY_MEAN_INTER_LIST: 0.9930075, DIVERSITY_HERFINDAHL: 0.9992832, COVERAGE_ITEM: 0.3294167, COVERAGE_ITEM_CORRECT: 0.0490318, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2006543, DIVERSITY_GINI: 0.1064014, SHANNON_ENTROPY: 11.6160395, 
SearchBayesianSkopt-CV: Config 6 is suboptimal. Config: {'a': 0.03889667626327221, 'b': 0.693593056556225, 'c': 0.761955013477871, 'normalize': False} - results: ROC_AUC: 0.1818126, PRECISION: 0.0395972, PRECISION_RECALL_MIN_DEN: 0.1374951, RECALL: 0.1329082, MAP: 0.0629599, MRR: 0.1351948, NDCG: 0.0954949, F1: 0.0610148, HIT_RATE: 0.3959722, ARHR: 0.1574267, NOVELTY: 0.0048616, AVERAGE_POPULARITY: 0.0840261, DIVERSITY_MEAN_INTER_LIST: 0.9924948, DIVERSITY_HERFINDAHL: 0.9992319, COVERAGE_ITEM: 0.3518614, COVERAGE_ITEM_CORRECT: 0.0479692, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2047062, DIVERSITY_GINI: 0.1130433, SHANNON_ENTROPY: 11.6389927, 

SearchBayesianSkopt-CV: New best config found. Config 7: {'a': 0.2058807880395675, 'b': 0.30102480815404725, 'c': 0.016600885425874682, 'normalize': True} - results: ROC_AUC: 0.1992942, PRECISION: 0.0437290, PRECISION_RECALL_MIN_DEN: 0.1575762, RECALL: 0.1531072, MAP: 0.0721293, MRR: 0.1474416, NDCG: 0.1085855, F1: 0.0680274, HIT_RATE: 0.4372901, ARHR: 0.1720250, NOVELTY: 0.0050197, AVERAGE_POPULARITY: 0.0673879, DIVERSITY_MEAN_INTER_LIST: 0.9945976, DIVERSITY_HERFINDAHL: 0.9994422, COVERAGE_ITEM: 0.4587719, COVERAGE_ITEM_CORRECT: 0.0605967, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2255946, DIVERSITY_GINI: 0.1700470, SHANNON_ENTROPY: 12.2015004, 
SearchBayesianSkopt-CV: Config 8 is suboptimal. Config: {'a': 0.013491192753390838, 'b': 0.5535333897595793, 'c': 0.560197880384315, 'normalize': True} - results: ROC_AUC: 0.1712741, PRECISION: 0.0374816, PRECISION_RECALL_MIN_DEN: 0.1298256, RECALL: 0.1254098, MAP: 0.0583277, MRR: 0.1259985, NDCG: 0.0891713, F1: 0.0577133, HIT_RATE: 0.3748156, ARHR: 0.1466004, NOVELTY: 0.0048603, AVERAGE_POPULARITY: 0.0822547, DIVERSITY_MEAN_INTER_LIST: 0.9929529, DIVERSITY_HERFINDAHL: 0.9992777, COVERAGE_ITEM: 0.3194071, COVERAGE_ITEM_CORRECT: 0.0472685, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1952687, DIVERSITY_GINI: 0.1030462, SHANNON_ENTROPY: 11.5828661, 
SearchBayesianSkopt-CV: Config 9 is suboptimal. Config: {'a': 0.02808028711822886, 'b': 0.5608182618464157, 'c': 0.196095721734381, 'normalize': False} - results: ROC_AUC: 0.1833625, PRECISION: 0.0393505, PRECISION_RECALL_MIN_DEN: 0.1372844, RECALL: 0.1328649, MAP: 0.0640048, MRR: 0.1361962, NDCG: 0.0963878, F1: 0.0607168, HIT_RATE: 0.3935053, ARHR: 0.1580835, NOVELTY: 0.0048808, AVERAGE_POPULARITY: 0.0843689, DIVERSITY_MEAN_INTER_LIST: 0.9918995, DIVERSITY_HERFINDAHL: 0.9991724, COVERAGE_ITEM: 0.3905217, COVERAGE_ITEM_CORRECT: 0.0473686, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2047062, DIVERSITY_GINI: 0.1274801, SHANNON_ENTROPY: 11.7176182, 
