
SearchBayesianSkopt-CV: New best config found. Config 0: {'a': 0.39988908366603393, 'b': 0.7467067794473331, 'c': 0.2068190996377532, 'normalize': False} - results: ROC_AUC: 0.1990859, PRECISION: 0.0436041, PRECISION_RECALL_MIN_DEN: 0.1557614, RECALL: 0.1512181, MAP: 0.0723164, MRR: 0.1492665, NDCG: 0.1084098, F1: 0.0676887, HIT_RATE: 0.4360405, ARHR: 0.1741760, NOVELTY: 0.0049359, AVERAGE_POPULARITY: 0.0867486, DIVERSITY_MEAN_INTER_LIST: 0.9903809, DIVERSITY_HERFINDAHL: 0.9990206, COVERAGE_ITEM: 0.4783215, COVERAGE_ITEM_CORRECT: 0.0563157, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2243866, DIVERSITY_GINI: 0.1683405, SHANNON_ENTROPY: 11.9253335, 
SearchBayesianSkopt-CV: Config 1 is suboptimal. Config: {'a': 0.36830431095858746, 'b': 0.898354624392607, 'c': 0.6843511636770881, 'normalize': True} - results: ROC_AUC: 0.1958148, PRECISION: 0.0426289, PRECISION_RECALL_MIN_DEN: 0.1509958, RECALL: 0.1464856, MAP: 0.0709588, MRR: 0.1467309, NDCG: 0.1059790, F1: 0.0660382, HIT_RATE: 0.4262892, ARHR: 0.1710073, NOVELTY: 0.0049084, AVERAGE_POPULARITY: 0.0912519, DIVERSITY_MEAN_INTER_LIST: 0.9893841, DIVERSITY_HERFINDAHL: 0.9989209, COVERAGE_ITEM: 0.4691126, COVERAGE_ITEM_CORRECT: 0.0538595, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2195545, DIVERSITY_GINI: 0.1603432, SHANNON_ENTROPY: 11.8146125, 
SearchBayesianSkopt-CV: Config 2 is suboptimal. Config: {'a': 0.09471694751981954, 'b': 0.9203273643855152, 'c': 0.16044463553572766, 'normalize': True} - results: ROC_AUC: 0.1828945, PRECISION: 0.0390603, PRECISION_RECALL_MIN_DEN: 0.1370597, RECALL: 0.1327156, MAP: 0.0644345, MRR: 0.1358471, NDCG: 0.0965429, F1: 0.0603549, HIT_RATE: 0.3906032, ARHR: 0.1575121, NOVELTY: 0.0049134, AVERAGE_POPULARITY: 0.0881333, DIVERSITY_MEAN_INTER_LIST: 0.9900059, DIVERSITY_HERFINDAHL: 0.9989831, COVERAGE_ITEM: 0.4603041, COVERAGE_ITEM_CORRECT: 0.0478845, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2032213, DIVERSITY_GINI: 0.1547406, SHANNON_ENTROPY: 11.7933139, 

SearchBayesianSkopt-CV: New best config found. Config 3: {'a': 0.9781575812965135, 'b': 0.6416852376253805, 'c': 0.8119823355130084, 'normalize': False} - results: ROC_AUC: 0.2005692, PRECISION: 0.0435189, PRECISION_RECALL_MIN_DEN: 0.1557438, RECALL: 0.1512315, MAP: 0.0725409, MRR: 0.1498651, NDCG: 0.1086379, F1: 0.0675876, HIT_RATE: 0.4351894, ARHR: 0.1746132, NOVELTY: 0.0048996, AVERAGE_POPULARITY: 0.0952422, DIVERSITY_MEAN_INTER_LIST: 0.9882873, DIVERSITY_HERFINDAHL: 0.9988113, COVERAGE_ITEM: 0.4747411, COVERAGE_ITEM_CORRECT: 0.0552685, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2243362, DIVERSITY_GINI: 0.1630533, SHANNON_ENTROPY: 11.7927874, 
SearchBayesianSkopt-CV: Config 4 is suboptimal. Config: {'a': 0.19083263978347026, 'b': 0.36822743561222177, 'c': 0.6433901864235739, 'normalize': False} - results: ROC_AUC: 0.1839780, PRECISION: 0.0392292, PRECISION_RECALL_MIN_DEN: 0.1382314, RECALL: 0.1339306, MAP: 0.0648806, MRR: 0.1367278, NDCG: 0.0972946, F1: 0.0606815, HIT_RATE: 0.3922917, ARHR: 0.1584390, NOVELTY: 0.0048020, AVERAGE_POPULARITY: 0.1124539, DIVERSITY_MEAN_INTER_LIST: 0.9834134, DIVERSITY_HERFINDAHL: 0.9983240, COVERAGE_ITEM: 0.4399538, COVERAGE_ITEM_CORRECT: 0.0453128, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2046810, DIVERSITY_GINI: 0.1359959, SHANNON_ENTROPY: 11.3720433, 
SearchBayesianSkopt-CV: Config 5 is suboptimal. Config: {'a': 0.9867428031916895, 'b': 0.2806981062140121, 'c': 0.9904798367366471, 'normalize': True} - results: ROC_AUC: 0.1949903, PRECISION: 0.0424016, PRECISION_RECALL_MIN_DEN: 0.1537928, RECALL: 0.1494463, MAP: 0.0702167, MRR: 0.1446113, NDCG: 0.1058534, F1: 0.0660596, HIT_RATE: 0.4240159, ARHR: 0.1682387, NOVELTY: 0.0050180, AVERAGE_POPULARITY: 0.0712591, DIVERSITY_MEAN_INTER_LIST: 0.9932240, DIVERSITY_HERFINDAHL: 0.9993049, COVERAGE_ITEM: 0.5352993, COVERAGE_ITEM_CORRECT: 0.0588643, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2200327, DIVERSITY_GINI: 0.2136660, SHANNON_ENTROPY: 12.3754946, 
SearchBayesianSkopt-CV: Config 6 is suboptimal. Config: {'a': 0.2127784681579103, 'b': 0.60649347517527, 'c': 0.1328508812429561, 'normalize': False} - results: ROC_AUC: 0.1958517, PRECISION: 0.0425971, PRECISION_RECALL_MIN_DEN: 0.1509560, RECALL: 0.1464412, MAP: 0.0709700, MRR: 0.1471596, NDCG: 0.1060009, F1: 0.0659950, HIT_RATE: 0.4259707, ARHR: 0.1714937, NOVELTY: 0.0049149, AVERAGE_POPULARITY: 0.0900395, DIVERSITY_MEAN_INTER_LIST: 0.9896624, DIVERSITY_HERFINDAHL: 0.9989488, COVERAGE_ITEM: 0.4661482, COVERAGE_ITEM_CORRECT: 0.0539442, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2191267, DIVERSITY_GINI: 0.1595093, SHANNON_ENTROPY: 11.8234223, 

SearchBayesianSkopt-CV: New best config found. Config 7: {'a': 0.974238032123889, 'b': 0.05681121439278215, 'c': 0.7588862294834752, 'normalize': False} - results: ROC_AUC: 0.2020751, PRECISION: 0.0440525, PRECISION_RECALL_MIN_DEN: 0.1589560, RECALL: 0.1544487, MAP: 0.0735834, MRR: 0.1512644, NDCG: 0.1103128, F1: 0.0685515, HIT_RATE: 0.4405252, ARHR: 0.1761796, NOVELTY: 0.0049156, AVERAGE_POPULARITY: 0.0931090, DIVERSITY_MEAN_INTER_LIST: 0.9887054, DIVERSITY_HERFINDAHL: 0.9988531, COVERAGE_ITEM: 0.4891781, COVERAGE_ITEM_CORRECT: 0.0570780, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2273311, DIVERSITY_GINI: 0.1730955, SHANNON_ENTROPY: 11.8879992, 
SearchBayesianSkopt-CV: Config 8 is suboptimal. Config: {'a': 0.44111403803963356, 'b': 0.20563284056244352, 'c': 0.5755894297091031, 'normalize': False} - results: ROC_AUC: 0.1959922, PRECISION: 0.0424735, PRECISION_RECALL_MIN_DEN: 0.1510890, RECALL: 0.1466122, MAP: 0.0707658, MRR: 0.1468768, NDCG: 0.1058518, F1: 0.0658648, HIT_RATE: 0.4247354, ARHR: 0.1709816, NOVELTY: 0.0048514, AVERAGE_POPULARITY: 0.1046086, DIVERSITY_MEAN_INTER_LIST: 0.9857756, DIVERSITY_HERFINDAHL: 0.9985601, COVERAGE_ITEM: 0.4563696, COVERAGE_ITEM_CORRECT: 0.0521193, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2189254, DIVERSITY_GINI: 0.1489067, SHANNON_ENTROPY: 11.5778272, 
