
SearchBayesianSkopt-CV: New best config found. Config 0: {'a': 0.39988908366603393, 'b': 0.7467067794473331, 'c': 0.2068190996377532, 'normalize': False} - results: ROC_AUC: 0.1920040, PRECISION: 0.0420158, PRECISION_RECALL_MIN_DEN: 0.1514565, RECALL: 0.1470429, MAP: 0.0689406, MRR: 0.1410603, NDCG: 0.1039690, F1: 0.0653558, HIT_RATE: 0.4201581, ARHR: 0.1644991, NOVELTY: 0.0050559, AVERAGE_POPULARITY: 0.0607481, DIVERSITY_MEAN_INTER_LIST: 0.9948658, DIVERSITY_HERFINDAHL: 0.9994690, COVERAGE_ITEM: 0.5212474, COVERAGE_ITEM_CORRECT: 0.0596959, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2174657, DIVERSITY_GINI: 0.2082298, SHANNON_ENTROPY: 12.4412018, 

SearchBayesianSkopt-CV: New best config found. Config 1: {'a': 0.36830431095858746, 'b': 0.898354624392607, 'c': 0.6843511636770881, 'normalize': True} - results: ROC_AUC: 0.1949763, PRECISION: 0.0426618, PRECISION_RECALL_MIN_DEN: 0.1502039, RECALL: 0.1455464, MAP: 0.0700170, MRR: 0.1462740, NDCG: 0.1049880, F1: 0.0659821, HIT_RATE: 0.4266181, ARHR: 0.1707223, NOVELTY: 0.0048987, AVERAGE_POPULARITY: 0.0884367, DIVERSITY_MEAN_INTER_LIST: 0.9909186, DIVERSITY_HERFINDAHL: 0.9990744, COVERAGE_ITEM: 0.4588643, COVERAGE_ITEM_CORRECT: 0.0549605, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2184724, DIVERSITY_GINI: 0.1565337, SHANNON_ENTROPY: 11.8639900, 
SearchBayesianSkopt-CV: Config 2 is suboptimal. Config: {'a': 0.09471694751981954, 'b': 0.9203273643855152, 'c': 0.16044463553572766, 'normalize': True} - results: ROC_AUC: 0.1844363, PRECISION: 0.0396224, PRECISION_RECALL_MIN_DEN: 0.1386080, RECALL: 0.1341864, MAP: 0.0652572, MRR: 0.1379493, NDCG: 0.0977343, F1: 0.0611792, HIT_RATE: 0.3962237, ARHR: 0.1600300, NOVELTY: 0.0049095, AVERAGE_POPULARITY: 0.0871765, DIVERSITY_MEAN_INTER_LIST: 0.9907377, DIVERSITY_HERFINDAHL: 0.9990563, COVERAGE_ITEM: 0.4547449, COVERAGE_ITEM_CORRECT: 0.0491242, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2053857, DIVERSITY_GINI: 0.1528535, SHANNON_ENTROPY: 11.8183730, 
SearchBayesianSkopt-CV: Config 3 is suboptimal. Config: {'a': 0.9781575812965135, 'b': 0.6416852376253805, 'c': 0.8119823355130084, 'normalize': False} - results: ROC_AUC: 0.1651536, PRECISION: 0.0355538, PRECISION_RECALL_MIN_DEN: 0.1294579, RECALL: 0.1257299, MAP: 0.0568400, MRR: 0.1183386, NDCG: 0.0872411, F1: 0.0554317, HIT_RATE: 0.3555385, ARHR: 0.1357989, NOVELTY: 0.0051669, AVERAGE_POPULARITY: 0.0395986, DIVERSITY_MEAN_INTER_LIST: 0.9969591, DIVERSITY_HERFINDAHL: 0.9996783, COVERAGE_ITEM: 0.5757690, COVERAGE_ITEM_CORRECT: 0.0560308, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1903863, DIVERSITY_GINI: 0.2593393, SHANNON_ENTROPY: 12.8829815, 

SearchBayesianSkopt-CV: New best config found. Config 4: {'a': 0.19083263978347026, 'b': 0.36822743561222177, 'c': 0.6433901864235739, 'normalize': False} - results: ROC_AUC: 0.1973563, PRECISION: 0.0433029, PRECISION_RECALL_MIN_DEN: 0.1557679, RECALL: 0.1512355, MAP: 0.0714123, MRR: 0.1463731, NDCG: 0.1074359, F1: 0.0673272, HIT_RATE: 0.4330289, ARHR: 0.1709524, NOVELTY: 0.0050112, AVERAGE_POPULARITY: 0.0690945, DIVERSITY_MEAN_INTER_LIST: 0.9939520, DIVERSITY_HERFINDAHL: 0.9993776, COVERAGE_ITEM: 0.5042926, COVERAGE_ITEM_CORRECT: 0.0598114, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2228262, DIVERSITY_GINI: 0.1932792, SHANNON_ENTROPY: 12.2888328, 

SearchBayesianSkopt-CV: New best config found. Config 5: {'a': 0.9867428031916895, 'b': 0.2806981062140121, 'c': 0.9904798367366471, 'normalize': True} - results: ROC_AUC: 0.1985538, PRECISION: 0.0437589, PRECISION_RECALL_MIN_DEN: 0.1563657, RECALL: 0.1518140, MAP: 0.0716422, MRR: 0.1479373, NDCG: 0.1080280, F1: 0.0679350, HIT_RATE: 0.4375887, ARHR: 0.1727081, NOVELTY: 0.0049567, AVERAGE_POPULARITY: 0.0769477, DIVERSITY_MEAN_INTER_LIST: 0.9930774, DIVERSITY_HERFINDAHL: 0.9992902, COVERAGE_ITEM: 0.5046160, COVERAGE_ITEM_CORRECT: 0.0604119, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2248144, DIVERSITY_GINI: 0.1904107, SHANNON_ENTROPY: 12.2209457, 
SearchBayesianSkopt-CV: Config 6 is suboptimal. Config: {'a': 0.2127784681579103, 'b': 0.60649347517527, 'c': 0.1328508812429561, 'normalize': False} - results: ROC_AUC: 0.1948583, PRECISION: 0.0429572, PRECISION_RECALL_MIN_DEN: 0.1547483, RECALL: 0.1502495, MAP: 0.0705819, MRR: 0.1447638, NDCG: 0.1063409, F1: 0.0668119, HIT_RATE: 0.4295721, ARHR: 0.1690148, NOVELTY: 0.0050143, AVERAGE_POPULARITY: 0.0693543, DIVERSITY_MEAN_INTER_LIST: 0.9936415, DIVERSITY_HERFINDAHL: 0.9993466, COVERAGE_ITEM: 0.4962849, COVERAGE_ITEM_CORRECT: 0.0589490, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2217944, DIVERSITY_GINI: 0.1868867, SHANNON_ENTROPY: 12.2278357, 
SearchBayesianSkopt-CV: Config 7 is suboptimal. Config: {'a': 0.974238032123889, 'b': 0.05681121439278215, 'c': 0.7588862294834752, 'normalize': False} - results: ROC_AUC: 0.1240373, PRECISION: 0.0262303, PRECISION_RECALL_MIN_DEN: 0.0971665, RECALL: 0.0944376, MAP: 0.0415649, MRR: 0.0863728, NDCG: 0.0643972, F1: 0.0410539, HIT_RATE: 0.2623033, ARHR: 0.0977677, NOVELTY: 0.0052647, AVERAGE_POPULARITY: 0.0223198, DIVERSITY_MEAN_INTER_LIST: 0.9977288, DIVERSITY_HERFINDAHL: 0.9997553, COVERAGE_ITEM: 0.6002849, COVERAGE_ITEM_CORRECT: 0.0480847, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1458915, DIVERSITY_GINI: 0.2866203, SHANNON_ENTROPY: 13.0909034, 
