
SearchBayesianSkopt-CV: New best config found. Config 0: {'a': 0.39988908366603393, 'b': 0.7467067794473331, 'c': 0.2068190996377532, 'normalize': False} - results: ROC_AUC: 0.1919587, PRECISION: 0.0420511, PRECISION_RECALL_MIN_DEN: 0.1518946, RECALL: 0.1474859, MAP: 0.0690144, MRR: 0.1409704, NDCG: 0.1040984, F1: 0.0654422, HIT_RATE: 0.4205112, ARHR: 0.1643800, NOVELTY: 0.0050575, AVERAGE_POPULARITY: 0.0606707, DIVERSITY_MEAN_INTER_LIST: 0.9948442, DIVERSITY_HERFINDAHL: 0.9994668, COVERAGE_ITEM: 0.5229721, COVERAGE_ITEM_CORRECT: 0.0597421, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2178432, DIVERSITY_GINI: 0.2093350, SHANNON_ENTROPY: 12.4468184, 
SearchBayesianSkopt-CV: Config 1 is suboptimal. Config: {'a': 0.36830431095858746, 'b': 0.898354624392607, 'c': 0.6843511636770881, 'normalize': True} - results: ROC_AUC: 0.1911590, PRECISION: 0.0415580, PRECISION_RECALL_MIN_DEN: 0.1455710, RECALL: 0.1410677, MAP: 0.0679521, MRR: 0.1424202, NDCG: 0.1020028, F1: 0.0642013, HIT_RATE: 0.4155802, ARHR: 0.1661455, NOVELTY: 0.0048997, AVERAGE_POPULARITY: 0.0970234, DIVERSITY_MEAN_INTER_LIST: 0.9881904, DIVERSITY_HERFINDAHL: 0.9988016, COVERAGE_ITEM: 0.4762194, COVERAGE_ITEM_CORRECT: 0.0511569, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2141689, DIVERSITY_GINI: 0.1654575, SHANNON_ENTROPY: 11.8076940, 
SearchBayesianSkopt-CV: Config 2 is suboptimal. Config: {'a': 0.09471694751981954, 'b': 0.9203273643855152, 'c': 0.16044463553572766, 'normalize': True} - results: ROC_AUC: 0.1847141, PRECISION: 0.0394763, PRECISION_RECALL_MIN_DEN: 0.1376262, RECALL: 0.1332392, MAP: 0.0649792, MRR: 0.1374607, NDCG: 0.0973388, F1: 0.0609043, HIT_RATE: 0.3947629, ARHR: 0.1593710, NOVELTY: 0.0049041, AVERAGE_POPULARITY: 0.0917253, DIVERSITY_MEAN_INTER_LIST: 0.9894125, DIVERSITY_HERFINDAHL: 0.9989238, COVERAGE_ITEM: 0.4671338, COVERAGE_ITEM_CORRECT: 0.0477228, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2053857, DIVERSITY_GINI: 0.1580871, SHANNON_ENTROPY: 11.7900157, 
SearchBayesianSkopt-CV: Config 3 is suboptimal. Config: {'a': 0.9781575812965135, 'b': 0.6416852376253805, 'c': 0.8119823355130084, 'normalize': False} - results: ROC_AUC: 0.1625835, PRECISION: 0.0348643, PRECISION_RECALL_MIN_DEN: 0.1269907, RECALL: 0.1232885, MAP: 0.0557395, MRR: 0.1162573, NDCG: 0.0855321, F1: 0.0543564, HIT_RATE: 0.3486430, ARHR: 0.1332952, NOVELTY: 0.0051726, AVERAGE_POPULARITY: 0.0386292, DIVERSITY_MEAN_INTER_LIST: 0.9969752, DIVERSITY_HERFINDAHL: 0.9996799, COVERAGE_ITEM: 0.5774090, COVERAGE_ITEM_CORRECT: 0.0552146, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1873411, DIVERSITY_GINI: 0.2612587, SHANNON_ENTROPY: 12.8948404, 

SearchBayesianSkopt-CV: New best config found. Config 4: {'a': 0.19083263978347026, 'b': 0.36822743561222177, 'c': 0.6433901864235739, 'normalize': False} - results: ROC_AUC: 0.1982991, PRECISION: 0.0433906, PRECISION_RECALL_MIN_DEN: 0.1569346, RECALL: 0.1524044, MAP: 0.0717079, MRR: 0.1467486, NDCG: 0.1079317, F1: 0.0675486, HIT_RATE: 0.4339056, ARHR: 0.1713010, NOVELTY: 0.0050187, AVERAGE_POPULARITY: 0.0691709, DIVERSITY_MEAN_INTER_LIST: 0.9937361, DIVERSITY_HERFINDAHL: 0.9993561, COVERAGE_ITEM: 0.5144331, COVERAGE_ITEM_CORRECT: 0.0599885, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2236567, DIVERSITY_GINI: 0.1991967, SHANNON_ENTROPY: 12.3132630, 
SearchBayesianSkopt-CV: Config 5 is suboptimal. Config: {'a': 0.9867428031916895, 'b': 0.2806981062140121, 'c': 0.9904798367366471, 'normalize': True} - results: ROC_AUC: 0.1949269, PRECISION: 0.0426073, PRECISION_RECALL_MIN_DEN: 0.1527298, RECALL: 0.1483415, MAP: 0.0700602, MRR: 0.1447773, NDCG: 0.1055774, F1: 0.0661992, HIT_RATE: 0.4260729, ARHR: 0.1689961, NOVELTY: 0.0049653, AVERAGE_POPULARITY: 0.0837759, DIVERSITY_MEAN_INTER_LIST: 0.9909196, DIVERSITY_HERFINDAHL: 0.9990745, COVERAGE_ITEM: 0.5251511, COVERAGE_ITEM_CORRECT: 0.0568316, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2193784, DIVERSITY_GINI: 0.2026321, SHANNON_ENTROPY: 12.1985005, 
SearchBayesianSkopt-CV: Config 6 is suboptimal. Config: {'a': 0.2127784681579103, 'b': 0.60649347517527, 'c': 0.1328508812429561, 'normalize': False} - results: ROC_AUC: 0.1949432, PRECISION: 0.0429920, PRECISION_RECALL_MIN_DEN: 0.1549373, RECALL: 0.1504437, MAP: 0.0706915, MRR: 0.1448544, NDCG: 0.1064851, F1: 0.0668729, HIT_RATE: 0.4299205, ARHR: 0.1691189, NOVELTY: 0.0050154, AVERAGE_POPULARITY: 0.0693826, DIVERSITY_MEAN_INTER_LIST: 0.9936049, DIVERSITY_HERFINDAHL: 0.9993429, COVERAGE_ITEM: 0.4977247, COVERAGE_ITEM_CORRECT: 0.0589259, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2219706, DIVERSITY_GINI: 0.1877133, SHANNON_ENTROPY: 12.2312928, 
SearchBayesianSkopt-CV: Config 7 is suboptimal. Config: {'a': 0.974238032123889, 'b': 0.05681121439278215, 'c': 0.7588862294834752, 'normalize': False} - results: ROC_AUC: 0.1197769, PRECISION: 0.0253225, PRECISION_RECALL_MIN_DEN: 0.0934130, RECALL: 0.0907232, MAP: 0.0401169, MRR: 0.0835193, NDCG: 0.0620491, F1: 0.0395898, HIT_RATE: 0.2532250, ARHR: 0.0944773, NOVELTY: 0.0052690, AVERAGE_POPULARITY: 0.0212569, DIVERSITY_MEAN_INTER_LIST: 0.9977285, DIVERSITY_HERFINDAHL: 0.9997552, COVERAGE_ITEM: 0.6007931, COVERAGE_ITEM_CORRECT: 0.0469451, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1411099, DIVERSITY_GINI: 0.2867977, SHANNON_ENTROPY: 13.0920298, 
SearchBayesianSkopt-CV: Config 8 is suboptimal. Config: {'a': 0.44111403803963356, 'b': 0.20563284056244352, 'c': 0.5755894297091031, 'normalize': False} - results: ROC_AUC: 0.1560251, PRECISION: 0.0331742, PRECISION_RECALL_MIN_DEN: 0.1213595, RECALL: 0.1178718, MAP: 0.0534609, MRR: 0.1112514, NDCG: 0.0819020, F1: 0.0517756, HIT_RATE: 0.3317420, ARHR: 0.1269991, NOVELTY: 0.0051892, AVERAGE_POPULARITY: 0.0356918, DIVERSITY_MEAN_INTER_LIST: 0.9971763, DIVERSITY_HERFINDAHL: 0.9997000, COVERAGE_ITEM: 0.5837998, COVERAGE_ITEM_CORRECT: 0.0538056, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1798918, DIVERSITY_GINI: 0.2681184, SHANNON_ENTROPY: 12.9473245, 
SearchBayesianSkopt-CV: Config 9 is suboptimal. Config: {'a': 0.661637257359202, 'b': 0.0939209496897511, 'c': 0.4901499324681551, 'normalize': False} - results: ROC_AUC: 0.1259273, PRECISION: 0.0266474, PRECISION_RECALL_MIN_DEN: 0.0982700, RECALL: 0.0954601, MAP: 0.0419013, MRR: 0.0877413, NDCG: 0.0650599, F1: 0.0416612, HIT_RATE: 0.2664743, ARHR: 0.0993452, NOVELTY: 0.0052591, AVERAGE_POPULARITY: 0.0230744, DIVERSITY_MEAN_INTER_LIST: 0.9976870, DIVERSITY_HERFINDAHL: 0.9997511, COVERAGE_ITEM: 0.5987372, COVERAGE_ITEM_CORRECT: 0.0483773, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1483579, DIVERSITY_GINI: 0.2847578, SHANNON_ENTROPY: 13.0780430, 
