
SearchBayesianSkopt-CV: New best config found. Config 0: {'a': 0.39988908366603393, 'b': 0.7467067794473331, 'c': 0.2068190996377532, 'normalize': False} - results: ROC_AUC: 0.1963966, PRECISION: 0.0430868, PRECISION_RECALL_MIN_DEN: 0.1560552, RECALL: 0.1515923, MAP: 0.0716427, MRR: 0.1463233, NDCG: 0.1076046, F1: 0.0671008, HIT_RATE: 0.4308682, ARHR: 0.1705123, NOVELTY: 0.0050000, AVERAGE_POPULARITY: 0.0707718, DIVERSITY_MEAN_INTER_LIST: 0.9934681, DIVERSITY_HERFINDAHL: 0.9993293, COVERAGE_ITEM: 0.5007353, COVERAGE_ITEM_CORRECT: 0.0591261, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2222726, DIVERSITY_GINI: 0.1895407, SHANNON_ENTROPY: 12.2342627, 
SearchBayesianSkopt-CV: Config 1 is suboptimal. Config: {'a': 0.36830431095858746, 'b': 0.898354624392607, 'c': 0.6843511636770881, 'normalize': True} - results: ROC_AUC: 0.1960035, PRECISION: 0.0426143, PRECISION_RECALL_MIN_DEN: 0.1514733, RECALL: 0.1469624, MAP: 0.0711978, MRR: 0.1467541, NDCG: 0.1062098, F1: 0.0660674, HIT_RATE: 0.4261435, ARHR: 0.1712597, NOVELTY: 0.0049357, AVERAGE_POPULARITY: 0.0826563, DIVERSITY_MEAN_INTER_LIST: 0.9914211, DIVERSITY_HERFINDAHL: 0.9991246, COVERAGE_ITEM: 0.4733397, COVERAGE_ITEM_CORRECT: 0.0558075, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2187240, DIVERSITY_GINI: 0.1657372, SHANNON_ENTROPY: 11.9497223, 
SearchBayesianSkopt-CV: Config 2 is suboptimal. Config: {'a': 0.09471694751981954, 'b': 0.9203273643855152, 'c': 0.16044463553572766, 'normalize': True} - results: ROC_AUC: 0.1825229, PRECISION: 0.0392440, PRECISION_RECALL_MIN_DEN: 0.1379071, RECALL: 0.1335592, MAP: 0.0643611, MRR: 0.1356000, NDCG: 0.0966980, F1: 0.0606618, HIT_RATE: 0.3924404, ARHR: 0.1573531, NOVELTY: 0.0049249, AVERAGE_POPULARITY: 0.0851588, DIVERSITY_MEAN_INTER_LIST: 0.9907044, DIVERSITY_HERFINDAHL: 0.9990529, COVERAGE_ITEM: 0.4595419, COVERAGE_ITEM_CORRECT: 0.0486006, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2039260, DIVERSITY_GINI: 0.1553686, SHANNON_ENTROPY: 11.8316925, 
SearchBayesianSkopt-CV: Config 3 is suboptimal. Config: {'a': 0.9781575812965135, 'b': 0.6416852376253805, 'c': 0.8119823355130084, 'normalize': False} - results: ROC_AUC: 0.1920270, PRECISION: 0.0411752, PRECISION_RECALL_MIN_DEN: 0.1508713, RECALL: 0.1467611, MAP: 0.0696904, MRR: 0.1420510, NDCG: 0.1044961, F1: 0.0643071, HIT_RATE: 0.4117521, ARHR: 0.1644583, NOVELTY: 0.0050162, AVERAGE_POPULARITY: 0.0659998, DIVERSITY_MEAN_INTER_LIST: 0.9941931, DIVERSITY_HERFINDAHL: 0.9994017, COVERAGE_ITEM: 0.5236189, COVERAGE_ITEM_CORRECT: 0.0582329, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2147729, DIVERSITY_GINI: 0.2082359, SHANNON_ENTROPY: 12.3955689, 
SearchBayesianSkopt-CV: Config 4 is suboptimal. Config: {'a': 0.19083263978347026, 'b': 0.36822743561222177, 'c': 0.6433901864235739, 'normalize': False} - results: ROC_AUC: 0.1935785, PRECISION: 0.0420105, PRECISION_RECALL_MIN_DEN: 0.1485678, RECALL: 0.1440703, MAP: 0.0698228, MRR: 0.1451729, NDCG: 0.1043360, F1: 0.0650497, HIT_RATE: 0.4201048, ARHR: 0.1693405, NOVELTY: 0.0048757, AVERAGE_POPULARITY: 0.0927935, DIVERSITY_MEAN_INTER_LIST: 0.9893356, DIVERSITY_HERFINDAHL: 0.9989161, COVERAGE_ITEM: 0.4476381, COVERAGE_ITEM_CORRECT: 0.0532358, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2159557, DIVERSITY_GINI: 0.1466976, SHANNON_ENTROPY: 11.6997844, 
SearchBayesianSkopt-CV: Config 5 is suboptimal. Config: {'a': 0.9867428031916895, 'b': 0.2806981062140121, 'c': 0.9904798367366471, 'normalize': True} - results: ROC_AUC: 0.1818386, PRECISION: 0.0385174, PRECISION_RECALL_MIN_DEN: 0.1427236, RECALL: 0.1389734, MAP: 0.0649565, MRR: 0.1327355, NDCG: 0.0980448, F1: 0.0603167, HIT_RATE: 0.3851741, ARHR: 0.1528660, NOVELTY: 0.0050513, AVERAGE_POPULARITY: 0.0592865, DIVERSITY_MEAN_INTER_LIST: 0.9951291, DIVERSITY_HERFINDAHL: 0.9994953, COVERAGE_ITEM: 0.5446853, COVERAGE_ITEM_CORRECT: 0.0566853, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2041022, DIVERSITY_GINI: 0.2270834, SHANNON_ENTROPY: 12.5690804, 
SearchBayesianSkopt-CV: Config 6 is suboptimal. Config: {'a': 0.2127784681579103, 'b': 0.60649347517527, 'c': 0.1328508812429561, 'normalize': False} - results: ROC_AUC: 0.1959600, PRECISION: 0.0430524, PRECISION_RECALL_MIN_DEN: 0.1547267, RECALL: 0.1502365, MAP: 0.0714918, MRR: 0.1469241, NDCG: 0.1072425, F1: 0.0669252, HIT_RATE: 0.4305237, ARHR: 0.1714910, NOVELTY: 0.0049713, AVERAGE_POPULARITY: 0.0770075, DIVERSITY_MEAN_INTER_LIST: 0.9924005, DIVERSITY_HERFINDAHL: 0.9992225, COVERAGE_ITEM: 0.4815245, COVERAGE_ITEM_CORRECT: 0.0573936, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2212659, DIVERSITY_GINI: 0.1737332, SHANNON_ENTROPY: 12.0640423, 
SearchBayesianSkopt-CV: Config 7 is suboptimal. Config: {'a': 0.974238032123889, 'b': 0.05681121439278215, 'c': 0.7588862294834752, 'normalize': False} - results: ROC_AUC: 0.1768760, PRECISION: 0.0367965, PRECISION_RECALL_MIN_DEN: 0.1387359, RECALL: 0.1353295, MAP: 0.0630737, MRR: 0.1280753, NDCG: 0.0951834, F1: 0.0578601, HIT_RATE: 0.3679648, ARHR: 0.1462797, NOVELTY: 0.0050680, AVERAGE_POPULARITY: 0.0556019, DIVERSITY_MEAN_INTER_LIST: 0.9954839, DIVERSITY_HERFINDAHL: 0.9995308, COVERAGE_ITEM: 0.5518152, COVERAGE_ITEM_CORRECT: 0.0548681, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1983390, DIVERSITY_GINI: 0.2347906, SHANNON_ENTROPY: 12.6388616, 
SearchBayesianSkopt-CV: Config 8 is suboptimal. Config: {'a': 0.44111403803963356, 'b': 0.20563284056244352, 'c': 0.5755894297091031, 'normalize': False} - results: ROC_AUC: 0.1954403, PRECISION: 0.0421077, PRECISION_RECALL_MIN_DEN: 0.1538027, RECALL: 0.1496584, MAP: 0.0711630, MRR: 0.1451153, NDCG: 0.1067026, F1: 0.0657227, HIT_RATE: 0.4210773, ARHR: 0.1682997, NOVELTY: 0.0049735, AVERAGE_POPULARITY: 0.0736685, DIVERSITY_MEAN_INTER_LIST: 0.9930146, DIVERSITY_HERFINDAHL: 0.9992839, COVERAGE_ITEM: 0.5064716, COVERAGE_ITEM_CORRECT: 0.0581636, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2184975, DIVERSITY_GINI: 0.1926537, SHANNON_ENTROPY: 12.2261719, 
SearchBayesianSkopt-CV: Config 9 is suboptimal. Config: {'a': 0.661637257359202, 'b': 0.0939209496897511, 'c': 0.4901499324681551, 'normalize': False} - results: ROC_AUC: 0.1783329, PRECISION: 0.0372737, PRECISION_RECALL_MIN_DEN: 0.1397756, RECALL: 0.1362779, MAP: 0.0635637, MRR: 0.1292034, NDCG: 0.0959384, F1: 0.0585363, HIT_RATE: 0.3727370, ARHR: 0.1478609, NOVELTY: 0.0050675, AVERAGE_POPULARITY: 0.0558686, DIVERSITY_MEAN_INTER_LIST: 0.9954565, DIVERSITY_HERFINDAHL: 0.9995281, COVERAGE_ITEM: 0.5508065, COVERAGE_ITEM_CORRECT: 0.0554533, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2001510, DIVERSITY_GINI: 0.2336493, SHANNON_ENTROPY: 12.6299517, 

