
SearchBayesianSkopt-CV: New best config found. Config 0: {'a': 0.8575142666037638, 'b': 0.29372164401572903, 'c': 0.6895151275400649, 'normalize': True} - results: ROC_AUC: 0.1800084, PRECISION: 0.0396964, PRECISION_RECALL_MIN_DEN: 0.1382253, RECALL: 0.1336840, MAP: 0.0625514, MRR: 0.1333317, NDCG: 0.0952747, F1: 0.0612148, HIT_RATE: 0.3969645, ARHR: 0.1554913, NOVELTY: 0.0048931, AVERAGE_POPULARITY: 0.0786813, DIVERSITY_MEAN_INTER_LIST: 0.9934943, DIVERSITY_HERFINDAHL: 0.9993319, COVERAGE_ITEM: 0.3351376, COVERAGE_ITEM_CORRECT: 0.0524196, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2044293, DIVERSITY_GINI: 0.1104532, SHANNON_ENTROPY: 11.6867180, 

SearchBayesianSkopt-CV: New best config found. Config 1: {'a': 0.38529487120508155, 'b': 0.6467885532376021, 'c': 0.27884642827584466, 'normalize': False} - results: ROC_AUC: 0.2041949, PRECISION: 0.0450347, PRECISION_RECALL_MIN_DEN: 0.1640774, RECALL: 0.1595798, MAP: 0.0740715, MRR: 0.1502902, NDCG: 0.1119838, F1: 0.0702444, HIT_RATE: 0.4503471, ARHR: 0.1754171, NOVELTY: 0.0050053, AVERAGE_POPULARITY: 0.0713903, DIVERSITY_MEAN_INTER_LIST: 0.9939602, DIVERSITY_HERFINDAHL: 0.9993785, COVERAGE_ITEM: 0.4626987, COVERAGE_ITEM_CORRECT: 0.0621906, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2321631, DIVERSITY_GINI: 0.1718172, SHANNON_ENTROPY: 12.1751953, 
SearchBayesianSkopt-CV: Config 2 is suboptimal. Config: {'a': 0.5396523830533936, 'b': 0.6642436383124489, 'c': 0.28177676088770937, 'normalize': True} - results: ROC_AUC: 0.1879710, PRECISION: 0.0419998, PRECISION_RECALL_MIN_DEN: 0.1457159, RECALL: 0.1409570, MAP: 0.0671554, MRR: 0.1407332, NDCG: 0.1012323, F1: 0.0647160, HIT_RATE: 0.4199981, ARHR: 0.1651345, NOVELTY: 0.0048977, AVERAGE_POPULARITY: 0.0799562, DIVERSITY_MEAN_INTER_LIST: 0.9932813, DIVERSITY_HERFINDAHL: 0.9993106, COVERAGE_ITEM: 0.3547334, COVERAGE_ITEM_CORRECT: 0.0547911, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2130615, DIVERSITY_GINI: 0.1169612, SHANNON_ENTROPY: 11.7281057, 
SearchBayesianSkopt-CV: Config 3 is suboptimal. Config: {'a': 0.7952232580985508, 'b': 0.7836750215623982, 'c': 0.28296229870883677, 'normalize': True} - results: ROC_AUC: 0.1916184, PRECISION: 0.0425301, PRECISION_RECALL_MIN_DEN: 0.1486729, RECALL: 0.1439933, MAP: 0.0686479, MRR: 0.1429893, NDCG: 0.1033716, F1: 0.0656647, HIT_RATE: 0.4253007, ARHR: 0.1674130, NOVELTY: 0.0049214, AVERAGE_POPULARITY: 0.0776324, DIVERSITY_MEAN_INTER_LIST: 0.9936176, DIVERSITY_HERFINDAHL: 0.9993442, COVERAGE_ITEM: 0.3704023, COVERAGE_ITEM_CORRECT: 0.0564081, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2170127, DIVERSITY_GINI: 0.1245968, SHANNON_ENTROPY: 11.8138795, 
SearchBayesianSkopt-CV: Config 4 is suboptimal. Config: {'a': 0.5066303507149833, 'b': 0.34024467548403153, 'c': 0.49382174366938925, 'normalize': False} - results: ROC_AUC: 0.1982154, PRECISION: 0.0432193, PRECISION_RECALL_MIN_DEN: 0.1592356, RECALL: 0.1550199, MAP: 0.0715004, MRR: 0.1451354, NDCG: 0.1083813, F1: 0.0675930, HIT_RATE: 0.4321931, ARHR: 0.1682011, NOVELTY: 0.0050380, AVERAGE_POPULARITY: 0.0654250, DIVERSITY_MEAN_INTER_LIST: 0.9950181, DIVERSITY_HERFINDAHL: 0.9994842, COVERAGE_ITEM: 0.4381752, COVERAGE_ITEM_CORRECT: 0.0620135, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2263244, DIVERSITY_GINI: 0.1633309, SHANNON_ENTROPY: 12.1986933, 
SearchBayesianSkopt-CV: Config 5 is suboptimal. Config: {'a': 0.13671043017271958, 'b': 0.9087050297215107, 'c': 0.03993957710520447, 'normalize': True} - results: ROC_AUC: 0.2017269, PRECISION: 0.0444668, PRECISION_RECALL_MIN_DEN: 0.1576587, RECALL: 0.1529497, MAP: 0.0733920, MRR: 0.1512023, NDCG: 0.1099710, F1: 0.0689011, HIT_RATE: 0.4446685, ARHR: 0.1765166, NOVELTY: 0.0048853, AVERAGE_POPULARITY: 0.0880684, DIVERSITY_MEAN_INTER_LIST: 0.9910881, DIVERSITY_HERFINDAHL: 0.9990913, COVERAGE_ITEM: 0.4128046, COVERAGE_ITEM_CORRECT: 0.0565159, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2277589, DIVERSITY_GINI: 0.1364039, SHANNON_ENTROPY: 11.7489562, 
SearchBayesianSkopt-CV: Config 6 is suboptimal. Config: {'a': 0.6303075060167804, 'b': 0.5875295342704369, 'c': 0.7259080319301437, 'normalize': False} - results: ROC_AUC: 0.2010422, PRECISION: 0.0440288, PRECISION_RECALL_MIN_DEN: 0.1601453, RECALL: 0.1556941, MAP: 0.0725559, MRR: 0.1480249, NDCG: 0.1096930, F1: 0.0686445, HIT_RATE: 0.4402883, ARHR: 0.1723359, NOVELTY: 0.0050023, AVERAGE_POPULARITY: 0.0701113, DIVERSITY_MEAN_INTER_LIST: 0.9944539, DIVERSITY_HERFINDAHL: 0.9994278, COVERAGE_ITEM: 0.4249702, COVERAGE_ITEM_CORRECT: 0.0615284, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2281364, DIVERSITY_GINI: 0.1539437, SHANNON_ENTROPY: 12.0927786, 
SearchBayesianSkopt-CV: Config 7 is suboptimal. Config: {'a': 0.7375239959626484, 'b': 0.6453569178459888, 'c': 0.817056077281951, 'normalize': True} - results: ROC_AUC: 0.1794968, PRECISION: 0.0395695, PRECISION_RECALL_MIN_DEN: 0.1371710, RECALL: 0.1325673, MAP: 0.0620664, MRR: 0.1327547, NDCG: 0.0944987, F1: 0.0609463, HIT_RATE: 0.3956947, ARHR: 0.1551749, NOVELTY: 0.0048798, AVERAGE_POPULARITY: 0.0804399, DIVERSITY_MEAN_INTER_LIST: 0.9932312, DIVERSITY_HERFINDAHL: 0.9993056, COVERAGE_ITEM: 0.3309567, COVERAGE_ITEM_CORRECT: 0.0512801, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2031710, DIVERSITY_GINI: 0.1079689, SHANNON_ENTROPY: 11.6467804, 
SearchBayesianSkopt-CV: Config 8 is suboptimal. Config: {'a': 0.42789886977940217, 'b': 0.7357406124497393, 'c': 0.01551180466031699, 'normalize': False} - results: ROC_AUC: 0.1868461, PRECISION: 0.0408429, PRECISION_RECALL_MIN_DEN: 0.1471964, RECALL: 0.1428725, MAP: 0.0663668, MRR: 0.1370835, NDCG: 0.1006302, F1: 0.0635253, HIT_RATE: 0.4084290, ARHR: 0.1594313, NOVELTY: 0.0050486, AVERAGE_POPULARITY: 0.0587763, DIVERSITY_MEAN_INTER_LIST: 0.9950605, DIVERSITY_HERFINDAHL: 0.9994885, COVERAGE_ITEM: 0.5570741, COVERAGE_ITEM_CORRECT: 0.0584177, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2118284, DIVERSITY_GINI: 0.2354114, SHANNON_ENTROPY: 12.6086030, 
SearchBayesianSkopt-CV: Config 9 is suboptimal. Config: {'a': 0.9910263007582208, 'b': 0.08843754915116132, 'c': 0.20694199911680294, 'normalize': True} - results: ROC_AUC: 0.1872326, PRECISION: 0.0406185, PRECISION_RECALL_MIN_DEN: 0.1477683, RECALL: 0.1438179, MAP: 0.0668404, MRR: 0.1368213, NDCG: 0.1013989, F1: 0.0633455, HIT_RATE: 0.4061850, ARHR: 0.1579662, NOVELTY: 0.0050004, AVERAGE_POPULARITY: 0.0673717, DIVERSITY_MEAN_INTER_LIST: 0.9949568, DIVERSITY_HERFINDAHL: 0.9994781, COVERAGE_ITEM: 0.3973128, COVERAGE_ITEM_CORRECT: 0.0589798, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2139675, DIVERSITY_GINI: 0.1424301, SHANNON_ENTROPY: 12.0492874, 
