
SearchBayesianSkopt-CV: New best config found. Config 0: {'a': 0.39988908366603393, 'b': 0.7467067794473331, 'c': 0.2068190996377532, 'normalize': False} - results: ROC_AUC: 0.1943428, PRECISION: 0.0425139, PRECISION_RECALL_MIN_DEN: 0.1531933, RECALL: 0.1487202, MAP: 0.0695853, MRR: 0.1431995, NDCG: 0.1051095, F1: 0.0661244, HIT_RATE: 0.4251387, ARHR: 0.1669568, NOVELTY: 0.0050054, AVERAGE_POPULARITY: 0.0665380, DIVERSITY_MEAN_INTER_LIST: 0.9939514, DIVERSITY_HERFINDAHL: 0.9993776, COVERAGE_ITEM: 0.5377940, COVERAGE_ITEM_CORRECT: 0.0593648, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2193532, DIVERSITY_GINI: 0.2164704, SHANNON_ENTROPY: 12.4266650, 

SearchBayesianSkopt-CV: New best config found. Config 1: {'a': 0.36830431095858746, 'b': 0.898354624392607, 'c': 0.6843511636770881, 'normalize': True} - results: ROC_AUC: 0.1985461, PRECISION: 0.0437874, PRECISION_RECALL_MIN_DEN: 0.1571502, RECALL: 0.1525781, MAP: 0.0718206, MRR: 0.1474183, NDCG: 0.1082036, F1: 0.0680460, HIT_RATE: 0.4378736, ARHR: 0.1722833, NOVELTY: 0.0049495, AVERAGE_POPULARITY: 0.0783715, DIVERSITY_MEAN_INTER_LIST: 0.9919602, DIVERSITY_HERFINDAHL: 0.9991785, COVERAGE_ITEM: 0.4973167, COVERAGE_ITEM_CORRECT: 0.0586872, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2246634, DIVERSITY_GINI: 0.1824543, SHANNON_ENTROPY: 12.0968958, 
SearchBayesianSkopt-CV: Config 2 is suboptimal. Config: {'a': 0.09471694751981954, 'b': 0.9203273643855152, 'c': 0.16044463553572766, 'normalize': True} - results: ROC_AUC: 0.1980418, PRECISION: 0.0433492, PRECISION_RECALL_MIN_DEN: 0.1555400, RECALL: 0.1510622, MAP: 0.0717366, MRR: 0.1474336, NDCG: 0.1077692, F1: 0.0673661, HIT_RATE: 0.4334917, ARHR: 0.1718437, NOVELTY: 0.0048787, AVERAGE_POPULARITY: 0.0900471, DIVERSITY_MEAN_INTER_LIST: 0.9893072, DIVERSITY_HERFINDAHL: 0.9989132, COVERAGE_ITEM: 0.4784755, COVERAGE_ITEM_CORRECT: 0.0562079, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2233044, DIVERSITY_GINI: 0.1652587, SHANNON_ENTROPY: 11.8416280, 
SearchBayesianSkopt-CV: Config 3 is suboptimal. Config: {'a': 0.9781575812965135, 'b': 0.6416852376253805, 'c': 0.8119823355130084, 'normalize': False} - results: ROC_AUC: 0.1839338, PRECISION: 0.0403655, PRECISION_RECALL_MIN_DEN: 0.1450527, RECALL: 0.1407006, MAP: 0.0653299, MRR: 0.1348543, NDCG: 0.0990700, F1: 0.0627330, HIT_RATE: 0.4036552, ARHR: 0.1568438, NOVELTY: 0.0050812, AVERAGE_POPULARITY: 0.0537450, DIVERSITY_MEAN_INTER_LIST: 0.9956579, DIVERSITY_HERFINDAHL: 0.9995482, COVERAGE_ITEM: 0.5543561, COVERAGE_ITEM_CORRECT: 0.0589952, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2093117, DIVERSITY_GINI: 0.2353236, SHANNON_ENTROPY: 12.6496594, 
SearchBayesianSkopt-CV: Config 4 is suboptimal. Config: {'a': 0.19083263978347026, 'b': 0.36822743561222177, 'c': 0.6433901864235739, 'normalize': False} - results: ROC_AUC: 0.1965466, PRECISION: 0.0433676, PRECISION_RECALL_MIN_DEN: 0.1551848, RECALL: 0.1506751, MAP: 0.0712589, MRR: 0.1464695, NDCG: 0.1072219, F1: 0.0673493, HIT_RATE: 0.4336765, ARHR: 0.1711068, NOVELTY: 0.0049499, AVERAGE_POPULARITY: 0.0798935, DIVERSITY_MEAN_INTER_LIST: 0.9916788, DIVERSITY_HERFINDAHL: 0.9991504, COVERAGE_ITEM: 0.4809394, COVERAGE_ITEM_CORRECT: 0.0572705, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2227004, DIVERSITY_GINI: 0.1718466, SHANNON_ENTROPY: 12.0109537, 
SearchBayesianSkopt-CV: Config 5 is suboptimal. Config: {'a': 0.9867428031916895, 'b': 0.2806981062140121, 'c': 0.9904798367366471, 'normalize': True} - results: ROC_AUC: 0.1816397, PRECISION: 0.0397447, PRECISION_RECALL_MIN_DEN: 0.1428200, RECALL: 0.1385550, MAP: 0.0645367, MRR: 0.1328719, NDCG: 0.0976967, F1: 0.0617696, HIT_RATE: 0.3974468, ARHR: 0.1545661, NOVELTY: 0.0050947, AVERAGE_POPULARITY: 0.0523088, DIVERSITY_MEAN_INTER_LIST: 0.9958582, DIVERSITY_HERFINDAHL: 0.9995682, COVERAGE_ITEM: 0.5535861, COVERAGE_ITEM_CORRECT: 0.0586641, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2060652, DIVERSITY_GINI: 0.2352319, SHANNON_ENTROPY: 12.6642572, 
SearchBayesianSkopt-CV: Config 6 is suboptimal. Config: {'a': 0.2127784681579103, 'b': 0.60649347517527, 'c': 0.1328508812429561, 'normalize': False} - results: ROC_AUC: 0.1988679, PRECISION: 0.0434583, PRECISION_RECALL_MIN_DEN: 0.1564408, RECALL: 0.1519709, MAP: 0.0717099, MRR: 0.1474386, NDCG: 0.1079803, F1: 0.0675884, HIT_RATE: 0.4345830, ARHR: 0.1719874, NOVELTY: 0.0049595, AVERAGE_POPULARITY: 0.0750062, DIVERSITY_MEAN_INTER_LIST: 0.9924878, DIVERSITY_HERFINDAHL: 0.9992312, COVERAGE_ITEM: 0.5178826, COVERAGE_ITEM_CORRECT: 0.0590260, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2237322, DIVERSITY_GINI: 0.1982750, SHANNON_ENTROPY: 12.2300752, 
SearchBayesianSkopt-CV: Config 7 is suboptimal. Config: {'a': 0.974238032123889, 'b': 0.05681121439278215, 'c': 0.7588862294834752, 'normalize': False} - results: ROC_AUC: 0.1647112, PRECISION: 0.0355997, PRECISION_RECALL_MIN_DEN: 0.1290777, RECALL: 0.1252776, MAP: 0.0565560, MRR: 0.1182289, NDCG: 0.0868722, F1: 0.0554434, HIT_RATE: 0.3559966, ARHR: 0.1357827, NOVELTY: 0.0051665, AVERAGE_POPULARITY: 0.0392686, DIVERSITY_MEAN_INTER_LIST: 0.9969032, DIVERSITY_HERFINDAHL: 0.9996727, COVERAGE_ITEM: 0.5742291, COVERAGE_ITEM_CORRECT: 0.0560154, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1902856, DIVERSITY_GINI: 0.2578519, SHANNON_ENTROPY: 12.8707213, 
SearchBayesianSkopt-CV: Config 8 is suboptimal. Config: {'a': 0.44111403803963356, 'b': 0.20563284056244352, 'c': 0.5755894297091031, 'normalize': False} - results: ROC_AUC: 0.1893435, PRECISION: 0.0414441, PRECISION_RECALL_MIN_DEN: 0.1492413, RECALL: 0.1448035, MAP: 0.0676992, MRR: 0.1391698, NDCG: 0.1022933, F1: 0.0644425, HIT_RATE: 0.4144412, ARHR: 0.1621326, NOVELTY: 0.0050616, AVERAGE_POPULARITY: 0.0582353, DIVERSITY_MEAN_INTER_LIST: 0.9951357, DIVERSITY_HERFINDAHL: 0.9994960, COVERAGE_ITEM: 0.5378710, COVERAGE_ITEM_CORRECT: 0.0595496, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2141185, DIVERSITY_GINI: 0.2206500, SHANNON_ENTROPY: 12.5306345, 
SearchBayesianSkopt-CV: Config 9 is suboptimal. Config: {'a': 0.661637257359202, 'b': 0.0939209496897511, 'c': 0.4901499324681551, 'normalize': False} - results: ROC_AUC: 0.1665048, PRECISION: 0.0361192, PRECISION_RECALL_MIN_DEN: 0.1306171, RECALL: 0.1267258, MAP: 0.0572955, MRR: 0.1197028, NDCG: 0.0879563, F1: 0.0562153, HIT_RATE: 0.3611925, ARHR: 0.1377355, NOVELTY: 0.0051587, AVERAGE_POPULARITY: 0.0404734, DIVERSITY_MEAN_INTER_LIST: 0.9968268, DIVERSITY_HERFINDAHL: 0.9996651, COVERAGE_ITEM: 0.5737979, COVERAGE_ITEM_CORRECT: 0.0563619, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1923745, DIVERSITY_GINI: 0.2568765, SHANNON_ENTROPY: 12.8586159, 
