
SearchBayesianSkopt-CV: New best config found. Config 0: {'a': 0.2402083311066015, 'b': 0.39231489722851487, 'c': 0.19322076285125317, 'normalize': True} - results: ROC_AUC: 0.2020299, PRECISION: 0.0444203, PRECISION_RECALL_MIN_DEN: 0.1599647, RECALL: 0.1553729, MAP: 0.0734305, MRR: 0.1504587, NDCG: 0.1104071, F1: 0.0690873, HIT_RATE: 0.4442034, ARHR: 0.1757405, NOVELTY: 0.0049516, AVERAGE_POPULARITY: 0.0805580, DIVERSITY_MEAN_INTER_LIST: 0.9915557, DIVERSITY_HERFINDAHL: 0.9991380, COVERAGE_ITEM: 0.5164119, COVERAGE_ITEM_CORRECT: 0.0599577, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2280609, DIVERSITY_GINI: 0.1948471, SHANNON_ENTROPY: 12.1616170, 

SearchBayesianSkopt-CV: New best config found. Config 1: {'a': 0.6260947676657251, 'b': 0.8163287494432733, 'c': 0.6583835716132438, 'normalize': False} - results: ROC_AUC: 0.2033309, PRECISION: 0.0442507, PRECISION_RECALL_MIN_DEN: 0.1584273, RECALL: 0.1538729, MAP: 0.0737221, MRR: 0.1518642, NDCG: 0.1104241, F1: 0.0687330, HIT_RATE: 0.4425072, ARHR: 0.1770655, NOVELTY: 0.0049014, AVERAGE_POPULARITY: 0.0927721, DIVERSITY_MEAN_INTER_LIST: 0.9889580, DIVERSITY_HERFINDAHL: 0.9988783, COVERAGE_ITEM: 0.4807931, COVERAGE_ITEM_CORRECT: 0.0571781, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2277841, DIVERSITY_GINI: 0.1675593, SHANNON_ENTROPY: 11.8550279, 
SearchBayesianSkopt-CV: Config 2 is suboptimal. Config: {'a': 0.9953856593904037, 'b': 0.8242464768057526, 'c': 0.27096301034656506, 'normalize': True} - results: ROC_AUC: 0.1824861, PRECISION: 0.0394862, PRECISION_RECALL_MIN_DEN: 0.1423048, RECALL: 0.1381567, MAP: 0.0645260, MRR: 0.1338467, NDCG: 0.0977134, F1: 0.0614181, HIT_RATE: 0.3948625, ARHR: 0.1553929, NOVELTY: 0.0050817, AVERAGE_POPULARITY: 0.0549202, DIVERSITY_MEAN_INTER_LIST: 0.9955546, DIVERSITY_HERFINDAHL: 0.9995379, COVERAGE_ITEM: 0.5675919, COVERAGE_ITEM_CORRECT: 0.0578710, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2056877, DIVERSITY_GINI: 0.2462614, SHANNON_ENTROPY: 12.7042219, 
SearchBayesianSkopt-CV: Config 3 is suboptimal. Config: {'a': 0.8490806214717617, 'b': 0.22519798480808623, 'c': 0.5961181908448233, 'normalize': False} - results: ROC_AUC: 0.2021762, PRECISION: 0.0440451, PRECISION_RECALL_MIN_DEN: 0.1599891, RECALL: 0.1555015, MAP: 0.0735448, MRR: 0.1508487, NDCG: 0.1104948, F1: 0.0686452, HIT_RATE: 0.4404514, ARHR: 0.1757074, NOVELTY: 0.0049829, AVERAGE_POPULARITY: 0.0789737, DIVERSITY_MEAN_INTER_LIST: 0.9918766, DIVERSITY_HERFINDAHL: 0.9991701, COVERAGE_ITEM: 0.5172281, COVERAGE_ITEM_CORRECT: 0.0598576, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2277841, DIVERSITY_GINI: 0.1976274, SHANNON_ENTROPY: 12.2056279, 

SearchBayesianSkopt-CV: New best config found. Config 4: {'a': 0.832571339270521, 'b': 0.8653273721642215, 'c': 0.7506134926755891, 'normalize': False} - results: ROC_AUC: 0.2037650, PRECISION: 0.0445473, PRECISION_RECALL_MIN_DEN: 0.1600644, RECALL: 0.1554713, MAP: 0.0743457, MRR: 0.1526731, NDCG: 0.1113079, F1: 0.0692508, HIT_RATE: 0.4454732, ARHR: 0.1780806, NOVELTY: 0.0049207, AVERAGE_POPULARITY: 0.0893138, DIVERSITY_MEAN_INTER_LIST: 0.9897514, DIVERSITY_HERFINDAHL: 0.9989577, COVERAGE_ITEM: 0.4906795, COVERAGE_ITEM_CORRECT: 0.0583407, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2289921, DIVERSITY_GINI: 0.1751708, SHANNON_ENTROPY: 11.9459850, 
SearchBayesianSkopt-CV: Config 5 is suboptimal. Config: {'a': 0.11340363717192684, 'b': 0.07221362174970904, 'c': 0.7644867129062151, 'normalize': False} - results: ROC_AUC: 0.1831507, PRECISION: 0.0392712, PRECISION_RECALL_MIN_DEN: 0.1373120, RECALL: 0.1329669, MAP: 0.0641321, MRR: 0.1359915, NDCG: 0.0964925, F1: 0.0606327, HIT_RATE: 0.3927115, ARHR: 0.1577129, NOVELTY: 0.0048101, AVERAGE_POPULARITY: 0.1102403, DIVERSITY_MEAN_INTER_LIST: 0.9843078, DIVERSITY_HERFINDAHL: 0.9984134, COVERAGE_ITEM: 0.4399615, COVERAGE_ITEM_CORRECT: 0.0454283, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2043035, DIVERSITY_GINI: 0.1380530, SHANNON_ENTROPY: 11.4291653, 
SearchBayesianSkopt-CV: Config 6 is suboptimal. Config: {'a': 0.9801472537312181, 'b': 0.3865104888076023, 'c': 0.4157385942815598, 'normalize': True} - results: ROC_AUC: 0.1812045, PRECISION: 0.0389840, PRECISION_RECALL_MIN_DEN: 0.1409763, RECALL: 0.1368875, MAP: 0.0644152, MRR: 0.1329324, NDCG: 0.0971680, F1: 0.0606852, HIT_RATE: 0.3898404, ARHR: 0.1541563, NOVELTY: 0.0050998, AVERAGE_POPULARITY: 0.0534326, DIVERSITY_MEAN_INTER_LIST: 0.9957108, DIVERSITY_HERFINDAHL: 0.9995535, COVERAGE_ITEM: 0.5690703, COVERAGE_ITEM_CORRECT: 0.0578325, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2035233, DIVERSITY_GINI: 0.2486595, SHANNON_ENTROPY: 12.7320689, 
SearchBayesianSkopt-CV: Config 7 is suboptimal. Config: {'a': 0.022256007292573158, 'b': 0.425606523197265, 'c': 0.47842847470210215, 'normalize': False} - results: ROC_AUC: 0.1822822, PRECISION: 0.0391448, PRECISION_RECALL_MIN_DEN: 0.1371184, RECALL: 0.1328607, MAP: 0.0640226, MRR: 0.1358949, NDCG: 0.0963733, F1: 0.0604712, HIT_RATE: 0.3914479, ARHR: 0.1575113, NOVELTY: 0.0048033, AVERAGE_POPULARITY: 0.1103846, DIVERSITY_MEAN_INTER_LIST: 0.9841982, DIVERSITY_HERFINDAHL: 0.9984024, COVERAGE_ITEM: 0.4385063, COVERAGE_ITEM_CORRECT: 0.0453821, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2039512, DIVERSITY_GINI: 0.1363598, SHANNON_ENTROPY: 11.4074802, 
SearchBayesianSkopt-CV: Config 8 is suboptimal. Config: {'a': 0.2901802313422713, 'b': 0.4392120921456557, 'c': 0.16625489563936016, 'normalize': False} - results: ROC_AUC: 0.2043948, PRECISION: 0.0445535, PRECISION_RECALL_MIN_DEN: 0.1610082, RECALL: 0.1565051, MAP: 0.0741312, MRR: 0.1515276, NDCG: 0.1113471, F1: 0.0693606, HIT_RATE: 0.4455348, ARHR: 0.1768578, NOVELTY: 0.0049453, AVERAGE_POPULARITY: 0.0824901, DIVERSITY_MEAN_INTER_LIST: 0.9911473, DIVERSITY_HERFINDAHL: 0.9990972, COVERAGE_ITEM: 0.5074880, COVERAGE_ITEM_CORRECT: 0.0596959, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2294199, DIVERSITY_GINI: 0.1889852, SHANNON_ENTROPY: 12.1061291, 
