
SearchBayesianSkopt-CV: New best config found. Config 0: {'a': 0.2402083311066015, 'b': 0.39231489722851487, 'c': 0.19322076285125317, 'normalize': True} - results: ROC_AUC: 0.1992627, PRECISION: 0.0437621, PRECISION_RECALL_MIN_DEN: 0.1577243, RECALL: 0.1531838, MAP: 0.0721859, MRR: 0.1479210, NDCG: 0.1086290, F1: 0.0680753, HIT_RATE: 0.4376206, ARHR: 0.1726851, NOVELTY: 0.0049570, AVERAGE_POPULARITY: 0.0786102, DIVERSITY_MEAN_INTER_LIST: 0.9918413, DIVERSITY_HERFINDAHL: 0.9991666, COVERAGE_ITEM: 0.5231261, COVERAGE_ITEM_CORRECT: 0.0594880, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2248647, DIVERSITY_GINI: 0.2006150, SHANNON_ENTROPY: 12.2127218, 

SearchBayesianSkopt-CV: New best config found. Config 1: {'a': 0.6260947676657251, 'b': 0.8163287494432733, 'c': 0.6583835716132438, 'normalize': False} - results: ROC_AUC: 0.2001920, PRECISION: 0.0435371, PRECISION_RECALL_MIN_DEN: 0.1558770, RECALL: 0.1513585, MAP: 0.0727559, MRR: 0.1498891, NDCG: 0.1088355, F1: 0.0676216, HIT_RATE: 0.4353705, ARHR: 0.1745564, NOVELTY: 0.0048605, AVERAGE_POPULARITY: 0.1012602, DIVERSITY_MEAN_INTER_LIST: 0.9866215, DIVERSITY_HERFINDAHL: 0.9986447, COVERAGE_ITEM: 0.4658402, COVERAGE_ITEM_CORRECT: 0.0547680, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2241852, DIVERSITY_GINI: 0.1553758, SHANNON_ENTROPY: 11.6618121, 
SearchBayesianSkopt-CV: Config 2 is suboptimal. Config: {'a': 0.9953856593904037, 'b': 0.8242464768057526, 'c': 0.27096301034656506, 'normalize': True} - results: ROC_AUC: 0.1788454, PRECISION: 0.0386550, PRECISION_RECALL_MIN_DEN: 0.1390564, RECALL: 0.1349607, MAP: 0.0628233, MRR: 0.1308165, NDCG: 0.0953427, F1: 0.0600967, HIT_RATE: 0.3865500, ARHR: 0.1516003, NOVELTY: 0.0050893, AVERAGE_POPULARITY: 0.0529885, DIVERSITY_MEAN_INTER_LIST: 0.9957645, DIVERSITY_HERFINDAHL: 0.9995589, COVERAGE_ITEM: 0.5708797, COVERAGE_ITEM_CORRECT: 0.0571011, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2020133, DIVERSITY_GINI: 0.2499740, SHANNON_ENTROPY: 12.7378611, 

SearchBayesianSkopt-CV: New best config found. Config 3: {'a': 0.8490806214717617, 'b': 0.22519798480808623, 'c': 0.5961181908448233, 'normalize': False} - results: ROC_AUC: 0.2026839, PRECISION: 0.0442077, PRECISION_RECALL_MIN_DEN: 0.1598670, RECALL: 0.1553343, MAP: 0.0738180, MRR: 0.1513704, NDCG: 0.1107160, F1: 0.0688268, HIT_RATE: 0.4420774, ARHR: 0.1763960, NOVELTY: 0.0049234, AVERAGE_POPULARITY: 0.0906762, DIVERSITY_MEAN_INTER_LIST: 0.9892742, DIVERSITY_HERFINDAHL: 0.9989099, COVERAGE_ITEM: 0.4948835, COVERAGE_ITEM_CORRECT: 0.0577170, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2278344, DIVERSITY_GINI: 0.1776612, SHANNON_ENTROPY: 11.9449789, 
SearchBayesianSkopt-CV: Config 4 is suboptimal. Config: {'a': 0.832571339270521, 'b': 0.8653273721642215, 'c': 0.7506134926755891, 'normalize': False} - results: ROC_AUC: 0.2018467, PRECISION: 0.0438936, PRECISION_RECALL_MIN_DEN: 0.1574506, RECALL: 0.1529332, MAP: 0.0732961, MRR: 0.1508333, NDCG: 0.1097189, F1: 0.0682093, HIT_RATE: 0.4389357, ARHR: 0.1757016, NOVELTY: 0.0048783, AVERAGE_POPULARITY: 0.0982712, DIVERSITY_MEAN_INTER_LIST: 0.9874095, DIVERSITY_HERFINDAHL: 0.9987235, COVERAGE_ITEM: 0.4737170, COVERAGE_ITEM_CORRECT: 0.0558845, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2261734, DIVERSITY_GINI: 0.1612955, SHANNON_ENTROPY: 11.7403751, 
SearchBayesianSkopt-CV: Config 5 is suboptimal. Config: {'a': 0.11340363717192684, 'b': 0.07221362174970904, 'c': 0.7644867129062151, 'normalize': False} - results: ROC_AUC: 0.1804827, PRECISION: 0.0382541, PRECISION_RECALL_MIN_DEN: 0.1349809, RECALL: 0.1308206, MAP: 0.0632185, MRR: 0.1339050, NDCG: 0.0949855, F1: 0.0591964, HIT_RATE: 0.3825409, ARHR: 0.1547733, NOVELTY: 0.0047747, AVERAGE_POPULARITY: 0.1185116, DIVERSITY_MEAN_INTER_LIST: 0.9813280, DIVERSITY_HERFINDAHL: 0.9981155, COVERAGE_ITEM: 0.4356882, COVERAGE_ITEM_CORRECT: 0.0431877, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2008557, DIVERSITY_GINI: 0.1316224, SHANNON_ENTROPY: 11.2594076, 
SearchBayesianSkopt-CV: Config 6 is suboptimal. Config: {'a': 0.9801472537312181, 'b': 0.3865104888076023, 'c': 0.4157385942815598, 'normalize': True} - results: ROC_AUC: 0.1746687, PRECISION: 0.0377290, PRECISION_RECALL_MIN_DEN: 0.1364952, RECALL: 0.1324962, MAP: 0.0614759, MRR: 0.1276396, NDCG: 0.0933053, F1: 0.0587324, HIT_RATE: 0.3772900, ARHR: 0.1476782, NOVELTY: 0.0051137, AVERAGE_POPULARITY: 0.0499967, DIVERSITY_MEAN_INTER_LIST: 0.9960620, DIVERSITY_HERFINDAHL: 0.9995886, COVERAGE_ITEM: 0.5748450, COVERAGE_ITEM_CORRECT: 0.0566622, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1982383, DIVERSITY_GINI: 0.2548579, SHANNON_ENTROPY: 12.7882838, 
SearchBayesianSkopt-CV: Config 7 is suboptimal. Config: {'a': 0.022256007292573158, 'b': 0.425606523197265, 'c': 0.47842847470210215, 'normalize': False} - results: ROC_AUC: 0.1799031, PRECISION: 0.0381942, PRECISION_RECALL_MIN_DEN: 0.1347804, RECALL: 0.1306465, MAP: 0.0630424, MRR: 0.1339539, NDCG: 0.0948229, F1: 0.0591066, HIT_RATE: 0.3819419, ARHR: 0.1547173, NOVELTY: 0.0047757, AVERAGE_POPULARITY: 0.1172260, DIVERSITY_MEAN_INTER_LIST: 0.9817317, DIVERSITY_HERFINDAHL: 0.9981558, COVERAGE_ITEM: 0.4353879, COVERAGE_ITEM_CORRECT: 0.0433340, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2009060, DIVERSITY_GINI: 0.1313815, SHANNON_ENTROPY: 11.2686373, 

SearchBayesianSkopt-CV: New best config found. Config 8: {'a': 0.2901802313422713, 'b': 0.4392120921456557, 'c': 0.16625489563936016, 'normalize': False} - results: ROC_AUC: 0.2035798, PRECISION: 0.0445857, PRECISION_RECALL_MIN_DEN: 0.1607520, RECALL: 0.1562123, MAP: 0.0741308, MRR: 0.1518039, NDCG: 0.1112913, F1: 0.0693710, HIT_RATE: 0.4458570, ARHR: 0.1771270, NOVELTY: 0.0049107, AVERAGE_POPULARITY: 0.0898144, DIVERSITY_MEAN_INTER_LIST: 0.9894559, DIVERSITY_HERFINDAHL: 0.9989281, COVERAGE_ITEM: 0.4936285, COVERAGE_ITEM_CORRECT: 0.0584023, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2292186, DIVERSITY_GINI: 0.1766648, SHANNON_ENTROPY: 11.9401047, 
SearchBayesianSkopt-CV: Config 9 is suboptimal. Config: {'a': 0.5683111940284784, 'b': 0.7001538331023999, 'c': 0.15382612588769043, 'normalize': True} - results: ROC_AUC: 0.1861146, PRECISION: 0.0406419, PRECISION_RECALL_MIN_DEN: 0.1461702, RECALL: 0.1418819, MAP: 0.0661815, MRR: 0.1373376, NDCG: 0.1002244, F1: 0.0631839, HIT_RATE: 0.4064193, ARHR: 0.1596375, NOVELTY: 0.0050466, AVERAGE_POPULARITY: 0.0602775, DIVERSITY_MEAN_INTER_LIST: 0.9948741, DIVERSITY_HERFINDAHL: 0.9994698, COVERAGE_ITEM: 0.5597921, COVERAGE_ITEM_CORRECT: 0.0580635, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2106455, DIVERSITY_GINI: 0.2367764, SHANNON_ENTROPY: 12.6037973, 
SearchBayesianSkopt-CV: Config 10 is suboptimal. Config: {'a': 0.10069452704624818, 'b': 0.32752587360924085, 'c': 0.24724692065505866, 'normalize': False} - results: ROC_AUC: 0.1908624, PRECISION: 0.0412788, PRECISION_RECALL_MIN_DEN: 0.1467011, RECALL: 0.1422859, MAP: 0.0687003, MRR: 0.1427848, NDCG: 0.1028204, F1: 0.0639916, HIT_RATE: 0.4127877, ARHR: 0.1658937, NOVELTY: 0.0048066, AVERAGE_POPULARITY: 0.1108468, DIVERSITY_MEAN_INTER_LIST: 0.9838282, DIVERSITY_HERFINDAHL: 0.9983654, COVERAGE_ITEM: 0.4433571, COVERAGE_ITEM_CORRECT: 0.0495553, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2138669, DIVERSITY_GINI: 0.1385725, SHANNON_ENTROPY: 11.4131025, 
SearchBayesianSkopt-CV: Config 11 is suboptimal. Config: {'a': 0.3936568476803868, 'b': 0.579944142687911, 'c': 0.5269439423472959, 'normalize': False} - results: ROC_AUC: 0.1972910, PRECISION: 0.0429897, PRECISION_RECALL_MIN_DEN: 0.1535080, RECALL: 0.1490124, MAP: 0.0715321, MRR: 0.1476584, NDCG: 0.1071395, F1: 0.0667275, HIT_RATE: 0.4298973, ARHR: 0.1719078, NOVELTY: 0.0048417, AVERAGE_POPULARITY: 0.1051510, DIVERSITY_MEAN_INTER_LIST: 0.9855417, DIVERSITY_HERFINDAHL: 0.9985368, COVERAGE_ITEM: 0.4567700, COVERAGE_ITEM_CORRECT: 0.0532666, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2214169, DIVERSITY_GINI: 0.1486293, SHANNON_ENTROPY: 11.5640880, 
SearchBayesianSkopt-CV: Config 12 is suboptimal. Config: {'a': 0.21376423402103967, 'b': 0.7159315907250929, 'c': 0.7420200374730658, 'normalize': True} - results: ROC_AUC: 0.1981863, PRECISION: 0.0430210, PRECISION_RECALL_MIN_DEN: 0.1542440, RECALL: 0.1497555, MAP: 0.0720016, MRR: 0.1479593, NDCG: 0.1076574, F1: 0.0668397, HIT_RATE: 0.4302098, ARHR: 0.1721896, NOVELTY: 0.0048418, AVERAGE_POPULARITY: 0.1034222, DIVERSITY_MEAN_INTER_LIST: 0.9859995, DIVERSITY_HERFINDAHL: 0.9985825, COVERAGE_ITEM: 0.4596882, COVERAGE_ITEM_CORRECT: 0.0537748, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2220964, DIVERSITY_GINI: 0.1504335, SHANNON_ENTROPY: 11.5937108, 
SearchBayesianSkopt-CV: Config 13 is suboptimal. Config: {'a': 0.5555688364146364, 'b': 0.34504465959503844, 'c': 0.7458774459960558, 'normalize': True} - results: ROC_AUC: 0.2004055, PRECISION: 0.0438194, PRECISION_RECALL_MIN_DEN: 0.1583190, RECALL: 0.1538116, MAP: 0.0727547, MRR: 0.1490936, NDCG: 0.1093162, F1: 0.0682068, HIT_RATE: 0.4381938, ARHR: 0.1738986, NOVELTY: 0.0049545, AVERAGE_POPULARITY: 0.0828732, DIVERSITY_MEAN_INTER_LIST: 0.9909989, DIVERSITY_HERFINDAHL: 0.9990824, COVERAGE_ITEM: 0.5166352, COVERAGE_ITEM_CORRECT: 0.0589336, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2256197, DIVERSITY_GINI: 0.1943442, SHANNON_ENTROPY: 12.1331552, 
