
SearchBayesianSkopt-CV: New best config found. Config 0: {'a': 0.2402083311066015, 'b': 0.39231489722851487, 'c': 0.19322076285125317, 'normalize': True} - results: ROC_AUC: 0.2004105, PRECISION: 0.0440525, PRECISION_RECALL_MIN_DEN: 0.1570998, RECALL: 0.1524559, MAP: 0.0721390, MRR: 0.1491073, NDCG: 0.1086507, F1: 0.0683529, HIT_RATE: 0.4405252, ARHR: 0.1744167, NOVELTY: 0.0049307, AVERAGE_POPULARITY: 0.0800386, DIVERSITY_MEAN_INTER_LIST: 0.9922827, DIVERSITY_HERFINDAHL: 0.9992107, COVERAGE_ITEM: 0.5057478, COVERAGE_ITEM_CORRECT: 0.0595573, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2254939, DIVERSITY_GINI: 0.1887390, SHANNON_ENTROPY: 12.1573019, 
SearchBayesianSkopt-CV: Config 1 is suboptimal. Config: {'a': 0.6260947676657251, 'b': 0.8163287494432733, 'c': 0.6583835716132438, 'normalize': False} - results: ROC_AUC: 0.1831080, PRECISION: 0.0399804, PRECISION_RECALL_MIN_DEN: 0.1436510, RECALL: 0.1393976, MAP: 0.0647703, MRR: 0.1347137, NDCG: 0.0983487, F1: 0.0621385, HIT_RATE: 0.3998036, ARHR: 0.1563679, NOVELTY: 0.0050669, AVERAGE_POPULARITY: 0.0550938, DIVERSITY_MEAN_INTER_LIST: 0.9955824, DIVERSITY_HERFINDAHL: 0.9995407, COVERAGE_ITEM: 0.5651896, COVERAGE_ITEM_CORRECT: 0.0580866, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2078772, DIVERSITY_GINI: 0.2439490, SHANNON_ENTROPY: 12.6901817, 
SearchBayesianSkopt-CV: Config 2 is suboptimal. Config: {'a': 0.9953856593904037, 'b': 0.8242464768057526, 'c': 0.27096301034656506, 'normalize': True} - results: ROC_AUC: 0.1867089, PRECISION: 0.0404051, PRECISION_RECALL_MIN_DEN: 0.1458632, RECALL: 0.1416787, MAP: 0.0660300, MRR: 0.1371038, NDCG: 0.1001171, F1: 0.0628775, HIT_RATE: 0.4040512, ARHR: 0.1591816, NOVELTY: 0.0050546, AVERAGE_POPULARITY: 0.0581261, DIVERSITY_MEAN_INTER_LIST: 0.9954541, DIVERSITY_HERFINDAHL: 0.9995278, COVERAGE_ITEM: 0.5598845, COVERAGE_ITEM_CORRECT: 0.0588181, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2102429, DIVERSITY_GINI: 0.2388241, SHANNON_ENTROPY: 12.6531496, 
SearchBayesianSkopt-CV: Config 3 is suboptimal. Config: {'a': 0.8490806214717617, 'b': 0.22519798480808623, 'c': 0.5961181908448233, 'normalize': False} - results: ROC_AUC: 0.1376115, PRECISION: 0.0293228, PRECISION_RECALL_MIN_DEN: 0.1075770, RECALL: 0.1045217, MAP: 0.0463808, MRR: 0.0971614, NDCG: 0.0717662, F1: 0.0457950, HIT_RATE: 0.2932281, ARHR: 0.1104533, NOVELTY: 0.0052320, AVERAGE_POPULARITY: 0.0272168, DIVERSITY_MEAN_INTER_LIST: 0.9976307, DIVERSITY_HERFINDAHL: 0.9997454, COVERAGE_ITEM: 0.5989066, COVERAGE_ITEM_CORRECT: 0.0510029, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1613187, DIVERSITY_GINI: 0.2842113, SHANNON_ENTROPY: 13.0671465, 
SearchBayesianSkopt-CV: Config 4 is suboptimal. Config: {'a': 0.832571339270521, 'b': 0.8653273721642215, 'c': 0.7506134926755891, 'normalize': False} - results: ROC_AUC: 0.1767776, PRECISION: 0.0382593, PRECISION_RECALL_MIN_DEN: 0.1374496, RECALL: 0.1333563, MAP: 0.0617274, MRR: 0.1290417, NDCG: 0.0939669, F1: 0.0594598, HIT_RATE: 0.3825933, ARHR: 0.1492255, NOVELTY: 0.0051012, AVERAGE_POPULARITY: 0.0492130, DIVERSITY_MEAN_INTER_LIST: 0.9962125, DIVERSITY_HERFINDAHL: 0.9996036, COVERAGE_ITEM: 0.5746141, COVERAGE_ITEM_CORRECT: 0.0570703, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2008557, DIVERSITY_GINI: 0.2542040, SHANNON_ENTROPY: 12.7913003, 
SearchBayesianSkopt-CV: Config 5 is suboptimal. Config: {'a': 0.11340363717192684, 'b': 0.07221362174970904, 'c': 0.7644867129062151, 'normalize': False} - results: ROC_AUC: 0.1951926, PRECISION: 0.0423839, PRECISION_RECALL_MIN_DEN: 0.1527212, RECALL: 0.1483247, MAP: 0.0699480, MRR: 0.1442843, NDCG: 0.1054797, F1: 0.0659283, HIT_RATE: 0.4238386, ARHR: 0.1678413, NOVELTY: 0.0050161, AVERAGE_POPULARITY: 0.0655059, DIVERSITY_MEAN_INTER_LIST: 0.9946004, DIVERSITY_HERFINDAHL: 0.9994425, COVERAGE_ITEM: 0.5399731, COVERAGE_ITEM_CORRECT: 0.0603657, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2191519, DIVERSITY_GINI: 0.2206384, SHANNON_ENTROPY: 12.4956895, 
SearchBayesianSkopt-CV: Config 6 is suboptimal. Config: {'a': 0.9801472537312181, 'b': 0.3865104888076023, 'c': 0.4157385942815598, 'normalize': True} - results: ROC_AUC: 0.1882679, PRECISION: 0.0406031, PRECISION_RECALL_MIN_DEN: 0.1471790, RECALL: 0.1430638, MAP: 0.0667166, MRR: 0.1381690, NDCG: 0.1011230, F1: 0.0632536, HIT_RATE: 0.4060312, ARHR: 0.1602008, NOVELTY: 0.0050552, AVERAGE_POPULARITY: 0.0588501, DIVERSITY_MEAN_INTER_LIST: 0.9954722, DIVERSITY_HERFINDAHL: 0.9995296, COVERAGE_ITEM: 0.5563503, COVERAGE_ITEM_CORRECT: 0.0594880, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2116522, DIVERSITY_GINI: 0.2362342, SHANNON_ENTROPY: 12.6437248, 
SearchBayesianSkopt-CV: Config 7 is suboptimal. Config: {'a': 0.022256007292573158, 'b': 0.425606523197265, 'c': 0.47842847470210215, 'normalize': False} - results: ROC_AUC: 0.1968132, PRECISION: 0.0427954, PRECISION_RECALL_MIN_DEN: 0.1526374, RECALL: 0.1481694, MAP: 0.0708159, MRR: 0.1468178, NDCG: 0.1063709, F1: 0.0664096, HIT_RATE: 0.4279544, ARHR: 0.1708240, NOVELTY: 0.0048462, AVERAGE_POPULARITY: 0.0954385, DIVERSITY_MEAN_INTER_LIST: 0.9883698, DIVERSITY_HERFINDAHL: 0.9988195, COVERAGE_ITEM: 0.4667796, COVERAGE_ITEM_CORRECT: 0.0544678, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2209639, DIVERSITY_GINI: 0.1566666, SHANNON_ENTROPY: 11.7359123, 
SearchBayesianSkopt-CV: Config 8 is suboptimal. Config: {'a': 0.2901802313422713, 'b': 0.4392120921456557, 'c': 0.16625489563936016, 'normalize': False} - results: ROC_AUC: 0.1841776, PRECISION: 0.0402911, PRECISION_RECALL_MIN_DEN: 0.1446744, RECALL: 0.1403645, MAP: 0.0652020, MRR: 0.1352637, NDCG: 0.0989561, F1: 0.0626096, HIT_RATE: 0.4029112, ARHR: 0.1572178, NOVELTY: 0.0050576, AVERAGE_POPULARITY: 0.0567046, DIVERSITY_MEAN_INTER_LIST: 0.9953405, DIVERSITY_HERFINDAHL: 0.9995165, COVERAGE_ITEM: 0.5632647, COVERAGE_ITEM_CORRECT: 0.0581559, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2091104, DIVERSITY_GINI: 0.2411105, SHANNON_ENTROPY: 12.6574746, 
SearchBayesianSkopt-CV: Config 9 is suboptimal. Config: {'a': 0.5683111940284784, 'b': 0.7001538331023999, 'c': 0.15382612588769043, 'normalize': True} - results: ROC_AUC: 0.1914639, PRECISION: 0.0417516, PRECISION_RECALL_MIN_DEN: 0.1500231, RECALL: 0.1456514, MAP: 0.0679805, MRR: 0.1411344, NDCG: 0.1029987, F1: 0.0648989, HIT_RATE: 0.4175156, ARHR: 0.1642784, NOVELTY: 0.0050220, AVERAGE_POPULARITY: 0.0638411, DIVERSITY_MEAN_INTER_LIST: 0.9946811, DIVERSITY_HERFINDAHL: 0.9994505, COVERAGE_ITEM: 0.5492666, COVERAGE_ITEM_CORRECT: 0.0591338, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2161570, DIVERSITY_GINI: 0.2272582, SHANNON_ENTROPY: 12.5355099, 
SearchBayesianSkopt-CV: Config 10 is suboptimal. Config: {'a': 0.10069452704624818, 'b': 0.32752587360924085, 'c': 0.24724692065505866, 'normalize': False} - results: ROC_AUC: 0.1989541, PRECISION: 0.0437304, PRECISION_RECALL_MIN_DEN: 0.1565289, RECALL: 0.1519461, MAP: 0.0717514, MRR: 0.1480857, NDCG: 0.1080990, F1: 0.0679146, HIT_RATE: 0.4373043, ARHR: 0.1729501, NOVELTY: 0.0049431, AVERAGE_POPULARITY: 0.0773777, DIVERSITY_MEAN_INTER_LIST: 0.9921922, DIVERSITY_HERFINDAHL: 0.9992017, COVERAGE_ITEM: 0.5177825, COVERAGE_ITEM_CORRECT: 0.0589105, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2243614, DIVERSITY_GINI: 0.1975648, SHANNON_ENTROPY: 12.2084540, 
