
SearchBayesianSkopt-CV: New best config found. Config 0: {'a': 0.39988908366603393, 'b': 0.7467067794473331, 'c': 0.2068190996377532, 'normalize': False} - results: ROC_AUC: 0.1964253, PRECISION: 0.0428955, PRECISION_RECALL_MIN_DEN: 0.1551569, RECALL: 0.1507121, MAP: 0.0710935, MRR: 0.1456903, NDCG: 0.1069790, F1: 0.0667829, HIT_RATE: 0.4289553, ARHR: 0.1697152, NOVELTY: 0.0049692, AVERAGE_POPULARITY: 0.0725622, DIVERSITY_MEAN_INTER_LIST: 0.9930003, DIVERSITY_HERFINDAHL: 0.9992825, COVERAGE_ITEM: 0.5268373, COVERAGE_ITEM_CORRECT: 0.0588951, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2210142, DIVERSITY_GINI: 0.2064306, SHANNON_ENTROPY: 12.3100460, 

SearchBayesianSkopt-CV: New best config found. Config 1: {'a': 0.36830431095858746, 'b': 0.898354624392607, 'c': 0.6843511636770881, 'normalize': True} - results: ROC_AUC: 0.2002641, PRECISION: 0.0438287, PRECISION_RECALL_MIN_DEN: 0.1574627, RECALL: 0.1529634, MAP: 0.0725643, MRR: 0.1488426, NDCG: 0.1090311, F1: 0.0681343, HIT_RATE: 0.4382868, ARHR: 0.1737892, NOVELTY: 0.0049005, AVERAGE_POPULARITY: 0.0855740, DIVERSITY_MEAN_INTER_LIST: 0.9906146, DIVERSITY_HERFINDAHL: 0.9990440, COVERAGE_ITEM: 0.4927661, COVERAGE_ITEM_CORRECT: 0.0579711, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2248396, DIVERSITY_GINI: 0.1769491, SHANNON_ENTROPY: 11.9856365, 
SearchBayesianSkopt-CV: Config 2 is suboptimal. Config: {'a': 0.09471694751981954, 'b': 0.9203273643855152, 'c': 0.16044463553572766, 'normalize': True} - results: ROC_AUC: 0.1991239, PRECISION: 0.0436212, PRECISION_RECALL_MIN_DEN: 0.1564756, RECALL: 0.1519764, MAP: 0.0722487, MRR: 0.1485517, NDCG: 0.1085118, F1: 0.0677851, HIT_RATE: 0.4362115, ARHR: 0.1731521, NOVELTY: 0.0048568, AVERAGE_POPULARITY: 0.0935348, DIVERSITY_MEAN_INTER_LIST: 0.9885245, DIVERSITY_HERFINDAHL: 0.9988350, COVERAGE_ITEM: 0.4745409, COVERAGE_ITEM_CORRECT: 0.0561848, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2246886, DIVERSITY_GINI: 0.1617935, SHANNON_ENTROPY: 11.7790258, 
SearchBayesianSkopt-CV: Config 3 is suboptimal. Config: {'a': 0.9781575812965135, 'b': 0.6416852376253805, 'c': 0.8119823355130084, 'normalize': False} - results: ROC_AUC: 0.1906434, PRECISION: 0.0409026, PRECISION_RECALL_MIN_DEN: 0.1497317, RECALL: 0.1455668, MAP: 0.0688619, MRR: 0.1406062, NDCG: 0.1034569, F1: 0.0638605, HIT_RATE: 0.4090259, ARHR: 0.1627693, NOVELTY: 0.0050034, AVERAGE_POPULARITY: 0.0664409, DIVERSITY_MEAN_INTER_LIST: 0.9940584, DIVERSITY_HERFINDAHL: 0.9993883, COVERAGE_ITEM: 0.5347988, COVERAGE_ITEM_CORRECT: 0.0578556, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2133384, DIVERSITY_GINI: 0.2158563, SHANNON_ENTROPY: 12.4316056, 
SearchBayesianSkopt-CV: Config 4 is suboptimal. Config: {'a': 0.19083263978347026, 'b': 0.36822743561222177, 'c': 0.6433901864235739, 'normalize': False} - results: ROC_AUC: 0.1983968, PRECISION: 0.0436324, PRECISION_RECALL_MIN_DEN: 0.1552041, RECALL: 0.1506496, MAP: 0.0722776, MRR: 0.1487529, NDCG: 0.1082165, F1: 0.0676651, HIT_RATE: 0.4363242, ARHR: 0.1736311, NOVELTY: 0.0048520, AVERAGE_POPULARITY: 0.0955394, DIVERSITY_MEAN_INTER_LIST: 0.9885641, DIVERSITY_HERFINDAHL: 0.9988389, COVERAGE_ITEM: 0.4541059, COVERAGE_ITEM_CORRECT: 0.0560924, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2235057, DIVERSITY_GINI: 0.1498138, SHANNON_ENTROPY: 11.6878539, 
SearchBayesianSkopt-CV: Config 5 is suboptimal. Config: {'a': 0.9867428031916895, 'b': 0.2806981062140121, 'c': 0.9904798367366471, 'normalize': True} - results: ROC_AUC: 0.1807483, PRECISION: 0.0381956, PRECISION_RECALL_MIN_DEN: 0.1416753, RECALL: 0.1379550, MAP: 0.0643426, MRR: 0.1317416, NDCG: 0.0972238, F1: 0.0598257, HIT_RATE: 0.3819557, ARHR: 0.1515871, NOVELTY: 0.0050478, AVERAGE_POPULARITY: 0.0591063, DIVERSITY_MEAN_INTER_LIST: 0.9951232, DIVERSITY_HERFINDAHL: 0.9994947, COVERAGE_ITEM: 0.5506679, COVERAGE_ITEM_CORRECT: 0.0561925, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2032465, DIVERSITY_GINI: 0.2315415, SHANNON_ENTROPY: 12.5932882, 

SearchBayesianSkopt-CV: New best config found. Config 6: {'a': 0.2127784681579103, 'b': 0.60649347517527, 'c': 0.1328508812429561, 'normalize': False} - results: ROC_AUC: 0.2001222, PRECISION: 0.0439351, PRECISION_RECALL_MIN_DEN: 0.1581377, RECALL: 0.1536096, MAP: 0.0727584, MRR: 0.1493476, NDCG: 0.1093435, F1: 0.0683272, HIT_RATE: 0.4393508, ARHR: 0.1742545, NOVELTY: 0.0049277, AVERAGE_POPULARITY: 0.0801388, DIVERSITY_MEAN_INTER_LIST: 0.9915634, DIVERSITY_HERFINDAHL: 0.9991388, COVERAGE_ITEM: 0.5085351, COVERAGE_ITEM_CORRECT: 0.0589567, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2255946, DIVERSITY_GINI: 0.1899164, SHANNON_ENTROPY: 12.1250213, 
SearchBayesianSkopt-CV: Config 7 is suboptimal. Config: {'a': 0.974238032123889, 'b': 0.05681121439278215, 'c': 0.7588862294834752, 'normalize': False} - results: ROC_AUC: 0.1768023, PRECISION: 0.0367683, PRECISION_RECALL_MIN_DEN: 0.1386800, RECALL: 0.1352786, MAP: 0.0629210, MRR: 0.1279498, NDCG: 0.0950527, F1: 0.0578206, HIT_RATE: 0.3676826, ARHR: 0.1461065, NOVELTY: 0.0050672, AVERAGE_POPULARITY: 0.0555575, DIVERSITY_MEAN_INTER_LIST: 0.9954840, DIVERSITY_HERFINDAHL: 0.9995308, COVERAGE_ITEM: 0.5530164, COVERAGE_ITEM_CORRECT: 0.0548065, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1983390, DIVERSITY_GINI: 0.2356478, SHANNON_ENTROPY: 12.6434252, 
SearchBayesianSkopt-CV: Config 8 is suboptimal. Config: {'a': 0.44111403803963356, 'b': 0.20563284056244352, 'c': 0.5755894297091031, 'normalize': False} - results: ROC_AUC: 0.1952072, PRECISION: 0.0420337, PRECISION_RECALL_MIN_DEN: 0.1536398, RECALL: 0.1494544, MAP: 0.0711110, MRR: 0.1449072, NDCG: 0.1065840, F1: 0.0656130, HIT_RATE: 0.4203372, ARHR: 0.1678944, NOVELTY: 0.0049650, AVERAGE_POPULARITY: 0.0741208, DIVERSITY_MEAN_INTER_LIST: 0.9928790, DIVERSITY_HERFINDAHL: 0.9992704, COVERAGE_ITEM: 0.5134013, COVERAGE_ITEM_CORRECT: 0.0580789, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2182710, DIVERSITY_GINI: 0.1970901, SHANNON_ENTROPY: 12.2458419, 
