
SearchBayesianSkopt-CV: New best config found. Config 0: {'a': 0.2402083311066015, 'b': 0.39231489722851487, 'c': 0.19322076285125317, 'normalize': True} - results: ROC_AUC: 0.2005522, PRECISION: 0.0439295, PRECISION_RECALL_MIN_DEN: 0.1550823, RECALL: 0.1503647, MAP: 0.0724388, MRR: 0.1497943, NDCG: 0.1084041, F1: 0.0679931, HIT_RATE: 0.4392952, ARHR: 0.1751033, NOVELTY: 0.0048841, AVERAGE_POPULARITY: 0.0944438, DIVERSITY_MEAN_INTER_LIST: 0.9892241, DIVERSITY_HERFINDAHL: 0.9989049, COVERAGE_ITEM: 0.4667719, COVERAGE_ITEM_CORRECT: 0.0559692, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2250409, DIVERSITY_GINI: 0.1589141, SHANNON_ENTROPY: 11.8045544, 

SearchBayesianSkopt-CV: New best config found. Config 1: {'a': 0.6260947676657251, 'b': 0.8163287494432733, 'c': 0.6583835716132438, 'normalize': False} - results: ROC_AUC: 0.1999798, PRECISION: 0.0436612, PRECISION_RECALL_MIN_DEN: 0.1552097, RECALL: 0.1506467, MAP: 0.0725024, MRR: 0.1501096, NDCG: 0.1085256, F1: 0.0676992, HIT_RATE: 0.4366123, ARHR: 0.1752802, NOVELTY: 0.0048988, AVERAGE_POPULARITY: 0.0953137, DIVERSITY_MEAN_INTER_LIST: 0.9885085, DIVERSITY_HERFINDAHL: 0.9988334, COVERAGE_ITEM: 0.4733859, COVERAGE_ITEM_CORRECT: 0.0555303, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2239587, DIVERSITY_GINI: 0.1629168, SHANNON_ENTROPY: 11.8054400, 
SearchBayesianSkopt-CV: Config 2 is suboptimal. Config: {'a': 0.9953856593904037, 'b': 0.8242464768057526, 'c': 0.27096301034656506, 'normalize': True} - results: ROC_AUC: 0.2005535, PRECISION: 0.0436143, PRECISION_RECALL_MIN_DEN: 0.1574361, RECALL: 0.1530034, MAP: 0.0724842, MRR: 0.1488724, NDCG: 0.1089220, F1: 0.0678786, HIT_RATE: 0.4361433, ARHR: 0.1736062, NOVELTY: 0.0049906, AVERAGE_POPULARITY: 0.0758425, DIVERSITY_MEAN_INTER_LIST: 0.9927929, DIVERSITY_HERFINDAHL: 0.9992617, COVERAGE_ITEM: 0.5225101, COVERAGE_ITEM_CORRECT: 0.0601501, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2250157, DIVERSITY_GINI: 0.2025398, SHANNON_ENTROPY: 12.2832912, 
SearchBayesianSkopt-CV: Config 3 is suboptimal. Config: {'a': 0.8490806214717617, 'b': 0.22519798480808623, 'c': 0.5961181908448233, 'normalize': False} - results: ROC_AUC: 0.1749261, PRECISION: 0.0369629, PRECISION_RECALL_MIN_DEN: 0.1359610, RECALL: 0.1322796, MAP: 0.0617602, MRR: 0.1271247, NDCG: 0.0934023, F1: 0.0577799, HIT_RATE: 0.3696285, ARHR: 0.1459354, NOVELTY: 0.0051449, AVERAGE_POPULARITY: 0.0465032, DIVERSITY_MEAN_INTER_LIST: 0.9963975, DIVERSITY_HERFINDAHL: 0.9996221, COVERAGE_ITEM: 0.5759923, COVERAGE_ITEM_CORRECT: 0.0566314, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1971058, DIVERSITY_GINI: 0.2580539, SHANNON_ENTROPY: 12.8349923, 

SearchBayesianSkopt-CV: New best config found. Config 4: {'a': 0.832571339270521, 'b': 0.8653273721642215, 'c': 0.7506134926755891, 'normalize': False} - results: ROC_AUC: 0.2021042, PRECISION: 0.0441620, PRECISION_RECALL_MIN_DEN: 0.1581677, RECALL: 0.1535739, MAP: 0.0733925, MRR: 0.1513400, NDCG: 0.1100211, F1: 0.0685962, HIT_RATE: 0.4416204, ARHR: 0.1765940, NOVELTY: 0.0049283, AVERAGE_POPULARITY: 0.0899960, DIVERSITY_MEAN_INTER_LIST: 0.9897426, DIVERSITY_HERFINDAHL: 0.9989568, COVERAGE_ITEM: 0.4869605, COVERAGE_ITEM_CORRECT: 0.0573628, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2271549, DIVERSITY_GINI: 0.1734082, SHANNON_ENTROPY: 11.9380495, 

SearchBayesianSkopt-CV: New best config found. Config 5: {'a': 0.11340363717192684, 'b': 0.07221362174970904, 'c': 0.7644867129062151, 'normalize': False} - results: ROC_AUC: 0.2036179, PRECISION: 0.0445825, PRECISION_RECALL_MIN_DEN: 0.1593165, RECALL: 0.1546884, MAP: 0.0738775, MRR: 0.1518113, NDCG: 0.1107663, F1: 0.0692150, HIT_RATE: 0.4458253, ARHR: 0.1774429, NOVELTY: 0.0049357, AVERAGE_POPULARITY: 0.0854942, DIVERSITY_MEAN_INTER_LIST: 0.9910972, DIVERSITY_HERFINDAHL: 0.9990922, COVERAGE_ITEM: 0.4894244, COVERAGE_ITEM_CORRECT: 0.0592493, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2286901, DIVERSITY_GINI: 0.1771504, SHANNON_ENTROPY: 12.0292380, 
SearchBayesianSkopt-CV: Config 6 is suboptimal. Config: {'a': 0.9801472537312181, 'b': 0.3865104888076023, 'c': 0.4157385942815598, 'normalize': True} - results: ROC_AUC: 0.1961497, PRECISION: 0.0425963, PRECISION_RECALL_MIN_DEN: 0.1541712, RECALL: 0.1498888, MAP: 0.0706489, MRR: 0.1453595, NDCG: 0.1064838, F1: 0.0663388, HIT_RATE: 0.4259629, ARHR: 0.1689818, NOVELTY: 0.0050223, AVERAGE_POPULARITY: 0.0675849, DIVERSITY_MEAN_INTER_LIST: 0.9942609, DIVERSITY_HERFINDAHL: 0.9994085, COVERAGE_ITEM: 0.5372166, COVERAGE_ITEM_CORRECT: 0.0607507, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2206871, DIVERSITY_GINI: 0.2176101, SHANNON_ENTROPY: 12.4613934, 
SearchBayesianSkopt-CV: Config 7 is suboptimal. Config: {'a': 0.022256007292573158, 'b': 0.425606523197265, 'c': 0.47842847470210215, 'normalize': False} - results: ROC_AUC: 0.1796248, PRECISION: 0.0381832, PRECISION_RECALL_MIN_DEN: 0.1336569, RECALL: 0.1294546, MAP: 0.0623929, MRR: 0.1332053, NDCG: 0.0940041, F1: 0.0589707, HIT_RATE: 0.3818316, ARHR: 0.1541206, NOVELTY: 0.0047959, AVERAGE_POPULARITY: 0.1117102, DIVERSITY_MEAN_INTER_LIST: 0.9840102, DIVERSITY_HERFINDAHL: 0.9983836, COVERAGE_ITEM: 0.4338864, COVERAGE_ITEM_CORRECT: 0.0434033, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2000755, DIVERSITY_GINI: 0.1342763, SHANNON_ENTROPY: 11.3867396, 
SearchBayesianSkopt-CV: Config 8 is suboptimal. Config: {'a': 0.2901802313422713, 'b': 0.4392120921456557, 'c': 0.16625489563936016, 'normalize': False} - results: ROC_AUC: 0.1980839, PRECISION: 0.0432930, PRECISION_RECALL_MIN_DEN: 0.1532297, RECALL: 0.1486599, MAP: 0.0716382, MRR: 0.1487812, NDCG: 0.1072739, F1: 0.0670562, HIT_RATE: 0.4329297, ARHR: 0.1737156, NOVELTY: 0.0048841, AVERAGE_POPULARITY: 0.0980271, DIVERSITY_MEAN_INTER_LIST: 0.9878159, DIVERSITY_HERFINDAHL: 0.9987641, COVERAGE_ITEM: 0.4660250, COVERAGE_ITEM_CORRECT: 0.0543292, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2220461, DIVERSITY_GINI: 0.1578129, SHANNON_ENTROPY: 11.7373461, 
