
SearchBayesianSkopt-CV: New best config found. Config 0: {'a': 0.09735591577502803, 'b': 0.7598040810517013, 'c': 0.9256075301479226, 'normalize': True} - results: ROC_AUC: 0.1734840, PRECISION: 0.0368787, PRECISION_RECALL_MIN_DEN: 0.1282585, RECALL: 0.1242064, MAP: 0.0602157, MRR: 0.1285430, NDCG: 0.0906264, F1: 0.0568689, HIT_RATE: 0.3687875, ARHR: 0.1485322, NOVELTY: 0.0048199, AVERAGE_POPULARITY: 0.1138743, DIVERSITY_MEAN_INTER_LIST: 0.9831044, DIVERSITY_HERFINDAHL: 0.9982931, COVERAGE_ITEM: 0.4389297, COVERAGE_ITEM_CORRECT: 0.0411781, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1937587, DIVERSITY_GINI: 0.1414564, SHANNON_ENTROPY: 11.4434337, 

SearchBayesianSkopt-CV: New best config found. Config 1: {'a': 0.24087188903472329, 'b': 0.42770928901391325, 'c': 0.13654462212342625, 'normalize': True} - results: ROC_AUC: 0.1973847, PRECISION: 0.0432827, PRECISION_RECALL_MIN_DEN: 0.1529056, RECALL: 0.1483365, MAP: 0.0712843, MRR: 0.1477071, NDCG: 0.1068580, F1: 0.0670100, HIT_RATE: 0.4328269, ARHR: 0.1725390, NOVELTY: 0.0048870, AVERAGE_POPULARITY: 0.0987139, DIVERSITY_MEAN_INTER_LIST: 0.9875594, DIVERSITY_HERFINDAHL: 0.9987385, COVERAGE_ITEM: 0.4757652, COVERAGE_ITEM_CORRECT: 0.0544524, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2219957, DIVERSITY_GINI: 0.1638173, SHANNON_ENTROPY: 11.7738695, 
SearchBayesianSkopt-CV: Config 2 is suboptimal. Config: {'a': 0.29131768919081885, 'b': 0.5873065304960701, 'c': 0.9118399926517474, 'normalize': True} - results: ROC_AUC: 0.1812889, PRECISION: 0.0390059, PRECISION_RECALL_MIN_DEN: 0.1360401, RECALL: 0.1318027, MAP: 0.0636390, MRR: 0.1344486, NDCG: 0.0957204, F1: 0.0601951, HIT_RATE: 0.3900590, ARHR: 0.1561469, NOVELTY: 0.0048446, AVERAGE_POPULARITY: 0.1096298, DIVERSITY_MEAN_INTER_LIST: 0.9844411, DIVERSITY_HERFINDAHL: 0.9984267, COVERAGE_ITEM: 0.4509028, COVERAGE_ITEM_CORRECT: 0.0455053, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2027683, DIVERSITY_GINI: 0.1492560, SHANNON_ENTROPY: 11.5551921, 

SearchBayesianSkopt-CV: New best config found. Config 3: {'a': 0.543386898504963, 'b': 0.7342976604662068, 'c': 0.841096169323537, 'normalize': False} - results: ROC_AUC: 0.1988264, PRECISION: 0.0434066, PRECISION_RECALL_MIN_DEN: 0.1541611, RECALL: 0.1496234, MAP: 0.0719847, MRR: 0.1492172, NDCG: 0.1078055, F1: 0.0672908, HIT_RATE: 0.4340660, ARHR: 0.1742391, NOVELTY: 0.0048910, AVERAGE_POPULARITY: 0.0970716, DIVERSITY_MEAN_INTER_LIST: 0.9880097, DIVERSITY_HERFINDAHL: 0.9987835, COVERAGE_ITEM: 0.4698210, COVERAGE_ITEM_CORRECT: 0.0548681, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2227256, DIVERSITY_GINI: 0.1605719, SHANNON_ENTROPY: 11.7689422, 

SearchBayesianSkopt-CV: New best config found. Config 4: {'a': 0.9002656237960389, 'b': 0.6604377108324274, 'c': 0.15893914283313973, 'normalize': False} - results: ROC_AUC: 0.2013693, PRECISION: 0.0436810, PRECISION_RECALL_MIN_DEN: 0.1586504, RECALL: 0.1542255, MAP: 0.0730344, MRR: 0.1499596, NDCG: 0.1097232, F1: 0.0680790, HIT_RATE: 0.4368104, ARHR: 0.1746192, NOVELTY: 0.0049907, AVERAGE_POPULARITY: 0.0784509, DIVERSITY_MEAN_INTER_LIST: 0.9919702, DIVERSITY_HERFINDAHL: 0.9991795, COVERAGE_ITEM: 0.5182830, COVERAGE_ITEM_CORRECT: 0.0595958, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2259217, DIVERSITY_GINI: 0.1988120, SHANNON_ENTROPY: 12.2207128, 
SearchBayesianSkopt-CV: Config 5 is suboptimal. Config: {'a': 0.0496436964031768, 'b': 0.7352032642709245, 'c': 0.72103645775687, 'normalize': False} - results: ROC_AUC: 0.1790144, PRECISION: 0.0380631, PRECISION_RECALL_MIN_DEN: 0.1331057, RECALL: 0.1289211, MAP: 0.0622306, MRR: 0.1328962, NDCG: 0.0937239, F1: 0.0587718, HIT_RATE: 0.3806311, ARHR: 0.1537368, NOVELTY: 0.0047931, AVERAGE_POPULARITY: 0.1127589, DIVERSITY_MEAN_INTER_LIST: 0.9835365, DIVERSITY_HERFINDAHL: 0.9983363, COVERAGE_ITEM: 0.4307680, COVERAGE_ITEM_CORRECT: 0.0431492, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1993457, DIVERSITY_GINI: 0.1332407, SHANNON_ENTROPY: 11.3656335, 
SearchBayesianSkopt-CV: Config 6 is suboptimal. Config: {'a': 0.24491463745393566, 'b': 0.8238499688341738, 'c': 0.3267937743195019, 'normalize': False} - results: ROC_AUC: 0.1877330, PRECISION: 0.0406147, PRECISION_RECALL_MIN_DEN: 0.1419482, RECALL: 0.1375278, MAP: 0.0661449, MRR: 0.1396872, NDCG: 0.0995613, F1: 0.0627089, HIT_RATE: 0.4061470, ARHR: 0.1624885, NOVELTY: 0.0048236, AVERAGE_POPULARITY: 0.1078603, DIVERSITY_MEAN_INTER_LIST: 0.9850847, DIVERSITY_HERFINDAHL: 0.9984911, COVERAGE_ITEM: 0.4406622, COVERAGE_ITEM_CORRECT: 0.0481001, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2101170, DIVERSITY_GINI: 0.1400455, SHANNON_ENTROPY: 11.4828755, 
SearchBayesianSkopt-CV: Config 7 is suboptimal. Config: {'a': 0.920647097320486, 'b': 0.48598313973542406, 'c': 0.6867270937180993, 'normalize': False} - results: ROC_AUC: 0.1967862, PRECISION: 0.0423766, PRECISION_RECALL_MIN_DEN: 0.1540520, RECALL: 0.1497341, MAP: 0.0710803, MRR: 0.1455361, NDCG: 0.1066621, F1: 0.0660571, HIT_RATE: 0.4237661, ARHR: 0.1691961, NOVELTY: 0.0050400, AVERAGE_POPULARITY: 0.0681735, DIVERSITY_MEAN_INTER_LIST: 0.9936826, DIVERSITY_HERFINDAHL: 0.9993507, COVERAGE_ITEM: 0.5412358, COVERAGE_ITEM_CORRECT: 0.0598499, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2198817, DIVERSITY_GINI: 0.2204849, SHANNON_ENTROPY: 12.4502731, 
