
SearchBayesianSkopt-CV: New best config found. Config 0: {'a': 0.2402083311066015, 'b': 0.39231489722851487, 'c': 0.19322076285125317, 'normalize': True} - results: ROC_AUC: 0.1991490, PRECISION: 0.0436005, PRECISION_RECALL_MIN_DEN: 0.1554686, RECALL: 0.1509098, MAP: 0.0724724, MRR: 0.1494707, NDCG: 0.1084569, F1: 0.0676529, HIT_RATE: 0.4360052, ARHR: 0.1744348, NOVELTY: 0.0048950, AVERAGE_POPULARITY: 0.0967863, DIVERSITY_MEAN_INTER_LIST: 0.9878987, DIVERSITY_HERFINDAHL: 0.9987724, COVERAGE_ITEM: 0.4815014, COVERAGE_ITEM_CORRECT: 0.0554841, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2235057, DIVERSITY_GINI: 0.1663122, SHANNON_ENTROPY: 11.7982023, 
SearchBayesianSkopt-CV: Config 1 is suboptimal. Config: {'a': 0.6260947676657251, 'b': 0.8163287494432733, 'c': 0.6583835716132438, 'normalize': False} - results: ROC_AUC: 0.1899235, PRECISION: 0.0411234, PRECISION_RECALL_MIN_DEN: 0.1446552, RECALL: 0.1402013, MAP: 0.0677329, MRR: 0.1420237, NDCG: 0.1015829, F1: 0.0635925, HIT_RATE: 0.4112339, ARHR: 0.1651960, NOVELTY: 0.0048242, AVERAGE_POPULARITY: 0.1092540, DIVERSITY_MEAN_INTER_LIST: 0.9844464, DIVERSITY_HERFINDAHL: 0.9984272, COVERAGE_ITEM: 0.4475611, COVERAGE_ITEM_CORRECT: 0.0489779, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2125582, DIVERSITY_GINI: 0.1421550, SHANNON_ENTROPY: 11.4683041, 
SearchBayesianSkopt-CV: Config 2 is suboptimal. Config: {'a': 0.9953856593904037, 'b': 0.8242464768057526, 'c': 0.27096301034656506, 'normalize': True} - results: ROC_AUC: 0.1948193, PRECISION: 0.0422287, PRECISION_RECALL_MIN_DEN: 0.1531008, RECALL: 0.1487779, MAP: 0.0702649, MRR: 0.1445752, NDCG: 0.1057038, F1: 0.0657842, HIT_RATE: 0.4222871, ARHR: 0.1680576, NOVELTY: 0.0050217, AVERAGE_POPULARITY: 0.0714526, DIVERSITY_MEAN_INTER_LIST: 0.9931375, DIVERSITY_HERFINDAHL: 0.9992962, COVERAGE_ITEM: 0.5398576, COVERAGE_ITEM_CORRECT: 0.0588720, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2191267, DIVERSITY_GINI: 0.2171776, SHANNON_ENTROPY: 12.3940296, 

SearchBayesianSkopt-CV: New best config found. Config 3: {'a': 0.8490806214717617, 'b': 0.22519798480808623, 'c': 0.5961181908448233, 'normalize': False} - results: ROC_AUC: 0.2020233, PRECISION: 0.0441234, PRECISION_RECALL_MIN_DEN: 0.1587127, RECALL: 0.1541723, MAP: 0.0735581, MRR: 0.1513902, NDCG: 0.1102546, F1: 0.0686085, HIT_RATE: 0.4412338, ARHR: 0.1765775, NOVELTY: 0.0049301, AVERAGE_POPULARITY: 0.0903823, DIVERSITY_MEAN_INTER_LIST: 0.9894812, DIVERSITY_HERFINDAHL: 0.9989306, COVERAGE_ITEM: 0.4909721, COVERAGE_ITEM_CORRECT: 0.0573782, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2270291, DIVERSITY_GINI: 0.1754269, SHANNON_ENTROPY: 11.9389268, 
SearchBayesianSkopt-CV: Config 4 is suboptimal. Config: {'a': 0.832571339270521, 'b': 0.8653273721642215, 'c': 0.7506134926755891, 'normalize': False} - results: ROC_AUC: 0.1929941, PRECISION: 0.0418051, PRECISION_RECALL_MIN_DEN: 0.1475968, RECALL: 0.1431332, MAP: 0.0691022, MRR: 0.1443743, NDCG: 0.1035638, F1: 0.0647089, HIT_RATE: 0.4180510, ARHR: 0.1680621, NOVELTY: 0.0048377, AVERAGE_POPULARITY: 0.1069596, DIVERSITY_MEAN_INTER_LIST: 0.9851304, DIVERSITY_HERFINDAHL: 0.9984956, COVERAGE_ITEM: 0.4522887, COVERAGE_ITEM_CORRECT: 0.0504716, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2156537, DIVERSITY_GINI: 0.1457208, SHANNON_ENTROPY: 11.5254685, 
SearchBayesianSkopt-CV: Config 5 is suboptimal. Config: {'a': 0.11340363717192684, 'b': 0.07221362174970904, 'c': 0.7644867129062151, 'normalize': False} - results: ROC_AUC: 0.1819017, PRECISION: 0.0388367, PRECISION_RECALL_MIN_DEN: 0.1360386, RECALL: 0.1317790, MAP: 0.0634943, MRR: 0.1349145, NDCG: 0.0956026, F1: 0.0599912, HIT_RATE: 0.3883673, ARHR: 0.1563163, NOVELTY: 0.0048073, AVERAGE_POPULARITY: 0.1113329, DIVERSITY_MEAN_INTER_LIST: 0.9839130, DIVERSITY_HERFINDAHL: 0.9983739, COVERAGE_ITEM: 0.4411396, COVERAGE_ITEM_CORRECT: 0.0445351, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2027180, DIVERSITY_GINI: 0.1378519, SHANNON_ENTROPY: 11.4097497, 
SearchBayesianSkopt-CV: Config 6 is suboptimal. Config: {'a': 0.9801472537312181, 'b': 0.3865104888076023, 'c': 0.4157385942815598, 'normalize': True} - results: ROC_AUC: 0.1885520, PRECISION: 0.0406488, PRECISION_RECALL_MIN_DEN: 0.1482681, RECALL: 0.1441320, MAP: 0.0678839, MRR: 0.1389398, NDCG: 0.1021145, F1: 0.0634129, HIT_RATE: 0.4064878, ARHR: 0.1612573, NOVELTY: 0.0050683, AVERAGE_POPULARITY: 0.0619709, DIVERSITY_MEAN_INTER_LIST: 0.9946087, DIVERSITY_HERFINDAHL: 0.9994433, COVERAGE_ITEM: 0.5555342, COVERAGE_ITEM_CORRECT: 0.0586949, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2123569, DIVERSITY_GINI: 0.2339926, SHANNON_ENTROPY: 12.5812200, 
SearchBayesianSkopt-CV: Config 7 is suboptimal. Config: {'a': 0.022256007292573158, 'b': 0.425606523197265, 'c': 0.47842847470210215, 'normalize': False} - results: ROC_AUC: 0.1768308, PRECISION: 0.0371977, PRECISION_RECALL_MIN_DEN: 0.1307151, RECALL: 0.1266858, MAP: 0.0611073, MRR: 0.1308141, NDCG: 0.0920853, F1: 0.0575076, HIT_RATE: 0.3719766, ARHR: 0.1509662, NOVELTY: 0.0047894, AVERAGE_POPULARITY: 0.1160452, DIVERSITY_MEAN_INTER_LIST: 0.9821820, DIVERSITY_HERFINDAHL: 0.9982008, COVERAGE_ITEM: 0.4453359, COVERAGE_ITEM_CORRECT: 0.0416169, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1960488, DIVERSITY_GINI: 0.1366899, SHANNON_ENTROPY: 11.3231272, 
SearchBayesianSkopt-CV: Config 8 is suboptimal. Config: {'a': 0.2901802313422713, 'b': 0.4392120921456557, 'c': 0.16625489563936016, 'normalize': False} - results: ROC_AUC: 0.1910853, PRECISION: 0.0413492, PRECISION_RECALL_MIN_DEN: 0.1457339, RECALL: 0.1412765, MAP: 0.0682895, MRR: 0.1427967, NDCG: 0.1023375, F1: 0.0639726, HIT_RATE: 0.4134923, ARHR: 0.1661517, NOVELTY: 0.0048233, AVERAGE_POPULARITY: 0.1096213, DIVERSITY_MEAN_INTER_LIST: 0.9842861, DIVERSITY_HERFINDAHL: 0.9984112, COVERAGE_ITEM: 0.4475842, COVERAGE_ITEM_CORRECT: 0.0494552, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2136655, DIVERSITY_GINI: 0.1421045, SHANNON_ENTROPY: 11.4628766, 
SearchBayesianSkopt-CV: Config 9 is suboptimal. Config: {'a': 0.5683111940284784, 'b': 0.7001538331023999, 'c': 0.15382612588769043, 'normalize': True} - results: ROC_AUC: 0.1993732, PRECISION: 0.0433883, PRECISION_RECALL_MIN_DEN: 0.1572254, RECALL: 0.1528023, MAP: 0.0722830, MRR: 0.1487432, NDCG: 0.1086390, F1: 0.0675847, HIT_RATE: 0.4338827, ARHR: 0.1731093, NOVELTY: 0.0049681, AVERAGE_POPULARITY: 0.0824794, DIVERSITY_MEAN_INTER_LIST: 0.9911057, DIVERSITY_HERFINDAHL: 0.9990931, COVERAGE_ITEM: 0.5184601, COVERAGE_ITEM_CORRECT: 0.0582791, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2246886, DIVERSITY_GINI: 0.1960766, SHANNON_ENTROPY: 12.1527018, 
