
SearchBayesianSkopt-CV: New best config found. Config 0: {'a': 0.2402083311066015, 'b': 0.39231489722851487, 'c': 0.19322076285125317, 'normalize': True} - results: ROC_AUC: 0.2004759, PRECISION: 0.0440000, PRECISION_RECALL_MIN_DEN: 0.1561953, RECALL: 0.1514950, MAP: 0.0729044, MRR: 0.1506431, NDCG: 0.1090709, F1: 0.0681924, HIT_RATE: 0.4399996, ARHR: 0.1759084, NOVELTY: 0.0048856, AVERAGE_POPULARITY: 0.0942278, DIVERSITY_MEAN_INTER_LIST: 0.9892299, DIVERSITY_HERFINDAHL: 0.9989055, COVERAGE_ITEM: 0.4730318, COVERAGE_ITEM_CORRECT: 0.0565929, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2251416, DIVERSITY_GINI: 0.1625408, SHANNON_ENTROPY: 11.8300694, 
SearchBayesianSkopt-CV: Config 1 is suboptimal. Config: {'a': 0.6260947676657251, 'b': 0.8163287494432733, 'c': 0.6583835716132438, 'normalize': False} - results: ROC_AUC: 0.1969356, PRECISION: 0.0426571, PRECISION_RECALL_MIN_DEN: 0.1519209, RECALL: 0.1474614, MAP: 0.0710828, MRR: 0.1474111, NDCG: 0.1063731, F1: 0.0661713, HIT_RATE: 0.4265710, ARHR: 0.1716150, NOVELTY: 0.0048481, AVERAGE_POPULARITY: 0.1055994, DIVERSITY_MEAN_INTER_LIST: 0.9855383, DIVERSITY_HERFINDAHL: 0.9985364, COVERAGE_ITEM: 0.4578633, COVERAGE_ITEM_CORRECT: 0.0523426, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2200327, DIVERSITY_GINI: 0.1494320, SHANNON_ENTROPY: 11.5738947, 
SearchBayesianSkopt-CV: Config 2 is suboptimal. Config: {'a': 0.9953856593904037, 'b': 0.8242464768057526, 'c': 0.27096301034656506, 'normalize': True} - results: ROC_AUC: 0.1975848, PRECISION: 0.0427297, PRECISION_RECALL_MIN_DEN: 0.1545657, RECALL: 0.1501992, MAP: 0.0711331, MRR: 0.1462808, NDCG: 0.1069575, F1: 0.0665309, HIT_RATE: 0.4272972, ARHR: 0.1702138, NOVELTY: 0.0050025, AVERAGE_POPULARITY: 0.0726477, DIVERSITY_MEAN_INTER_LIST: 0.9932786, DIVERSITY_HERFINDAHL: 0.9993103, COVERAGE_ITEM: 0.5318268, COVERAGE_ITEM_CORRECT: 0.0593956, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2212659, DIVERSITY_GINI: 0.2109946, SHANNON_ENTROPY: 12.3619883, 
SearchBayesianSkopt-CV: Config 3 is suboptimal. Config: {'a': 0.8490806214717617, 'b': 0.22519798480808623, 'c': 0.5961181908448233, 'normalize': False} - results: ROC_AUC: 0.1834748, PRECISION: 0.0392668, PRECISION_RECALL_MIN_DEN: 0.1429183, RECALL: 0.1388984, MAP: 0.0651021, MRR: 0.1346026, NDCG: 0.0983576, F1: 0.0612248, HIT_RATE: 0.3926682, ARHR: 0.1555790, NOVELTY: 0.0050946, AVERAGE_POPULARITY: 0.0559782, DIVERSITY_MEAN_INTER_LIST: 0.9953535, DIVERSITY_HERFINDAHL: 0.9995178, COVERAGE_ITEM: 0.5632724, COVERAGE_ITEM_CORRECT: 0.0574398, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2063420, DIVERSITY_GINI: 0.2432109, SHANNON_ENTROPY: 12.6811609, 
SearchBayesianSkopt-CV: Config 4 is suboptimal. Config: {'a': 0.832571339270521, 'b': 0.8653273721642215, 'c': 0.7506134926755891, 'normalize': False} - results: ROC_AUC: 0.1995313, PRECISION: 0.0434136, PRECISION_RECALL_MIN_DEN: 0.1551958, RECALL: 0.1506858, MAP: 0.0721743, MRR: 0.1493931, NDCG: 0.1081949, F1: 0.0674060, HIT_RATE: 0.4341357, ARHR: 0.1740295, NOVELTY: 0.0048728, AVERAGE_POPULARITY: 0.1010258, DIVERSITY_MEAN_INTER_LIST: 0.9867929, DIVERSITY_HERFINDAHL: 0.9986619, COVERAGE_ITEM: 0.4682810, COVERAGE_ITEM_CORRECT: 0.0544293, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2234302, DIVERSITY_GINI: 0.1573504, SHANNON_ENTROPY: 11.6887792, 

SearchBayesianSkopt-CV: New best config found. Config 5: {'a': 0.11340363717192684, 'b': 0.07221362174970904, 'c': 0.7644867129062151, 'normalize': False} - results: ROC_AUC: 0.2023818, PRECISION: 0.0442367, PRECISION_RECALL_MIN_DEN: 0.1576133, RECALL: 0.1529678, MAP: 0.0732843, MRR: 0.1510631, NDCG: 0.1097993, F1: 0.0686263, HIT_RATE: 0.4423671, ARHR: 0.1764741, NOVELTY: 0.0048990, AVERAGE_POPULARITY: 0.0930824, DIVERSITY_MEAN_INTER_LIST: 0.9892990, DIVERSITY_HERFINDAHL: 0.9989124, COVERAGE_ITEM: 0.4768277, COVERAGE_ITEM_CORRECT: 0.0572166, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2265509, DIVERSITY_GINI: 0.1659083, SHANNON_ENTROPY: 11.8606490, 
SearchBayesianSkopt-CV: Config 6 is suboptimal. Config: {'a': 0.9801472537312181, 'b': 0.3865104888076023, 'c': 0.4157385942815598, 'normalize': True} - results: ROC_AUC: 0.1939844, PRECISION: 0.0418039, PRECISION_RECALL_MIN_DEN: 0.1513711, RECALL: 0.1471409, MAP: 0.0693208, MRR: 0.1430913, NDCG: 0.1045676, F1: 0.0651089, HIT_RATE: 0.4180386, ARHR: 0.1661745, NOVELTY: 0.0050302, AVERAGE_POPULARITY: 0.0657545, DIVERSITY_MEAN_INTER_LIST: 0.9945100, DIVERSITY_HERFINDAHL: 0.9994334, COVERAGE_ITEM: 0.5421829, COVERAGE_ITEM_CORRECT: 0.0599192, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2173147, DIVERSITY_GINI: 0.2223847, SHANNON_ENTROPY: 12.5046048, 
SearchBayesianSkopt-CV: Config 7 is suboptimal. Config: {'a': 0.022256007292573158, 'b': 0.425606523197265, 'c': 0.47842847470210215, 'normalize': False} - results: ROC_AUC: 0.1775381, PRECISION: 0.0373984, PRECISION_RECALL_MIN_DEN: 0.1319846, RECALL: 0.1279253, MAP: 0.0618213, MRR: 0.1316206, NDCG: 0.0929595, F1: 0.0578751, HIT_RATE: 0.3739839, ARHR: 0.1518242, NOVELTY: 0.0047711, AVERAGE_POPULARITY: 0.1192473, DIVERSITY_MEAN_INTER_LIST: 0.9811807, DIVERSITY_HERFINDAHL: 0.9981007, COVERAGE_ITEM: 0.4386603, COVERAGE_ITEM_CORRECT: 0.0417170, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1975085, DIVERSITY_GINI: 0.1319942, SHANNON_ENTROPY: 11.2499273, 
SearchBayesianSkopt-CV: Config 8 is suboptimal. Config: {'a': 0.2901802313422713, 'b': 0.4392120921456557, 'c': 0.16625489563936016, 'normalize': False} - results: ROC_AUC: 0.1946413, PRECISION: 0.0420985, PRECISION_RECALL_MIN_DEN: 0.1493037, RECALL: 0.1448432, MAP: 0.0700548, MRR: 0.1455326, NDCG: 0.1047806, F1: 0.0652347, HIT_RATE: 0.4209845, ARHR: 0.1694408, NOVELTY: 0.0048347, AVERAGE_POPULARITY: 0.1081757, DIVERSITY_MEAN_INTER_LIST: 0.9847401, DIVERSITY_HERFINDAHL: 0.9984566, COVERAGE_ITEM: 0.4524735, COVERAGE_ITEM_CORRECT: 0.0511877, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2170127, DIVERSITY_GINI: 0.1455345, SHANNON_ENTROPY: 11.5109903, 
SearchBayesianSkopt-CV: Config 9 is suboptimal. Config: {'a': 0.5683111940284784, 'b': 0.7001538331023999, 'c': 0.15382612588769043, 'normalize': True} - results: ROC_AUC: 0.2007757, PRECISION: 0.0438829, PRECISION_RECALL_MIN_DEN: 0.1582841, RECALL: 0.1538191, MAP: 0.0727851, MRR: 0.1495784, NDCG: 0.1094206, F1: 0.0682844, HIT_RATE: 0.4388292, ARHR: 0.1744872, NOVELTY: 0.0049565, AVERAGE_POPULARITY: 0.0824957, DIVERSITY_MEAN_INTER_LIST: 0.9914495, DIVERSITY_HERFINDAHL: 0.9991274, COVERAGE_ITEM: 0.5120770, COVERAGE_ITEM_CORRECT: 0.0590876, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2259217, DIVERSITY_GINI: 0.1920345, SHANNON_ENTROPY: 12.1418106, 
SearchBayesianSkopt-CV: Config 10 is suboptimal. Config: {'a': 0.10069452704624818, 'b': 0.32752587360924085, 'c': 0.24724692065505866, 'normalize': False} - results: ROC_AUC: 0.1854883, PRECISION: 0.0396106, PRECISION_RECALL_MIN_DEN: 0.1399034, RECALL: 0.1355693, MAP: 0.0654715, MRR: 0.1376863, NDCG: 0.0982509, F1: 0.0613067, HIT_RATE: 0.3961060, ARHR: 0.1595450, NOVELTY: 0.0047891, AVERAGE_POPULARITY: 0.1155600, DIVERSITY_MEAN_INTER_LIST: 0.9824576, DIVERSITY_HERFINDAHL: 0.9982284, COVERAGE_ITEM: 0.4369971, COVERAGE_ITEM_CORRECT: 0.0457594, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2066944, DIVERSITY_GINI: 0.1338816, SHANNON_ENTROPY: 11.3238346, 
