
SearchBayesianSkopt-CV: New best config found. Config 0: {'a': 0.09735591577502803, 'b': 0.7598040810517013, 'c': 0.9256075301479226, 'normalize': True} - results: ROC_AUC: 0.1730554, PRECISION: 0.0364654, PRECISION_RECALL_MIN_DEN: 0.1273064, RECALL: 0.1233862, MAP: 0.0599335, MRR: 0.1278307, NDCG: 0.0901427, F1: 0.0562907, HIT_RATE: 0.3646545, ARHR: 0.1474588, NOVELTY: 0.0048201, AVERAGE_POPULARITY: 0.1165416, DIVERSITY_MEAN_INTER_LIST: 0.9821035, DIVERSITY_HERFINDAHL: 0.9981930, COVERAGE_ITEM: 0.4467141, COVERAGE_ITEM_CORRECT: 0.0405852, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1923996, DIVERSITY_GINI: 0.1441447, SHANNON_ENTROPY: 11.4269245, 

SearchBayesianSkopt-CV: New best config found. Config 1: {'a': 0.24087188903472329, 'b': 0.42770928901391325, 'c': 0.13654462212342625, 'normalize': True} - results: ROC_AUC: 0.1987466, PRECISION: 0.0434735, PRECISION_RECALL_MIN_DEN: 0.1548139, RECALL: 0.1503182, MAP: 0.0720735, MRR: 0.1486520, NDCG: 0.1079950, F1: 0.0674403, HIT_RATE: 0.4347347, ARHR: 0.1734091, NOVELTY: 0.0048908, AVERAGE_POPULARITY: 0.0991224, DIVERSITY_MEAN_INTER_LIST: 0.9872650, DIVERSITY_HERFINDAHL: 0.9987091, COVERAGE_ITEM: 0.4878460, COVERAGE_ITEM_CORRECT: 0.0552300, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2231031, DIVERSITY_GINI: 0.1700292, SHANNON_ENTROPY: 11.8038801, 
SearchBayesianSkopt-CV: Config 2 is suboptimal. Config: {'a': 0.29131768919081885, 'b': 0.5873065304960701, 'c': 0.9118399926517474, 'normalize': True} - results: ROC_AUC: 0.1816105, PRECISION: 0.0390271, PRECISION_RECALL_MIN_DEN: 0.1365307, RECALL: 0.1323219, MAP: 0.0637903, MRR: 0.1345700, NDCG: 0.0959972, F1: 0.0602744, HIT_RATE: 0.3902710, ARHR: 0.1561519, NOVELTY: 0.0048461, AVERAGE_POPULARITY: 0.1113339, DIVERSITY_MEAN_INTER_LIST: 0.9838343, DIVERSITY_HERFINDAHL: 0.9983660, COVERAGE_ITEM: 0.4575861, COVERAGE_ITEM_CORRECT: 0.0455592, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2033472, DIVERSITY_GINI: 0.1520273, SHANNON_ENTROPY: 11.5527389, 
SearchBayesianSkopt-CV: Config 3 is suboptimal. Config: {'a': 0.543386898504963, 'b': 0.7342976604662068, 'c': 0.841096169323537, 'normalize': False} - results: ROC_AUC: 0.1958667, PRECISION: 0.0425300, PRECISION_RECALL_MIN_DEN: 0.1512078, RECALL: 0.1467293, MAP: 0.0707090, MRR: 0.1465819, NDCG: 0.1058290, F1: 0.0659445, HIT_RATE: 0.4253001, ARHR: 0.1706684, NOVELTY: 0.0048435, AVERAGE_POPULARITY: 0.1070001, DIVERSITY_MEAN_INTER_LIST: 0.9850420, DIVERSITY_HERFINDAHL: 0.9984868, COVERAGE_ITEM: 0.4571473, COVERAGE_ITEM_CORRECT: 0.0519808, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2192022, DIVERSITY_GINI: 0.1486447, SHANNON_ENTROPY: 11.5491120, 

SearchBayesianSkopt-CV: New best config found. Config 4: {'a': 0.9002656237960389, 'b': 0.6604377108324274, 'c': 0.15893914283313973, 'normalize': False} - results: ROC_AUC: 0.2019792, PRECISION: 0.0441056, PRECISION_RECALL_MIN_DEN: 0.1593302, RECALL: 0.1548202, MAP: 0.0735920, MRR: 0.1510305, NDCG: 0.1103944, F1: 0.0686521, HIT_RATE: 0.4410556, ARHR: 0.1760049, NOVELTY: 0.0049248, AVERAGE_POPULARITY: 0.0913161, DIVERSITY_MEAN_INTER_LIST: 0.9891242, DIVERSITY_HERFINDAHL: 0.9988949, COVERAGE_ITEM: 0.4944139, COVERAGE_ITEM_CORRECT: 0.0575553, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2274569, DIVERSITY_GINI: 0.1773035, SHANNON_ENTROPY: 11.9377720, 
SearchBayesianSkopt-CV: Config 5 is suboptimal. Config: {'a': 0.0496436964031768, 'b': 0.7352032642709245, 'c': 0.72103645775687, 'normalize': False} - results: ROC_AUC: 0.1771791, PRECISION: 0.0373418, PRECISION_RECALL_MIN_DEN: 0.1317903, RECALL: 0.1277289, MAP: 0.0615109, MRR: 0.1310799, NDCG: 0.0926395, F1: 0.0577872, HIT_RATE: 0.3734179, ARHR: 0.1512471, NOVELTY: 0.0047707, AVERAGE_POPULARITY: 0.1201939, DIVERSITY_MEAN_INTER_LIST: 0.9807168, DIVERSITY_HERFINDAHL: 0.9980544, COVERAGE_ITEM: 0.4393147, COVERAGE_ITEM_CORRECT: 0.0415168, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1971310, DIVERSITY_GINI: 0.1324692, SHANNON_ENTROPY: 11.2402302, 
SearchBayesianSkopt-CV: Config 6 is suboptimal. Config: {'a': 0.24491463745393566, 'b': 0.8238499688341738, 'c': 0.3267937743195019, 'normalize': False} - results: ROC_AUC: 0.1844283, PRECISION: 0.0393988, PRECISION_RECALL_MIN_DEN: 0.1391013, RECALL: 0.1347965, MAP: 0.0649730, MRR: 0.1367824, NDCG: 0.0976017, F1: 0.0609738, HIT_RATE: 0.3939879, ARHR: 0.1585142, NOVELTY: 0.0047873, AVERAGE_POPULARITY: 0.1164215, DIVERSITY_MEAN_INTER_LIST: 0.9820769, DIVERSITY_HERFINDAHL: 0.9981903, COVERAGE_ITEM: 0.4369509, COVERAGE_ITEM_CORRECT: 0.0453590, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2056373, DIVERSITY_GINI: 0.1337501, SHANNON_ENTROPY: 11.3095185, 
SearchBayesianSkopt-CV: Config 7 is suboptimal. Config: {'a': 0.920647097320486, 'b': 0.48598313973542406, 'c': 0.6867270937180993, 'normalize': False} - results: ROC_AUC: 0.2005712, PRECISION: 0.0435320, PRECISION_RECALL_MIN_DEN: 0.1580849, RECALL: 0.1536729, MAP: 0.0727375, MRR: 0.1492386, NDCG: 0.1092797, F1: 0.0678439, HIT_RATE: 0.4353204, ARHR: 0.1737215, NOVELTY: 0.0049754, AVERAGE_POPULARITY: 0.0809121, DIVERSITY_MEAN_INTER_LIST: 0.9913384, DIVERSITY_HERFINDAHL: 0.9991163, COVERAGE_ITEM: 0.5189528, COVERAGE_ITEM_CORRECT: 0.0587334, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2250661, DIVERSITY_GINI: 0.1984156, SHANNON_ENTROPY: 12.1855340, 
SearchBayesianSkopt-CV: Config 8 is suboptimal. Config: {'a': 0.3037332775725749, 'b': 0.988584104735041, 'c': 0.9800813954114933, 'normalize': True} - results: ROC_AUC: 0.1810052, PRECISION: 0.0387759, PRECISION_RECALL_MIN_DEN: 0.1354316, RECALL: 0.1312259, MAP: 0.0635759, MRR: 0.1343644, NDCG: 0.0955152, F1: 0.0598607, HIT_RATE: 0.3877588, ARHR: 0.1557937, NOVELTY: 0.0048310, AVERAGE_POPULARITY: 0.1134187, DIVERSITY_MEAN_INTER_LIST: 0.9831660, DIVERSITY_HERFINDAHL: 0.9982992, COVERAGE_ITEM: 0.4523811, COVERAGE_ITEM_CORRECT: 0.0448123, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2020133, DIVERSITY_GINI: 0.1475598, SHANNON_ENTROPY: 11.4879959, 
