
SearchBayesianSkopt-CV: New best config found. Config 0: {'a': 0.6688043537526961, 'b': 0.09939474346376623, 'c': 0.4178932180331154, 'normalize': True} - results: ROC_AUC: 0.1826743, PRECISION: 0.0400952, PRECISION_RECALL_MIN_DEN: 0.1402256, RECALL: 0.1358241, MAP: 0.0640436, MRR: 0.1354455, NDCG: 0.0972096, F1: 0.0619132, HIT_RATE: 0.4009524, ARHR: 0.1576957, NOVELTY: 0.0049025, AVERAGE_POPULARITY: 0.0779145, DIVERSITY_MEAN_INTER_LIST: 0.9936042, DIVERSITY_HERFINDAHL: 0.9993429, COVERAGE_ITEM: 0.3423138, COVERAGE_ITEM_CORRECT: 0.0536824, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2070467, DIVERSITY_GINI: 0.1136617, SHANNON_ENTROPY: 11.7232447, 

SearchBayesianSkopt-CV: New best config found. Config 1: {'a': 0.42007085066787964, 'b': 0.9044674888383476, 'c': 0.3308954680770257, 'normalize': False} - results: ROC_AUC: 0.1931705, PRECISION: 0.0414383, PRECISION_RECALL_MIN_DEN: 0.1562209, RECALL: 0.1525674, MAP: 0.0692023, MRR: 0.1391938, NDCG: 0.1055399, F1: 0.0651743, HIT_RATE: 0.4143829, ARHR: 0.1597431, NOVELTY: 0.0050887, AVERAGE_POPULARITY: 0.0594742, DIVERSITY_MEAN_INTER_LIST: 0.9956780, DIVERSITY_HERFINDAHL: 0.9995502, COVERAGE_ITEM: 0.4551530, COVERAGE_ITEM_CORRECT: 0.0623677, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2217692, DIVERSITY_GINI: 0.1762539, SHANNON_ENTROPY: 12.3376937, 
SearchBayesianSkopt-CV: Config 2 is suboptimal. Config: {'a': 0.7789564481122603, 'b': 0.22095198333637162, 'c': 0.30830597732742665, 'normalize': False} - results: ROC_AUC: 0.1597463, PRECISION: 0.0336344, PRECISION_RECALL_MIN_DEN: 0.1320591, RECALL: 0.1291741, MAP: 0.0569710, MRR: 0.1121252, NDCG: 0.0872140, F1: 0.0533706, HIT_RATE: 0.3363441, ARHR: 0.1264201, NOVELTY: 0.0052490, AVERAGE_POPULARITY: 0.0359223, DIVERSITY_MEAN_INTER_LIST: 0.9972715, DIVERSITY_HERFINDAHL: 0.9997095, COVERAGE_ITEM: 0.5391569, COVERAGE_ITEM_CORRECT: 0.0572012, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1873160, DIVERSITY_GINI: 0.2391948, SHANNON_ENTROPY: 12.8317840, 
SearchBayesianSkopt-CV: Config 3 is suboptimal. Config: {'a': 0.4599255672895378, 'b': 0.43633666466797083, 'c': 0.7887865714714699, 'normalize': False} - results: ROC_AUC: 0.1907436, PRECISION: 0.0413363, PRECISION_RECALL_MIN_DEN: 0.1499791, RECALL: 0.1460379, MAP: 0.0682485, MRR: 0.1400504, NDCG: 0.1034423, F1: 0.0644338, HIT_RATE: 0.4133628, ARHR: 0.1616818, NOVELTY: 0.0049903, AVERAGE_POPULARITY: 0.0689398, DIVERSITY_MEAN_INTER_LIST: 0.9947300, DIVERSITY_HERFINDAHL: 0.9994554, COVERAGE_ITEM: 0.3876959, COVERAGE_ITEM_CORRECT: 0.0594495, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2173902, DIVERSITY_GINI: 0.1377014, SHANNON_ENTROPY: 11.9985086, 

SearchBayesianSkopt-CV: New best config found. Config 4: {'a': 0.27865219239158895, 'b': 0.6228969340547967, 'c': 0.47454243225320536, 'normalize': False} - results: ROC_AUC: 0.1940035, PRECISION: 0.0422549, PRECISION_RECALL_MIN_DEN: 0.1517940, RECALL: 0.1476734, MAP: 0.0696062, MRR: 0.1433609, NDCG: 0.1052599, F1: 0.0657076, HIT_RATE: 0.4225490, ARHR: 0.1661496, NOVELTY: 0.0049789, AVERAGE_POPULARITY: 0.0711413, DIVERSITY_MEAN_INTER_LIST: 0.9944614, DIVERSITY_HERFINDAHL: 0.9994286, COVERAGE_ITEM: 0.3898133, COVERAGE_ITEM_CORRECT: 0.0598499, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2205612, DIVERSITY_GINI: 0.1376413, SHANNON_ENTROPY: 11.9793021, 
SearchBayesianSkopt-CV: Config 5 is suboptimal. Config: {'a': 0.8675327429377614, 'b': 0.9989335245207095, 'c': 0.644791778697794, 'normalize': True} - results: ROC_AUC: 0.1885004, PRECISION: 0.0416261, PRECISION_RECALL_MIN_DEN: 0.1431745, RECALL: 0.1383475, MAP: 0.0664596, MRR: 0.1410858, NDCG: 0.1001488, F1: 0.0639955, HIT_RATE: 0.4162614, ARHR: 0.1654721, NOVELTY: 0.0048743, AVERAGE_POPULARITY: 0.0837727, DIVERSITY_MEAN_INTER_LIST: 0.9926685, DIVERSITY_HERFINDAHL: 0.9992493, COVERAGE_ITEM: 0.3486429, COVERAGE_ITEM_CORRECT: 0.0531819, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2113250, DIVERSITY_GINI: 0.1132858, SHANNON_ENTROPY: 11.6632528, 
SearchBayesianSkopt-CV: Config 6 is suboptimal. Config: {'a': 0.5903051749473897, 'b': 0.4366245112067052, 'c': 0.009481573216161056, 'normalize': False} - results: ROC_AUC: 0.1213537, PRECISION: 0.0255238, PRECISION_RECALL_MIN_DEN: 0.0952074, RECALL: 0.0925998, MAP: 0.0406333, MRR: 0.0841505, NDCG: 0.0629827, F1: 0.0400142, HIT_RATE: 0.2552380, ARHR: 0.0951253, NOVELTY: 0.0052741, AVERAGE_POPULARITY: 0.0213658, DIVERSITY_MEAN_INTER_LIST: 0.9977490, DIVERSITY_HERFINDAHL: 0.9997573, COVERAGE_ITEM: 0.6009394, COVERAGE_ITEM_CORRECT: 0.0475226, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1426199, DIVERSITY_GINI: 0.2874238, SHANNON_ENTROPY: 13.0971891, 
SearchBayesianSkopt-CV: Config 7 is suboptimal. Config: {'a': 0.9023524751430857, 'b': 0.7219621045235871, 'c': 0.38358325094451984, 'normalize': False} - results: ROC_AUC: 0.1686999, PRECISION: 0.0357372, PRECISION_RECALL_MIN_DEN: 0.1398233, RECALL: 0.1368078, MAP: 0.0602320, MRR: 0.1189683, NDCG: 0.0923793, F1: 0.0566693, HIT_RATE: 0.3573723, ARHR: 0.1345781, NOVELTY: 0.0052184, AVERAGE_POPULARITY: 0.0406860, DIVERSITY_MEAN_INTER_LIST: 0.9970542, DIVERSITY_HERFINDAHL: 0.9996878, COVERAGE_ITEM: 0.5281309, COVERAGE_ITEM_CORRECT: 0.0588951, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1975588, DIVERSITY_GINI: 0.2296050, SHANNON_ENTROPY: 12.7607011, 
SearchBayesianSkopt-CV: Config 8 is suboptimal. Config: {'a': 0.4395559082070216, 'b': 0.19009699954201026, 'c': 0.923872320427995, 'normalize': False} - results: ROC_AUC: 0.1884160, PRECISION: 0.0409900, PRECISION_RECALL_MIN_DEN: 0.1471740, RECALL: 0.1431030, MAP: 0.0672407, MRR: 0.1386575, NDCG: 0.1018213, F1: 0.0637257, HIT_RATE: 0.4098996, ARHR: 0.1602985, NOVELTY: 0.0049701, AVERAGE_POPULARITY: 0.0706272, DIVERSITY_MEAN_INTER_LIST: 0.9945376, DIVERSITY_HERFINDAHL: 0.9994362, COVERAGE_ITEM: 0.3741829, COVERAGE_ITEM_CORRECT: 0.0583484, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2147980, DIVERSITY_GINI: 0.1307334, SHANNON_ENTROPY: 11.9295251, 
