
SearchBayesianSkopt-CV: New best config found. Config 0: {'a': 0.8469947276825266, 'b': 0.5816916342549406, 'c': 0.023026099652438296, 'normalize': False} - results: ROC_AUC: 0.1181195, PRECISION: 0.0249305, PRECISION_RECALL_MIN_DEN: 0.0929585, RECALL: 0.0903840, MAP: 0.0396512, MRR: 0.0819889, NDCG: 0.0614210, F1: 0.0390776, HIT_RATE: 0.2493049, ARHR: 0.0926307, NOVELTY: 0.0052807, AVERAGE_POPULARITY: 0.0205347, DIVERSITY_MEAN_INTER_LIST: 0.9977412, DIVERSITY_HERFINDAHL: 0.9997565, COVERAGE_ITEM: 0.6001540, COVERAGE_ITEM_CORRECT: 0.0467295, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1396250, DIVERSITY_GINI: 0.2867474, SHANNON_ENTROPY: 13.0942584, 

SearchBayesianSkopt-CV: New best config found. Config 1: {'a': 0.5003647215760445, 'b': 0.518191411578491, 'c': 0.5581929700788021, 'normalize': False} - results: ROC_AUC: 0.1893969, PRECISION: 0.0406011, PRECISION_RECALL_MIN_DEN: 0.1522975, RECALL: 0.1486248, MAP: 0.0679331, MRR: 0.1372798, NDCG: 0.1033534, F1: 0.0637788, HIT_RATE: 0.4060108, ARHR: 0.1574499, NOVELTY: 0.0050578, AVERAGE_POPULARITY: 0.0622359, DIVERSITY_MEAN_INTER_LIST: 0.9953971, DIVERSITY_HERFINDAHL: 0.9995221, COVERAGE_ITEM: 0.4218672, COVERAGE_ITEM_CORRECT: 0.0606737, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2172644, DIVERSITY_GINI: 0.1578022, SHANNON_ENTROPY: 12.1958315, 
SearchBayesianSkopt-CV: Config 2 is suboptimal. Config: {'a': 0.23731447575506276, 'b': 0.6600969520297688, 'c': 0.4802570957729174, 'normalize': True} - results: ROC_AUC: 0.1792598, PRECISION: 0.0392265, PRECISION_RECALL_MIN_DEN: 0.1355028, RECALL: 0.1308981, MAP: 0.0613651, MRR: 0.1323915, NDCG: 0.0935890, F1: 0.0603632, HIT_RATE: 0.3922648, ARHR: 0.1544859, NOVELTY: 0.0048535, AVERAGE_POPULARITY: 0.0882068, DIVERSITY_MEAN_INTER_LIST: 0.9917639, DIVERSITY_HERFINDAHL: 0.9991589, COVERAGE_ITEM: 0.3327507, COVERAGE_ITEM_CORRECT: 0.0475457, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2025418, DIVERSITY_GINI: 0.1058349, SHANNON_ENTROPY: 11.5503366, 
SearchBayesianSkopt-CV: Config 3 is suboptimal. Config: {'a': 0.9419087163445529, 'b': 0.7154593459911361, 'c': 0.039993617605444516, 'normalize': False} - results: ROC_AUC: 0.1209906, PRECISION: 0.0254354, PRECISION_RECALL_MIN_DEN: 0.0951133, RECALL: 0.0924994, MAP: 0.0406651, MRR: 0.0839421, NDCG: 0.0629267, F1: 0.0398958, HIT_RATE: 0.2543545, ARHR: 0.0947589, NOVELTY: 0.0052801, AVERAGE_POPULARITY: 0.0212589, DIVERSITY_MEAN_INTER_LIST: 0.9977308, DIVERSITY_HERFINDAHL: 0.9997555, COVERAGE_ITEM: 0.5991607, COVERAGE_ITEM_CORRECT: 0.0473686, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1426199, DIVERSITY_GINI: 0.2858691, SHANNON_ENTROPY: 13.0893141, 
SearchBayesianSkopt-CV: Config 4 is suboptimal. Config: {'a': 0.9225279499226183, 'b': 0.5840216521999932, 'c': 0.5719270828777586, 'normalize': True} - results: ROC_AUC: 0.1853197, PRECISION: 0.0409465, PRECISION_RECALL_MIN_DEN: 0.1421795, RECALL: 0.1375263, MAP: 0.0649810, MRR: 0.1382191, NDCG: 0.0985478, F1: 0.0631036, HIT_RATE: 0.4094653, ARHR: 0.1615559, NOVELTY: 0.0048867, AVERAGE_POPULARITY: 0.0829861, DIVERSITY_MEAN_INTER_LIST: 0.9927184, DIVERSITY_HERFINDAHL: 0.9992543, COVERAGE_ITEM: 0.3468643, COVERAGE_ITEM_CORRECT: 0.0524119, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2098402, DIVERSITY_GINI: 0.1131682, SHANNON_ENTROPY: 11.6687331, 
SearchBayesianSkopt-CV: Config 5 is suboptimal. Config: {'a': 0.04540835067810734, 'b': 0.4907154585616843, 'c': 0.13360323669614763, 'normalize': False} - results: ROC_AUC: 0.1910475, PRECISION: 0.0423048, PRECISION_RECALL_MIN_DEN: 0.1469545, RECALL: 0.1423158, MAP: 0.0674823, MRR: 0.1422382, NDCG: 0.1021588, F1: 0.0652213, HIT_RATE: 0.4230479, ARHR: 0.1667175, NOVELTY: 0.0049010, AVERAGE_POPULARITY: 0.0838890, DIVERSITY_MEAN_INTER_LIST: 0.9924476, DIVERSITY_HERFINDAHL: 0.9992272, COVERAGE_ITEM: 0.3653744, COVERAGE_ITEM_CORRECT: 0.0542445, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2160312, DIVERSITY_GINI: 0.1204307, SHANNON_ENTROPY: 11.7186894, 

SearchBayesianSkopt-CV: New best config found. Config 6: {'a': 0.565953017375161, 'b': 0.2700492376672105, 'c': 0.11148705643508164, 'normalize': True} - results: ROC_AUC: 0.1954236, PRECISION: 0.0428101, PRECISION_RECALL_MIN_DEN: 0.1523306, RECALL: 0.1479527, MAP: 0.0698619, MRR: 0.1447407, NDCG: 0.1055325, F1: 0.0664056, HIT_RATE: 0.4281010, ARHR: 0.1687873, NOVELTY: 0.0049537, AVERAGE_POPULARITY: 0.0786924, DIVERSITY_MEAN_INTER_LIST: 0.9932202, DIVERSITY_HERFINDAHL: 0.9993045, COVERAGE_ITEM: 0.4011781, COVERAGE_ITEM_CORRECT: 0.0572397, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2211652, DIVERSITY_GINI: 0.1390945, SHANNON_ENTROPY: 11.9157056, 
SearchBayesianSkopt-CV: Config 7 is suboptimal. Config: {'a': 0.4052891119797989, 'b': 0.36057602769153524, 'c': 0.47145331428300863, 'normalize': True} - results: ROC_AUC: 0.1800192, PRECISION: 0.0396613, PRECISION_RECALL_MIN_DEN: 0.1370671, RECALL: 0.1324116, MAP: 0.0620998, MRR: 0.1335545, NDCG: 0.0946084, F1: 0.0610390, HIT_RATE: 0.3966126, ARHR: 0.1558802, NOVELTY: 0.0048706, AVERAGE_POPULARITY: 0.0839557, DIVERSITY_MEAN_INTER_LIST: 0.9925886, DIVERSITY_HERFINDAHL: 0.9992413, COVERAGE_ITEM: 0.3321655, COVERAGE_ITEM_CORRECT: 0.0498864, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2040267, DIVERSITY_GINI: 0.1072972, SHANNON_ENTROPY: 11.6074647, 

SearchBayesianSkopt-CV: New best config found. Config 8: {'a': 0.6502511851791614, 'b': 0.3720043315112906, 'c': 0.09735493299300904, 'normalize': True} - results: ROC_AUC: 0.1975530, PRECISION: 0.0431413, PRECISION_RECALL_MIN_DEN: 0.1539629, RECALL: 0.1495713, MAP: 0.0708883, MRR: 0.1463662, NDCG: 0.1068537, F1: 0.0669669, HIT_RATE: 0.4314132, ARHR: 0.1706408, NOVELTY: 0.0049658, AVERAGE_POPULARITY: 0.0793822, DIVERSITY_MEAN_INTER_LIST: 0.9929524, DIVERSITY_HERFINDAHL: 0.9992777, COVERAGE_ITEM: 0.4206583, COVERAGE_ITEM_CORRECT: 0.0576246, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2227256, DIVERSITY_GINI: 0.1480668, SHANNON_ENTROPY: 11.9680636, 
SearchBayesianSkopt-CV: Config 9 is suboptimal. Config: {'a': 0.31357889191111804, 'b': 0.9092989969444045, 'c': 0.5075021634113851, 'normalize': True} - results: ROC_AUC: 0.1803770, PRECISION: 0.0397382, PRECISION_RECALL_MIN_DEN: 0.1370984, RECALL: 0.1324208, MAP: 0.0618932, MRR: 0.1334554, NDCG: 0.0945015, F1: 0.0611305, HIT_RATE: 0.3973818, ARHR: 0.1559240, NOVELTY: 0.0048516, AVERAGE_POPULARITY: 0.0897842, DIVERSITY_MEAN_INTER_LIST: 0.9914101, DIVERSITY_HERFINDAHL: 0.9991235, COVERAGE_ITEM: 0.3380250, COVERAGE_ITEM_CORRECT: 0.0475842, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2045048, DIVERSITY_GINI: 0.1072485, SHANNON_ENTROPY: 11.5458805, 
