
SearchBayesianSkopt-CV: New best config found. Config 0: {'a': 0.09735591577502803, 'b': 0.7598040810517013, 'c': 0.9256075301479226, 'normalize': True} - results: ROC_AUC: 0.1836709, PRECISION: 0.0394100, PRECISION_RECALL_MIN_DEN: 0.1377777, RECALL: 0.1334568, MAP: 0.0647961, MRR: 0.1370606, NDCG: 0.0972166, F1: 0.0608491, HIT_RATE: 0.3941000, ARHR: 0.1586237, NOVELTY: 0.0048087, AVERAGE_POPULARITY: 0.1090734, DIVERSITY_MEAN_INTER_LIST: 0.9856520, DIVERSITY_HERFINDAHL: 0.9985478, COVERAGE_ITEM: 0.4371742, COVERAGE_ITEM_CORRECT: 0.0461136, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2054612, DIVERSITY_GINI: 0.1380424, SHANNON_ENTROPY: 11.4946723, 

SearchBayesianSkopt-CV: New best config found. Config 1: {'a': 0.24087188903472329, 'b': 0.42770928901391325, 'c': 0.13654462212342625, 'normalize': True} - results: ROC_AUC: 0.1944435, PRECISION: 0.0426539, PRECISION_RECALL_MIN_DEN: 0.1506131, RECALL: 0.1461237, MAP: 0.0696284, MRR: 0.1445589, NDCG: 0.1048296, F1: 0.0660310, HIT_RATE: 0.4265392, ARHR: 0.1686104, NOVELTY: 0.0048840, AVERAGE_POPULARITY: 0.0998510, DIVERSITY_MEAN_INTER_LIST: 0.9875271, DIVERSITY_HERFINDAHL: 0.9987353, COVERAGE_ITEM: 0.4806006, COVERAGE_ITEM_CORRECT: 0.0536670, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2193532, DIVERSITY_GINI: 0.1680232, SHANNON_ENTROPY: 11.8113386, 
SearchBayesianSkopt-CV: Config 2 is suboptimal. Config: {'a': 0.29131768919081885, 'b': 0.5873065304960701, 'c': 0.9118399926517474, 'normalize': True} - results: ROC_AUC: 0.1919368, PRECISION: 0.0419364, PRECISION_RECALL_MIN_DEN: 0.1472217, RECALL: 0.1426231, MAP: 0.0686420, MRR: 0.1438186, NDCG: 0.1030421, F1: 0.0648146, HIT_RATE: 0.4193645, ARHR: 0.1674488, NOVELTY: 0.0048301, AVERAGE_POPULARITY: 0.1039974, DIVERSITY_MEAN_INTER_LIST: 0.9871266, DIVERSITY_HERFINDAHL: 0.9986952, COVERAGE_ITEM: 0.4467757, COVERAGE_ITEM_CORRECT: 0.0514726, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2161570, DIVERSITY_GINI: 0.1448079, SHANNON_ENTROPY: 11.6086523, 
SearchBayesianSkopt-CV: Config 3 is suboptimal. Config: {'a': 0.543386898504963, 'b': 0.7342976604662068, 'c': 0.841096169323537, 'normalize': False} - results: ROC_AUC: 0.1469653, PRECISION: 0.0306444, PRECISION_RECALL_MIN_DEN: 0.1146287, RECALL: 0.1116700, MAP: 0.0503742, MRR: 0.1042047, NDCG: 0.0772736, F1: 0.0480900, HIT_RATE: 0.3064443, ARHR: 0.1178485, NOVELTY: 0.0052135, AVERAGE_POPULARITY: 0.0321652, DIVERSITY_MEAN_INTER_LIST: 0.9974599, DIVERSITY_HERFINDAHL: 0.9997284, COVERAGE_ITEM: 0.5940635, COVERAGE_ITEM_CORRECT: 0.0517498, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1691959, DIVERSITY_GINI: 0.2789063, SHANNON_ENTROPY: 13.0262309, 
SearchBayesianSkopt-CV: Config 4 is suboptimal. Config: {'a': 0.9002656237960389, 'b': 0.6604377108324274, 'c': 0.15893914283313973, 'normalize': False} - results: ROC_AUC: 0.1178150, PRECISION: 0.0248841, PRECISION_RECALL_MIN_DEN: 0.0920863, RECALL: 0.0894817, MAP: 0.0394679, MRR: 0.0819824, NDCG: 0.0610912, F1: 0.0389356, HIT_RATE: 0.2488415, ARHR: 0.0926905, NOVELTY: 0.0052723, AVERAGE_POPULARITY: 0.0206411, DIVERSITY_MEAN_INTER_LIST: 0.9977466, DIVERSITY_HERFINDAHL: 0.9997570, COVERAGE_ITEM: 0.6020096, COVERAGE_ITEM_CORRECT: 0.0464524, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1390713, DIVERSITY_GINI: 0.2880254, SHANNON_ENTROPY: 13.0994588, 

SearchBayesianSkopt-CV: New best config found. Config 5: {'a': 0.0496436964031768, 'b': 0.7352032642709245, 'c': 0.72103645775687, 'normalize': False} - results: ROC_AUC: 0.2016818, PRECISION: 0.0443149, PRECISION_RECALL_MIN_DEN: 0.1569387, RECALL: 0.1522614, MAP: 0.0730943, MRR: 0.1507101, NDCG: 0.1094952, F1: 0.0686481, HIT_RATE: 0.4431486, ARHR: 0.1763042, NOVELTY: 0.0048858, AVERAGE_POPULARITY: 0.0942106, DIVERSITY_MEAN_INTER_LIST: 0.9893642, DIVERSITY_HERFINDAHL: 0.9989189, COVERAGE_ITEM: 0.4786372, COVERAGE_ITEM_CORRECT: 0.0569086, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2259217, DIVERSITY_GINI: 0.1667419, SHANNON_ENTROPY: 11.8736411, 
SearchBayesianSkopt-CV: Config 6 is suboptimal. Config: {'a': 0.24491463745393566, 'b': 0.8238499688341738, 'c': 0.3267937743195019, 'normalize': False} - results: ROC_AUC: 0.1621186, PRECISION: 0.0338633, PRECISION_RECALL_MIN_DEN: 0.1262631, RECALL: 0.1230051, MAP: 0.0563991, MRR: 0.1166214, NDCG: 0.0859710, F1: 0.0531059, HIT_RATE: 0.3386331, ARHR: 0.1326006, NOVELTY: 0.0051670, AVERAGE_POPULARITY: 0.0411450, DIVERSITY_MEAN_INTER_LIST: 0.9968642, DIVERSITY_HERFINDAHL: 0.9996688, COVERAGE_ITEM: 0.5855322, COVERAGE_ITEM_CORRECT: 0.0538133, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1844973, DIVERSITY_GINI: 0.2685992, SHANNON_ENTROPY: 12.9260903, 
SearchBayesianSkopt-CV: Config 7 is suboptimal. Config: {'a': 0.920647097320486, 'b': 0.48598313973542406, 'c': 0.6867270937180993, 'normalize': False} - results: ROC_AUC: 0.1248119, PRECISION: 0.0262799, PRECISION_RECALL_MIN_DEN: 0.0981008, RECALL: 0.0954275, MAP: 0.0419991, MRR: 0.0871175, NDCG: 0.0650319, F1: 0.0412076, HIT_RATE: 0.2627988, ARHR: 0.0984133, NOVELTY: 0.0052620, AVERAGE_POPULARITY: 0.0227241, DIVERSITY_MEAN_INTER_LIST: 0.9977298, DIVERSITY_HERFINDAHL: 0.9997553, COVERAGE_ITEM: 0.6006083, COVERAGE_ITEM_CORRECT: 0.0479692, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1467975, DIVERSITY_GINI: 0.2868164, SHANNON_ENTROPY: 13.0916917, 
SearchBayesianSkopt-CV: Config 8 is suboptimal. Config: {'a': 0.3037332775725749, 'b': 0.988584104735041, 'c': 0.9800813954114933, 'normalize': True} - results: ROC_AUC: 0.1879872, PRECISION: 0.0409252, PRECISION_RECALL_MIN_DEN: 0.1430346, RECALL: 0.1385583, MAP: 0.0669329, MRR: 0.1405562, NDCG: 0.1005021, F1: 0.0631857, HIT_RATE: 0.4092522, ARHR: 0.1634113, NOVELTY: 0.0048253, AVERAGE_POPULARITY: 0.1068307, DIVERSITY_MEAN_INTER_LIST: 0.9861820, DIVERSITY_HERFINDAHL: 0.9986008, COVERAGE_ITEM: 0.4459673, COVERAGE_ITEM_CORRECT: 0.0490857, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2114257, DIVERSITY_GINI: 0.1440971, SHANNON_ENTROPY: 11.5658934, 
