
SearchBayesianSkopt-CV: New best config found. Config 0: {'a': 0.39988908366603393, 'b': 0.7467067794473331, 'c': 0.2068190996377532, 'normalize': False} - results: ROC_AUC: 0.1998655, PRECISION: 0.0437067, PRECISION_RECALL_MIN_DEN: 0.1564553, RECALL: 0.1519686, MAP: 0.0726863, MRR: 0.1501748, NDCG: 0.1089671, F1: 0.0678874, HIT_RATE: 0.4370667, ARHR: 0.1750733, NOVELTY: 0.0048811, AVERAGE_POPULARITY: 0.0934066, DIVERSITY_MEAN_INTER_LIST: 0.9890819, DIVERSITY_HERFINDAHL: 0.9988907, COVERAGE_ITEM: 0.4615669, COVERAGE_ITEM_CORRECT: 0.0564158, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2244117, DIVERSITY_GINI: 0.1556764, SHANNON_ENTROPY: 11.7654394, 
SearchBayesianSkopt-CV: Config 1 is suboptimal. Config: {'a': 0.36830431095858746, 'b': 0.898354624392607, 'c': 0.6843511636770881, 'normalize': True} - results: ROC_AUC: 0.1973424, PRECISION: 0.0428795, PRECISION_RECALL_MIN_DEN: 0.1515774, RECALL: 0.1470285, MAP: 0.0711303, MRR: 0.1479076, NDCG: 0.1063819, F1: 0.0663939, HIT_RATE: 0.4287954, ARHR: 0.1725387, NOVELTY: 0.0048464, AVERAGE_POPULARITY: 0.1007693, DIVERSITY_MEAN_INTER_LIST: 0.9872636, DIVERSITY_HERFINDAHL: 0.9987089, COVERAGE_ITEM: 0.4485159, COVERAGE_ITEM_CORRECT: 0.0533590, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2203599, DIVERSITY_GINI: 0.1451604, SHANNON_ENTROPY: 11.6026926, 
SearchBayesianSkopt-CV: Config 2 is suboptimal. Config: {'a': 0.09471694751981954, 'b': 0.9203273643855152, 'c': 0.16044463553572766, 'normalize': True} - results: ROC_AUC: 0.1873045, PRECISION: 0.0405410, PRECISION_RECALL_MIN_DEN: 0.1418368, RECALL: 0.1373458, MAP: 0.0662654, MRR: 0.1397280, NDCG: 0.0995171, F1: 0.0626011, HIT_RATE: 0.4054097, ARHR: 0.1625874, NOVELTY: 0.0047939, AVERAGE_POPULARITY: 0.1067626, DIVERSITY_MEAN_INTER_LIST: 0.9858713, DIVERSITY_HERFINDAHL: 0.9985697, COVERAGE_ITEM: 0.4169009, COVERAGE_ITEM_CORRECT: 0.0484235, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2097899, DIVERSITY_GINI: 0.1254190, SHANNON_ENTROPY: 11.3737427, 

SearchBayesianSkopt-CV: New best config found. Config 3: {'a': 0.9781575812965135, 'b': 0.6416852376253805, 'c': 0.8119823355130084, 'normalize': False} - results: ROC_AUC: 0.2022400, PRECISION: 0.0442117, PRECISION_RECALL_MIN_DEN: 0.1586490, RECALL: 0.1541129, MAP: 0.0736076, MRR: 0.1517133, NDCG: 0.1103461, F1: 0.0687100, HIT_RATE: 0.4421170, ARHR: 0.1769665, NOVELTY: 0.0049110, AVERAGE_POPULARITY: 0.0911158, DIVERSITY_MEAN_INTER_LIST: 0.9894836, DIVERSITY_HERFINDAHL: 0.9989309, COVERAGE_ITEM: 0.4778826, COVERAGE_ITEM_CORRECT: 0.0573167, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2274821, DIVERSITY_GINI: 0.1670755, SHANNON_ENTROPY: 11.8767364, 
SearchBayesianSkopt-CV: Config 4 is suboptimal. Config: {'a': 0.19083263978347026, 'b': 0.36822743561222177, 'c': 0.6433901864235739, 'normalize': False} - results: ROC_AUC: 0.1867168, PRECISION: 0.0402366, PRECISION_RECALL_MIN_DEN: 0.1405476, RECALL: 0.1361197, MAP: 0.0656908, MRR: 0.1387819, NDCG: 0.0987566, F1: 0.0621111, HIT_RATE: 0.4023659, ARHR: 0.1614106, NOVELTY: 0.0048034, AVERAGE_POPULARITY: 0.1093741, DIVERSITY_MEAN_INTER_LIST: 0.9847667, DIVERSITY_HERFINDAHL: 0.9984593, COVERAGE_ITEM: 0.4287353, COVERAGE_ITEM_CORRECT: 0.0472916, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2084057, DIVERSITY_GINI: 0.1323020, SHANNON_ENTROPY: 11.3993909, 
SearchBayesianSkopt-CV: Config 5 is suboptimal. Config: {'a': 0.9867428031916895, 'b': 0.2806981062140121, 'c': 0.9904798367366471, 'normalize': True} - results: ROC_AUC: 0.1992851, PRECISION: 0.0432117, PRECISION_RECALL_MIN_DEN: 0.1566938, RECALL: 0.1523154, MAP: 0.0721363, MRR: 0.1485604, NDCG: 0.1084111, F1: 0.0673229, HIT_RATE: 0.4321169, ARHR: 0.1727911, NOVELTY: 0.0049877, AVERAGE_POPULARITY: 0.0774085, DIVERSITY_MEAN_INTER_LIST: 0.9922306, DIVERSITY_HERFINDAHL: 0.9992055, COVERAGE_ITEM: 0.5213474, COVERAGE_ITEM_CORRECT: 0.0592416, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2240594, DIVERSITY_GINI: 0.2006769, SHANNON_ENTROPY: 12.2410087, 
SearchBayesianSkopt-CV: Config 6 is suboptimal. Config: {'a': 0.2127784681579103, 'b': 0.60649347517527, 'c': 0.1328508812429561, 'normalize': False} - results: ROC_AUC: 0.1962678, PRECISION: 0.0429829, PRECISION_RECALL_MIN_DEN: 0.1519957, RECALL: 0.1474624, MAP: 0.0708289, MRR: 0.1474420, NDCG: 0.1062516, F1: 0.0665611, HIT_RATE: 0.4298291, ARHR: 0.1721485, NOVELTY: 0.0048454, AVERAGE_POPULARITY: 0.0992649, DIVERSITY_MEAN_INTER_LIST: 0.9877538, DIVERSITY_HERFINDAHL: 0.9987579, COVERAGE_ITEM: 0.4416708, COVERAGE_ITEM_CORRECT: 0.0538903, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2200076, DIVERSITY_GINI: 0.1418285, SHANNON_ENTROPY: 11.5945754, 
SearchBayesianSkopt-CV: Config 7 is suboptimal. Config: {'a': 0.974238032123889, 'b': 0.05681121439278215, 'c': 0.7588862294834752, 'normalize': False} - results: ROC_AUC: 0.2020376, PRECISION: 0.0438508, PRECISION_RECALL_MIN_DEN: 0.1587953, RECALL: 0.1543037, MAP: 0.0734928, MRR: 0.1511059, NDCG: 0.1101719, F1: 0.0682923, HIT_RATE: 0.4385075, ARHR: 0.1759487, NOVELTY: 0.0049745, AVERAGE_POPULARITY: 0.0813690, DIVERSITY_MEAN_INTER_LIST: 0.9914305, DIVERSITY_HERFINDAHL: 0.9991255, COVERAGE_ITEM: 0.5094976, COVERAGE_ITEM_CORRECT: 0.0591954, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2264502, DIVERSITY_GINI: 0.1917058, SHANNON_ENTROPY: 12.1463663, 
SearchBayesianSkopt-CV: Config 8 is suboptimal. Config: {'a': 0.44111403803963356, 'b': 0.20563284056244352, 'c': 0.5755894297091031, 'normalize': False} - results: ROC_AUC: 0.1990936, PRECISION: 0.0434524, PRECISION_RECALL_MIN_DEN: 0.1540352, RECALL: 0.1494971, MAP: 0.0719681, MRR: 0.1494354, NDCG: 0.1077966, F1: 0.0673316, HIT_RATE: 0.4345238, ARHR: 0.1745083, NOVELTY: 0.0048776, AVERAGE_POPULARITY: 0.0979865, DIVERSITY_MEAN_INTER_LIST: 0.9878309, DIVERSITY_HERFINDAHL: 0.9987656, COVERAGE_ITEM: 0.4613205, COVERAGE_ITEM_CORRECT: 0.0547295, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2227256, DIVERSITY_GINI: 0.1547921, SHANNON_ENTROPY: 11.7125514, 
SearchBayesianSkopt-CV: Config 9 is suboptimal. Config: {'a': 0.661637257359202, 'b': 0.0939209496897511, 'c': 0.4901499324681551, 'normalize': False} - results: ROC_AUC: 0.2017420, PRECISION: 0.0439074, PRECISION_RECALL_MIN_DEN: 0.1592355, RECALL: 0.1547573, MAP: 0.0734140, MRR: 0.1509747, NDCG: 0.1102254, F1: 0.0684053, HIT_RATE: 0.4390737, ARHR: 0.1758551, NOVELTY: 0.0049714, AVERAGE_POPULARITY: 0.0814495, DIVERSITY_MEAN_INTER_LIST: 0.9914229, DIVERSITY_HERFINDAHL: 0.9991248, COVERAGE_ITEM: 0.5082502, COVERAGE_ITEM_CORRECT: 0.0592185, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2265509, DIVERSITY_GINI: 0.1908201, SHANNON_ENTROPY: 12.1394603, 
