
SearchBayesianSkopt-CV: New best config found. Config 0: {'a': 0.39988908366603393, 'b': 0.7467067794473331, 'c': 0.2068190996377532, 'normalize': False} - results: ROC_AUC: 0.1992768, PRECISION: 0.0433496, PRECISION_RECALL_MIN_DEN: 0.1547786, RECALL: 0.1502684, MAP: 0.0720979, MRR: 0.1492143, NDCG: 0.1079974, F1: 0.0672867, HIT_RATE: 0.4334958, ARHR: 0.1739902, NOVELTY: 0.0048620, AVERAGE_POPULARITY: 0.0985990, DIVERSITY_MEAN_INTER_LIST: 0.9877640, DIVERSITY_HERFINDAHL: 0.9987589, COVERAGE_ITEM: 0.4571396, COVERAGE_ITEM_CORRECT: 0.0549374, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2225997, DIVERSITY_GINI: 0.1506872, SHANNON_ENTROPY: 11.6662921, 
SearchBayesianSkopt-CV: Config 1 is suboptimal. Config: {'a': 0.36830431095858746, 'b': 0.898354624392607, 'c': 0.6843511636770881, 'normalize': True} - results: ROC_AUC: 0.1976679, PRECISION: 0.0431200, PRECISION_RECALL_MIN_DEN: 0.1535903, RECALL: 0.1490660, MAP: 0.0718768, MRR: 0.1483528, NDCG: 0.1074200, F1: 0.0668881, HIT_RATE: 0.4311999, ARHR: 0.1729041, NOVELTY: 0.0048488, AVERAGE_POPULARITY: 0.1014458, DIVERSITY_MEAN_INTER_LIST: 0.9870136, DIVERSITY_HERFINDAHL: 0.9986839, COVERAGE_ITEM: 0.4559846, COVERAGE_ITEM_CORRECT: 0.0539981, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2217944, DIVERSITY_GINI: 0.1485489, SHANNON_ENTROPY: 11.6148111, 
SearchBayesianSkopt-CV: Config 2 is suboptimal. Config: {'a': 0.09471694751981954, 'b': 0.9203273643855152, 'c': 0.16044463553572766, 'normalize': True} - results: ROC_AUC: 0.1875170, PRECISION: 0.0405018, PRECISION_RECALL_MIN_DEN: 0.1418300, RECALL: 0.1373767, MAP: 0.0663581, MRR: 0.1398059, NDCG: 0.0996268, F1: 0.0625574, HIT_RATE: 0.4050179, ARHR: 0.1625843, NOVELTY: 0.0047958, AVERAGE_POPULARITY: 0.1076529, DIVERSITY_MEAN_INTER_LIST: 0.9856017, DIVERSITY_HERFINDAHL: 0.9985428, COVERAGE_ITEM: 0.4225294, COVERAGE_ITEM_CORRECT: 0.0485621, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2098150, DIVERSITY_GINI: 0.1273766, SHANNON_ENTROPY: 11.3749608, 

SearchBayesianSkopt-CV: New best config found. Config 3: {'a': 0.9781575812965135, 'b': 0.6416852376253805, 'c': 0.8119823355130084, 'normalize': False} - results: ROC_AUC: 0.2001038, PRECISION: 0.0436538, PRECISION_RECALL_MIN_DEN: 0.1560955, RECALL: 0.1515602, MAP: 0.0726569, MRR: 0.1502397, NDCG: 0.1088408, F1: 0.0677825, HIT_RATE: 0.4365377, ARHR: 0.1750874, NOVELTY: 0.0048713, AVERAGE_POPULARITY: 0.0999031, DIVERSITY_MEAN_INTER_LIST: 0.9871689, DIVERSITY_HERFINDAHL: 0.9986995, COVERAGE_ITEM: 0.4656477, COVERAGE_ITEM_CORRECT: 0.0550683, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2243362, DIVERSITY_GINI: 0.1557085, SHANNON_ENTROPY: 11.6873032, 
SearchBayesianSkopt-CV: Config 4 is suboptimal. Config: {'a': 0.19083263978347026, 'b': 0.36822743561222177, 'c': 0.6433901864235739, 'normalize': False} - results: ROC_AUC: 0.1839738, PRECISION: 0.0392328, PRECISION_RECALL_MIN_DEN: 0.1383804, RECALL: 0.1340857, MAP: 0.0647958, MRR: 0.1366998, NDCG: 0.0972757, F1: 0.0607018, HIT_RATE: 0.3923276, ARHR: 0.1583975, NOVELTY: 0.0047789, AVERAGE_POPULARITY: 0.1162662, DIVERSITY_MEAN_INTER_LIST: 0.9823459, DIVERSITY_HERFINDAHL: 0.9982172, COVERAGE_ITEM: 0.4295977, COVERAGE_ITEM_CORRECT: 0.0449663, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2047565, DIVERSITY_GINI: 0.1293021, SHANNON_ENTROPY: 11.2760098, 
SearchBayesianSkopt-CV: Config 5 is suboptimal. Config: {'a': 0.9867428031916895, 'b': 0.2806981062140121, 'c': 0.9904798367366471, 'normalize': True} - results: ROC_AUC: 0.1947882, PRECISION: 0.0421999, PRECISION_RECALL_MIN_DEN: 0.1537624, RECALL: 0.1494791, MAP: 0.0703555, MRR: 0.1443916, NDCG: 0.1058901, F1: 0.0658175, HIT_RATE: 0.4219993, ARHR: 0.1678007, NOVELTY: 0.0050038, AVERAGE_POPULARITY: 0.0734294, DIVERSITY_MEAN_INTER_LIST: 0.9928275, DIVERSITY_HERFINDAHL: 0.9992652, COVERAGE_ITEM: 0.5328354, COVERAGE_ITEM_CORRECT: 0.0585409, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2191770, DIVERSITY_GINI: 0.2112704, SHANNON_ENTROPY: 12.3397447, 
SearchBayesianSkopt-CV: Config 6 is suboptimal. Config: {'a': 0.2127784681579103, 'b': 0.60649347517527, 'c': 0.1328508812429561, 'normalize': False} - results: ROC_AUC: 0.1953630, PRECISION: 0.0426397, PRECISION_RECALL_MIN_DEN: 0.1507159, RECALL: 0.1461762, MAP: 0.0704165, MRR: 0.1465003, NDCG: 0.1055160, F1: 0.0660188, HIT_RATE: 0.4263972, ARHR: 0.1708613, NOVELTY: 0.0048317, AVERAGE_POPULARITY: 0.1035367, DIVERSITY_MEAN_INTER_LIST: 0.9865728, DIVERSITY_HERFINDAHL: 0.9986398, COVERAGE_ITEM: 0.4406699, COVERAGE_ITEM_CORRECT: 0.0527430, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2190260, DIVERSITY_GINI: 0.1393851, SHANNON_ENTROPY: 11.5216725, 

SearchBayesianSkopt-CV: New best config found. Config 7: {'a': 0.974238032123889, 'b': 0.05681121439278215, 'c': 0.7588862294834752, 'normalize': False} - results: ROC_AUC: 0.2020092, PRECISION: 0.0440739, PRECISION_RECALL_MIN_DEN: 0.1589887, RECALL: 0.1544888, MAP: 0.0735095, MRR: 0.1512500, NDCG: 0.1102790, F1: 0.0685813, HIT_RATE: 0.4407386, ARHR: 0.1761326, NOVELTY: 0.0049118, AVERAGE_POPULARITY: 0.0936658, DIVERSITY_MEAN_INTER_LIST: 0.9885775, DIVERSITY_HERFINDAHL: 0.9988403, COVERAGE_ITEM: 0.4877998, COVERAGE_ITEM_CORRECT: 0.0570241, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2274821, DIVERSITY_GINI: 0.1720048, SHANNON_ENTROPY: 11.8739745, 
SearchBayesianSkopt-CV: Config 8 is suboptimal. Config: {'a': 0.44111403803963356, 'b': 0.20563284056244352, 'c': 0.5755894297091031, 'normalize': False} - results: ROC_AUC: 0.1958254, PRECISION: 0.0424982, PRECISION_RECALL_MIN_DEN: 0.1510262, RECALL: 0.1465753, MAP: 0.0706098, MRR: 0.1466941, NDCG: 0.1057445, F1: 0.0658904, HIT_RATE: 0.4249821, ARHR: 0.1708112, NOVELTY: 0.0048360, AVERAGE_POPULARITY: 0.1071832, DIVERSITY_MEAN_INTER_LIST: 0.9850969, DIVERSITY_HERFINDAHL: 0.9984923, COVERAGE_ITEM: 0.4512955, COVERAGE_ITEM_CORRECT: 0.0519115, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2189505, DIVERSITY_GINI: 0.1449645, SHANNON_ENTROPY: 11.5180621, 
