
SearchBayesianSkopt-CV: New best config found. Config 0: {'a': 0.39988908366603393, 'b': 0.7467067794473331, 'c': 0.2068190996377532, 'normalize': False} - results: ROC_AUC: 0.1959496, PRECISION: 0.0421151, PRECISION_RECALL_MIN_DEN: 0.1547123, RECALL: 0.1506756, MAP: 0.0714669, MRR: 0.1455559, NDCG: 0.1072373, F1: 0.0658295, HIT_RATE: 0.4211513, ARHR: 0.1686418, NOVELTY: 0.0049346, AVERAGE_POPULARITY: 0.0804567, DIVERSITY_MEAN_INTER_LIST: 0.9918233, DIVERSITY_HERFINDAHL: 0.9991648, COVERAGE_ITEM: 0.4935669, COVERAGE_ITEM_CORRECT: 0.0574244, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2192274, DIVERSITY_GINI: 0.1816588, SHANNON_ENTROPY: 12.0882434, 
SearchBayesianSkopt-CV: Config 1 is suboptimal. Config: {'a': 0.36830431095858746, 'b': 0.898354624392607, 'c': 0.6843511636770881, 'normalize': True} - results: ROC_AUC: 0.1905531, PRECISION: 0.0414167, PRECISION_RECALL_MIN_DEN: 0.1462290, RECALL: 0.1418291, MAP: 0.0680649, MRR: 0.1418537, NDCG: 0.1022240, F1: 0.0641088, HIT_RATE: 0.4141673, ARHR: 0.1651011, NOVELTY: 0.0048472, AVERAGE_POPULARITY: 0.1058538, DIVERSITY_MEAN_INTER_LIST: 0.9858324, DIVERSITY_HERFINDAHL: 0.9985658, COVERAGE_ITEM: 0.4583869, COVERAGE_ITEM_CORRECT: 0.0506949, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2140682, DIVERSITY_GINI: 0.1522193, SHANNON_ENTROPY: 11.6169810, 
SearchBayesianSkopt-CV: Config 2 is suboptimal. Config: {'a': 0.09471694751981954, 'b': 0.9203273643855152, 'c': 0.16044463553572766, 'normalize': True} - results: ROC_AUC: 0.1858126, PRECISION: 0.0401375, PRECISION_RECALL_MIN_DEN: 0.1405068, RECALL: 0.1361530, MAP: 0.0656586, MRR: 0.1385881, NDCG: 0.0986915, F1: 0.0619961, HIT_RATE: 0.4013749, ARHR: 0.1608748, NOVELTY: 0.0047897, AVERAGE_POPULARITY: 0.1109186, DIVERSITY_MEAN_INTER_LIST: 0.9847539, DIVERSITY_HERFINDAHL: 0.9984580, COVERAGE_ITEM: 0.4231068, COVERAGE_ITEM_CORRECT: 0.0472146, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2084057, DIVERSITY_GINI: 0.1284018, SHANNON_ENTROPY: 11.3635608, 
SearchBayesianSkopt-CV: Config 3 is suboptimal. Config: {'a': 0.9781575812965135, 'b': 0.6416852376253805, 'c': 0.8119823355130084, 'normalize': False} - results: ROC_AUC: 0.1728872, PRECISION: 0.0361675, PRECISION_RECALL_MIN_DEN: 0.1367769, RECALL: 0.1334405, MAP: 0.0615151, MRR: 0.1250017, NDCG: 0.0932214, F1: 0.0569096, HIT_RATE: 0.3616745, ARHR: 0.1425422, NOVELTY: 0.0050843, AVERAGE_POPULARITY: 0.0529222, DIVERSITY_MEAN_INTER_LIST: 0.9957601, DIVERSITY_HERFINDAHL: 0.9995584, COVERAGE_ITEM: 0.5585448, COVERAGE_ITEM_CORRECT: 0.0544909, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1958727, DIVERSITY_GINI: 0.2413959, SHANNON_ENTROPY: 12.6963694, 

SearchBayesianSkopt-CV: New best config found. Config 4: {'a': 0.19083263978347026, 'b': 0.36822743561222177, 'c': 0.6433901864235739, 'normalize': False} - results: ROC_AUC: 0.1991092, PRECISION: 0.0430654, PRECISION_RECALL_MIN_DEN: 0.1567199, RECALL: 0.1524846, MAP: 0.0727814, MRR: 0.1488144, NDCG: 0.1090062, F1: 0.0671619, HIT_RATE: 0.4306543, ARHR: 0.1729270, NOVELTY: 0.0049106, AVERAGE_POPULARITY: 0.0861385, DIVERSITY_MEAN_INTER_LIST: 0.9906938, DIVERSITY_HERFINDAHL: 0.9990519, COVERAGE_ITEM: 0.4837421, COVERAGE_ITEM_CORRECT: 0.0575938, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2225997, DIVERSITY_GINI: 0.1728133, SHANNON_ENTROPY: 11.9700014, 
SearchBayesianSkopt-CV: Config 5 is suboptimal. Config: {'a': 0.9867428031916895, 'b': 0.2806981062140121, 'c': 0.9904798367366471, 'normalize': True} - results: ROC_AUC: 0.1948403, PRECISION: 0.0422756, PRECISION_RECALL_MIN_DEN: 0.1525639, RECALL: 0.1482673, MAP: 0.0698748, MRR: 0.1440913, NDCG: 0.1053056, F1: 0.0657908, HIT_RATE: 0.4227561, ARHR: 0.1679063, NOVELTY: 0.0049526, AVERAGE_POPULARITY: 0.0853465, DIVERSITY_MEAN_INTER_LIST: 0.9905329, DIVERSITY_HERFINDAHL: 0.9990358, COVERAGE_ITEM: 0.5221559, COVERAGE_ITEM_CORRECT: 0.0563157, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2191267, DIVERSITY_GINI: 0.2002438, SHANNON_ENTROPY: 12.1667285, 
SearchBayesianSkopt-CV: Config 6 is suboptimal. Config: {'a': 0.2127784681579103, 'b': 0.60649347517527, 'c': 0.1328508812429561, 'normalize': False} - results: ROC_AUC: 0.1969121, PRECISION: 0.0427305, PRECISION_RECALL_MIN_DEN: 0.1539703, RECALL: 0.1496668, MAP: 0.0716461, MRR: 0.1471045, NDCG: 0.1073362, F1: 0.0664785, HIT_RATE: 0.4273053, ARHR: 0.1712749, NOVELTY: 0.0048804, AVERAGE_POPULARITY: 0.0907595, DIVERSITY_MEAN_INTER_LIST: 0.9898097, DIVERSITY_HERFINDAHL: 0.9989635, COVERAGE_ITEM: 0.4636535, COVERAGE_ITEM_CORRECT: 0.0561925, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2203096, DIVERSITY_GINI: 0.1581450, SHANNON_ENTROPY: 11.8156387, 
SearchBayesianSkopt-CV: Config 7 is suboptimal. Config: {'a': 0.974238032123889, 'b': 0.05681121439278215, 'c': 0.7588862294834752, 'normalize': False} - results: ROC_AUC: 0.1227447, PRECISION: 0.0258384, PRECISION_RECALL_MIN_DEN: 0.0967166, RECALL: 0.0940664, MAP: 0.0415554, MRR: 0.0854580, NDCG: 0.0641299, F1: 0.0405374, HIT_RATE: 0.2583843, ARHR: 0.0964595, NOVELTY: 0.0052573, AVERAGE_POPULARITY: 0.0233053, DIVERSITY_MEAN_INTER_LIST: 0.9977093, DIVERSITY_HERFINDAHL: 0.9997533, COVERAGE_ITEM: 0.5993763, COVERAGE_ITEM_CORRECT: 0.0471376, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1447590, DIVERSITY_GINI: 0.2854213, SHANNON_ENTROPY: 13.0834387, 
SearchBayesianSkopt-CV: Config 8 is suboptimal. Config: {'a': 0.44111403803963356, 'b': 0.20563284056244352, 'c': 0.5755894297091031, 'normalize': False} - results: ROC_AUC: 0.1654471, PRECISION: 0.0345770, PRECISION_RECALL_MIN_DEN: 0.1306437, RECALL: 0.1274282, MAP: 0.0585119, MRR: 0.1190422, NDCG: 0.0888724, F1: 0.0543940, HIT_RATE: 0.3457701, ARHR: 0.1355043, NOVELTY: 0.0051195, AVERAGE_POPULARITY: 0.0471731, DIVERSITY_MEAN_INTER_LIST: 0.9963228, DIVERSITY_HERFINDAHL: 0.9996147, COVERAGE_ITEM: 0.5698171, COVERAGE_ITEM_CORRECT: 0.0534206, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1882975, DIVERSITY_GINI: 0.2528790, SHANNON_ENTROPY: 12.7999199, 
SearchBayesianSkopt-CV: Config 9 is suboptimal. Config: {'a': 0.661637257359202, 'b': 0.0939209496897511, 'c': 0.4901499324681551, 'normalize': False} - results: ROC_AUC: 0.1330944, PRECISION: 0.0278740, PRECISION_RECALL_MIN_DEN: 0.1056763, RECALL: 0.1029498, MAP: 0.0454292, MRR: 0.0930616, NDCG: 0.0700921, F1: 0.0438660, HIT_RATE: 0.2787398, ARHR: 0.1049438, NOVELTY: 0.0052287, AVERAGE_POPULARITY: 0.0283480, DIVERSITY_MEAN_INTER_LIST: 0.9975682, DIVERSITY_HERFINDAHL: 0.9997392, COVERAGE_ITEM: 0.5944793, COVERAGE_ITEM_CORRECT: 0.0487469, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1557569, DIVERSITY_GINI: 0.2800803, SHANNON_ENTROPY: 13.0429792, 
