
SearchBayesianSkopt-CV: New best config found. Config 0: {'a': 0.09735591577502803, 'b': 0.7598040810517013, 'c': 0.9256075301479226, 'normalize': True} - results: ROC_AUC: 0.1804158, PRECISION: 0.0386256, PRECISION_RECALL_MIN_DEN: 0.1345810, RECALL: 0.1302650, MAP: 0.0630151, MRR: 0.1348343, NDCG: 0.0948219, F1: 0.0595830, HIT_RATE: 0.3862561, ARHR: 0.1559512, NOVELTY: 0.0047968, AVERAGE_POPULARITY: 0.1068485, DIVERSITY_MEAN_INTER_LIST: 0.9863999, DIVERSITY_HERFINDAHL: 0.9986226, COVERAGE_ITEM: 0.4220982, COVERAGE_ITEM_CORRECT: 0.0448200, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2018372, DIVERSITY_GINI: 0.1296811, SHANNON_ENTROPY: 11.4470629, 
SearchBayesianSkopt-CV: Config 1 is suboptimal. Config: {'a': 0.24087188903472329, 'b': 0.42770928901391325, 'c': 0.13654462212342625, 'normalize': True} - results: ROC_AUC: 0.1790683, PRECISION: 0.0379287, PRECISION_RECALL_MIN_DEN: 0.1320953, RECALL: 0.1279214, MAP: 0.0621394, MRR: 0.1333062, NDCG: 0.0934625, F1: 0.0585069, HIT_RATE: 0.3792874, ARHR: 0.1539635, NOVELTY: 0.0047845, AVERAGE_POPULARITY: 0.1108935, DIVERSITY_MEAN_INTER_LIST: 0.9847233, DIVERSITY_HERFINDAHL: 0.9984549, COVERAGE_ITEM: 0.4233840, COVERAGE_ITEM_CORRECT: 0.0427257, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1994967, DIVERSITY_GINI: 0.1281089, SHANNON_ENTROPY: 11.3559929, 

SearchBayesianSkopt-CV: New best config found. Config 2: {'a': 0.29131768919081885, 'b': 0.5873065304960701, 'c': 0.9118399926517474, 'normalize': True} - results: ROC_AUC: 0.1805137, PRECISION: 0.0387530, PRECISION_RECALL_MIN_DEN: 0.1351508, RECALL: 0.1308378, MAP: 0.0632447, MRR: 0.1350960, NDCG: 0.0951559, F1: 0.0597941, HIT_RATE: 0.3875297, ARHR: 0.1562806, NOVELTY: 0.0047951, AVERAGE_POPULARITY: 0.1067725, DIVERSITY_MEAN_INTER_LIST: 0.9864570, DIVERSITY_HERFINDAHL: 0.9986283, COVERAGE_ITEM: 0.4199654, COVERAGE_ITEM_CORRECT: 0.0449971, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2024412, DIVERSITY_GINI: 0.1287104, SHANNON_ENTROPY: 11.4413096, 
SearchBayesianSkopt-CV: Config 3 is suboptimal. Config: {'a': 0.543386898504963, 'b': 0.7342976604662068, 'c': 0.841096169323537, 'normalize': False} - results: ROC_AUC: 0.1767215, PRECISION: 0.0375720, PRECISION_RECALL_MIN_DEN: 0.1309429, RECALL: 0.1268246, MAP: 0.0611607, MRR: 0.1316109, NDCG: 0.0923066, F1: 0.0579685, HIT_RATE: 0.3757196, ARHR: 0.1520076, NOVELTY: 0.0047805, AVERAGE_POPULARITY: 0.1129745, DIVERSITY_MEAN_INTER_LIST: 0.9837613, DIVERSITY_HERFINDAHL: 0.9983587, COVERAGE_ITEM: 0.4262714, COVERAGE_ITEM_CORRECT: 0.0420250, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1975840, DIVERSITY_GINI: 0.1286588, SHANNON_ENTROPY: 11.3193875, 
SearchBayesianSkopt-CV: Config 4 is suboptimal. Config: {'a': 0.9002656237960389, 'b': 0.6604377108324274, 'c': 0.15893914283313973, 'normalize': False} - results: ROC_AUC: 0.1758256, PRECISION: 0.0373526, PRECISION_RECALL_MIN_DEN: 0.1300186, RECALL: 0.1259260, MAP: 0.0610161, MRR: 0.1310221, NDCG: 0.0919010, F1: 0.0576136, HIT_RATE: 0.3735264, ARHR: 0.1512584, NOVELTY: 0.0047739, AVERAGE_POPULARITY: 0.1132963, DIVERSITY_MEAN_INTER_LIST: 0.9836761, DIVERSITY_HERFINDAHL: 0.9983502, COVERAGE_ITEM: 0.4216285, COVERAGE_ITEM_CORRECT: 0.0416323, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1966277, DIVERSITY_GINI: 0.1257552, SHANNON_ENTROPY: 11.2880225, 
SearchBayesianSkopt-CV: Config 5 is suboptimal. Config: {'a': 0.0496436964031768, 'b': 0.7352032642709245, 'c': 0.72103645775687, 'normalize': False} - results: ROC_AUC: 0.1764054, PRECISION: 0.0374482, PRECISION_RECALL_MIN_DEN: 0.1302528, RECALL: 0.1261217, MAP: 0.0609663, MRR: 0.1310954, NDCG: 0.0919304, F1: 0.0577478, HIT_RATE: 0.3744823, ARHR: 0.1514953, NOVELTY: 0.0047925, AVERAGE_POPULARITY: 0.1126165, DIVERSITY_MEAN_INTER_LIST: 0.9837049, DIVERSITY_HERFINDAHL: 0.9983531, COVERAGE_ITEM: 0.4345794, COVERAGE_ITEM_CORRECT: 0.0420250, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1965522, DIVERSITY_GINI: 0.1341047, SHANNON_ENTROPY: 11.3697502, 
SearchBayesianSkopt-CV: Config 6 is suboptimal. Config: {'a': 0.24491463745393566, 'b': 0.8238499688341738, 'c': 0.3267937743195019, 'normalize': False} - results: ROC_AUC: 0.1764175, PRECISION: 0.0373423, PRECISION_RECALL_MIN_DEN: 0.1298202, RECALL: 0.1257096, MAP: 0.0608860, MRR: 0.1309816, NDCG: 0.0917656, F1: 0.0575787, HIT_RATE: 0.3734232, ARHR: 0.1513198, NOVELTY: 0.0047870, AVERAGE_POPULARITY: 0.1132202, DIVERSITY_MEAN_INTER_LIST: 0.9834996, DIVERSITY_HERFINDAHL: 0.9983326, COVERAGE_ITEM: 0.4318845, COVERAGE_ITEM_CORRECT: 0.0417247, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1961998, DIVERSITY_GINI: 0.1321390, SHANNON_ENTROPY: 11.3426190, 
SearchBayesianSkopt-CV: Config 7 is suboptimal. Config: {'a': 0.920647097320486, 'b': 0.48598313973542406, 'c': 0.6867270937180993, 'normalize': False} - results: ROC_AUC: 0.1765051, PRECISION: 0.0374481, PRECISION_RECALL_MIN_DEN: 0.1301675, RECALL: 0.1260625, MAP: 0.0611361, MRR: 0.1313612, NDCG: 0.0920744, F1: 0.0577415, HIT_RATE: 0.3744809, ARHR: 0.1516294, NOVELTY: 0.0047718, AVERAGE_POPULARITY: 0.1127882, DIVERSITY_MEAN_INTER_LIST: 0.9839700, DIVERSITY_HERFINDAHL: 0.9983796, COVERAGE_ITEM: 0.4184639, COVERAGE_ITEM_CORRECT: 0.0418710, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1972065, DIVERSITY_GINI: 0.1240441, SHANNON_ENTROPY: 11.2836873, 
SearchBayesianSkopt-CV: Config 8 is suboptimal. Config: {'a': 0.3037332775725749, 'b': 0.988584104735041, 'c': 0.9800813954114933, 'normalize': True} - results: ROC_AUC: 0.1802452, PRECISION: 0.0385970, PRECISION_RECALL_MIN_DEN: 0.1343260, RECALL: 0.1300303, MAP: 0.0629963, MRR: 0.1346381, NDCG: 0.0947338, F1: 0.0595241, HIT_RATE: 0.3859699, ARHR: 0.1557198, NOVELTY: 0.0047939, AVERAGE_POPULARITY: 0.1076059, DIVERSITY_MEAN_INTER_LIST: 0.9861034, DIVERSITY_HERFINDAHL: 0.9985929, COVERAGE_ITEM: 0.4214283, COVERAGE_ITEM_CORRECT: 0.0444273, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2020637, DIVERSITY_GINI: 0.1290024, SHANNON_ENTROPY: 11.4272281, 
SearchBayesianSkopt-CV: Config 9 is suboptimal. Config: {'a': 0.3769748018378213, 'b': 0.7193282799869982, 'c': 0.3566998185956843, 'normalize': True} - results: ROC_AUC: 0.1795458, PRECISION: 0.0381554, PRECISION_RECALL_MIN_DEN: 0.1326769, RECALL: 0.1284642, MAP: 0.0625489, MRR: 0.1337894, NDCG: 0.0939375, F1: 0.0588340, HIT_RATE: 0.3815542, ARHR: 0.1546719, NOVELTY: 0.0047872, AVERAGE_POPULARITY: 0.1097705, DIVERSITY_MEAN_INTER_LIST: 0.9852163, DIVERSITY_HERFINDAHL: 0.9985042, COVERAGE_ITEM: 0.4220520, COVERAGE_ITEM_CORRECT: 0.0432724, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2002517, DIVERSITY_GINI: 0.1280849, SHANNON_ENTROPY: 11.3778042, 
