
SearchBayesianSkopt-CV: New best config found. Config 0: {'a': 0.09735591577502803, 'b': 0.7598040810517013, 'c': 0.9256075301479226, 'normalize': True} - results: ROC_AUC: 0.1797066, PRECISION: 0.0382410, PRECISION_RECALL_MIN_DEN: 0.1337202, RECALL: 0.1295457, MAP: 0.0630395, MRR: 0.1341333, NDCG: 0.0946030, F1: 0.0590484, HIT_RATE: 0.3824102, ARHR: 0.1547725, NOVELTY: 0.0047978, AVERAGE_POPULARITY: 0.1109603, DIVERSITY_MEAN_INTER_LIST: 0.9850963, DIVERSITY_HERFINDAHL: 0.9984922, COVERAGE_ITEM: 0.4327469, COVERAGE_ITEM_CORRECT: 0.0438037, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2005788, DIVERSITY_GINI: 0.1349130, SHANNON_ENTROPY: 11.4456937, 
SearchBayesianSkopt-CV: Config 1 is suboptimal. Config: {'a': 0.24087188903472329, 'b': 0.42770928901391325, 'c': 0.13654462212342625, 'normalize': True} - results: ROC_AUC: 0.1721033, PRECISION: 0.0363284, PRECISION_RECALL_MIN_DEN: 0.1263391, RECALL: 0.1224150, MAP: 0.0595758, MRR: 0.1274131, NDCG: 0.0896218, F1: 0.0560265, HIT_RATE: 0.3632842, ARHR: 0.1468844, NOVELTY: 0.0048067, AVERAGE_POPULARITY: 0.1148930, DIVERSITY_MEAN_INTER_LIST: 0.9833225, DIVERSITY_HERFINDAHL: 0.9983149, COVERAGE_ITEM: 0.4355265, COVERAGE_ITEM_CORRECT: 0.0399153, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1916195, DIVERSITY_GINI: 0.1376230, SHANNON_ENTROPY: 11.4119147, 

SearchBayesianSkopt-CV: New best config found. Config 2: {'a': 0.29131768919081885, 'b': 0.5873065304960701, 'c': 0.9118399926517474, 'normalize': True} - results: ROC_AUC: 0.1805896, PRECISION: 0.0383894, PRECISION_RECALL_MIN_DEN: 0.1345324, RECALL: 0.1303577, MAP: 0.0631229, MRR: 0.1341991, NDCG: 0.0948544, F1: 0.0593103, HIT_RATE: 0.3838938, ARHR: 0.1549388, NOVELTY: 0.0047931, AVERAGE_POPULARITY: 0.1105128, DIVERSITY_MEAN_INTER_LIST: 0.9853184, DIVERSITY_HERFINDAHL: 0.9985144, COVERAGE_ITEM: 0.4285197, COVERAGE_ITEM_CORRECT: 0.0441270, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2013590, DIVERSITY_GINI: 0.1324167, SHANNON_ENTROPY: 11.4315193, 
SearchBayesianSkopt-CV: Config 3 is suboptimal. Config: {'a': 0.543386898504963, 'b': 0.7342976604662068, 'c': 0.841096169323537, 'normalize': False} - results: ROC_AUC: 0.1750071, PRECISION: 0.0370175, PRECISION_RECALL_MIN_DEN: 0.1291976, RECALL: 0.1251733, MAP: 0.0608928, MRR: 0.1304463, NDCG: 0.0914939, F1: 0.0571356, HIT_RATE: 0.3701747, ARHR: 0.1504587, NOVELTY: 0.0047635, AVERAGE_POPULARITY: 0.1128775, DIVERSITY_MEAN_INTER_LIST: 0.9844807, DIVERSITY_HERFINDAHL: 0.9984307, COVERAGE_ITEM: 0.4070760, COVERAGE_ITEM_CORRECT: 0.0411011, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1950673, DIVERSITY_GINI: 0.1188485, SHANNON_ENTROPY: 11.2619039, 
SearchBayesianSkopt-CV: Config 4 is suboptimal. Config: {'a': 0.9002656237960389, 'b': 0.6604377108324274, 'c': 0.15893914283313973, 'normalize': False} - results: ROC_AUC: 0.1710432, PRECISION: 0.0361026, PRECISION_RECALL_MIN_DEN: 0.1262760, RECALL: 0.1223578, MAP: 0.0593343, MRR: 0.1270598, NDCG: 0.0892570, F1: 0.0557519, HIT_RATE: 0.3610263, ARHR: 0.1463926, NOVELTY: 0.0047553, AVERAGE_POPULARITY: 0.1134719, DIVERSITY_MEAN_INTER_LIST: 0.9842211, DIVERSITY_HERFINDAHL: 0.9984047, COVERAGE_ITEM: 0.4023407, COVERAGE_ITEM_CORRECT: 0.0396920, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1906128, DIVERSITY_GINI: 0.1158357, SHANNON_ENTROPY: 11.2194075, 
SearchBayesianSkopt-CV: Config 5 is suboptimal. Config: {'a': 0.0496436964031768, 'b': 0.7352032642709245, 'c': 0.72103645775687, 'normalize': False} - results: ROC_AUC: 0.1792061, PRECISION: 0.0380922, PRECISION_RECALL_MIN_DEN: 0.1331037, RECALL: 0.1289754, MAP: 0.0625780, MRR: 0.1334830, NDCG: 0.0940809, F1: 0.0588124, HIT_RATE: 0.3809217, ARHR: 0.1540832, NOVELTY: 0.0047866, AVERAGE_POPULARITY: 0.1120256, DIVERSITY_MEAN_INTER_LIST: 0.9847517, DIVERSITY_HERFINDAHL: 0.9984578, COVERAGE_ITEM: 0.4253013, COVERAGE_ITEM_CORRECT: 0.0431646, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1997735, DIVERSITY_GINI: 0.1299501, SHANNON_ENTROPY: 11.3843649, 
SearchBayesianSkopt-CV: Config 6 is suboptimal. Config: {'a': 0.24491463745393566, 'b': 0.8238499688341738, 'c': 0.3267937743195019, 'normalize': False} - results: ROC_AUC: 0.1752164, PRECISION: 0.0368871, PRECISION_RECALL_MIN_DEN: 0.1289991, RECALL: 0.1250200, MAP: 0.0607011, MRR: 0.1300693, NDCG: 0.0913033, F1: 0.0569635, HIT_RATE: 0.3688705, ARHR: 0.1499195, NOVELTY: 0.0047640, AVERAGE_POPULARITY: 0.1149611, DIVERSITY_MEAN_INTER_LIST: 0.9837026, DIVERSITY_HERFINDAHL: 0.9983529, COVERAGE_ITEM: 0.4129663, COVERAGE_ITEM_CORRECT: 0.0406006, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1946395, DIVERSITY_GINI: 0.1213788, SHANNON_ENTROPY: 11.2570822, 
SearchBayesianSkopt-CV: Config 7 is suboptimal. Config: {'a': 0.920647097320486, 'b': 0.48598313973542406, 'c': 0.6867270937180993, 'normalize': False} - results: ROC_AUC: 0.1724918, PRECISION: 0.0365087, PRECISION_RECALL_MIN_DEN: 0.1272500, RECALL: 0.1232638, MAP: 0.0599410, MRR: 0.1283821, NDCG: 0.0900950, F1: 0.0563298, HIT_RATE: 0.3650874, ARHR: 0.1480314, NOVELTY: 0.0047603, AVERAGE_POPULARITY: 0.1124003, DIVERSITY_MEAN_INTER_LIST: 0.9845908, DIVERSITY_HERFINDAHL: 0.9984417, COVERAGE_ITEM: 0.4031646, COVERAGE_ITEM_CORRECT: 0.0405005, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1922738, DIVERSITY_GINI: 0.1168232, SHANNON_ENTROPY: 11.2445800, 
SearchBayesianSkopt-CV: Config 8 is suboptimal. Config: {'a': 0.3037332775725749, 'b': 0.988584104735041, 'c': 0.9800813954114933, 'normalize': True} - results: ROC_AUC: 0.1784868, PRECISION: 0.0380036, PRECISION_RECALL_MIN_DEN: 0.1326110, RECALL: 0.1284804, MAP: 0.0625817, MRR: 0.1332422, NDCG: 0.0939252, F1: 0.0586547, HIT_RATE: 0.3800355, ARHR: 0.1538258, NOVELTY: 0.0047977, AVERAGE_POPULARITY: 0.1118507, DIVERSITY_MEAN_INTER_LIST: 0.9847264, DIVERSITY_HERFINDAHL: 0.9984552, COVERAGE_ITEM: 0.4324466, COVERAGE_ITEM_CORRECT: 0.0432416, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1990688, DIVERSITY_GINI: 0.1347594, SHANNON_ENTROPY: 11.4303775, 
SearchBayesianSkopt-CV: Config 9 is suboptimal. Config: {'a': 0.3769748018378213, 'b': 0.7193282799869982, 'c': 0.3566998185956843, 'normalize': True} - results: ROC_AUC: 0.1746783, PRECISION: 0.0367912, PRECISION_RECALL_MIN_DEN: 0.1279366, RECALL: 0.1239511, MAP: 0.0608611, MRR: 0.1298862, NDCG: 0.0911906, F1: 0.0567379, HIT_RATE: 0.3679117, ARHR: 0.1498267, NOVELTY: 0.0048025, AVERAGE_POPULARITY: 0.1140925, DIVERSITY_MEAN_INTER_LIST: 0.9837457, DIVERSITY_HERFINDAHL: 0.9983572, COVERAGE_ITEM: 0.4345101, COVERAGE_ITEM_CORRECT: 0.0409779, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1935322, DIVERSITY_GINI: 0.1364305, SHANNON_ENTROPY: 11.4131323, 
