
SearchBayesianSkopt-CV: New best config found. Config 0: {'alpha': 0.8484499089397549, 'l1_ratio': 0.12796674029876223, 'topK': 971, 'normalize': True} - results: ROC_AUC: 0.1754986, PRECISION: 0.0370988, PRECISION_RECALL_MIN_DEN: 0.1290827, RECALL: 0.1249139, MAP: 0.0611636, MRR: 0.1305382, NDCG: 0.0916075, F1: 0.0572056, HIT_RATE: 0.3709877, ARHR: 0.1508360, NOVELTY: 0.0049201, AVERAGE_POPULARITY: 0.0866182, DIVERSITY_MEAN_INTER_LIST: 0.9903184, DIVERSITY_HERFINDAHL: 0.9990143, COVERAGE_ITEM: 0.4634841, COVERAGE_ITEM_CORRECT: 0.0447045, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1938342, DIVERSITY_GINI: 0.1557737, SHANNON_ENTROPY: 11.8108504, 

SearchBayesianSkopt-CV: New best config found. Config 1: {'alpha': 0.20469240618781276, 'l1_ratio': 0.03611068708896548, 'topK': 349, 'normalize': False} - results: ROC_AUC: 0.1769932, PRECISION: 0.0377236, PRECISION_RECALL_MIN_DEN: 0.1305511, RECALL: 0.1263135, MAP: 0.0616260, MRR: 0.1318965, NDCG: 0.0925141, F1: 0.0580941, HIT_RATE: 0.3772359, ARHR: 0.1527557, NOVELTY: 0.0048560, AVERAGE_POPULARITY: 0.1040836, DIVERSITY_MEAN_INTER_LIST: 0.9860758, DIVERSITY_HERFINDAHL: 0.9985902, COVERAGE_ITEM: 0.4681963, COVERAGE_ITEM_CORRECT: 0.0438807, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1966277, DIVERSITY_GINI: 0.1534935, SHANNON_ENTROPY: 11.6080384, 

SearchBayesianSkopt-CV: New best config found. Config 2: {'alpha': 0.3835210042497279, 'l1_ratio': 0.8815448457197216, 'topK': 710, 'normalize': True} - results: ROC_AUC: 0.1943802, PRECISION: 0.0424781, PRECISION_RECALL_MIN_DEN: 0.1490146, RECALL: 0.1444071, MAP: 0.0699611, MRR: 0.1454189, NDCG: 0.1045946, F1: 0.0656448, HIT_RATE: 0.4247813, ARHR: 0.1700793, NOVELTY: 0.0048990, AVERAGE_POPULARITY: 0.0964074, DIVERSITY_MEAN_INTER_LIST: 0.9882365, DIVERSITY_HERFINDAHL: 0.9988062, COVERAGE_ITEM: 0.4744485, COVERAGE_ITEM_CORRECT: 0.0533975, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2172895, DIVERSITY_GINI: 0.1621606, SHANNON_ENTROPY: 11.7831584, 
SearchBayesianSkopt-CV: Config 3 is suboptimal. Config: {'alpha': 0.8302755820717055, 'l1_ratio': 0.6963683416829187, 'topK': 994, 'normalize': False} - results: ROC_AUC: 0.1884644, PRECISION: 0.0413681, PRECISION_RECALL_MIN_DEN: 0.1477408, RECALL: 0.1432704, MAP: 0.0680977, MRR: 0.1399397, NDCG: 0.1021461, F1: 0.0641983, HIT_RATE: 0.4136815, ARHR: 0.1634573, NOVELTY: 0.0050544, AVERAGE_POPULARITY: 0.0660963, DIVERSITY_MEAN_INTER_LIST: 0.9942180, DIVERSITY_HERFINDAHL: 0.9994042, COVERAGE_ITEM: 0.5339288, COVERAGE_ITEM_CORRECT: 0.0583792, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2130615, DIVERSITY_GINI: 0.2173827, SHANNON_ENTROPY: 12.4643634, 
SearchBayesianSkopt-CV: Config 4 is suboptimal. Config: {'alpha': 0.8911893260873708, 'l1_ratio': 0.190809944835244, 'topK': 678, 'normalize': False} - results: ROC_AUC: 0.1874724, PRECISION: 0.0405096, PRECISION_RECALL_MIN_DEN: 0.1415490, RECALL: 0.1370333, MAP: 0.0670449, MRR: 0.1399958, NDCG: 0.0999995, F1: 0.0625303, HIT_RATE: 0.4050964, ARHR: 0.1631317, NOVELTY: 0.0049292, AVERAGE_POPULARITY: 0.0868120, DIVERSITY_MEAN_INTER_LIST: 0.9905009, DIVERSITY_HERFINDAHL: 0.9990326, COVERAGE_ITEM: 0.4692666, COVERAGE_ITEM_CORRECT: 0.0507950, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2078772, DIVERSITY_GINI: 0.1613190, SHANNON_ENTROPY: 11.8735032, 
SearchBayesianSkopt-CV: Config 5 is suboptimal. Config: {'alpha': 0.51798561795569, 'l1_ratio': 0.08020947132375979, 'topK': 359, 'normalize': True} - results: ROC_AUC: 0.1772144, PRECISION: 0.0373608, PRECISION_RECALL_MIN_DEN: 0.1293645, RECALL: 0.1251065, MAP: 0.0617480, MRR: 0.1316948, NDCG: 0.0921928, F1: 0.0575354, HIT_RATE: 0.3736075, ARHR: 0.1524829, NOVELTY: 0.0049181, AVERAGE_POPULARITY: 0.0895835, DIVERSITY_MEAN_INTER_LIST: 0.9898903, DIVERSITY_HERFINDAHL: 0.9989715, COVERAGE_ITEM: 0.4744947, COVERAGE_ITEM_CORRECT: 0.0452358, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1947402, DIVERSITY_GINI: 0.1617838, SHANNON_ENTROPY: 11.8411912, 
SearchBayesianSkopt-CV: Config 6 is suboptimal. Config: {'alpha': 0.19318275500699528, 'l1_ratio': 0.5786806365256761, 'topK': 398, 'normalize': True} - results: ROC_AUC: 0.1823326, PRECISION: 0.0390642, PRECISION_RECALL_MIN_DEN: 0.1359649, RECALL: 0.1315882, MAP: 0.0640198, MRR: 0.1357240, NDCG: 0.0960125, F1: 0.0602425, HIT_RATE: 0.3906421, ARHR: 0.1575018, NOVELTY: 0.0048605, AVERAGE_POPULARITY: 0.1023186, DIVERSITY_MEAN_INTER_LIST: 0.9866475, DIVERSITY_HERFINDAHL: 0.9986473, COVERAGE_ITEM: 0.4620366, COVERAGE_ITEM_CORRECT: 0.0463138, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2024663, DIVERSITY_GINI: 0.1515719, SHANNON_ENTROPY: 11.6243036, 
SearchBayesianSkopt-CV: Config 7 is suboptimal. Config: {'alpha': 0.841579218961759, 'l1_ratio': 0.992176716269926, 'topK': 530, 'normalize': True} - results: ROC_AUC: 0.1384415, PRECISION: 0.0290327, PRECISION_RECALL_MIN_DEN: 0.1063184, RECALL: 0.1032174, MAP: 0.0471604, MRR: 0.0981361, NDCG: 0.0720163, F1: 0.0453161, HIT_RATE: 0.2903268, ARHR: 0.1111457, NOVELTY: 0.0052395, AVERAGE_POPULARITY: 0.0301818, DIVERSITY_MEAN_INTER_LIST: 0.9975558, DIVERSITY_HERFINDAHL: 0.9997380, COVERAGE_ITEM: 0.5828989, COVERAGE_ITEM_CORRECT: 0.0495630, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1597836, DIVERSITY_GINI: 0.2765961, SHANNON_ENTROPY: 13.0338465, 
SearchBayesianSkopt-CV: Config 8 is suboptimal. Config: {'alpha': 0.36732744167042725, 'l1_ratio': 0.32644854188438216, 'topK': 354, 'normalize': False} - results: ROC_AUC: 0.1813439, PRECISION: 0.0387812, PRECISION_RECALL_MIN_DEN: 0.1344711, RECALL: 0.1300863, MAP: 0.0637099, MRR: 0.1355286, NDCG: 0.0953700, F1: 0.0597483, HIT_RATE: 0.3878121, ARHR: 0.1573206, NOVELTY: 0.0048636, AVERAGE_POPULARITY: 0.1021686, DIVERSITY_MEAN_INTER_LIST: 0.9866800, DIVERSITY_HERFINDAHL: 0.9986506, COVERAGE_ITEM: 0.4639923, COVERAGE_ITEM_CORRECT: 0.0459057, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2008557, DIVERSITY_GINI: 0.1528558, SHANNON_ENTROPY: 11.6369309, 
