
SearchBayesianSkopt-CV: New best config found. Config 0: {'alpha': 0.8484499089397549, 'l1_ratio': 0.12796674029876223, 'topK': 971, 'normalize': True} - results: ROC_AUC: 0.1750398, PRECISION: 0.0369892, PRECISION_RECALL_MIN_DEN: 0.1288281, RECALL: 0.1246629, MAP: 0.0610533, MRR: 0.1300397, NDCG: 0.0913866, F1: 0.0570493, HIT_RATE: 0.3698921, ARHR: 0.1502535, NOVELTY: 0.0049182, AVERAGE_POPULARITY: 0.0870646, DIVERSITY_MEAN_INTER_LIST: 0.9901803, DIVERSITY_HERFINDAHL: 0.9990005, COVERAGE_ITEM: 0.4631453, COVERAGE_ITEM_CORRECT: 0.0445274, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1933560, DIVERSITY_GINI: 0.1552535, SHANNON_ENTROPY: 11.7995316, 

SearchBayesianSkopt-CV: New best config found. Config 1: {'alpha': 0.20469240618781276, 'l1_ratio': 0.03611068708896548, 'topK': 349, 'normalize': False} - results: ROC_AUC: 0.1757618, PRECISION: 0.0375257, PRECISION_RECALL_MIN_DEN: 0.1302007, RECALL: 0.1259762, MAP: 0.0612575, MRR: 0.1309049, NDCG: 0.0920164, F1: 0.0578247, HIT_RATE: 0.3752569, ARHR: 0.1515543, NOVELTY: 0.0048440, AVERAGE_POPULARITY: 0.1069786, DIVERSITY_MEAN_INTER_LIST: 0.9851041, DIVERSITY_HERFINDAHL: 0.9984930, COVERAGE_ITEM: 0.4670491, COVERAGE_ITEM_CORRECT: 0.0434264, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1957468, DIVERSITY_GINI: 0.1508764, SHANNON_ENTROPY: 11.5469123, 

SearchBayesianSkopt-CV: New best config found. Config 2: {'alpha': 0.3835210042497279, 'l1_ratio': 0.8815448457197216, 'topK': 710, 'normalize': True} - results: ROC_AUC: 0.1946017, PRECISION: 0.0424255, PRECISION_RECALL_MIN_DEN: 0.1496978, RECALL: 0.1451474, MAP: 0.0704259, MRR: 0.1455084, NDCG: 0.1051001, F1: 0.0656575, HIT_RATE: 0.4242552, ARHR: 0.1699939, NOVELTY: 0.0048890, AVERAGE_POPULARITY: 0.0990095, DIVERSITY_MEAN_INTER_LIST: 0.9874024, DIVERSITY_HERFINDAHL: 0.9987228, COVERAGE_ITEM: 0.4724081, COVERAGE_ITEM_CORRECT: 0.0531511, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2171385, DIVERSITY_GINI: 0.1601479, SHANNON_ENTROPY: 11.7349892, 
SearchBayesianSkopt-CV: Config 3 is suboptimal. Config: {'alpha': 0.8302755820717055, 'l1_ratio': 0.6963683416829187, 'topK': 994, 'normalize': False} - results: ROC_AUC: 0.1922571, PRECISION: 0.0421919, PRECISION_RECALL_MIN_DEN: 0.1510821, RECALL: 0.1465522, MAP: 0.0694641, MRR: 0.1425823, NDCG: 0.1042618, F1: 0.0655189, HIT_RATE: 0.4219193, ARHR: 0.1665714, NOVELTY: 0.0050070, AVERAGE_POPULARITY: 0.0750301, DIVERSITY_MEAN_INTER_LIST: 0.9926948, DIVERSITY_HERFINDAHL: 0.9992519, COVERAGE_ITEM: 0.5187757, COVERAGE_ITEM_CORRECT: 0.0575245, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2174154, DIVERSITY_GINI: 0.2021918, SHANNON_ENTROPY: 12.2830048, 
SearchBayesianSkopt-CV: Config 4 is suboptimal. Config: {'alpha': 0.8911893260873708, 'l1_ratio': 0.190809944835244, 'topK': 678, 'normalize': False} - results: ROC_AUC: 0.1861234, PRECISION: 0.0401381, PRECISION_RECALL_MIN_DEN: 0.1403081, RECALL: 0.1358703, MAP: 0.0665472, MRR: 0.1391807, NDCG: 0.0992562, F1: 0.0619672, HIT_RATE: 0.4013807, ARHR: 0.1619880, NOVELTY: 0.0049134, AVERAGE_POPULARITY: 0.0901776, DIVERSITY_MEAN_INTER_LIST: 0.9896918, DIVERSITY_HERFINDAHL: 0.9989517, COVERAGE_ITEM: 0.4660866, COVERAGE_ITEM_CORRECT: 0.0497401, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2061910, DIVERSITY_GINI: 0.1579360, SHANNON_ENTROPY: 11.8076879, 
SearchBayesianSkopt-CV: Config 5 is suboptimal. Config: {'alpha': 0.51798561795569, 'l1_ratio': 0.08020947132375979, 'topK': 359, 'normalize': True} - results: ROC_AUC: 0.1763325, PRECISION: 0.0373287, PRECISION_RECALL_MIN_DEN: 0.1294483, RECALL: 0.1251602, MAP: 0.0614566, MRR: 0.1310689, NDCG: 0.0918872, F1: 0.0575038, HIT_RATE: 0.3732875, ARHR: 0.1518068, NOVELTY: 0.0049182, AVERAGE_POPULARITY: 0.0899201, DIVERSITY_MEAN_INTER_LIST: 0.9897837, DIVERSITY_HERFINDAHL: 0.9989609, COVERAGE_ITEM: 0.4745332, COVERAGE_ITEM_CORRECT: 0.0450510, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1946898, DIVERSITY_GINI: 0.1615557, SHANNON_ENTROPY: 11.8344586, 
SearchBayesianSkopt-CV: Config 6 is suboptimal. Config: {'alpha': 0.19318275500699528, 'l1_ratio': 0.5786806365256761, 'topK': 398, 'normalize': True} - results: ROC_AUC: 0.1825006, PRECISION: 0.0390391, PRECISION_RECALL_MIN_DEN: 0.1364039, RECALL: 0.1320548, MAP: 0.0644754, MRR: 0.1363193, NDCG: 0.0964420, F1: 0.0602606, HIT_RATE: 0.3903912, ARHR: 0.1580550, NOVELTY: 0.0048537, AVERAGE_POPULARITY: 0.1038319, DIVERSITY_MEAN_INTER_LIST: 0.9861287, DIVERSITY_HERFINDAHL: 0.9985955, COVERAGE_ITEM: 0.4604427, COVERAGE_ITEM_CORRECT: 0.0462445, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2028942, DIVERSITY_GINI: 0.1497479, SHANNON_ENTROPY: 11.5895920, 
SearchBayesianSkopt-CV: Config 7 is suboptimal. Config: {'alpha': 0.841579218961759, 'l1_ratio': 0.992176716269926, 'topK': 530, 'normalize': True} - results: ROC_AUC: 0.1376592, PRECISION: 0.0289090, PRECISION_RECALL_MIN_DEN: 0.1051976, RECALL: 0.1020643, MAP: 0.0465858, MRR: 0.0975235, NDCG: 0.0712622, F1: 0.0450537, HIT_RATE: 0.2890897, ARHR: 0.1104958, NOVELTY: 0.0052370, AVERAGE_POPULARITY: 0.0305178, DIVERSITY_MEAN_INTER_LIST: 0.9975427, DIVERSITY_HERFINDAHL: 0.9997366, COVERAGE_ITEM: 0.5823908, COVERAGE_ITEM_CORRECT: 0.0493013, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1589531, DIVERSITY_GINI: 0.2760724, SHANNON_ENTROPY: 13.0296957, 
SearchBayesianSkopt-CV: Config 8 is suboptimal. Config: {'alpha': 0.36732744167042725, 'l1_ratio': 0.32644854188438216, 'topK': 354, 'normalize': False} - results: ROC_AUC: 0.1801002, PRECISION: 0.0385191, PRECISION_RECALL_MIN_DEN: 0.1342595, RECALL: 0.1299408, MAP: 0.0633672, MRR: 0.1344252, NDCG: 0.0949047, F1: 0.0594211, HIT_RATE: 0.3851911, ARHR: 0.1557916, NOVELTY: 0.0048496, AVERAGE_POPULARITY: 0.1050500, DIVERSITY_MEAN_INTER_LIST: 0.9857332, DIVERSITY_HERFINDAHL: 0.9985559, COVERAGE_ITEM: 0.4614822, COVERAGE_ITEM_CORRECT: 0.0452666, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2006292, DIVERSITY_GINI: 0.1498435, SHANNON_ENTROPY: 11.5740159, 
