
SearchBayesianSkopt-CV: New best config found. Config 0: {'alpha': 0.8484499089397549, 'l1_ratio': 0.12796674029876223, 'topK': 971, 'normalize': True} - results: ROC_AUC: 0.1753133, PRECISION: 0.0372648, PRECISION_RECALL_MIN_DEN: 0.1298721, RECALL: 0.1256642, MAP: 0.0611020, MRR: 0.1302780, NDCG: 0.0917117, F1: 0.0574816, HIT_RATE: 0.3726476, ARHR: 0.1506638, NOVELTY: 0.0049289, AVERAGE_POPULARITY: 0.0844603, DIVERSITY_MEAN_INTER_LIST: 0.9908524, DIVERSITY_HERFINDAHL: 0.9990677, COVERAGE_ITEM: 0.4634071, COVERAGE_ITEM_CORRECT: 0.0454822, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1944633, DIVERSITY_GINI: 0.1567508, SHANNON_ENTROPY: 11.8456395, 

SearchBayesianSkopt-CV: New best config found. Config 1: {'alpha': 0.20469240618781276, 'l1_ratio': 0.03611068708896548, 'topK': 349, 'normalize': False} - results: ROC_AUC: 0.1772318, PRECISION: 0.0379578, PRECISION_RECALL_MIN_DEN: 0.1313262, RECALL: 0.1269616, MAP: 0.0618340, MRR: 0.1322021, NDCG: 0.0928013, F1: 0.0584415, HIT_RATE: 0.3795780, ARHR: 0.1534756, NOVELTY: 0.0049252, AVERAGE_POPULARITY: 0.0857291, DIVERSITY_MEAN_INTER_LIST: 0.9913683, DIVERSITY_HERFINDAHL: 0.9991193, COVERAGE_ITEM: 0.4616439, COVERAGE_ITEM_CORRECT: 0.0478229, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1971058, DIVERSITY_GINI: 0.1585512, SHANNON_ENTROPY: 11.9027583, 

SearchBayesianSkopt-CV: New best config found. Config 2: {'alpha': 0.3835210042497279, 'l1_ratio': 0.8815448457197216, 'topK': 710, 'normalize': True} - results: ROC_AUC: 0.1967031, PRECISION: 0.0432450, PRECISION_RECALL_MIN_DEN: 0.1540453, RECALL: 0.1494539, MAP: 0.0711946, MRR: 0.1463305, NDCG: 0.1068234, F1: 0.0670778, HIT_RATE: 0.4324497, ARHR: 0.1713164, NOVELTY: 0.0049736, AVERAGE_POPULARITY: 0.0755727, DIVERSITY_MEAN_INTER_LIST: 0.9933406, DIVERSITY_HERFINDAHL: 0.9993165, COVERAGE_ITEM: 0.4992262, COVERAGE_ITEM_CORRECT: 0.0601578, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2218196, DIVERSITY_GINI: 0.1890726, SHANNON_ENTROPY: 12.2346521, 
SearchBayesianSkopt-CV: Config 3 is suboptimal. Config: {'alpha': 0.8302755820717055, 'l1_ratio': 0.6963683416829187, 'topK': 994, 'normalize': False} - results: ROC_AUC: 0.1481009, PRECISION: 0.0320903, PRECISION_RECALL_MIN_DEN: 0.1151611, RECALL: 0.1115179, MAP: 0.0503332, MRR: 0.1058658, NDCG: 0.0773511, F1: 0.0498371, HIT_RATE: 0.3209027, ARHR: 0.1211655, NOVELTY: 0.0052046, AVERAGE_POPULARITY: 0.0345051, DIVERSITY_MEAN_INTER_LIST: 0.9973235, DIVERSITY_HERFINDAHL: 0.9997147, COVERAGE_ITEM: 0.5733513, COVERAGE_ITEM_CORRECT: 0.0526429, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1728954, DIVERSITY_GINI: 0.2648913, SHANNON_ENTROPY: 12.9517144, 
SearchBayesianSkopt-CV: Config 4 is suboptimal. Config: {'alpha': 0.8911893260873708, 'l1_ratio': 0.190809944835244, 'topK': 678, 'normalize': False} - results: ROC_AUC: 0.1866249, PRECISION: 0.0406903, PRECISION_RECALL_MIN_DEN: 0.1429437, RECALL: 0.1384509, MAP: 0.0668198, MRR: 0.1386618, NDCG: 0.1000062, F1: 0.0628937, HIT_RATE: 0.4069033, ARHR: 0.1619621, NOVELTY: 0.0049859, AVERAGE_POPULARITY: 0.0762420, DIVERSITY_MEAN_INTER_LIST: 0.9925421, DIVERSITY_HERFINDAHL: 0.9992367, COVERAGE_ITEM: 0.4791915, COVERAGE_ITEM_CORRECT: 0.0534591, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2089090, DIVERSITY_GINI: 0.1721028, SHANNON_ENTROPY: 12.0625709, 
SearchBayesianSkopt-CV: Config 5 is suboptimal. Config: {'alpha': 0.51798561795569, 'l1_ratio': 0.08020947132375979, 'topK': 359, 'normalize': True} - results: ROC_AUC: 0.1754992, PRECISION: 0.0374174, PRECISION_RECALL_MIN_DEN: 0.1290238, RECALL: 0.1247065, MAP: 0.0608622, MRR: 0.1303852, NDCG: 0.0913662, F1: 0.0575614, HIT_RATE: 0.3741737, ARHR: 0.1512662, NOVELTY: 0.0049462, AVERAGE_POPULARITY: 0.0826787, DIVERSITY_MEAN_INTER_LIST: 0.9917020, DIVERSITY_HERFINDAHL: 0.9991527, COVERAGE_ITEM: 0.4694745, COVERAGE_ITEM_CORRECT: 0.0467834, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1945640, DIVERSITY_GINI: 0.1633122, SHANNON_ENTROPY: 11.9506416, 
SearchBayesianSkopt-CV: Config 6 is suboptimal. Config: {'alpha': 0.19318275500699528, 'l1_ratio': 0.5786806365256761, 'topK': 398, 'normalize': True} - results: ROC_AUC: 0.1890217, PRECISION: 0.0409106, PRECISION_RECALL_MIN_DEN: 0.1425230, RECALL: 0.1378236, MAP: 0.0674283, MRR: 0.1417918, NDCG: 0.1005844, F1: 0.0630911, HIT_RATE: 0.4091055, ARHR: 0.1653276, NOVELTY: 0.0049004, AVERAGE_POPULARITY: 0.0892086, DIVERSITY_MEAN_INTER_LIST: 0.9909252, DIVERSITY_HERFINDAHL: 0.9990750, COVERAGE_ITEM: 0.4560847, COVERAGE_ITEM_CORRECT: 0.0529124, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2099912, DIVERSITY_GINI: 0.1558257, SHANNON_ENTROPY: 11.8708086, 
SearchBayesianSkopt-CV: Config 7 is suboptimal. Config: {'alpha': 0.841579218961759, 'l1_ratio': 0.992176716269926, 'topK': 530, 'normalize': True} - results: ROC_AUC: 0.1249902, PRECISION: 0.0261843, PRECISION_RECALL_MIN_DEN: 0.0969959, RECALL: 0.0942744, MAP: 0.0421194, MRR: 0.0875089, NDCG: 0.0648271, F1: 0.0409841, HIT_RATE: 0.2618427, ARHR: 0.0985748, NOVELTY: 0.0052631, AVERAGE_POPULARITY: 0.0245749, DIVERSITY_MEAN_INTER_LIST: 0.9977789, DIVERSITY_HERFINDAHL: 0.9997603, COVERAGE_ITEM: 0.5875265, COVERAGE_ITEM_CORRECT: 0.0476535, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1465962, DIVERSITY_GINI: 0.2825968, SHANNON_ENTROPY: 13.0844121, 
SearchBayesianSkopt-CV: Config 8 is suboptimal. Config: {'alpha': 0.36732744167042725, 'l1_ratio': 0.32644854188438216, 'topK': 354, 'normalize': False} - results: ROC_AUC: 0.1928559, PRECISION: 0.0422805, PRECISION_RECALL_MIN_DEN: 0.1494379, RECALL: 0.1447985, MAP: 0.0694805, MRR: 0.1436644, NDCG: 0.1040763, F1: 0.0654480, HIT_RATE: 0.4228045, ARHR: 0.1682179, NOVELTY: 0.0050072, AVERAGE_POPULARITY: 0.0734095, DIVERSITY_MEAN_INTER_LIST: 0.9934897, DIVERSITY_HERFINDAHL: 0.9993314, COVERAGE_ITEM: 0.4948219, COVERAGE_ITEM_CORRECT: 0.0579326, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2162074, DIVERSITY_GINI: 0.1859132, SHANNON_ENTROPY: 12.2186833, 
