
SearchBayesianSkopt-CV: New best config found. Config 0: {'alpha': 0.8484499089397549, 'l1_ratio': 0.12796674029876223, 'topK': 971, 'normalize': True} - results: ROC_AUC: 0.1752442, PRECISION: 0.0370246, PRECISION_RECALL_MIN_DEN: 0.1287965, RECALL: 0.1246196, MAP: 0.0610999, MRR: 0.1301737, NDCG: 0.0914343, F1: 0.0570860, HIT_RATE: 0.3702457, ARHR: 0.1505054, NOVELTY: 0.0049242, AVERAGE_POPULARITY: 0.0862307, DIVERSITY_MEAN_INTER_LIST: 0.9904100, DIVERSITY_HERFINDAHL: 0.9990235, COVERAGE_ITEM: 0.4658941, COVERAGE_ITEM_CORRECT: 0.0446275, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1931295, DIVERSITY_GINI: 0.1574083, SHANNON_ENTROPY: 11.8271101, 

SearchBayesianSkopt-CV: New best config found. Config 1: {'alpha': 0.20469240618781276, 'l1_ratio': 0.03611068708896548, 'topK': 349, 'normalize': False} - results: ROC_AUC: 0.1766599, PRECISION: 0.0376436, PRECISION_RECALL_MIN_DEN: 0.1301311, RECALL: 0.1258402, MAP: 0.0614269, MRR: 0.1318050, NDCG: 0.0921731, F1: 0.0579473, HIT_RATE: 0.3764356, ARHR: 0.1527096, NOVELTY: 0.0049165, AVERAGE_POPULARITY: 0.0920912, DIVERSITY_MEAN_INTER_LIST: 0.9894311, DIVERSITY_HERFINDAHL: 0.9989256, COVERAGE_ITEM: 0.4788219, COVERAGE_ITEM_CORRECT: 0.0448200, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1963257, DIVERSITY_GINI: 0.1651738, SHANNON_ENTROPY: 11.8451944, 

SearchBayesianSkopt-CV: New best config found. Config 2: {'alpha': 0.3835210042497279, 'l1_ratio': 0.8815448457197216, 'topK': 710, 'normalize': True} - results: ROC_AUC: 0.1911814, PRECISION: 0.0420893, PRECISION_RECALL_MIN_DEN: 0.1487813, RECALL: 0.1442188, MAP: 0.0687906, MRR: 0.1428099, NDCG: 0.1033243, F1: 0.0651593, HIT_RATE: 0.4208932, ARHR: 0.1669616, NOVELTY: 0.0049438, AVERAGE_POPULARITY: 0.0895135, DIVERSITY_MEAN_INTER_LIST: 0.9897285, DIVERSITY_HERFINDAHL: 0.9989554, COVERAGE_ITEM: 0.5052782, COVERAGE_ITEM_CORRECT: 0.0546295, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2159054, DIVERSITY_GINI: 0.1884779, SHANNON_ENTROPY: 12.0575923, 
SearchBayesianSkopt-CV: Config 3 is suboptimal. Config: {'alpha': 0.8302755820717055, 'l1_ratio': 0.6963683416829187, 'topK': 994, 'normalize': False} - results: ROC_AUC: 0.1462556, PRECISION: 0.0317401, PRECISION_RECALL_MIN_DEN: 0.1136837, RECALL: 0.1100439, MAP: 0.0497683, MRR: 0.1045719, NDCG: 0.0763977, F1: 0.0492666, HIT_RATE: 0.3174011, ARHR: 0.1196412, NOVELTY: 0.0052065, AVERAGE_POPULARITY: 0.0341872, DIVERSITY_MEAN_INTER_LIST: 0.9973245, DIVERSITY_HERFINDAHL: 0.9997148, COVERAGE_ITEM: 0.5736362, COVERAGE_ITEM_CORRECT: 0.0521732, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1710583, DIVERSITY_GINI: 0.2653871, SHANNON_ENTROPY: 12.9547589, 
SearchBayesianSkopt-CV: Config 4 is suboptimal. Config: {'alpha': 0.8911893260873708, 'l1_ratio': 0.190809944835244, 'topK': 678, 'normalize': False} - results: ROC_AUC: 0.1867691, PRECISION: 0.0406124, PRECISION_RECALL_MIN_DEN: 0.1427091, RECALL: 0.1382354, MAP: 0.0668301, MRR: 0.1386365, NDCG: 0.0999433, F1: 0.0627783, HIT_RATE: 0.4061237, ARHR: 0.1619292, NOVELTY: 0.0049860, AVERAGE_POPULARITY: 0.0765334, DIVERSITY_MEAN_INTER_LIST: 0.9924555, DIVERSITY_HERFINDAHL: 0.9992280, COVERAGE_ITEM: 0.4804312, COVERAGE_ITEM_CORRECT: 0.0532435, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2087077, DIVERSITY_GINI: 0.1726118, SHANNON_ENTROPY: 12.0610559, 
SearchBayesianSkopt-CV: Config 5 is suboptimal. Config: {'alpha': 0.51798561795569, 'l1_ratio': 0.08020947132375979, 'topK': 359, 'normalize': True} - results: ROC_AUC: 0.1765270, PRECISION: 0.0374809, PRECISION_RECALL_MIN_DEN: 0.1292759, RECALL: 0.1249830, MAP: 0.0614499, MRR: 0.1316658, NDCG: 0.0919539, F1: 0.0576646, HIT_RATE: 0.3748093, ARHR: 0.1524891, NOVELTY: 0.0049268, AVERAGE_POPULARITY: 0.0892846, DIVERSITY_MEAN_INTER_LIST: 0.9900520, DIVERSITY_HERFINDAHL: 0.9989877, COVERAGE_ITEM: 0.4799153, COVERAGE_ITEM_CORRECT: 0.0450279, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1950925, DIVERSITY_GINI: 0.1662183, SHANNON_ENTROPY: 11.8808228, 
SearchBayesianSkopt-CV: Config 6 is suboptimal. Config: {'alpha': 0.19318275500699528, 'l1_ratio': 0.5786806365256761, 'topK': 398, 'normalize': True} - results: ROC_AUC: 0.1760126, PRECISION: 0.0380144, PRECISION_RECALL_MIN_DEN: 0.1310987, RECALL: 0.1268321, MAP: 0.0614854, MRR: 0.1309553, NDCG: 0.0924721, F1: 0.0584936, HIT_RATE: 0.3801444, ARHR: 0.1520532, NOVELTY: 0.0048879, AVERAGE_POPULARITY: 0.1027677, DIVERSITY_MEAN_INTER_LIST: 0.9864898, DIVERSITY_HERFINDAHL: 0.9986316, COVERAGE_ITEM: 0.4667334, COVERAGE_ITEM_CORRECT: 0.0445813, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1975337, DIVERSITY_GINI: 0.1599257, SHANNON_ENTROPY: 11.7086499, 
SearchBayesianSkopt-CV: Config 7 is suboptimal. Config: {'alpha': 0.841579218961759, 'l1_ratio': 0.992176716269926, 'topK': 530, 'normalize': True} - results: ROC_AUC: 0.1261906, PRECISION: 0.0263579, PRECISION_RECALL_MIN_DEN: 0.0973844, RECALL: 0.0945872, MAP: 0.0425474, MRR: 0.0885783, NDCG: 0.0653418, F1: 0.0412258, HIT_RATE: 0.2635788, ARHR: 0.0996971, NOVELTY: 0.0052531, AVERAGE_POPULARITY: 0.0265048, DIVERSITY_MEAN_INTER_LIST: 0.9976944, DIVERSITY_HERFINDAHL: 0.9997518, COVERAGE_ITEM: 0.5851011, COVERAGE_ITEM_CORRECT: 0.0468604, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1474770, DIVERSITY_GINI: 0.2801144, SHANNON_ENTROPY: 13.0647730, 

SearchBayesianSkopt-CV: New best config found. Config 8: {'alpha': 0.36732744167042725, 'l1_ratio': 0.32644854188438216, 'topK': 354, 'normalize': False} - results: ROC_AUC: 0.1936885, PRECISION: 0.0423931, PRECISION_RECALL_MIN_DEN: 0.1496698, RECALL: 0.1450520, MAP: 0.0701303, MRR: 0.1448639, NDCG: 0.1047139, F1: 0.0656085, HIT_RATE: 0.4239309, ARHR: 0.1695819, NOVELTY: 0.0050071, AVERAGE_POPULARITY: 0.0759994, DIVERSITY_MEAN_INTER_LIST: 0.9927721, DIVERSITY_HERFINDAHL: 0.9992597, COVERAGE_ITEM: 0.5050087, COVERAGE_ITEM_CORRECT: 0.0569317, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2167359, DIVERSITY_GINI: 0.1908588, SHANNON_ENTROPY: 12.2082989, 
SearchBayesianSkopt-CV: Config 9 is suboptimal. Config: {'alpha': 0.43663505763929356, 'l1_ratio': 0.5780111132622151, 'topK': 646, 'normalize': True} - results: ROC_AUC: 0.1907468, PRECISION: 0.0416622, PRECISION_RECALL_MIN_DEN: 0.1451666, RECALL: 0.1405521, MAP: 0.0683019, MRR: 0.1427232, NDCG: 0.1021243, F1: 0.0642700, HIT_RATE: 0.4166217, ARHR: 0.1669047, NOVELTY: 0.0049178, AVERAGE_POPULARITY: 0.0935210, DIVERSITY_MEAN_INTER_LIST: 0.9890783, DIVERSITY_HERFINDAHL: 0.9988904, COVERAGE_ITEM: 0.4805698, COVERAGE_ITEM_CORRECT: 0.0520269, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2126337, DIVERSITY_GINI: 0.1688211, SHANNON_ENTROPY: 11.8718909, 

SearchBayesianSkopt-CV: New best config found. Config 10: {'alpha': 0.7554630624371879, 'l1_ratio': 0.5819384267190764, 'topK': 793, 'normalize': True} - results: ROC_AUC: 0.1944095, PRECISION: 0.0424357, PRECISION_RECALL_MIN_DEN: 0.1503981, RECALL: 0.1458467, MAP: 0.0702216, MRR: 0.1447301, NDCG: 0.1050267, F1: 0.0657401, HIT_RATE: 0.4243573, ARHR: 0.1692531, NOVELTY: 0.0049845, AVERAGE_POPULARITY: 0.0779851, DIVERSITY_MEAN_INTER_LIST: 0.9923755, DIVERSITY_HERFINDAHL: 0.9992200, COVERAGE_ITEM: 0.4953224, COVERAGE_ITEM_CORRECT: 0.0561617, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2178935, DIVERSITY_GINI: 0.1829143, SHANNON_ENTROPY: 12.1303033, 
SearchBayesianSkopt-CV: Config 11 is suboptimal. Config: {'alpha': 0.930884826476267, 'l1_ratio': 0.6534945725958449, 'topK': 772, 'normalize': False} - results: ROC_AUC: 0.1509731, PRECISION: 0.0329102, PRECISION_RECALL_MIN_DEN: 0.1176035, RECALL: 0.1138333, MAP: 0.0513552, MRR: 0.1078905, NDCG: 0.0789333, F1: 0.0510565, HIT_RATE: 0.3291017, ARHR: 0.1239030, NOVELTY: 0.0051973, AVERAGE_POPULARITY: 0.0359488, DIVERSITY_MEAN_INTER_LIST: 0.9972192, DIVERSITY_HERFINDAHL: 0.9997043, COVERAGE_ITEM: 0.5702021, COVERAGE_ITEM_CORRECT: 0.0532820, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1764188, DIVERSITY_GINI: 0.2614514, SHANNON_ENTROPY: 12.9247949, 
