
SearchBayesianSkopt-CV: New best config found. Config 0: {'alpha': 0.9019779328601949, 'l1_ratio': 0.4727191880135392, 'topK': 624, 'normalize': True} - results: ROC_AUC: 0.1986521, PRECISION: 0.0434946, PRECISION_RECALL_MIN_DEN: 0.1566300, RECALL: 0.1520692, MAP: 0.0721983, MRR: 0.1470596, NDCG: 0.1082180, F1: 0.0676396, HIT_RATE: 0.4349457, ARHR: 0.1719656, NOVELTY: 0.0049654, AVERAGE_POPULARITY: 0.0763097, DIVERSITY_MEAN_INTER_LIST: 0.9923678, DIVERSITY_HERFINDAHL: 0.9992192, COVERAGE_ITEM: 0.5175669, COVERAGE_ITEM_CORRECT: 0.0595727, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2235812, DIVERSITY_GINI: 0.1999659, SHANNON_ENTROPY: 12.2452919, 
SearchBayesianSkopt-CV: Config 1 is suboptimal. Config: {'alpha': 0.75281521698389, 'l1_ratio': 0.8355104338935568, 'topK': 101, 'normalize': True} - results: ROC_AUC: 0.1713193, PRECISION: 0.0363087, PRECISION_RECALL_MIN_DEN: 0.1331671, RECALL: 0.1294234, MAP: 0.0615091, MRR: 0.1247900, NDCG: 0.0920993, F1: 0.0567074, HIT_RATE: 0.3630872, ARHR: 0.1438061, NOVELTY: 0.0051367, AVERAGE_POPULARITY: 0.0502382, DIVERSITY_MEAN_INTER_LIST: 0.9961648, DIVERSITY_HERFINDAHL: 0.9995989, COVERAGE_ITEM: 0.5784562, COVERAGE_ITEM_CORRECT: 0.0557536, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1925003, DIVERSITY_GINI: 0.2621533, SHANNON_ENTROPY: 12.8388561, 
SearchBayesianSkopt-CV: Config 2 is suboptimal. Config: {'alpha': 0.7280103775329321, 'l1_ratio': 0.6292322075331975, 'topK': 155, 'normalize': False} - results: ROC_AUC: 0.1972912, PRECISION: 0.0429094, PRECISION_RECALL_MIN_DEN: 0.1526394, RECALL: 0.1480165, MAP: 0.0715843, MRR: 0.1471185, NDCG: 0.1067431, F1: 0.0665291, HIT_RATE: 0.4290938, ARHR: 0.1721263, NOVELTY: 0.0049906, AVERAGE_POPULARITY: 0.0817676, DIVERSITY_MEAN_INTER_LIST: 0.9914307, DIVERSITY_HERFINDAHL: 0.9991256, COVERAGE_ITEM: 0.5188219, COVERAGE_ITEM_CORRECT: 0.0587488, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2195042, DIVERSITY_GINI: 0.1981146, SHANNON_ENTROPY: 12.1864214, 

SearchBayesianSkopt-CV: New best config found. Config 3: {'alpha': 0.5837741870266273, 'l1_ratio': 0.537759713449255, 'topK': 840, 'normalize': True} - results: ROC_AUC: 0.2001582, PRECISION: 0.0437750, PRECISION_RECALL_MIN_DEN: 0.1567600, RECALL: 0.1521994, MAP: 0.0728979, MRR: 0.1491007, NDCG: 0.1090583, F1: 0.0679918, HIT_RATE: 0.4377504, ARHR: 0.1740716, NOVELTY: 0.0048815, AVERAGE_POPULARITY: 0.0962591, DIVERSITY_MEAN_INTER_LIST: 0.9879932, DIVERSITY_HERFINDAHL: 0.9987819, COVERAGE_ITEM: 0.4741097, COVERAGE_ITEM_CORRECT: 0.0563311, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2251164, DIVERSITY_GINI: 0.1625903, SHANNON_ENTROPY: 11.7786280, 
SearchBayesianSkopt-CV: Config 4 is suboptimal. Config: {'alpha': 0.4465057757140559, 'l1_ratio': 0.7573483421112089, 'topK': 581, 'normalize': True} - results: ROC_AUC: 0.1981811, PRECISION: 0.0432313, PRECISION_RECALL_MIN_DEN: 0.1539263, RECALL: 0.1493460, MAP: 0.0720837, MRR: 0.1481488, NDCG: 0.1075947, F1: 0.0670501, HIT_RATE: 0.4323129, ARHR: 0.1731010, NOVELTY: 0.0048999, AVERAGE_POPULARITY: 0.0962001, DIVERSITY_MEAN_INTER_LIST: 0.9881056, DIVERSITY_HERFINDAHL: 0.9987931, COVERAGE_ITEM: 0.4791453, COVERAGE_ITEM_CORRECT: 0.0552454, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2211401, DIVERSITY_GINI: 0.1659099, SHANNON_ENTROPY: 11.8129679, 
SearchBayesianSkopt-CV: Config 5 is suboptimal. Config: {'alpha': 0.25829023615733177, 'l1_ratio': 0.02504067909785513, 'topK': 406, 'normalize': False} - results: ROC_AUC: 0.1773442, PRECISION: 0.0379429, PRECISION_RECALL_MIN_DEN: 0.1320499, RECALL: 0.1277971, MAP: 0.0619984, MRR: 0.1324261, NDCG: 0.0931765, F1: 0.0585123, HIT_RATE: 0.3794294, ARHR: 0.1534072, NOVELTY: 0.0048227, AVERAGE_POPULARITY: 0.1095521, DIVERSITY_MEAN_INTER_LIST: 0.9843328, DIVERSITY_HERFINDAHL: 0.9984159, COVERAGE_ITEM: 0.4556843, COVERAGE_ITEM_CORRECT: 0.0437190, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1977350, DIVERSITY_GINI: 0.1446355, SHANNON_ENTROPY: 11.4731616, 
SearchBayesianSkopt-CV: Config 6 is suboptimal. Config: {'alpha': 0.24894828480103043, 'l1_ratio': 0.6436538460803158, 'topK': 225, 'normalize': True} - results: ROC_AUC: 0.1878559, PRECISION: 0.0405341, PRECISION_RECALL_MIN_DEN: 0.1415990, RECALL: 0.1370511, MAP: 0.0669124, MRR: 0.1403902, NDCG: 0.0999261, F1: 0.0625624, HIT_RATE: 0.4053413, ARHR: 0.1635654, NOVELTY: 0.0048905, AVERAGE_POPULARITY: 0.0990947, DIVERSITY_MEAN_INTER_LIST: 0.9873744, DIVERSITY_HERFINDAHL: 0.9987200, COVERAGE_ITEM: 0.4761270, COVERAGE_ITEM_CORRECT: 0.0504254, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2092110, DIVERSITY_GINI: 0.1622475, SHANNON_ENTROPY: 11.7438105, 
SearchBayesianSkopt-CV: Config 7 is suboptimal. Config: {'alpha': 0.8749294783385744, 'l1_ratio': 0.153583105168034, 'topK': 850, 'normalize': False} - results: ROC_AUC: 0.1973645, PRECISION: 0.0429404, PRECISION_RECALL_MIN_DEN: 0.1534989, RECALL: 0.1489975, MAP: 0.0717066, MRR: 0.1475029, NDCG: 0.1072079, F1: 0.0666660, HIT_RATE: 0.4294037, ARHR: 0.1717086, NOVELTY: 0.0048418, AVERAGE_POPULARITY: 0.1012219, DIVERSITY_MEAN_INTER_LIST: 0.9866044, DIVERSITY_HERFINDAHL: 0.9986430, COVERAGE_ITEM: 0.4589644, COVERAGE_ITEM_CORRECT: 0.0541906, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2213666, DIVERSITY_GINI: 0.1505146, SHANNON_ENTROPY: 11.6205000, 
SearchBayesianSkopt-CV: Config 8 is suboptimal. Config: {'alpha': 0.17847270325854883, 'l1_ratio': 0.9557924889035176, 'topK': 701, 'normalize': False} - results: ROC_AUC: 0.1806250, PRECISION: 0.0382531, PRECISION_RECALL_MIN_DEN: 0.1346368, RECALL: 0.1304579, MAP: 0.0632036, MRR: 0.1341083, NDCG: 0.0948937, F1: 0.0591562, HIT_RATE: 0.3825313, ARHR: 0.1550447, NOVELTY: 0.0047948, AVERAGE_POPULARITY: 0.1151417, DIVERSITY_MEAN_INTER_LIST: 0.9824858, DIVERSITY_HERFINDAHL: 0.9982312, COVERAGE_ITEM: 0.4440654, COVERAGE_ITEM_CORRECT: 0.0435650, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2005788, DIVERSITY_GINI: 0.1366003, SHANNON_ENTROPY: 11.3390581, 
SearchBayesianSkopt-CV: Config 9 is suboptimal. Config: {'alpha': 0.936675343179113, 'l1_ratio': 0.0626448793875586, 'topK': 954, 'normalize': False} - results: ROC_AUC: 0.1959350, PRECISION: 0.0426397, PRECISION_RECALL_MIN_DEN: 0.1525185, RECALL: 0.1480715, MAP: 0.0711747, MRR: 0.1466540, NDCG: 0.1065261, F1: 0.0662109, HIT_RATE: 0.4263971, ARHR: 0.1704554, NOVELTY: 0.0048312, AVERAGE_POPULARITY: 0.1010656, DIVERSITY_MEAN_INTER_LIST: 0.9865391, DIVERSITY_HERFINDAHL: 0.9986365, COVERAGE_ITEM: 0.4570318, COVERAGE_ITEM_CORRECT: 0.0536439, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2202089, DIVERSITY_GINI: 0.1490238, SHANNON_ENTROPY: 11.6024074, 
