
SearchBayesianSkopt-CV: New best config found. Config 0: {'alpha': 0.8484499089397549, 'l1_ratio': 0.12796674029876223, 'topK': 971, 'normalize': True} - results: ROC_AUC: 0.1973968, PRECISION: 0.0430319, PRECISION_RECALL_MIN_DEN: 0.1539123, RECALL: 0.1494438, MAP: 0.0714005, MRR: 0.1473468, NDCG: 0.1071513, F1: 0.0668216, HIT_RATE: 0.4303195, ARHR: 0.1715396, NOVELTY: 0.0048524, AVERAGE_POPULARITY: 0.0945271, DIVERSITY_MEAN_INTER_LIST: 0.9884076, DIVERSITY_HERFINDAHL: 0.9988233, COVERAGE_ITEM: 0.4696593, COVERAGE_ITEM_CORRECT: 0.0552531, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2216182, DIVERSITY_GINI: 0.1589891, SHANNON_ENTROPY: 11.7566385, 
SearchBayesianSkopt-CV: Config 1 is suboptimal. Config: {'alpha': 0.20469240618781276, 'l1_ratio': 0.03611068708896548, 'topK': 349, 'normalize': False} - results: ROC_AUC: 0.1921961, PRECISION: 0.0416485, PRECISION_RECALL_MIN_DEN: 0.1464747, RECALL: 0.1418786, MAP: 0.0688250, MRR: 0.1438636, NDCG: 0.1029469, F1: 0.0643927, HIT_RATE: 0.4164847, ARHR: 0.1676649, NOVELTY: 0.0048760, AVERAGE_POPULARITY: 0.0914266, DIVERSITY_MEAN_INTER_LIST: 0.9900314, DIVERSITY_HERFINDAHL: 0.9989857, COVERAGE_ITEM: 0.4640847, COVERAGE_ITEM_CORRECT: 0.0538287, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2138920, DIVERSITY_GINI: 0.1581676, SHANNON_ENTROPY: 11.8343271, 

SearchBayesianSkopt-CV: New best config found. Config 2: {'alpha': 0.3835210042497279, 'l1_ratio': 0.8815448457197216, 'topK': 710, 'normalize': True} - results: ROC_AUC: 0.1968697, PRECISION: 0.0433187, PRECISION_RECALL_MIN_DEN: 0.1549451, RECALL: 0.1503699, MAP: 0.0714517, MRR: 0.1463009, NDCG: 0.1072224, F1: 0.0672592, HIT_RATE: 0.4331868, ARHR: 0.1711896, NOVELTY: 0.0049730, AVERAGE_POPULARITY: 0.0749005, DIVERSITY_MEAN_INTER_LIST: 0.9934059, DIVERSITY_HERFINDAHL: 0.9993230, COVERAGE_ITEM: 0.5070260, COVERAGE_ITEM_CORRECT: 0.0606968, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2224236, DIVERSITY_GINI: 0.1947096, SHANNON_ENTROPY: 12.2749784, 
SearchBayesianSkopt-CV: Config 3 is suboptimal. Config: {'alpha': 0.8302755820717055, 'l1_ratio': 0.6963683416829187, 'topK': 994, 'normalize': False} - results: ROC_AUC: 0.1491084, PRECISION: 0.0322669, PRECISION_RECALL_MIN_DEN: 0.1157041, RECALL: 0.1119921, MAP: 0.0510296, MRR: 0.1069582, NDCG: 0.0780992, F1: 0.0500953, HIT_RATE: 0.3226695, ARHR: 0.1225384, NOVELTY: 0.0051931, AVERAGE_POPULARITY: 0.0347792, DIVERSITY_MEAN_INTER_LIST: 0.9973487, DIVERSITY_HERFINDAHL: 0.9997173, COVERAGE_ITEM: 0.5818518, COVERAGE_ITEM_CORRECT: 0.0526737, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1735498, DIVERSITY_GINI: 0.2722404, SHANNON_ENTROPY: 12.9878610, 

SearchBayesianSkopt-CV: New best config found. Config 4: {'alpha': 0.8911893260873708, 'l1_ratio': 0.190809944835244, 'topK': 678, 'normalize': False} - results: ROC_AUC: 0.1994707, PRECISION: 0.0440492, PRECISION_RECALL_MIN_DEN: 0.1582590, RECALL: 0.1536545, MAP: 0.0726539, MRR: 0.1480613, NDCG: 0.1091437, F1: 0.0684677, HIT_RATE: 0.4404922, ARHR: 0.1732825, NOVELTY: 0.0049152, AVERAGE_POPULARITY: 0.0831241, DIVERSITY_MEAN_INTER_LIST: 0.9909993, DIVERSITY_HERFINDAHL: 0.9990824, COVERAGE_ITEM: 0.4990337, COVERAGE_ITEM_CORRECT: 0.0589490, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2255694, DIVERSITY_GINI: 0.1833077, SHANNON_ENTROPY: 12.0601236, 
SearchBayesianSkopt-CV: Config 5 is suboptimal. Config: {'alpha': 0.51798561795569, 'l1_ratio': 0.08020947132375979, 'topK': 359, 'normalize': True} - results: ROC_AUC: 0.1940794, PRECISION: 0.0418916, PRECISION_RECALL_MIN_DEN: 0.1479257, RECALL: 0.1433724, MAP: 0.0697952, MRR: 0.1454110, NDCG: 0.1041573, F1: 0.0648362, HIT_RATE: 0.4189157, ARHR: 0.1695176, NOVELTY: 0.0048792, AVERAGE_POPULARITY: 0.0907602, DIVERSITY_MEAN_INTER_LIST: 0.9900394, DIVERSITY_HERFINDAHL: 0.9989864, COVERAGE_ITEM: 0.4690587, COVERAGE_ITEM_CORRECT: 0.0545602, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2150749, DIVERSITY_GINI: 0.1611202, SHANNON_ENTROPY: 11.8550985, 
SearchBayesianSkopt-CV: Config 6 is suboptimal. Config: {'alpha': 0.19318275500699528, 'l1_ratio': 0.5786806365256761, 'topK': 398, 'normalize': True} - results: ROC_AUC: 0.1921221, PRECISION: 0.0421685, PRECISION_RECALL_MIN_DEN: 0.1475822, RECALL: 0.1428538, MAP: 0.0690598, MRR: 0.1442397, NDCG: 0.1033640, F1: 0.0651148, HIT_RATE: 0.4216849, ARHR: 0.1685629, NOVELTY: 0.0048830, AVERAGE_POPULARITY: 0.0910453, DIVERSITY_MEAN_INTER_LIST: 0.9905227, DIVERSITY_HERFINDAHL: 0.9990348, COVERAGE_ITEM: 0.4573397, COVERAGE_ITEM_CORRECT: 0.0551299, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2156034, DIVERSITY_GINI: 0.1564403, SHANNON_ENTROPY: 11.8587831, 
SearchBayesianSkopt-CV: Config 7 is suboptimal. Config: {'alpha': 0.841579218961759, 'l1_ratio': 0.992176716269926, 'topK': 530, 'normalize': True} - results: ROC_AUC: 0.1244122, PRECISION: 0.0260641, PRECISION_RECALL_MIN_DEN: 0.0965219, RECALL: 0.0938094, MAP: 0.0419130, MRR: 0.0871368, NDCG: 0.0645204, F1: 0.0407930, HIT_RATE: 0.2606408, ARHR: 0.0981252, NOVELTY: 0.0052633, AVERAGE_POPULARITY: 0.0242926, DIVERSITY_MEAN_INTER_LIST: 0.9977886, DIVERSITY_HERFINDAHL: 0.9997612, COVERAGE_ITEM: 0.5879115, COVERAGE_ITEM_CORRECT: 0.0475457, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1460677, DIVERSITY_GINI: 0.2831556, SHANNON_ENTROPY: 13.0880401, 
SearchBayesianSkopt-CV: Config 8 is suboptimal. Config: {'alpha': 0.36732744167042725, 'l1_ratio': 0.32644854188438216, 'topK': 354, 'normalize': False} - results: ROC_AUC: 0.1993172, PRECISION: 0.0437075, PRECISION_RECALL_MIN_DEN: 0.1563057, RECALL: 0.1516565, MAP: 0.0725433, MRR: 0.1483978, NDCG: 0.1085728, F1: 0.0678568, HIT_RATE: 0.4370755, ARHR: 0.1736230, NOVELTY: 0.0049670, AVERAGE_POPULARITY: 0.0759293, DIVERSITY_MEAN_INTER_LIST: 0.9929133, DIVERSITY_HERFINDAHL: 0.9992738, COVERAGE_ITEM: 0.5117536, COVERAGE_ITEM_CORRECT: 0.0606429, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2238832, DIVERSITY_GINI: 0.1964884, SHANNON_ENTROPY: 12.2523469, 
