
SearchBayesianSkopt-CV: New best config found. Config 0: {'alpha': 0.9783849385392446, 'l1_ratio': 0.8208212316139584, 'topK': 200, 'normalize': True} - results: ROC_AUC: 0.1391464, PRECISION: 0.0291987, PRECISION_RECALL_MIN_DEN: 0.1071779, RECALL: 0.1041243, MAP: 0.0475653, MRR: 0.0986786, NDCG: 0.0726336, F1: 0.0456064, HIT_RATE: 0.2919868, ARHR: 0.1117282, NOVELTY: 0.0052340, AVERAGE_POPULARITY: 0.0289029, DIVERSITY_MEAN_INTER_LIST: 0.9976497, DIVERSITY_HERFINDAHL: 0.9997473, COVERAGE_ITEM: 0.5889971, COVERAGE_ITEM_CORRECT: 0.0506102, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1610419, DIVERSITY_GINI: 0.2814407, SHANNON_ENTROPY: 13.0622968, 

SearchBayesianSkopt-CV: New best config found. Config 1: {'alpha': 0.7747347020931876, 'l1_ratio': 0.0004927435675046167, 'topK': 812, 'normalize': True} - results: ROC_AUC: 0.1948395, PRECISION: 0.0421308, PRECISION_RECALL_MIN_DEN: 0.1497940, RECALL: 0.1453567, MAP: 0.0701490, MRR: 0.1453862, NDCG: 0.1050303, F1: 0.0653254, HIT_RATE: 0.4213081, ARHR: 0.1690756, NOVELTY: 0.0048256, AVERAGE_POPULARITY: 0.1015664, DIVERSITY_MEAN_INTER_LIST: 0.9865177, DIVERSITY_HERFINDAHL: 0.9986343, COVERAGE_ITEM: 0.4619904, COVERAGE_ITEM_CORRECT: 0.0525659, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2174154, DIVERSITY_GINI: 0.1513095, SHANNON_ENTROPY: 11.6154680, 
SearchBayesianSkopt-CV: Config 2 is suboptimal. Config: {'alpha': 0.05924773738410506, 'l1_ratio': 0.9807256224612237, 'topK': 407, 'normalize': True} - results: ROC_AUC: 0.1655038, PRECISION: 0.0350459, PRECISION_RECALL_MIN_DEN: 0.1218869, RECALL: 0.1180058, MAP: 0.0573267, MRR: 0.1226417, NDCG: 0.0862495, F1: 0.0540384, HIT_RATE: 0.3504589, ARHR: 0.1411425, NOVELTY: 0.0048682, AVERAGE_POPULARITY: 0.1089838, DIVERSITY_MEAN_INTER_LIST: 0.9843874, DIVERSITY_HERFINDAHL: 0.9984214, COVERAGE_ITEM: 0.4526198, COVERAGE_ITEM_CORRECT: 0.0391684, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1855543, DIVERSITY_GINI: 0.1530949, SHANNON_ENTROPY: 11.6015956, 

SearchBayesianSkopt-CV: New best config found. Config 3: {'alpha': 0.4238783231753994, 'l1_ratio': 0.7437196333307186, 'topK': 788, 'normalize': True} - results: ROC_AUC: 0.1965390, PRECISION: 0.0430859, PRECISION_RECALL_MIN_DEN: 0.1535054, RECALL: 0.1489282, MAP: 0.0708968, MRR: 0.1462115, NDCG: 0.1064548, F1: 0.0668335, HIT_RATE: 0.4308594, ARHR: 0.1708760, NOVELTY: 0.0049207, AVERAGE_POPULARITY: 0.0920635, DIVERSITY_MEAN_INTER_LIST: 0.9890740, DIVERSITY_HERFINDAHL: 0.9988899, COVERAGE_ITEM: 0.5046391, COVERAGE_ITEM_CORRECT: 0.0561155, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2211149, DIVERSITY_GINI: 0.1863525, SHANNON_ENTROPY: 12.0112813, 
SearchBayesianSkopt-CV: Config 4 is suboptimal. Config: {'alpha': 0.7656234655786115, 'l1_ratio': 0.840187242939797, 'topK': 874, 'normalize': False} - results: ROC_AUC: 0.1266070, PRECISION: 0.0269026, PRECISION_RECALL_MIN_DEN: 0.0976675, RECALL: 0.0946644, MAP: 0.0423316, MRR: 0.0892514, NDCG: 0.0652734, F1: 0.0418966, HIT_RATE: 0.2690260, ARHR: 0.1010763, NOVELTY: 0.0052519, AVERAGE_POPULARITY: 0.0252650, DIVERSITY_MEAN_INTER_LIST: 0.9977329, DIVERSITY_HERFINDAHL: 0.9997557, COVERAGE_ITEM: 0.5874957, COVERAGE_ITEM_CORRECT: 0.0480154, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1487857, DIVERSITY_GINI: 0.2819809, SHANNON_ENTROPY: 13.0758376, 
SearchBayesianSkopt-CV: Config 5 is suboptimal. Config: {'alpha': 0.03701736724136729, 'l1_ratio': 0.8174238437159577, 'topK': 737, 'normalize': True} - results: ROC_AUC: 0.1631567, PRECISION: 0.0343035, PRECISION_RECALL_MIN_DEN: 0.1199738, RECALL: 0.1162698, MAP: 0.0563013, MRR: 0.1204200, NDCG: 0.0848251, F1: 0.0529722, HIT_RATE: 0.3430351, ARHR: 0.1383497, NOVELTY: 0.0048433, AVERAGE_POPULARITY: 0.1149428, DIVERSITY_MEAN_INTER_LIST: 0.9824458, DIVERSITY_HERFINDAHL: 0.9982272, COVERAGE_ITEM: 0.4476689, COVERAGE_ITEM_CORRECT: 0.0374360, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1822071, DIVERSITY_GINI: 0.1484229, SHANNON_ENTROPY: 11.5034748, 
SearchBayesianSkopt-CV: Config 6 is suboptimal. Config: {'alpha': 0.025888800145954523, 'l1_ratio': 0.6438432066161679, 'topK': 889, 'normalize': False} - results: ROC_AUC: 0.1745706, PRECISION: 0.0374880, PRECISION_RECALL_MIN_DEN: 0.1312764, RECALL: 0.1272193, MAP: 0.0609575, MRR: 0.1286062, NDCG: 0.0919559, F1: 0.0579074, HIT_RATE: 0.3748802, ARHR: 0.1489879, NOVELTY: 0.0048505, AVERAGE_POPULARITY: 0.1120369, DIVERSITY_MEAN_INTER_LIST: 0.9834986, DIVERSITY_HERFINDAHL: 0.9983325, COVERAGE_ITEM: 0.4564235, COVERAGE_ITEM_CORRECT: 0.0431492, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1963005, DIVERSITY_GINI: 0.1534146, SHANNON_ENTROPY: 11.5720995, 
SearchBayesianSkopt-CV: Config 7 is suboptimal. Config: {'alpha': 0.5172164189217753, 'l1_ratio': 0.6113157050099042, 'topK': 379, 'normalize': False} - results: ROC_AUC: 0.1695502, PRECISION: 0.0366887, PRECISION_RECALL_MIN_DEN: 0.1320972, RECALL: 0.1280790, MAP: 0.0596789, MRR: 0.1233384, NDCG: 0.0903356, F1: 0.0570358, HIT_RATE: 0.3668873, ARHR: 0.1425870, NOVELTY: 0.0051375, AVERAGE_POPULARITY: 0.0464691, DIVERSITY_MEAN_INTER_LIST: 0.9965227, DIVERSITY_HERFINDAHL: 0.9996347, COVERAGE_ITEM: 0.5725736, COVERAGE_ITEM_CORRECT: 0.0560000, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1935825, DIVERSITY_GINI: 0.2589694, SHANNON_ENTROPY: 12.8513351, 

