
SearchBayesianSkopt-CV: New best config found. Config 0: {'alpha': 0.18187052464215284, 'l1_ratio': 0.12863850080782593, 'topK': 807, 'normalize': True} - results: ROC_AUC: 0.1763446, PRECISION: 0.0373205, PRECISION_RECALL_MIN_DEN: 0.1313523, RECALL: 0.1273071, MAP: 0.0614585, MRR: 0.1310970, NDCG: 0.0924917, F1: 0.0577181, HIT_RATE: 0.3732054, ARHR: 0.1512398, NOVELTY: 0.0047854, AVERAGE_POPULARITY: 0.1171101, DIVERSITY_MEAN_INTER_LIST: 0.9817971, DIVERSITY_HERFINDAHL: 0.9981624, COVERAGE_ITEM: 0.4443965, COVERAGE_ITEM_CORRECT: 0.0416708, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1967032, DIVERSITY_GINI: 0.1354892, SHANNON_ENTROPY: 11.2977672, 

SearchBayesianSkopt-CV: New best config found. Config 1: {'alpha': 0.5133021305651043, 'l1_ratio': 0.2717304377238288, 'topK': 849, 'normalize': False} - results: ROC_AUC: 0.1796133, PRECISION: 0.0381511, PRECISION_RECALL_MIN_DEN: 0.1341758, RECALL: 0.1300165, MAP: 0.0627799, MRR: 0.1334367, NDCG: 0.0944122, F1: 0.0589904, HIT_RATE: 0.3815106, ARHR: 0.1541952, NOVELTY: 0.0047954, AVERAGE_POPULARITY: 0.1150054, DIVERSITY_MEAN_INTER_LIST: 0.9825515, DIVERSITY_HERFINDAHL: 0.9982378, COVERAGE_ITEM: 0.4440577, COVERAGE_ITEM_CORRECT: 0.0430953, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2001510, DIVERSITY_GINI: 0.1367705, SHANNON_ENTROPY: 11.3422791, 
SearchBayesianSkopt-CV: Config 2 is suboptimal. Config: {'alpha': 0.42057870266300357, 'l1_ratio': 0.09026142584874454, 'topK': 274, 'normalize': False} - results: ROC_AUC: 0.1772974, PRECISION: 0.0376675, PRECISION_RECALL_MIN_DEN: 0.1310951, RECALL: 0.1268669, MAP: 0.0620006, MRR: 0.1320426, NDCG: 0.0928671, F1: 0.0580860, HIT_RATE: 0.3766750, ARHR: 0.1528583, NOVELTY: 0.0048588, AVERAGE_POPULARITY: 0.1045995, DIVERSITY_MEAN_INTER_LIST: 0.9857702, DIVERSITY_HERFINDAHL: 0.9985596, COVERAGE_ITEM: 0.4690048, COVERAGE_ITEM_CORRECT: 0.0441116, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1968290, DIVERSITY_GINI: 0.1545772, SHANNON_ENTROPY: 11.6097742, 
SearchBayesianSkopt-CV: Config 3 is suboptimal. Config: {'alpha': 0.07740749123422731, 'l1_ratio': 0.787075035380849, 'topK': 33, 'normalize': False} - results: ROC_AUC: 0.1687968, PRECISION: 0.0355938, PRECISION_RECALL_MIN_DEN: 0.1230926, RECALL: 0.1189496, MAP: 0.0592494, MRR: 0.1260002, NDCG: 0.0881914, F1: 0.0547887, HIT_RATE: 0.3559378, ARHR: 0.1454462, NOVELTY: 0.0050074, AVERAGE_POPULARITY: 0.0869380, DIVERSITY_MEAN_INTER_LIST: 0.9899505, DIVERSITY_HERFINDAHL: 0.9989776, COVERAGE_ITEM: 0.5402425, COVERAGE_ITEM_CORRECT: 0.0446198, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1862086, DIVERSITY_GINI: 0.2098810, SHANNON_ENTROPY: 12.1525410, 

SearchBayesianSkopt-CV: New best config found. Config 4: {'alpha': 0.5746538230434903, 'l1_ratio': 0.7233709611102526, 'topK': 904, 'normalize': True} - results: ROC_AUC: 0.1970860, PRECISION: 0.0430117, PRECISION_RECALL_MIN_DEN: 0.1531535, RECALL: 0.1486082, MAP: 0.0714667, MRR: 0.1473901, NDCG: 0.1068718, F1: 0.0667107, HIT_RATE: 0.4301166, ARHR: 0.1720138, NOVELTY: 0.0049224, AVERAGE_POPULARITY: 0.0934307, DIVERSITY_MEAN_INTER_LIST: 0.9887611, DIVERSITY_HERFINDAHL: 0.9988586, COVERAGE_ITEM: 0.4899326, COVERAGE_ITEM_CORRECT: 0.0554302, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2206871, DIVERSITY_GINI: 0.1739809, SHANNON_ENTROPY: 11.9004675, 
SearchBayesianSkopt-CV: Config 5 is suboptimal. Config: {'alpha': 0.9099697381269062, 'l1_ratio': 0.666961692098982, 'topK': 301, 'normalize': False} - results: ROC_AUC: 0.1958260, PRECISION: 0.0424428, PRECISION_RECALL_MIN_DEN: 0.1515795, RECALL: 0.1469727, MAP: 0.0707858, MRR: 0.1457985, NDCG: 0.1056970, F1: 0.0658611, HIT_RATE: 0.4244278, ARHR: 0.1703564, NOVELTY: 0.0050115, AVERAGE_POPULARITY: 0.0793919, DIVERSITY_MEAN_INTER_LIST: 0.9918685, DIVERSITY_HERFINDAHL: 0.9991693, COVERAGE_ITEM: 0.5194456, COVERAGE_ITEM_CORRECT: 0.0580481, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2181704, DIVERSITY_GINI: 0.2005705, SHANNON_ENTROPY: 12.2328926, 
SearchBayesianSkopt-CV: Config 6 is suboptimal. Config: {'alpha': 0.8032076379930737, 'l1_ratio': 0.7005779743709829, 'topK': 126, 'normalize': False} - results: ROC_AUC: 0.1940818, PRECISION: 0.0418030, PRECISION_RECALL_MIN_DEN: 0.1478817, RECALL: 0.1433529, MAP: 0.0698394, MRR: 0.1444148, NDCG: 0.1040185, F1: 0.0647289, HIT_RATE: 0.4180300, ARHR: 0.1686976, NOVELTY: 0.0050182, AVERAGE_POPULARITY: 0.0797362, DIVERSITY_MEAN_INTER_LIST: 0.9918688, DIVERSITY_HERFINDAHL: 0.9991694, COVERAGE_ITEM: 0.5262599, COVERAGE_ITEM_CORRECT: 0.0571858, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2144205, DIVERSITY_GINI: 0.2045441, SHANNON_ENTROPY: 12.2498138, 
SearchBayesianSkopt-CV: Config 7 is suboptimal. Config: {'alpha': 0.45627206690992084, 'l1_ratio': 0.5924360625177761, 'topK': 180, 'normalize': False} - results: ROC_AUC: 0.1834551, PRECISION: 0.0396090, PRECISION_RECALL_MIN_DEN: 0.1373288, RECALL: 0.1328034, MAP: 0.0650406, MRR: 0.1372271, NDCG: 0.0971708, F1: 0.0610182, HIT_RATE: 0.3960902, ARHR: 0.1598765, NOVELTY: 0.0049052, AVERAGE_POPULARITY: 0.0977150, DIVERSITY_MEAN_INTER_LIST: 0.9877017, DIVERSITY_HERFINDAHL: 0.9987527, COVERAGE_ITEM: 0.4823099, COVERAGE_ITEM_CORRECT: 0.0488701, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2036240, DIVERSITY_GINI: 0.1665549, SHANNON_ENTROPY: 11.7869295, 
SearchBayesianSkopt-CV: Config 8 is suboptimal. Config: {'alpha': 0.9327400780420151, 'l1_ratio': 0.7600490426445815, 'topK': 559, 'normalize': True} - results: ROC_AUC: 0.1664500, PRECISION: 0.0356167, PRECISION_RECALL_MIN_DEN: 0.1284438, RECALL: 0.1246089, MAP: 0.0585011, MRR: 0.1208999, NDCG: 0.0882963, F1: 0.0553971, HIT_RATE: 0.3561674, ARHR: 0.1395035, NOVELTY: 0.0051589, AVERAGE_POPULARITY: 0.0467684, DIVERSITY_MEAN_INTER_LIST: 0.9964150, DIVERSITY_HERFINDAHL: 0.9996239, COVERAGE_ITEM: 0.5686237, COVERAGE_ITEM_CORRECT: 0.0546295, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1882975, DIVERSITY_GINI: 0.2565478, SHANNON_ENTROPY: 12.8380412, 
