
SearchBayesianSkopt-CV: New best config found. Config 0: {'alpha': 0.8484499089397549, 'l1_ratio': 0.12796674029876223, 'topK': 971, 'normalize': True} - results: ROC_AUC: 0.1835236, PRECISION: 0.0390778, PRECISION_RECALL_MIN_DEN: 0.1384102, RECALL: 0.1341689, MAP: 0.0647801, MRR: 0.1363985, NDCG: 0.0971989, F1: 0.0605249, HIT_RATE: 0.3907776, ARHR: 0.1577712, NOVELTY: 0.0047872, AVERAGE_POPULARITY: 0.1156620, DIVERSITY_MEAN_INTER_LIST: 0.9825739, DIVERSITY_HERFINDAHL: 0.9982400, COVERAGE_ITEM: 0.4391992, COVERAGE_ITEM_CORRECT: 0.0448585, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2049075, DIVERSITY_GINI: 0.1340637, SHANNON_ENTROPY: 11.3236382, 
SearchBayesianSkopt-CV: Config 1 is suboptimal. Config: {'alpha': 0.20469240618781276, 'l1_ratio': 0.03611068708896548, 'topK': 349, 'normalize': False} - results: ROC_AUC: 0.1784677, PRECISION: 0.0380351, PRECISION_RECALL_MIN_DEN: 0.1324616, RECALL: 0.1282032, MAP: 0.0624295, MRR: 0.1331500, NDCG: 0.0936498, F1: 0.0586632, HIT_RATE: 0.3803511, ARHR: 0.1541373, NOVELTY: 0.0048368, AVERAGE_POPULARITY: 0.1059358, DIVERSITY_MEAN_INTER_LIST: 0.9858094, DIVERSITY_HERFINDAHL: 0.9985635, COVERAGE_ITEM: 0.4561309, COVERAGE_ITEM_CORRECT: 0.0443349, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1989178, DIVERSITY_GINI: 0.1464154, SHANNON_ENTROPY: 11.5493524, 

SearchBayesianSkopt-CV: New best config found. Config 2: {'alpha': 0.3835210042497279, 'l1_ratio': 0.8815448457197216, 'topK': 710, 'normalize': True} - results: ROC_AUC: 0.1969803, PRECISION: 0.0434284, PRECISION_RECALL_MIN_DEN: 0.1551713, RECALL: 0.1505832, MAP: 0.0715000, MRR: 0.1465618, NDCG: 0.1073403, F1: 0.0674126, HIT_RATE: 0.4342840, ARHR: 0.1715122, NOVELTY: 0.0049699, AVERAGE_POPULARITY: 0.0765891, DIVERSITY_MEAN_INTER_LIST: 0.9931006, DIVERSITY_HERFINDAHL: 0.9992925, COVERAGE_ITEM: 0.5034225, COVERAGE_ITEM_CORRECT: 0.0604196, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2229521, DIVERSITY_GINI: 0.1915723, SHANNON_ENTROPY: 12.2393459, 
SearchBayesianSkopt-CV: Config 3 is suboptimal. Config: {'alpha': 0.8302755820717055, 'l1_ratio': 0.6963683416829187, 'topK': 994, 'normalize': False} - results: ROC_AUC: 0.1954317, PRECISION: 0.0426155, PRECISION_RECALL_MIN_DEN: 0.1526119, RECALL: 0.1480859, MAP: 0.0708606, MRR: 0.1455286, NDCG: 0.1060089, F1: 0.0661818, HIT_RATE: 0.4261552, ARHR: 0.1699212, NOVELTY: 0.0049685, AVERAGE_POPULARITY: 0.0837914, DIVERSITY_MEAN_INTER_LIST: 0.9908951, DIVERSITY_HERFINDAHL: 0.9990720, COVERAGE_ITEM: 0.5120539, COVERAGE_ITEM_CORRECT: 0.0568008, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2193280, DIVERSITY_GINI: 0.1934504, SHANNON_ENTROPY: 12.1367492, 
SearchBayesianSkopt-CV: Config 4 is suboptimal. Config: {'alpha': 0.8911893260873708, 'l1_ratio': 0.190809944835244, 'topK': 678, 'normalize': False} - results: ROC_AUC: 0.1810443, PRECISION: 0.0385963, PRECISION_RECALL_MIN_DEN: 0.1356649, RECALL: 0.1314349, MAP: 0.0636231, MRR: 0.1348087, NDCG: 0.0955396, F1: 0.0596678, HIT_RATE: 0.3859625, ARHR: 0.1560198, NOVELTY: 0.0047988, AVERAGE_POPULARITY: 0.1143488, DIVERSITY_MEAN_INTER_LIST: 0.9827831, DIVERSITY_HERFINDAHL: 0.9982609, COVERAGE_ITEM: 0.4449509, COVERAGE_ITEM_CORRECT: 0.0441963, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2020133, DIVERSITY_GINI: 0.1374072, SHANNON_ENTROPY: 11.3572008, 
SearchBayesianSkopt-CV: Config 5 is suboptimal. Config: {'alpha': 0.51798561795569, 'l1_ratio': 0.08020947132375979, 'topK': 359, 'normalize': True} - results: ROC_AUC: 0.1816495, PRECISION: 0.0391284, PRECISION_RECALL_MIN_DEN: 0.1362643, RECALL: 0.1318608, MAP: 0.0639485, MRR: 0.1359174, NDCG: 0.0959928, F1: 0.0603479, HIT_RATE: 0.3912845, ARHR: 0.1576506, NOVELTY: 0.0048427, AVERAGE_POPULARITY: 0.1025694, DIVERSITY_MEAN_INTER_LIST: 0.9871930, DIVERSITY_HERFINDAHL: 0.9987019, COVERAGE_ITEM: 0.4471453, COVERAGE_ITEM_CORRECT: 0.0468681, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2035233, DIVERSITY_GINI: 0.1439506, SHANNON_ENTROPY: 11.5970258, 
SearchBayesianSkopt-CV: Config 6 is suboptimal. Config: {'alpha': 0.19318275500699528, 'l1_ratio': 0.5786806365256761, 'topK': 398, 'normalize': True} - results: ROC_AUC: 0.1904715, PRECISION: 0.0415851, PRECISION_RECALL_MIN_DEN: 0.1455242, RECALL: 0.1408005, MAP: 0.0681280, MRR: 0.1430203, NDCG: 0.1020311, F1: 0.0642060, HIT_RATE: 0.4158514, ARHR: 0.1669103, NOVELTY: 0.0048731, AVERAGE_POPULARITY: 0.0939233, DIVERSITY_MEAN_INTER_LIST: 0.9898857, DIVERSITY_HERFINDAHL: 0.9989711, COVERAGE_ITEM: 0.4494475, COVERAGE_ITEM_CORRECT: 0.0534899, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2129105, DIVERSITY_GINI: 0.1509037, SHANNON_ENTROPY: 11.7877937, 
SearchBayesianSkopt-CV: Config 7 is suboptimal. Config: {'alpha': 0.841579218961759, 'l1_ratio': 0.992176716269926, 'topK': 530, 'normalize': True} - results: ROC_AUC: 0.1241509, PRECISION: 0.0260182, PRECISION_RECALL_MIN_DEN: 0.0963922, RECALL: 0.0936916, MAP: 0.0418416, MRR: 0.0869341, NDCG: 0.0644140, F1: 0.0407257, HIT_RATE: 0.2601821, ARHR: 0.0979093, NOVELTY: 0.0052637, AVERAGE_POPULARITY: 0.0243325, DIVERSITY_MEAN_INTER_LIST: 0.9977873, DIVERSITY_HERFINDAHL: 0.9997611, COVERAGE_ITEM: 0.5880192, COVERAGE_ITEM_CORRECT: 0.0474764, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1457657, DIVERSITY_GINI: 0.2831091, SHANNON_ENTROPY: 13.0877296, 
SearchBayesianSkopt-CV: Config 8 is suboptimal. Config: {'alpha': 0.36732744167042725, 'l1_ratio': 0.32644854188438216, 'topK': 354, 'normalize': False} - results: ROC_AUC: 0.1870766, PRECISION: 0.0403645, PRECISION_RECALL_MIN_DEN: 0.1409897, RECALL: 0.1364640, MAP: 0.0664529, MRR: 0.1394285, NDCG: 0.0993562, F1: 0.0622996, HIT_RATE: 0.4036451, ARHR: 0.1622582, NOVELTY: 0.0048599, AVERAGE_POPULARITY: 0.1029694, DIVERSITY_MEAN_INTER_LIST: 0.9865400, DIVERSITY_HERFINDAHL: 0.9986366, COVERAGE_ITEM: 0.4624755, COVERAGE_ITEM_CORRECT: 0.0490703, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2079779, DIVERSITY_GINI: 0.1521469, SHANNON_ENTROPY: 11.6302574, 

