
SearchBayesianSkopt-CV: New best config found. Config 0: {'alpha': 0.8484499089397549, 'l1_ratio': 0.12796674029876223, 'topK': 971, 'normalize': True} - results: ROC_AUC: 0.1813962, PRECISION: 0.0385403, PRECISION_RECALL_MIN_DEN: 0.1361177, RECALL: 0.1319484, MAP: 0.0636043, MRR: 0.1345605, NDCG: 0.0956192, F1: 0.0596545, HIT_RATE: 0.3854029, ARHR: 0.1555634, NOVELTY: 0.0047861, AVERAGE_POPULARITY: 0.1183114, DIVERSITY_MEAN_INTER_LIST: 0.9814126, DIVERSITY_HERFINDAHL: 0.9981239, COVERAGE_ITEM: 0.4420481, COVERAGE_ITEM_CORRECT: 0.0437729, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2023908, DIVERSITY_GINI: 0.1354273, SHANNON_ENTROPY: 11.2968137, 
SearchBayesianSkopt-CV: Config 1 is suboptimal. Config: {'alpha': 0.20469240618781276, 'l1_ratio': 0.03611068708896548, 'topK': 349, 'normalize': False} - results: ROC_AUC: 0.1763276, PRECISION: 0.0375756, PRECISION_RECALL_MIN_DEN: 0.1305688, RECALL: 0.1263629, MAP: 0.0612166, MRR: 0.1313617, NDCG: 0.0921370, F1: 0.0579233, HIT_RATE: 0.3757560, ARHR: 0.1518926, NOVELTY: 0.0048341, AVERAGE_POPULARITY: 0.1096433, DIVERSITY_MEAN_INTER_LIST: 0.9842549, DIVERSITY_HERFINDAHL: 0.9984081, COVERAGE_ITEM: 0.4625448, COVERAGE_ITEM_CORRECT: 0.0432031, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1965522, DIVERSITY_GINI: 0.1489739, SHANNON_ENTROPY: 11.5052793, 

SearchBayesianSkopt-CV: New best config found. Config 2: {'alpha': 0.3835210042497279, 'l1_ratio': 0.8815448457197216, 'topK': 710, 'normalize': True} - results: ROC_AUC: 0.1897745, PRECISION: 0.0414487, PRECISION_RECALL_MIN_DEN: 0.1468327, RECALL: 0.1423775, MAP: 0.0679424, MRR: 0.1412564, NDCG: 0.1020887, F1: 0.0642034, HIT_RATE: 0.4144871, ARHR: 0.1649022, NOVELTY: 0.0049410, AVERAGE_POPULARITY: 0.0909469, DIVERSITY_MEAN_INTER_LIST: 0.9892036, DIVERSITY_HERFINDAHL: 0.9989029, COVERAGE_ITEM: 0.5074495, COVERAGE_ITEM_CORRECT: 0.0538903, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2133887, DIVERSITY_GINI: 0.1902120, SHANNON_ENTROPY: 12.0534510, 

SearchBayesianSkopt-CV: New best config found. Config 3: {'alpha': 0.8302755820717055, 'l1_ratio': 0.6963683416829187, 'topK': 994, 'normalize': False} - results: ROC_AUC: 0.1954222, PRECISION: 0.0424388, PRECISION_RECALL_MIN_DEN: 0.1520164, RECALL: 0.1475058, MAP: 0.0707245, MRR: 0.1453989, NDCG: 0.1057372, F1: 0.0659112, HIT_RATE: 0.4243884, ARHR: 0.1696469, NOVELTY: 0.0049695, AVERAGE_POPULARITY: 0.0840036, DIVERSITY_MEAN_INTER_LIST: 0.9908014, DIVERSITY_HERFINDAHL: 0.9990626, COVERAGE_ITEM: 0.5124851, COVERAGE_ITEM_CORRECT: 0.0565929, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2188499, DIVERSITY_GINI: 0.1938665, SHANNON_ENTROPY: 12.1361357, 
SearchBayesianSkopt-CV: Config 4 is suboptimal. Config: {'alpha': 0.8911893260873708, 'l1_ratio': 0.190809944835244, 'topK': 678, 'normalize': False} - results: ROC_AUC: 0.1809048, PRECISION: 0.0384797, PRECISION_RECALL_MIN_DEN: 0.1353435, RECALL: 0.1311356, MAP: 0.0634007, MRR: 0.1345578, NDCG: 0.0952745, F1: 0.0594972, HIT_RATE: 0.3847966, ARHR: 0.1556447, NOVELTY: 0.0047987, AVERAGE_POPULARITY: 0.1145232, DIVERSITY_MEAN_INTER_LIST: 0.9827113, DIVERSITY_HERFINDAHL: 0.9982538, COVERAGE_ITEM: 0.4450433, COVERAGE_ITEM_CORRECT: 0.0440269, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2016107, DIVERSITY_GINI: 0.1374413, SHANNON_ENTROPY: 11.3548756, 
SearchBayesianSkopt-CV: Config 5 is suboptimal. Config: {'alpha': 0.51798561795569, 'l1_ratio': 0.08020947132375979, 'topK': 359, 'normalize': True} - results: ROC_AUC: 0.1756066, PRECISION: 0.0376362, PRECISION_RECALL_MIN_DEN: 0.1307145, RECALL: 0.1265337, MAP: 0.0616036, MRR: 0.1316888, NDCG: 0.0924686, F1: 0.0580117, HIT_RATE: 0.3763622, ARHR: 0.1523037, NOVELTY: 0.0048375, AVERAGE_POPULARITY: 0.1105178, DIVERSITY_MEAN_INTER_LIST: 0.9840243, DIVERSITY_HERFINDAHL: 0.9983850, COVERAGE_ITEM: 0.4572474, COVERAGE_ITEM_CORRECT: 0.0428489, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1967535, DIVERSITY_GINI: 0.1487283, SHANNON_ENTROPY: 11.5099598, 
SearchBayesianSkopt-CV: Config 6 is suboptimal. Config: {'alpha': 0.19318275500699528, 'l1_ratio': 0.5786806365256761, 'topK': 398, 'normalize': True} - results: ROC_AUC: 0.1734494, PRECISION: 0.0371736, PRECISION_RECALL_MIN_DEN: 0.1290763, RECALL: 0.1249175, MAP: 0.0605676, MRR: 0.1283197, NDCG: 0.0909976, F1: 0.0572932, HIT_RATE: 0.3717365, ARHR: 0.1487635, NOVELTY: 0.0048735, AVERAGE_POPULARITY: 0.1074062, DIVERSITY_MEAN_INTER_LIST: 0.9849249, DIVERSITY_HERFINDAHL: 0.9984751, COVERAGE_ITEM: 0.4609124, COVERAGE_ITEM_CORRECT: 0.0430414, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1936077, DIVERSITY_GINI: 0.1566077, SHANNON_ENTROPY: 11.6356483, 
SearchBayesianSkopt-CV: Config 7 is suboptimal. Config: {'alpha': 0.841579218961759, 'l1_ratio': 0.992176716269926, 'topK': 530, 'normalize': True} - results: ROC_AUC: 0.1254093, PRECISION: 0.0261813, PRECISION_RECALL_MIN_DEN: 0.0967967, RECALL: 0.0940226, MAP: 0.0423596, MRR: 0.0881047, NDCG: 0.0650039, F1: 0.0409562, HIT_RATE: 0.2618132, ARHR: 0.0991305, NOVELTY: 0.0052538, AVERAGE_POPULARITY: 0.0262925, DIVERSITY_MEAN_INTER_LIST: 0.9976997, DIVERSITY_HERFINDAHL: 0.9997523, COVERAGE_ITEM: 0.5853705, COVERAGE_ITEM_CORRECT: 0.0466141, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1465710, DIVERSITY_GINI: 0.2804559, SHANNON_ENTROPY: 13.0670744, 
SearchBayesianSkopt-CV: Config 8 is suboptimal. Config: {'alpha': 0.36732744167042725, 'l1_ratio': 0.32644854188438216, 'topK': 354, 'normalize': False} - results: ROC_AUC: 0.1853544, PRECISION: 0.0400847, PRECISION_RECALL_MIN_DEN: 0.1392262, RECALL: 0.1347453, MAP: 0.0656774, MRR: 0.1384015, NDCG: 0.0983124, F1: 0.0617866, HIT_RATE: 0.4008466, ARHR: 0.1609809, NOVELTY: 0.0048567, AVERAGE_POPULARITY: 0.1055140, DIVERSITY_MEAN_INTER_LIST: 0.9855704, DIVERSITY_HERFINDAHL: 0.9985396, COVERAGE_ITEM: 0.4642387, COVERAGE_ITEM_CORRECT: 0.0481232, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2065937, DIVERSITY_GINI: 0.1526739, SHANNON_ENTROPY: 11.5958132, 
SearchBayesianSkopt-CV: Config 9 is suboptimal. Config: {'alpha': 0.43663505763929356, 'l1_ratio': 0.5780111132622151, 'topK': 646, 'normalize': True} - results: ROC_AUC: 0.1891331, PRECISION: 0.0415379, PRECISION_RECALL_MIN_DEN: 0.1459409, RECALL: 0.1414780, MAP: 0.0678127, MRR: 0.1413152, NDCG: 0.1018649, F1: 0.0642185, HIT_RATE: 0.4153787, ARHR: 0.1648399, NOVELTY: 0.0048868, AVERAGE_POPULARITY: 0.1026860, DIVERSITY_MEAN_INTER_LIST: 0.9863412, DIVERSITY_HERFINDAHL: 0.9986167, COVERAGE_ITEM: 0.4787372, COVERAGE_ITEM_CORRECT: 0.0514649, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2132377, DIVERSITY_GINI: 0.1666041, SHANNON_ENTROPY: 11.7577178, 
SearchBayesianSkopt-CV: Config 10 is suboptimal. Config: {'alpha': 0.7554630624371879, 'l1_ratio': 0.5819384267190764, 'topK': 793, 'normalize': True} - results: ROC_AUC: 0.1950068, PRECISION: 0.0426688, PRECISION_RECALL_MIN_DEN: 0.1522396, RECALL: 0.1477066, MAP: 0.0705973, MRR: 0.1452032, NDCG: 0.1057330, F1: 0.0662084, HIT_RATE: 0.4266883, ARHR: 0.1697441, NOVELTY: 0.0049634, AVERAGE_POPULARITY: 0.0853493, DIVERSITY_MEAN_INTER_LIST: 0.9905305, DIVERSITY_HERFINDAHL: 0.9990355, COVERAGE_ITEM: 0.5136554, COVERAGE_ITEM_CORRECT: 0.0566237, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2191267, DIVERSITY_GINI: 0.1945666, SHANNON_ENTROPY: 12.1310903, 

SearchBayesianSkopt-CV: New best config found. Config 11: {'alpha': 0.930884826476267, 'l1_ratio': 0.6534945725958449, 'topK': 772, 'normalize': False} - results: ROC_AUC: 0.1969189, PRECISION: 0.0428842, PRECISION_RECALL_MIN_DEN: 0.1533793, RECALL: 0.1488467, MAP: 0.0711695, MRR: 0.1467681, NDCG: 0.1066013, F1: 0.0665815, HIT_RATE: 0.4288418, ARHR: 0.1713574, NOVELTY: 0.0049497, AVERAGE_POPULARITY: 0.0883392, DIVERSITY_MEAN_INTER_LIST: 0.9899155, DIVERSITY_HERFINDAHL: 0.9989741, COVERAGE_ITEM: 0.5017825, COVERAGE_ITEM_CORRECT: 0.0563927, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2206619, DIVERSITY_GINI: 0.1843137, SHANNON_ENTROPY: 12.0292946, 

SearchBayesianSkopt-CV: New best config found. Config 12: {'alpha': 0.7269115930024891, 'l1_ratio': 0.6051868432813969, 'topK': 807, 'normalize': False} - results: ROC_AUC: 0.1965558, PRECISION: 0.0430649, PRECISION_RECALL_MIN_DEN: 0.1532120, RECALL: 0.1486403, MAP: 0.0714636, MRR: 0.1469763, NDCG: 0.1068320, F1: 0.0667783, HIT_RATE: 0.4306490, ARHR: 0.1716380, NOVELTY: 0.0049092, AVERAGE_POPULARITY: 0.0961884, DIVERSITY_MEAN_INTER_LIST: 0.9880571, DIVERSITY_HERFINDAHL: 0.9987883, COVERAGE_ITEM: 0.4857286, COVERAGE_ITEM_CORRECT: 0.0551607, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2208884, DIVERSITY_GINI: 0.1704152, SHANNON_ENTROPY: 11.8455671, 
