
SearchBayesianSkopt-CV: New best config found. Config 0: {'alpha': 0.8484499089397549, 'l1_ratio': 0.12796674029876223, 'topK': 971, 'normalize': True} - results: ROC_AUC: 0.1776620, PRECISION: 0.0381908, PRECISION_RECALL_MIN_DEN: 0.1341197, RECALL: 0.1299693, MAP: 0.0623540, MRR: 0.1312608, NDCG: 0.0939241, F1: 0.0590311, HIT_RATE: 0.3819084, ARHR: 0.1520272, NOVELTY: 0.0048424, AVERAGE_POPULARITY: 0.1113993, DIVERSITY_MEAN_INTER_LIST: 0.9840030, DIVERSITY_HERFINDAHL: 0.9983829, COVERAGE_ITEM: 0.4521116, COVERAGE_ITEM_CORRECT: 0.0440731, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1995973, DIVERSITY_GINI: 0.1501771, SHANNON_ENTROPY: 11.5585176, 

SearchBayesianSkopt-CV: New best config found. Config 1: {'alpha': 0.20469240618781276, 'l1_ratio': 0.03611068708896548, 'topK': 349, 'normalize': False} - results: ROC_AUC: 0.1851944, PRECISION: 0.0402944, PRECISION_RECALL_MIN_DEN: 0.1402501, RECALL: 0.1356324, MAP: 0.0658587, MRR: 0.1389071, NDCG: 0.0986849, F1: 0.0621297, HIT_RATE: 0.4029441, ARHR: 0.1614747, NOVELTY: 0.0048446, AVERAGE_POPULARITY: 0.0983184, DIVERSITY_MEAN_INTER_LIST: 0.9888509, DIVERSITY_HERFINDAHL: 0.9988676, COVERAGE_ITEM: 0.4402541, COVERAGE_ITEM_CORRECT: 0.0500712, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2077262, DIVERSITY_GINI: 0.1434659, SHANNON_ENTROPY: 11.6805329, 

SearchBayesianSkopt-CV: New best config found. Config 2: {'alpha': 0.3835210042497279, 'l1_ratio': 0.8815448457197216, 'topK': 710, 'normalize': True} - results: ROC_AUC: 0.1967158, PRECISION: 0.0432444, PRECISION_RECALL_MIN_DEN: 0.1547592, RECALL: 0.1501766, MAP: 0.0714017, MRR: 0.1463041, NDCG: 0.1071092, F1: 0.0671502, HIT_RATE: 0.4324440, ARHR: 0.1710695, NOVELTY: 0.0049740, AVERAGE_POPULARITY: 0.0754873, DIVERSITY_MEAN_INTER_LIST: 0.9932780, DIVERSITY_HERFINDAHL: 0.9993102, COVERAGE_ITEM: 0.5070260, COVERAGE_ITEM_CORRECT: 0.0603272, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2221467, DIVERSITY_GINI: 0.1948295, SHANNON_ENTROPY: 12.2712083, 
SearchBayesianSkopt-CV: Config 3 is suboptimal. Config: {'alpha': 0.8302755820717055, 'l1_ratio': 0.6963683416829187, 'topK': 994, 'normalize': False} - results: ROC_AUC: 0.1144814, PRECISION: 0.0241457, PRECISION_RECALL_MIN_DEN: 0.0890173, RECALL: 0.0864179, MAP: 0.0383587, MRR: 0.0800738, NDCG: 0.0592293, F1: 0.0377444, HIT_RATE: 0.2414573, ARHR: 0.0902770, NOVELTY: 0.0052759, AVERAGE_POPULARITY: 0.0215965, DIVERSITY_MEAN_INTER_LIST: 0.9978197, DIVERSITY_HERFINDAHL: 0.9997643, COVERAGE_ITEM: 0.5884966, COVERAGE_ITEM_CORRECT: 0.0450972, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1350950, DIVERSITY_GINI: 0.2845638, SHANNON_ENTROPY: 13.0987220, 
SearchBayesianSkopt-CV: Config 4 is suboptimal. Config: {'alpha': 0.8911893260873708, 'l1_ratio': 0.190809944835244, 'topK': 678, 'normalize': False} - results: ROC_AUC: 0.1659200, PRECISION: 0.0348247, PRECISION_RECALL_MIN_DEN: 0.1273525, RECALL: 0.1237562, MAP: 0.0582294, MRR: 0.1196581, NDCG: 0.0877636, F1: 0.0543522, HIT_RATE: 0.3482468, ARHR: 0.1369435, NOVELTY: 0.0051374, AVERAGE_POPULARITY: 0.0492487, DIVERSITY_MEAN_INTER_LIST: 0.9961236, DIVERSITY_HERFINDAHL: 0.9995948, COVERAGE_ITEM: 0.5678460, COVERAGE_ITEM_CORRECT: 0.0529894, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1870643, DIVERSITY_GINI: 0.2553575, SHANNON_ENTROPY: 12.8147712, 
SearchBayesianSkopt-CV: Config 5 is suboptimal. Config: {'alpha': 0.51798561795569, 'l1_ratio': 0.08020947132375979, 'topK': 359, 'normalize': True} - results: ROC_AUC: 0.1815734, PRECISION: 0.0393428, PRECISION_RECALL_MIN_DEN: 0.1368132, RECALL: 0.1324142, MAP: 0.0641947, MRR: 0.1359249, NDCG: 0.0964005, F1: 0.0606609, HIT_RATE: 0.3934280, ARHR: 0.1576383, NOVELTY: 0.0048429, AVERAGE_POPULARITY: 0.1041451, DIVERSITY_MEAN_INTER_LIST: 0.9867908, DIVERSITY_HERFINDAHL: 0.9986616, COVERAGE_ITEM: 0.4476612, COVERAGE_ITEM_CORRECT: 0.0467911, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2043538, DIVERSITY_GINI: 0.1462842, SHANNON_ENTROPY: 11.6109978, 
SearchBayesianSkopt-CV: Config 6 is suboptimal. Config: {'alpha': 0.19318275500699528, 'l1_ratio': 0.5786806365256761, 'topK': 398, 'normalize': True} - results: ROC_AUC: 0.1916020, PRECISION: 0.0418785, PRECISION_RECALL_MIN_DEN: 0.1466302, RECALL: 0.1418751, MAP: 0.0685860, MRR: 0.1433612, NDCG: 0.1026720, F1: 0.0646669, HIT_RATE: 0.4187848, ARHR: 0.1675048, NOVELTY: 0.0048710, AVERAGE_POPULARITY: 0.0939271, DIVERSITY_MEAN_INTER_LIST: 0.9898894, DIVERSITY_HERFINDAHL: 0.9989715, COVERAGE_ITEM: 0.4510568, COVERAGE_ITEM_CORRECT: 0.0540289, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2144457, DIVERSITY_GINI: 0.1518685, SHANNON_ENTROPY: 11.7963420, 
SearchBayesianSkopt-CV: Config 7 is suboptimal. Config: {'alpha': 0.841579218961759, 'l1_ratio': 0.992176716269926, 'topK': 530, 'normalize': True} - results: ROC_AUC: 0.1237265, PRECISION: 0.0259158, PRECISION_RECALL_MIN_DEN: 0.0961678, RECALL: 0.0934832, MAP: 0.0417059, MRR: 0.0865616, NDCG: 0.0642201, F1: 0.0405805, HIT_RATE: 0.2591585, ARHR: 0.0974696, NOVELTY: 0.0052640, AVERAGE_POPULARITY: 0.0241988, DIVERSITY_MEAN_INTER_LIST: 0.9977911, DIVERSITY_HERFINDAHL: 0.9997615, COVERAGE_ITEM: 0.5879808, COVERAGE_ITEM_CORRECT: 0.0473609, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1453630, DIVERSITY_GINI: 0.2832425, SHANNON_ENTROPY: 13.0887975, 
SearchBayesianSkopt-CV: Config 8 is suboptimal. Config: {'alpha': 0.36732744167042725, 'l1_ratio': 0.32644854188438216, 'topK': 354, 'normalize': False} - results: ROC_AUC: 0.1890361, PRECISION: 0.0405198, PRECISION_RECALL_MIN_DEN: 0.1472598, RECALL: 0.1431783, MAP: 0.0680305, MRR: 0.1391289, NDCG: 0.1021396, F1: 0.0631625, HIT_RATE: 0.4051979, ARHR: 0.1610785, NOVELTY: 0.0050601, AVERAGE_POPULARITY: 0.0624653, DIVERSITY_MEAN_INTER_LIST: 0.9949804, DIVERSITY_HERFINDAHL: 0.9994805, COVERAGE_ITEM: 0.5423908, COVERAGE_ITEM_CORRECT: 0.0595111, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2118284, DIVERSITY_GINI: 0.2273252, SHANNON_ENTROPY: 12.5755020, 
