
SearchBayesianSkopt-CV: New best config found. Config 0: {'alpha': 0.04497755210102695, 'l1_ratio': 0.5138101035522092, 'topK': 963, 'normalize': True} - results: ROC_AUC: 0.1715677, PRECISION: 0.0362076, PRECISION_RECALL_MIN_DEN: 0.1252386, RECALL: 0.1212286, MAP: 0.0585281, MRR: 0.1269399, NDCG: 0.0885182, F1: 0.0557601, HIT_RATE: 0.3620763, ARHR: 0.1465509, NOVELTY: 0.0047854, AVERAGE_POPULARITY: 0.1194241, DIVERSITY_MEAN_INTER_LIST: 0.9804133, DIVERSITY_HERFINDAHL: 0.9980240, COVERAGE_ITEM: 0.4283734, COVERAGE_ITEM_CORRECT: 0.0395303, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1907638, DIVERSITY_GINI: 0.1251983, SHANNON_ENTROPY: 11.1490797, 

SearchBayesianSkopt-CV: New best config found. Config 1: {'alpha': 0.5493281838180109, 'l1_ratio': 0.2918694932615746, 'topK': 455, 'normalize': True} - results: ROC_AUC: 0.1733221, PRECISION: 0.0369184, PRECISION_RECALL_MIN_DEN: 0.1259734, RECALL: 0.1217696, MAP: 0.0593162, MRR: 0.1286031, NDCG: 0.0894476, F1: 0.0566578, HIT_RATE: 0.3691841, ARHR: 0.1490533, NOVELTY: 0.0048589, AVERAGE_POPULARITY: 0.1035922, DIVERSITY_MEAN_INTER_LIST: 0.9856714, DIVERSITY_HERFINDAHL: 0.9985497, COVERAGE_ITEM: 0.4462907, COVERAGE_ITEM_CORRECT: 0.0421482, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1921480, DIVERSITY_GINI: 0.1398571, SHANNON_ENTROPY: 11.4735716, 
SearchBayesianSkopt-CV: Config 2 is suboptimal. Config: {'alpha': 0.9335448865374034, 'l1_ratio': 0.7749811343910084, 'topK': 134, 'normalize': True} - results: ROC_AUC: 0.1670980, PRECISION: 0.0355402, PRECISION_RECALL_MIN_DEN: 0.1208903, RECALL: 0.1167158, MAP: 0.0570010, MRR: 0.1245964, NDCG: 0.0859410, F1: 0.0544873, HIT_RATE: 0.3554016, ARHR: 0.1442912, NOVELTY: 0.0050010, AVERAGE_POPULARITY: 0.0799356, DIVERSITY_MEAN_INTER_LIST: 0.9913158, DIVERSITY_HERFINDAHL: 0.9991141, COVERAGE_ITEM: 0.4830183, COVERAGE_ITEM_CORRECT: 0.0443503, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1853026, DIVERSITY_GINI: 0.1713542, SHANNON_ENTROPY: 11.9786539, 

SearchBayesianSkopt-CV: New best config found. Config 3: {'alpha': 0.8776590434902116, 'l1_ratio': 0.637114762945663, 'topK': 800, 'normalize': False} - results: ROC_AUC: 0.1736935, PRECISION: 0.0368054, PRECISION_RECALL_MIN_DEN: 0.1262735, RECALL: 0.1221411, MAP: 0.0595282, MRR: 0.1288597, NDCG: 0.0897149, F1: 0.0565644, HIT_RATE: 0.3680540, ARHR: 0.1490632, NOVELTY: 0.0048409, AVERAGE_POPULARITY: 0.1061890, DIVERSITY_MEAN_INTER_LIST: 0.9849036, DIVERSITY_HERFINDAHL: 0.9984730, COVERAGE_ITEM: 0.4398614, COVERAGE_ITEM_CORRECT: 0.0413167, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1925003, DIVERSITY_GINI: 0.1351314, SHANNON_ENTROPY: 11.3985001, 
SearchBayesianSkopt-CV: Config 4 is suboptimal. Config: {'alpha': 0.25785061180800656, 'l1_ratio': 0.8382374170974822, 'topK': 535, 'normalize': True} - results: ROC_AUC: 0.1735037, PRECISION: 0.0367588, PRECISION_RECALL_MIN_DEN: 0.1258521, RECALL: 0.1216701, MAP: 0.0594294, MRR: 0.1288074, NDCG: 0.0894904, F1: 0.0564584, HIT_RATE: 0.3675880, ARHR: 0.1490893, NOVELTY: 0.0048576, AVERAGE_POPULARITY: 0.1031226, DIVERSITY_MEAN_INTER_LIST: 0.9857766, DIVERSITY_HERFINDAHL: 0.9985602, COVERAGE_ITEM: 0.4438884, COVERAGE_ITEM_CORRECT: 0.0418864, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1918460, DIVERSITY_GINI: 0.1383551, SHANNON_ENTROPY: 11.4648436, 
SearchBayesianSkopt-CV: Config 5 is suboptimal. Config: {'alpha': 0.45010472724784356, 'l1_ratio': 0.34070463162983117, 'topK': 425, 'normalize': True} - results: ROC_AUC: 0.1737147, PRECISION: 0.0368123, PRECISION_RECALL_MIN_DEN: 0.1256614, RECALL: 0.1214640, MAP: 0.0594325, MRR: 0.1287905, NDCG: 0.0894399, F1: 0.0564995, HIT_RATE: 0.3681230, ARHR: 0.1491575, NOVELTY: 0.0048617, AVERAGE_POPULARITY: 0.1033454, DIVERSITY_MEAN_INTER_LIST: 0.9857379, DIVERSITY_HERFINDAHL: 0.9985564, COVERAGE_ITEM: 0.4476997, COVERAGE_ITEM_CORRECT: 0.0421174, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1917956, DIVERSITY_GINI: 0.1407175, SHANNON_ENTROPY: 11.4840321, 
SearchBayesianSkopt-CV: Config 6 is suboptimal. Config: {'alpha': 0.44634659003571586, 'l1_ratio': 0.11395969957926425, 'topK': 959, 'normalize': True} - results: ROC_AUC: 0.1725883, PRECISION: 0.0365222, PRECISION_RECALL_MIN_DEN: 0.1257641, RECALL: 0.1217302, MAP: 0.0588880, MRR: 0.1278197, NDCG: 0.0890553, F1: 0.0561858, HIT_RATE: 0.3652220, ARHR: 0.1476468, NOVELTY: 0.0048078, AVERAGE_POPULARITY: 0.1143060, DIVERSITY_MEAN_INTER_LIST: 0.9822298, DIVERSITY_HERFINDAHL: 0.9982056, COVERAGE_ITEM: 0.4342021, COVERAGE_ITEM_CORRECT: 0.0402772, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1916950, DIVERSITY_GINI: 0.1297010, SHANNON_ENTROPY: 11.2514875, 
SearchBayesianSkopt-CV: Config 7 is suboptimal. Config: {'alpha': 0.9398795406092607, 'l1_ratio': 0.8960220958040324, 'topK': 422, 'normalize': False} - results: ROC_AUC: 0.1717136, PRECISION: 0.0364913, PRECISION_RECALL_MIN_DEN: 0.1243495, RECALL: 0.1201419, MAP: 0.0588108, MRR: 0.1274717, NDCG: 0.0884900, F1: 0.0559772, HIT_RATE: 0.3649128, ARHR: 0.1476895, NOVELTY: 0.0049151, AVERAGE_POPULARITY: 0.0913449, DIVERSITY_MEAN_INTER_LIST: 0.9888945, DIVERSITY_HERFINDAHL: 0.9988720, COVERAGE_ITEM: 0.4546218, COVERAGE_ITEM_CORRECT: 0.0431723, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1900843, DIVERSITY_GINI: 0.1485634, SHANNON_ENTROPY: 11.6874104, 
SearchBayesianSkopt-CV: Config 8 is suboptimal. Config: {'alpha': 0.4400202122448458, 'l1_ratio': 0.43092240533788406, 'topK': 206, 'normalize': True} - results: ROC_AUC: 0.1718734, PRECISION: 0.0366537, PRECISION_RECALL_MIN_DEN: 0.1245139, RECALL: 0.1202550, MAP: 0.0591258, MRR: 0.1281991, NDCG: 0.0888549, F1: 0.0561817, HIT_RATE: 0.3665368, ARHR: 0.1487383, NOVELTY: 0.0049152, AVERAGE_POPULARITY: 0.0956510, DIVERSITY_MEAN_INTER_LIST: 0.9877739, DIVERSITY_HERFINDAHL: 0.9987599, COVERAGE_ITEM: 0.4665409, COVERAGE_ITEM_CORRECT: 0.0436343, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1905876, DIVERSITY_GINI: 0.1551729, SHANNON_ENTROPY: 11.6890659, 
