
SearchBayesianSkopt-CV: New best config found. Config 0: {'alpha': 0.3178114114360045, 'l1_ratio': 0.1356473118261621, 'topK': 41, 'normalize': False} - results: ROC_AUC: 0.1709108, PRECISION: 0.0358201, PRECISION_RECALL_MIN_DEN: 0.1236343, RECALL: 0.1195013, MAP: 0.0593683, MRR: 0.1269672, NDCG: 0.0885815, F1: 0.0551168, HIT_RATE: 0.3582014, ARHR: 0.1466660, NOVELTY: 0.0049987, AVERAGE_POPULARITY: 0.0849693, DIVERSITY_MEAN_INTER_LIST: 0.9908197, DIVERSITY_HERFINDAHL: 0.9990645, COVERAGE_ITEM: 0.5296246, COVERAGE_ITEM_CORRECT: 0.0450356, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1875676, DIVERSITY_GINI: 0.2032181, SHANNON_ENTROPY: 12.1635245, 

SearchBayesianSkopt-CV: New best config found. Config 1: {'alpha': 0.9662964763611881, 'l1_ratio': 0.1067435912668854, 'topK': 296, 'normalize': True} - results: ROC_AUC: 0.1761359, PRECISION: 0.0375756, PRECISION_RECALL_MIN_DEN: 0.1288375, RECALL: 0.1245630, MAP: 0.0610515, MRR: 0.1310034, NDCG: 0.0916314, F1: 0.0577328, HIT_RATE: 0.3757562, ARHR: 0.1519213, NOVELTY: 0.0048767, AVERAGE_POPULARITY: 0.1000906, DIVERSITY_MEAN_INTER_LIST: 0.9872704, DIVERSITY_HERFINDAHL: 0.9987096, COVERAGE_ITEM: 0.4758653, COVERAGE_ITEM_CORRECT: 0.0441347, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1954700, DIVERSITY_GINI: 0.1587727, SHANNON_ENTROPY: 11.6953362, 

SearchBayesianSkopt-CV: New best config found. Config 2: {'alpha': 0.6070057087018691, 'l1_ratio': 0.487754460693115, 'topK': 912, 'normalize': True} - results: ROC_AUC: 0.1769883, PRECISION: 0.0373708, PRECISION_RECALL_MIN_DEN: 0.1290900, RECALL: 0.1248895, MAP: 0.0614582, MRR: 0.1318844, NDCG: 0.0920458, F1: 0.0575258, HIT_RATE: 0.3737077, ARHR: 0.1524653, NOVELTY: 0.0048655, AVERAGE_POPULARITY: 0.0964633, DIVERSITY_MEAN_INTER_LIST: 0.9885775, DIVERSITY_HERFINDAHL: 0.9988403, COVERAGE_ITEM: 0.4532897, COVERAGE_ITEM_CORRECT: 0.0436574, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1955203, DIVERSITY_GINI: 0.1466394, SHANNON_ENTROPY: 11.6576581, 
SearchBayesianSkopt-CV: Config 3 is suboptimal. Config: {'alpha': 0.7851059858682912, 'l1_ratio': 0.6692952375892629, 'topK': 565, 'normalize': True} - results: ROC_AUC: 0.1743314, PRECISION: 0.0369511, PRECISION_RECALL_MIN_DEN: 0.1272009, RECALL: 0.1229822, MAP: 0.0602673, MRR: 0.1297634, NDCG: 0.0904576, F1: 0.0568246, HIT_RATE: 0.3695112, ARHR: 0.1501026, NOVELTY: 0.0049122, AVERAGE_POPULARITY: 0.0882772, DIVERSITY_MEAN_INTER_LIST: 0.9903203, DIVERSITY_HERFINDAHL: 0.9990145, COVERAGE_ITEM: 0.4669413, COVERAGE_ITEM_CORRECT: 0.0443734, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1932805, DIVERSITY_GINI: 0.1568073, SHANNON_ENTROPY: 11.8197419, 

SearchBayesianSkopt-CV: New best config found. Config 4: {'alpha': 0.7063007222255365, 'l1_ratio': 0.14783498822591837, 'topK': 763, 'normalize': True} - results: ROC_AUC: 0.1783805, PRECISION: 0.0378087, PRECISION_RECALL_MIN_DEN: 0.1309849, RECALL: 0.1268013, MAP: 0.0619547, MRR: 0.1328744, NDCG: 0.0930025, F1: 0.0582460, HIT_RATE: 0.3780871, ARHR: 0.1537022, NOVELTY: 0.0048292, AVERAGE_POPULARITY: 0.1049671, DIVERSITY_MEAN_INTER_LIST: 0.9862222, DIVERSITY_HERFINDAHL: 0.9986048, COVERAGE_ITEM: 0.4493013, COVERAGE_ITEM_CORRECT: 0.0433802, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1980622, DIVERSITY_GINI: 0.1419935, SHANNON_ENTROPY: 11.5203012, 
SearchBayesianSkopt-CV: Config 5 is suboptimal. Config: {'alpha': 0.37895609438207345, 'l1_ratio': 0.7451829446665567, 'topK': 957, 'normalize': False} - results: ROC_AUC: 0.1776759, PRECISION: 0.0374170, PRECISION_RECALL_MIN_DEN: 0.1294257, RECALL: 0.1252448, MAP: 0.0616779, MRR: 0.1321565, NDCG: 0.0923320, F1: 0.0576178, HIT_RATE: 0.3741695, ARHR: 0.1527683, NOVELTY: 0.0048526, AVERAGE_POPULARITY: 0.0995336, DIVERSITY_MEAN_INTER_LIST: 0.9877090, DIVERSITY_HERFINDAHL: 0.9987534, COVERAGE_ITEM: 0.4527892, COVERAGE_ITEM_CORRECT: 0.0432724, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1958978, DIVERSITY_GINI: 0.1452684, SHANNON_ENTROPY: 11.6063458, 
SearchBayesianSkopt-CV: Config 6 is suboptimal. Config: {'alpha': 0.25254769900236823, 'l1_ratio': 0.8802051691683453, 'topK': 431, 'normalize': True} - results: ROC_AUC: 0.1764448, PRECISION: 0.0378554, PRECISION_RECALL_MIN_DEN: 0.1307785, RECALL: 0.1263958, MAP: 0.0614934, MRR: 0.1320860, NDCG: 0.0923696, F1: 0.0582599, HIT_RATE: 0.3785541, ARHR: 0.1530832, NOVELTY: 0.0048999, AVERAGE_POPULARITY: 0.0893127, DIVERSITY_MEAN_INTER_LIST: 0.9907210, DIVERSITY_HERFINDAHL: 0.9990546, COVERAGE_ITEM: 0.4534052, COVERAGE_ITEM_CORRECT: 0.0466987, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1969800, DIVERSITY_GINI: 0.1520485, SHANNON_ENTROPY: 11.8196574, 

