
SearchBayesianSkopt-CV: New best config found. Config 0: {'alpha': 0.3178114114360045, 'l1_ratio': 0.1356473118261621, 'topK': 41, 'normalize': False} - results: ROC_AUC: 0.1705345, PRECISION: 0.0359121, PRECISION_RECALL_MIN_DEN: 0.1239408, RECALL: 0.1198090, MAP: 0.0593885, MRR: 0.1267664, NDCG: 0.0886756, F1: 0.0552578, HIT_RATE: 0.3591205, ARHR: 0.1463684, NOVELTY: 0.0049755, AVERAGE_POPULARITY: 0.0894168, DIVERSITY_MEAN_INTER_LIST: 0.9896704, DIVERSITY_HERFINDAHL: 0.9989496, COVERAGE_ITEM: 0.5271684, COVERAGE_ITEM_CORRECT: 0.0444658, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1879451, DIVERSITY_GINI: 0.1974602, SHANNON_ENTROPY: 12.0608212, 

SearchBayesianSkopt-CV: New best config found. Config 1: {'alpha': 0.9662964763611881, 'l1_ratio': 0.1067435912668854, 'topK': 296, 'normalize': True} - results: ROC_AUC: 0.1754342, PRECISION: 0.0372750, PRECISION_RECALL_MIN_DEN: 0.1284502, RECALL: 0.1242314, MAP: 0.0609408, MRR: 0.1307491, NDCG: 0.0913726, F1: 0.0573428, HIT_RATE: 0.3727496, ARHR: 0.1514162, NOVELTY: 0.0048670, AVERAGE_POPULARITY: 0.1019778, DIVERSITY_MEAN_INTER_LIST: 0.9866374, DIVERSITY_HERFINDAHL: 0.9986463, COVERAGE_ITEM: 0.4727392, COVERAGE_ITEM_CORRECT: 0.0436728, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1947150, DIVERSITY_GINI: 0.1559546, SHANNON_ENTROPY: 11.6484975, 

SearchBayesianSkopt-CV: New best config found. Config 2: {'alpha': 0.6070057087018691, 'l1_ratio': 0.487754460693115, 'topK': 912, 'normalize': True} - results: ROC_AUC: 0.1758687, PRECISION: 0.0371658, PRECISION_RECALL_MIN_DEN: 0.1287887, RECALL: 0.1246009, MAP: 0.0611696, MRR: 0.1312757, NDCG: 0.0916563, F1: 0.0572525, HIT_RATE: 0.3716579, ARHR: 0.1516979, NOVELTY: 0.0048581, AVERAGE_POPULARITY: 0.0979172, DIVERSITY_MEAN_INTER_LIST: 0.9881482, DIVERSITY_HERFINDAHL: 0.9987974, COVERAGE_ITEM: 0.4509721, COVERAGE_ITEM_CORRECT: 0.0432724, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1943123, DIVERSITY_GINI: 0.1446357, SHANNON_ENTROPY: 11.6211954, 
SearchBayesianSkopt-CV: Config 3 is suboptimal. Config: {'alpha': 0.7851059858682912, 'l1_ratio': 0.6692952375892629, 'topK': 565, 'normalize': True} - results: ROC_AUC: 0.1734823, PRECISION: 0.0368446, PRECISION_RECALL_MIN_DEN: 0.1267698, RECALL: 0.1225444, MAP: 0.0599521, MRR: 0.1291348, NDCG: 0.0900601, F1: 0.0566525, HIT_RATE: 0.3684462, ARHR: 0.1494011, NOVELTY: 0.0049086, AVERAGE_POPULARITY: 0.0893383, DIVERSITY_MEAN_INTER_LIST: 0.9900407, DIVERSITY_HERFINDAHL: 0.9989866, COVERAGE_ITEM: 0.4663484, COVERAGE_ITEM_CORRECT: 0.0440115, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1925255, DIVERSITY_GINI: 0.1561340, SHANNON_ENTROPY: 11.8004928, 

SearchBayesianSkopt-CV: New best config found. Config 4: {'alpha': 0.7063007222255365, 'l1_ratio': 0.14783498822591837, 'topK': 763, 'normalize': True} - results: ROC_AUC: 0.1771584, PRECISION: 0.0375329, PRECISION_RECALL_MIN_DEN: 0.1305146, RECALL: 0.1263629, MAP: 0.0616789, MRR: 0.1319957, NDCG: 0.0925851, F1: 0.0578723, HIT_RATE: 0.3753290, ARHR: 0.1525177, NOVELTY: 0.0048157, AVERAGE_POPULARITY: 0.1078418, DIVERSITY_MEAN_INTER_LIST: 0.9853201, DIVERSITY_HERFINDAHL: 0.9985146, COVERAGE_ITEM: 0.4460212, COVERAGE_ITEM_CORRECT: 0.0426564, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1967283, DIVERSITY_GINI: 0.1387887, SHANNON_ENTROPY: 11.4552168, 
SearchBayesianSkopt-CV: Config 5 is suboptimal. Config: {'alpha': 0.37895609438207345, 'l1_ratio': 0.7451829446665567, 'topK': 957, 'normalize': False} - results: ROC_AUC: 0.1765779, PRECISION: 0.0370880, PRECISION_RECALL_MIN_DEN: 0.1287781, RECALL: 0.1246284, MAP: 0.0612499, MRR: 0.1311986, NDCG: 0.0917332, F1: 0.0571627, HIT_RATE: 0.3708797, ARHR: 0.1514465, NOVELTY: 0.0048336, AVERAGE_POPULARITY: 0.1037913, DIVERSITY_MEAN_INTER_LIST: 0.9864172, DIVERSITY_HERFINDAHL: 0.9986243, COVERAGE_ITEM: 0.4495476, COVERAGE_ITEM_CORRECT: 0.0424331, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1947905, DIVERSITY_GINI: 0.1415983, SHANNON_ENTROPY: 11.5197627, 
SearchBayesianSkopt-CV: Config 6 is suboptimal. Config: {'alpha': 0.25254769900236823, 'l1_ratio': 0.8802051691683453, 'topK': 431, 'normalize': True} - results: ROC_AUC: 0.1763572, PRECISION: 0.0378024, PRECISION_RECALL_MIN_DEN: 0.1307356, RECALL: 0.1263661, MAP: 0.0614353, MRR: 0.1320162, NDCG: 0.0923030, F1: 0.0581937, HIT_RATE: 0.3780243, ARHR: 0.1530154, NOVELTY: 0.0049000, AVERAGE_POPULARITY: 0.0893893, DIVERSITY_MEAN_INTER_LIST: 0.9907026, DIVERSITY_HERFINDAHL: 0.9990528, COVERAGE_ITEM: 0.4534514, COVERAGE_ITEM_CORRECT: 0.0466372, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1966277, DIVERSITY_GINI: 0.1520955, SHANNON_ENTROPY: 11.8193793, 

