
SearchBayesianSkopt-CV: New best config found. Config 0: {'alpha': 0.04497755210102695, 'l1_ratio': 0.5138101035522092, 'topK': 963, 'normalize': True} - results: ROC_AUC: 0.1589456, PRECISION: 0.0334025, PRECISION_RECALL_MIN_DEN: 0.1138981, RECALL: 0.1102127, MAP: 0.0536581, MRR: 0.1172449, NDCG: 0.0811883, F1: 0.0512636, HIT_RATE: 0.3340249, ARHR: 0.1349035, NOVELTY: 0.0048481, AVERAGE_POPULARITY: 0.1163294, DIVERSITY_MEAN_INTER_LIST: 0.9819809, DIVERSITY_HERFINDAHL: 0.9981807, COVERAGE_ITEM: 0.4475226, COVERAGE_ITEM_CORRECT: 0.0351954, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1765949, DIVERSITY_GINI: 0.1458264, SHANNON_ENTROPY: 11.4591487, 

SearchBayesianSkopt-CV: New best config found. Config 1: {'alpha': 0.5493281838180109, 'l1_ratio': 0.2918694932615746, 'topK': 455, 'normalize': True} - results: ROC_AUC: 0.1725293, PRECISION: 0.0366742, PRECISION_RECALL_MIN_DEN: 0.1247182, RECALL: 0.1205252, MAP: 0.0592773, MRR: 0.1287243, NDCG: 0.0890897, F1: 0.0562351, HIT_RATE: 0.3667416, ARHR: 0.1490510, NOVELTY: 0.0048558, AVERAGE_POPULARITY: 0.1050842, DIVERSITY_MEAN_INTER_LIST: 0.9858128, DIVERSITY_HERFINDAHL: 0.9985639, COVERAGE_ITEM: 0.4516343, COVERAGE_ITEM_CORRECT: 0.0415245, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1909400, DIVERSITY_GINI: 0.1452540, SHANNON_ENTROPY: 11.5489568, 
SearchBayesianSkopt-CV: Config 2 is suboptimal. Config: {'alpha': 0.9335448865374034, 'l1_ratio': 0.7749811343910084, 'topK': 134, 'normalize': True} - results: ROC_AUC: 0.1668691, PRECISION: 0.0353955, PRECISION_RECALL_MIN_DEN: 0.1201235, RECALL: 0.1159068, MAP: 0.0570583, MRR: 0.1245217, NDCG: 0.0857496, F1: 0.0542289, HIT_RATE: 0.3539547, ARHR: 0.1442633, NOVELTY: 0.0049937, AVERAGE_POPULARITY: 0.0799811, DIVERSITY_MEAN_INTER_LIST: 0.9917845, DIVERSITY_HERFINDAHL: 0.9991609, COVERAGE_ITEM: 0.4830106, COVERAGE_ITEM_CORRECT: 0.0441655, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1841953, DIVERSITY_GINI: 0.1723741, SHANNON_ENTROPY: 12.0200722, 

SearchBayesianSkopt-CV: New best config found. Config 3: {'alpha': 0.8776590434902116, 'l1_ratio': 0.637114762945663, 'topK': 800, 'normalize': False} - results: ROC_AUC: 0.1725019, PRECISION: 0.0364796, PRECISION_RECALL_MIN_DEN: 0.1252564, RECALL: 0.1211309, MAP: 0.0593755, MRR: 0.1281272, NDCG: 0.0892279, F1: 0.0560713, HIT_RATE: 0.3647958, ARHR: 0.1481659, NOVELTY: 0.0048243, AVERAGE_POPULARITY: 0.1082165, DIVERSITY_MEAN_INTER_LIST: 0.9847424, DIVERSITY_HERFINDAHL: 0.9984568, COVERAGE_ITEM: 0.4393686, COVERAGE_ITEM_CORRECT: 0.0406622, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1910406, DIVERSITY_GINI: 0.1355460, SHANNON_ENTROPY: 11.4157332, 
SearchBayesianSkopt-CV: Config 4 is suboptimal. Config: {'alpha': 0.25785061180800656, 'l1_ratio': 0.8382374170974822, 'topK': 535, 'normalize': True} - results: ROC_AUC: 0.1697250, PRECISION: 0.0362712, PRECISION_RECALL_MIN_DEN: 0.1227206, RECALL: 0.1185863, MAP: 0.0579811, MRR: 0.1265895, NDCG: 0.0874779, F1: 0.0555496, HIT_RATE: 0.3627119, ARHR: 0.1464599, NOVELTY: 0.0048763, AVERAGE_POPULARITY: 0.1024878, DIVERSITY_MEAN_INTER_LIST: 0.9866462, DIVERSITY_HERFINDAHL: 0.9986472, COVERAGE_ITEM: 0.4556766, COVERAGE_ITEM_CORRECT: 0.0408547, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1894803, DIVERSITY_GINI: 0.1499775, SHANNON_ENTROPY: 11.6260868, 
SearchBayesianSkopt-CV: Config 5 is suboptimal. Config: {'alpha': 0.45010472724784356, 'l1_ratio': 0.34070463162983117, 'topK': 425, 'normalize': True} - results: ROC_AUC: 0.1714000, PRECISION: 0.0366354, PRECISION_RECALL_MIN_DEN: 0.1243946, RECALL: 0.1201898, MAP: 0.0589083, MRR: 0.1281274, NDCG: 0.0887017, F1: 0.0561519, HIT_RATE: 0.3663539, ARHR: 0.1483225, NOVELTY: 0.0048615, AVERAGE_POPULARITY: 0.1047248, DIVERSITY_MEAN_INTER_LIST: 0.9859196, DIVERSITY_HERFINDAHL: 0.9985745, COVERAGE_ITEM: 0.4525967, COVERAGE_ITEM_CORRECT: 0.0414398, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1907638, DIVERSITY_GINI: 0.1469020, SHANNON_ENTROPY: 11.5696078, 
SearchBayesianSkopt-CV: Config 6 is suboptimal. Config: {'alpha': 0.44634659003571586, 'l1_ratio': 0.11395969957926425, 'topK': 959, 'normalize': True} - results: ROC_AUC: 0.1690854, PRECISION: 0.0358186, PRECISION_RECALL_MIN_DEN: 0.1225595, RECALL: 0.1185835, MAP: 0.0578229, MRR: 0.1256762, NDCG: 0.0872668, F1: 0.0550172, HIT_RATE: 0.3581863, ARHR: 0.1451403, NOVELTY: 0.0048096, AVERAGE_POPULARITY: 0.1166374, DIVERSITY_MEAN_INTER_LIST: 0.9820223, DIVERSITY_HERFINDAHL: 0.9981849, COVERAGE_ITEM: 0.4404081, COVERAGE_ITEM_CORRECT: 0.0387911, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1879703, DIVERSITY_GINI: 0.1368944, SHANNON_ENTROPY: 11.3445893, 
SearchBayesianSkopt-CV: Config 7 is suboptimal. Config: {'alpha': 0.9398795406092607, 'l1_ratio': 0.8960220958040324, 'topK': 422, 'normalize': False} - results: ROC_AUC: 0.1709201, PRECISION: 0.0364067, PRECISION_RECALL_MIN_DEN: 0.1239307, RECALL: 0.1196650, MAP: 0.0584282, MRR: 0.1271007, NDCG: 0.0880094, F1: 0.0558267, HIT_RATE: 0.3640672, ARHR: 0.1473249, NOVELTY: 0.0049167, AVERAGE_POPULARITY: 0.0898317, DIVERSITY_MEAN_INTER_LIST: 0.9897506, DIVERSITY_HERFINDAHL: 0.9989576, COVERAGE_ITEM: 0.4573859, COVERAGE_ITEM_CORRECT: 0.0430568, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1895810, DIVERSITY_GINI: 0.1524244, SHANNON_ENTROPY: 11.7742438, 
SearchBayesianSkopt-CV: Config 8 is suboptimal. Config: {'alpha': 0.4400202122448458, 'l1_ratio': 0.43092240533788406, 'topK': 206, 'normalize': True} - results: ROC_AUC: 0.1707444, PRECISION: 0.0364306, PRECISION_RECALL_MIN_DEN: 0.1233311, RECALL: 0.1190786, MAP: 0.0588593, MRR: 0.1280696, NDCG: 0.0883081, F1: 0.0557893, HIT_RATE: 0.3643055, ARHR: 0.1483799, NOVELTY: 0.0049055, AVERAGE_POPULARITY: 0.0973170, DIVERSITY_MEAN_INTER_LIST: 0.9879547, DIVERSITY_HERFINDAHL: 0.9987780, COVERAGE_ITEM: 0.4657247, COVERAGE_ITEM_CORRECT: 0.0426102, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1892035, DIVERSITY_GINI: 0.1569686, SHANNON_ENTROPY: 11.7314884, 
