
SearchBayesianSkopt-CV: New best config found. Config 0: {'alpha': 0.04497755210102695, 'l1_ratio': 0.5138101035522092, 'topK': 963, 'normalize': True} - results: ROC_AUC: 0.1747174, PRECISION: 0.0367978, PRECISION_RECALL_MIN_DEN: 0.1288291, RECALL: 0.1248197, MAP: 0.0604785, MRR: 0.1295408, NDCG: 0.0910267, F1: 0.0568371, HIT_RATE: 0.3679777, ARHR: 0.1494834, NOVELTY: 0.0047757, AVERAGE_POPULARITY: 0.1191748, DIVERSITY_MEAN_INTER_LIST: 0.9810342, DIVERSITY_HERFINDAHL: 0.9980861, COVERAGE_ITEM: 0.4457363, COVERAGE_ITEM_CORRECT: 0.0407546, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1940858, DIVERSITY_GINI: 0.1345379, SHANNON_ENTROPY: 11.2569918, 

SearchBayesianSkopt-CV: New best config found. Config 1: {'alpha': 0.5493281838180109, 'l1_ratio': 0.2918694932615746, 'topK': 455, 'normalize': True} - results: ROC_AUC: 0.1778122, PRECISION: 0.0375512, PRECISION_RECALL_MIN_DEN: 0.1298153, RECALL: 0.1255399, MAP: 0.0619746, MRR: 0.1324422, NDCG: 0.0926165, F1: 0.0578071, HIT_RATE: 0.3755124, ARHR: 0.1532916, NOVELTY: 0.0048897, AVERAGE_POPULARITY: 0.0938653, DIVERSITY_MEAN_INTER_LIST: 0.9888114, DIVERSITY_HERFINDAHL: 0.9988637, COVERAGE_ITEM: 0.4643542, COVERAGE_ITEM_CORRECT: 0.0449432, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1958727, DIVERSITY_GINI: 0.1543068, SHANNON_ENTROPY: 11.7345035, 

SearchBayesianSkopt-CV: New best config found. Config 2: {'alpha': 0.9335448865374034, 'l1_ratio': 0.7749811343910084, 'topK': 134, 'normalize': True} - results: ROC_AUC: 0.1878994, PRECISION: 0.0405199, PRECISION_RECALL_MIN_DEN: 0.1418361, RECALL: 0.1372933, MAP: 0.0676062, MRR: 0.1412906, NDCG: 0.1005749, F1: 0.0625716, HIT_RATE: 0.4051990, ARHR: 0.1647452, NOVELTY: 0.0049423, AVERAGE_POPULARITY: 0.0847368, DIVERSITY_MEAN_INTER_LIST: 0.9909711, DIVERSITY_HERFINDAHL: 0.9990796, COVERAGE_ITEM: 0.4910876, COVERAGE_ITEM_CORRECT: 0.0533821, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2079024, DIVERSITY_GINI: 0.1761801, SHANNON_ENTROPY: 12.0001125, 
SearchBayesianSkopt-CV: Config 3 is suboptimal. Config: {'alpha': 0.8776590434902116, 'l1_ratio': 0.637114762945663, 'topK': 800, 'normalize': False} - results: ROC_AUC: 0.1842901, PRECISION: 0.0395197, PRECISION_RECALL_MIN_DEN: 0.1390250, RECALL: 0.1347151, MAP: 0.0657767, MRR: 0.1380985, NDCG: 0.0982841, F1: 0.0611100, HIT_RATE: 0.3951971, ARHR: 0.1600475, NOVELTY: 0.0048336, AVERAGE_POPULARITY: 0.1026696, DIVERSITY_MEAN_INTER_LIST: 0.9863105, DIVERSITY_HERFINDAHL: 0.9986136, COVERAGE_ITEM: 0.4452204, COVERAGE_ITEM_CORRECT: 0.0474302, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2051088, DIVERSITY_GINI: 0.1411318, SHANNON_ENTROPY: 11.5232498, 
SearchBayesianSkopt-CV: Config 4 is suboptimal. Config: {'alpha': 0.25785061180800656, 'l1_ratio': 0.8382374170974822, 'topK': 535, 'normalize': True} - results: ROC_AUC: 0.1810450, PRECISION: 0.0385087, PRECISION_RECALL_MIN_DEN: 0.1345094, RECALL: 0.1302473, MAP: 0.0634832, MRR: 0.1348503, NDCG: 0.0951716, F1: 0.0594405, HIT_RATE: 0.3850872, ARHR: 0.1561580, NOVELTY: 0.0048174, AVERAGE_POPULARITY: 0.1086053, DIVERSITY_MEAN_INTER_LIST: 0.9847044, DIVERSITY_HERFINDAHL: 0.9984530, COVERAGE_ITEM: 0.4478537, COVERAGE_ITEM_CORRECT: 0.0448046, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2010067, DIVERSITY_GINI: 0.1405910, SHANNON_ENTROPY: 11.4570528, 
SearchBayesianSkopt-CV: Config 5 is suboptimal. Config: {'alpha': 0.45010472724784356, 'l1_ratio': 0.34070463162983117, 'topK': 425, 'normalize': True} - results: ROC_AUC: 0.1783823, PRECISION: 0.0377806, PRECISION_RECALL_MIN_DEN: 0.1308971, RECALL: 0.1266481, MAP: 0.0624842, MRR: 0.1331068, NDCG: 0.0933270, F1: 0.0581973, HIT_RATE: 0.3778064, ARHR: 0.1541675, NOVELTY: 0.0048778, AVERAGE_POPULARITY: 0.0964892, DIVERSITY_MEAN_INTER_LIST: 0.9881576, DIVERSITY_HERFINDAHL: 0.9987983, COVERAGE_ITEM: 0.4630375, COVERAGE_ITEM_CORRECT: 0.0450433, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1969548, DIVERSITY_GINI: 0.1527647, SHANNON_ENTROPY: 11.6936889, 
SearchBayesianSkopt-CV: Config 6 is suboptimal. Config: {'alpha': 0.44634659003571586, 'l1_ratio': 0.11395969957926425, 'topK': 959, 'normalize': True} - results: ROC_AUC: 0.1750510, PRECISION: 0.0369215, PRECISION_RECALL_MIN_DEN: 0.1280427, RECALL: 0.1239229, MAP: 0.0610015, MRR: 0.1303071, NDCG: 0.0912748, F1: 0.0568911, HIT_RATE: 0.3692147, ARHR: 0.1505626, NOVELTY: 0.0048521, AVERAGE_POPULARITY: 0.1003727, DIVERSITY_MEAN_INTER_LIST: 0.9869527, DIVERSITY_HERFINDAHL: 0.9986778, COVERAGE_ITEM: 0.4565621, COVERAGE_ITEM_CORRECT: 0.0423792, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1932553, DIVERSITY_GINI: 0.1459408, SHANNON_ENTROPY: 11.5738519, 

SearchBayesianSkopt-CV: New best config found. Config 7: {'alpha': 0.9398795406092607, 'l1_ratio': 0.8960220958040324, 'topK': 422, 'normalize': False} - results: ROC_AUC: 0.1922261, PRECISION: 0.0415979, PRECISION_RECALL_MIN_DEN: 0.1466555, RECALL: 0.1421357, MAP: 0.0690249, MRR: 0.1434629, NDCG: 0.1031699, F1: 0.0643579, HIT_RATE: 0.4159791, ARHR: 0.1669990, NOVELTY: 0.0048624, AVERAGE_POPULARITY: 0.0963220, DIVERSITY_MEAN_INTER_LIST: 0.9880940, DIVERSITY_HERFINDAHL: 0.9987919, COVERAGE_ITEM: 0.4632454, COVERAGE_ITEM_CORRECT: 0.0526198, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2145967, DIVERSITY_GINI: 0.1542363, SHANNON_ENTROPY: 11.7095468, 
