
SearchBayesianSkopt-CV: New best config found. Config 0: {'alpha': 0.04497755210102695, 'l1_ratio': 0.5138101035522092, 'topK': 963, 'normalize': True} - results: ROC_AUC: 0.1627991, PRECISION: 0.0342012, PRECISION_RECALL_MIN_DEN: 0.1184185, RECALL: 0.1147180, MAP: 0.0559860, MRR: 0.1207199, NDCG: 0.0842848, F1: 0.0526880, HIT_RATE: 0.3420116, ARHR: 0.1388752, NOVELTY: 0.0048402, AVERAGE_POPULARITY: 0.1159193, DIVERSITY_MEAN_INTER_LIST: 0.9821743, DIVERSITY_HERFINDAHL: 0.9982001, COVERAGE_ITEM: 0.4560462, COVERAGE_ITEM_CORRECT: 0.0368200, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1809488, DIVERSITY_GINI: 0.1504046, SHANNON_ENTROPY: 11.4926784, 

SearchBayesianSkopt-CV: New best config found. Config 1: {'alpha': 0.5493281838180109, 'l1_ratio': 0.2918694932615746, 'topK': 455, 'normalize': True} - results: ROC_AUC: 0.1779021, PRECISION: 0.0380039, PRECISION_RECALL_MIN_DEN: 0.1311583, RECALL: 0.1268649, MAP: 0.0620458, MRR: 0.1325704, NDCG: 0.0930883, F1: 0.0584849, HIT_RATE: 0.3800393, ARHR: 0.1536756, NOVELTY: 0.0048990, AVERAGE_POPULARITY: 0.0931922, DIVERSITY_MEAN_INTER_LIST: 0.9891120, DIVERSITY_HERFINDAHL: 0.9988937, COVERAGE_ITEM: 0.4706910, COVERAGE_ITEM_CORRECT: 0.0452281, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1978860, DIVERSITY_GINI: 0.1591105, SHANNON_ENTROPY: 11.7841616, 

SearchBayesianSkopt-CV: New best config found. Config 2: {'alpha': 0.9335448865374034, 'l1_ratio': 0.7749811343910084, 'topK': 134, 'normalize': True} - results: ROC_AUC: 0.1884264, PRECISION: 0.0407495, PRECISION_RECALL_MIN_DEN: 0.1425054, RECALL: 0.1379468, MAP: 0.0677738, MRR: 0.1415368, NDCG: 0.1009325, F1: 0.0629126, HIT_RATE: 0.4074950, ARHR: 0.1650015, NOVELTY: 0.0049410, AVERAGE_POPULARITY: 0.0845916, DIVERSITY_MEAN_INTER_LIST: 0.9910260, DIVERSITY_HERFINDAHL: 0.9990851, COVERAGE_ITEM: 0.4923349, COVERAGE_ITEM_CORRECT: 0.0537055, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2091607, DIVERSITY_GINI: 0.1767361, SHANNON_ENTROPY: 12.0063011, 

SearchBayesianSkopt-CV: New best config found. Config 3: {'alpha': 0.8776590434902116, 'l1_ratio': 0.637114762945663, 'topK': 800, 'normalize': False} - results: ROC_AUC: 0.1881493, PRECISION: 0.0404490, PRECISION_RECALL_MIN_DEN: 0.1427509, RECALL: 0.1384061, MAP: 0.0678145, MRR: 0.1410176, NDCG: 0.1010186, F1: 0.0626012, HIT_RATE: 0.4044902, ARHR: 0.1636246, NOVELTY: 0.0048698, AVERAGE_POPULARITY: 0.0939077, DIVERSITY_MEAN_INTER_LIST: 0.9885589, DIVERSITY_HERFINDAHL: 0.9988384, COVERAGE_ITEM: 0.4551761, COVERAGE_ITEM_CORRECT: 0.0505486, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2093872, DIVERSITY_GINI: 0.1496571, SHANNON_ENTROPY: 11.6897541, 
SearchBayesianSkopt-CV: Config 4 is suboptimal. Config: {'alpha': 0.25785061180800656, 'l1_ratio': 0.8382374170974822, 'topK': 535, 'normalize': True} - results: ROC_AUC: 0.1783044, PRECISION: 0.0384627, PRECISION_RECALL_MIN_DEN: 0.1329536, RECALL: 0.1287314, MAP: 0.0625576, MRR: 0.1330696, NDCG: 0.0940330, F1: 0.0592268, HIT_RATE: 0.3846271, ARHR: 0.1542626, NOVELTY: 0.0048395, AVERAGE_POPULARITY: 0.1082248, DIVERSITY_MEAN_INTER_LIST: 0.9849151, DIVERSITY_HERFINDAHL: 0.9984741, COVERAGE_ITEM: 0.4557921, COVERAGE_ITEM_CORRECT: 0.0447353, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2001007, DIVERSITY_GINI: 0.1497877, SHANNON_ENTROPY: 11.5575313, 
SearchBayesianSkopt-CV: Config 5 is suboptimal. Config: {'alpha': 0.45010472724784356, 'l1_ratio': 0.34070463162983117, 'topK': 425, 'normalize': True} - results: ROC_AUC: 0.1786502, PRECISION: 0.0382612, PRECISION_RECALL_MIN_DEN: 0.1321890, RECALL: 0.1278516, MAP: 0.0623310, MRR: 0.1333108, NDCG: 0.0936042, F1: 0.0588940, HIT_RATE: 0.3826122, ARHR: 0.1546054, NOVELTY: 0.0048889, AVERAGE_POPULARITY: 0.0960835, DIVERSITY_MEAN_INTER_LIST: 0.9884244, DIVERSITY_HERFINDAHL: 0.9988250, COVERAGE_ITEM: 0.4702984, COVERAGE_ITEM_CORRECT: 0.0453513, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1991443, DIVERSITY_GINI: 0.1585557, SHANNON_ENTROPY: 11.7501958, 
SearchBayesianSkopt-CV: Config 6 is suboptimal. Config: {'alpha': 0.44634659003571586, 'l1_ratio': 0.11395969957926425, 'topK': 959, 'normalize': True} - results: ROC_AUC: 0.1746777, PRECISION: 0.0371299, PRECISION_RECALL_MIN_DEN: 0.1281500, RECALL: 0.1240200, MAP: 0.0607198, MRR: 0.1303713, NDCG: 0.0911454, F1: 0.0571475, HIT_RATE: 0.3712985, ARHR: 0.1506928, NOVELTY: 0.0048752, AVERAGE_POPULARITY: 0.0979411, DIVERSITY_MEAN_INTER_LIST: 0.9878502, DIVERSITY_HERFINDAHL: 0.9987676, COVERAGE_ITEM: 0.4673956, COVERAGE_ITEM_CORRECT: 0.0427257, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1942620, DIVERSITY_GINI: 0.1545645, SHANNON_ENTROPY: 11.6837173, 

