
SearchBayesianSkopt-CV: New best config found. Config 0: {'alpha': 0.04497755210102695, 'l1_ratio': 0.5138101035522092, 'topK': 963, 'normalize': True} - results: ROC_AUC: 0.1744335, PRECISION: 0.0367836, PRECISION_RECALL_MIN_DEN: 0.1288688, RECALL: 0.1248602, MAP: 0.0604079, MRR: 0.1293446, NDCG: 0.0909630, F1: 0.0568245, HIT_RATE: 0.3678358, ARHR: 0.1492250, NOVELTY: 0.0047719, AVERAGE_POPULARITY: 0.1202638, DIVERSITY_MEAN_INTER_LIST: 0.9806328, DIVERSITY_HERFINDAHL: 0.9980460, COVERAGE_ITEM: 0.4447738, COVERAGE_ITEM_CORRECT: 0.0406391, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1941110, DIVERSITY_GINI: 0.1338902, SHANNON_ENTROPY: 11.2387772, 

SearchBayesianSkopt-CV: New best config found. Config 1: {'alpha': 0.5493281838180109, 'l1_ratio': 0.2918694932615746, 'topK': 455, 'normalize': True} - results: ROC_AUC: 0.1792668, PRECISION: 0.0383395, PRECISION_RECALL_MIN_DEN: 0.1333724, RECALL: 0.1291229, MAP: 0.0626529, MRR: 0.1338513, NDCG: 0.0941980, F1: 0.0591224, HIT_RATE: 0.3833952, ARHR: 0.1549730, NOVELTY: 0.0048189, AVERAGE_POPULARITY: 0.1087308, DIVERSITY_MEAN_INTER_LIST: 0.9846615, DIVERSITY_HERFINDAHL: 0.9984487, COVERAGE_ITEM: 0.4492936, COVERAGE_ITEM_CORRECT: 0.0444658, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1998742, DIVERSITY_GINI: 0.1418837, SHANNON_ENTROPY: 11.4670277, 

SearchBayesianSkopt-CV: New best config found. Config 2: {'alpha': 0.9335448865374034, 'l1_ratio': 0.7749811343910084, 'topK': 134, 'normalize': True} - results: ROC_AUC: 0.1923146, PRECISION: 0.0415062, PRECISION_RECALL_MIN_DEN: 0.1459174, RECALL: 0.1413341, MAP: 0.0691587, MRR: 0.1448347, NDCG: 0.1031538, F1: 0.0641672, HIT_RATE: 0.4150622, ARHR: 0.1687305, NOVELTY: 0.0049118, AVERAGE_POPULARITY: 0.0900200, DIVERSITY_MEAN_INTER_LIST: 0.9897878, DIVERSITY_HERFINDAHL: 0.9989613, COVERAGE_ITEM: 0.4894860, COVERAGE_ITEM_CORRECT: 0.0539673, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2139424, DIVERSITY_GINI: 0.1730967, SHANNON_ENTROPY: 11.9227393, 
SearchBayesianSkopt-CV: Config 3 is suboptimal. Config: {'alpha': 0.8776590434902116, 'l1_ratio': 0.637114762945663, 'topK': 800, 'normalize': False} - results: ROC_AUC: 0.1818836, PRECISION: 0.0387735, PRECISION_RECALL_MIN_DEN: 0.1359183, RECALL: 0.1317047, MAP: 0.0638667, MRR: 0.1356289, NDCG: 0.0959241, F1: 0.0599086, HIT_RATE: 0.3877353, ARHR: 0.1570115, NOVELTY: 0.0048010, AVERAGE_POPULARITY: 0.1107048, DIVERSITY_MEAN_INTER_LIST: 0.9840130, DIVERSITY_HERFINDAHL: 0.9983839, COVERAGE_ITEM: 0.4399461, COVERAGE_ITEM_CORRECT: 0.0449278, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2024915, DIVERSITY_GINI: 0.1361482, SHANNON_ENTROPY: 11.3941560, 
SearchBayesianSkopt-CV: Config 4 is suboptimal. Config: {'alpha': 0.25785061180800656, 'l1_ratio': 0.8382374170974822, 'topK': 535, 'normalize': True} - results: ROC_AUC: 0.1810496, PRECISION: 0.0386040, PRECISION_RECALL_MIN_DEN: 0.1350693, RECALL: 0.1308325, MAP: 0.0634892, MRR: 0.1352053, NDCG: 0.0953589, F1: 0.0596149, HIT_RATE: 0.3860400, ARHR: 0.1565149, NOVELTY: 0.0048098, AVERAGE_POPULARITY: 0.1102630, DIVERSITY_MEAN_INTER_LIST: 0.9841774, DIVERSITY_HERFINDAHL: 0.9984003, COVERAGE_ITEM: 0.4458287, COVERAGE_ITEM_CORRECT: 0.0448739, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2015352, DIVERSITY_GINI: 0.1391240, SHANNON_ENTROPY: 11.4256888, 
SearchBayesianSkopt-CV: Config 5 is suboptimal. Config: {'alpha': 0.45010472724784356, 'l1_ratio': 0.34070463162983117, 'topK': 425, 'normalize': True} - results: ROC_AUC: 0.1794131, PRECISION: 0.0383039, PRECISION_RECALL_MIN_DEN: 0.1333802, RECALL: 0.1291370, MAP: 0.0625704, MRR: 0.1336441, NDCG: 0.0941172, F1: 0.0590818, HIT_RATE: 0.3830392, ARHR: 0.1547703, NOVELTY: 0.0048230, AVERAGE_POPULARITY: 0.1082756, DIVERSITY_MEAN_INTER_LIST: 0.9847951, DIVERSITY_HERFINDAHL: 0.9984621, COVERAGE_ITEM: 0.4514649, COVERAGE_ITEM_CORRECT: 0.0445428, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1996225, DIVERSITY_GINI: 0.1432348, SHANNON_ENTROPY: 11.4832683, 
SearchBayesianSkopt-CV: Config 6 is suboptimal. Config: {'alpha': 0.44634659003571586, 'l1_ratio': 0.11395969957926425, 'topK': 959, 'normalize': True} - results: ROC_AUC: 0.1762186, PRECISION: 0.0372433, PRECISION_RECALL_MIN_DEN: 0.1303917, RECALL: 0.1263578, MAP: 0.0611186, MRR: 0.1309213, NDCG: 0.0920567, F1: 0.0575285, HIT_RATE: 0.3724331, ARHR: 0.1511008, NOVELTY: 0.0047874, AVERAGE_POPULARITY: 0.1160289, DIVERSITY_MEAN_INTER_LIST: 0.9821810, DIVERSITY_HERFINDAHL: 0.9982007, COVERAGE_ITEM: 0.4451280, COVERAGE_ITEM_CORRECT: 0.0416477, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1960740, DIVERSITY_GINI: 0.1362320, SHANNON_ENTROPY: 11.3174163, 
SearchBayesianSkopt-CV: Config 7 is suboptimal. Config: {'alpha': 0.9398795406092607, 'l1_ratio': 0.8960220958040324, 'topK': 422, 'normalize': False} - results: ROC_AUC: 0.1905093, PRECISION: 0.0412873, PRECISION_RECALL_MIN_DEN: 0.1451310, RECALL: 0.1406772, MAP: 0.0685761, MRR: 0.1428479, NDCG: 0.1024100, F1: 0.0638365, HIT_RATE: 0.4128731, ARHR: 0.1662357, NOVELTY: 0.0048482, AVERAGE_POPULARITY: 0.0999359, DIVERSITY_MEAN_INTER_LIST: 0.9871668, DIVERSITY_HERFINDAHL: 0.9986992, COVERAGE_ITEM: 0.4570010, COVERAGE_ITEM_CORRECT: 0.0513571, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2129105, DIVERSITY_GINI: 0.1494702, SHANNON_ENTROPY: 11.6332458, 
SearchBayesianSkopt-CV: Config 8 is suboptimal. Config: {'alpha': 0.4400202122448458, 'l1_ratio': 0.43092240533788406, 'topK': 206, 'normalize': True} - results: ROC_AUC: 0.1793896, PRECISION: 0.0384108, PRECISION_RECALL_MIN_DEN: 0.1335288, RECALL: 0.1291867, MAP: 0.0628617, MRR: 0.1339220, NDCG: 0.0943273, F1: 0.0592137, HIT_RATE: 0.3841079, ARHR: 0.1554012, NOVELTY: 0.0048732, AVERAGE_POPULARITY: 0.1005974, DIVERSITY_MEAN_INTER_LIST: 0.9869953, DIVERSITY_HERFINDAHL: 0.9986821, COVERAGE_ITEM: 0.4697748, COVERAGE_ITEM_CORRECT: 0.0463446, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2000000, DIVERSITY_GINI: 0.1573028, SHANNON_ENTROPY: 11.6864041, 
