
SearchBayesianSkopt-CV: New best config found. Config 0: {'alpha': 0.4291750146763885, 'l1_ratio': 0.14046589581983684, 'topK': 496, 'normalize': False} - results: ROC_AUC: 0.1783382, PRECISION: 0.0379467, PRECISION_RECALL_MIN_DEN: 0.1317286, RECALL: 0.1274866, MAP: 0.0619690, MRR: 0.1328531, NDCG: 0.0931999, F1: 0.0584832, HIT_RATE: 0.3794667, ARHR: 0.1537025, NOVELTY: 0.0048130, AVERAGE_POPULARITY: 0.1089396, DIVERSITY_MEAN_INTER_LIST: 0.9848551, DIVERSITY_HERFINDAHL: 0.9984681, COVERAGE_ITEM: 0.4432878, COVERAGE_ITEM_CORRECT: 0.0434264, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1983893, DIVERSITY_GINI: 0.1395297, SHANNON_ENTROPY: 11.4582219, 

SearchBayesianSkopt-CV: New best config found. Config 1: {'alpha': 0.2801641935487785, 'l1_ratio': 0.74907718324387, 'topK': 390, 'normalize': False} - results: ROC_AUC: 0.1879482, PRECISION: 0.0403327, PRECISION_RECALL_MIN_DEN: 0.1410033, RECALL: 0.1365398, MAP: 0.0667694, MRR: 0.1407476, NDCG: 0.0997936, F1: 0.0622699, HIT_RATE: 0.4033272, ARHR: 0.1634697, NOVELTY: 0.0048483, AVERAGE_POPULARITY: 0.0993714, DIVERSITY_MEAN_INTER_LIST: 0.9879030, DIVERSITY_HERFINDAHL: 0.9987728, COVERAGE_ITEM: 0.4492782, COVERAGE_ITEM_CORRECT: 0.0496092, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2087832, DIVERSITY_GINI: 0.1462810, SHANNON_ENTROPY: 11.6438553, 
SearchBayesianSkopt-CV: Config 2 is suboptimal. Config: {'alpha': 0.254780406777615, 'l1_ratio': 0.739793022496421, 'topK': 984, 'normalize': True} - results: ROC_AUC: 0.1878205, PRECISION: 0.0403582, PRECISION_RECALL_MIN_DEN: 0.1412543, RECALL: 0.1368203, MAP: 0.0666685, MRR: 0.1407521, NDCG: 0.0998115, F1: 0.0623293, HIT_RATE: 0.4035822, ARHR: 0.1632262, NOVELTY: 0.0048247, AVERAGE_POPULARITY: 0.1002177, DIVERSITY_MEAN_INTER_LIST: 0.9881055, DIVERSITY_HERFINDAHL: 0.9987931, COVERAGE_ITEM: 0.4348566, COVERAGE_ITEM_CORRECT: 0.0494783, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2091859, DIVERSITY_GINI: 0.1383176, SHANNON_ENTROPY: 11.5870273, 
SearchBayesianSkopt-CV: Config 3 is suboptimal. Config: {'alpha': 0.10466992148733437, 'l1_ratio': 0.08506628665854, 'topK': 109, 'normalize': True} - results: ROC_AUC: 0.1796441, PRECISION: 0.0382515, PRECISION_RECALL_MIN_DEN: 0.1330788, RECALL: 0.1288162, MAP: 0.0629115, MRR: 0.1342314, NDCG: 0.0943683, F1: 0.0589858, HIT_RATE: 0.3825147, ARHR: 0.1549760, NOVELTY: 0.0048841, AVERAGE_POPULARITY: 0.0940049, DIVERSITY_MEAN_INTER_LIST: 0.9896971, DIVERSITY_HERFINDAHL: 0.9989522, COVERAGE_ITEM: 0.4591723, COVERAGE_ITEM_CORRECT: 0.0476458, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1997735, DIVERSITY_GINI: 0.1557578, SHANNON_ENTROPY: 11.8096912, 
SearchBayesianSkopt-CV: Config 4 is suboptimal. Config: {'alpha': 0.09078300247247396, 'l1_ratio': 0.6772322988155293, 'topK': 261, 'normalize': True} - results: ROC_AUC: 0.1832727, PRECISION: 0.0394150, PRECISION_RECALL_MIN_DEN: 0.1373679, RECALL: 0.1328925, MAP: 0.0645793, MRR: 0.1370397, NDCG: 0.0968557, F1: 0.0607970, HIT_RATE: 0.3941505, ARHR: 0.1588999, NOVELTY: 0.0048621, AVERAGE_POPULARITY: 0.0951732, DIVERSITY_MEAN_INTER_LIST: 0.9896018, DIVERSITY_HERFINDAHL: 0.9989427, COVERAGE_ITEM: 0.4452897, COVERAGE_ITEM_CORRECT: 0.0494090, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2044545, DIVERSITY_GINI: 0.1475979, SHANNON_ENTROPY: 11.7466196, 
SearchBayesianSkopt-CV: Config 5 is suboptimal. Config: {'alpha': 0.1361137732705923, 'l1_ratio': 0.2501626736948173, 'topK': 686, 'normalize': True} - results: ROC_AUC: 0.1826099, PRECISION: 0.0394074, PRECISION_RECALL_MIN_DEN: 0.1370620, RECALL: 0.1325958, MAP: 0.0643822, MRR: 0.1367431, NDCG: 0.0965785, F1: 0.0607565, HIT_RATE: 0.3940738, ARHR: 0.1585656, NOVELTY: 0.0048193, AVERAGE_POPULARITY: 0.1013258, DIVERSITY_MEAN_INTER_LIST: 0.9881165, DIVERSITY_HERFINDAHL: 0.9987942, COVERAGE_ITEM: 0.4269105, COVERAGE_ITEM_CORRECT: 0.0475765, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2046810, DIVERSITY_GINI: 0.1345723, SHANNON_ENTROPY: 11.5654449, 
SearchBayesianSkopt-CV: Config 6 is suboptimal. Config: {'alpha': 0.9942764725197886, 'l1_ratio': 0.5790116209446283, 'topK': 81, 'normalize': False} - results: ROC_AUC: 0.1807234, PRECISION: 0.0385838, PRECISION_RECALL_MIN_DEN: 0.1336472, RECALL: 0.1292398, MAP: 0.0636807, MRR: 0.1350471, NDCG: 0.0950598, F1: 0.0594246, HIT_RATE: 0.3858377, ARHR: 0.1567338, NOVELTY: 0.0049438, AVERAGE_POPULARITY: 0.0900979, DIVERSITY_MEAN_INTER_LIST: 0.9897658, DIVERSITY_HERFINDAHL: 0.9989591, COVERAGE_ITEM: 0.4972782, COVERAGE_ITEM_CORRECT: 0.0485159, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2000503, DIVERSITY_GINI: 0.1801967, SHANNON_ENTROPY: 11.9753432, 
SearchBayesianSkopt-CV: Config 7 is suboptimal. Config: {'alpha': 0.5648613369193105, 'l1_ratio': 0.01893913255491442, 'topK': 609, 'normalize': True} - results: ROC_AUC: 0.1792675, PRECISION: 0.0382682, PRECISION_RECALL_MIN_DEN: 0.1327579, RECALL: 0.1284909, MAP: 0.0625792, MRR: 0.1339530, NDCG: 0.0940130, F1: 0.0589709, HIT_RATE: 0.3826815, ARHR: 0.1549128, NOVELTY: 0.0048025, AVERAGE_POPULARITY: 0.1084567, DIVERSITY_MEAN_INTER_LIST: 0.9854504, DIVERSITY_HERFINDAHL: 0.9985276, COVERAGE_ITEM: 0.4327777, COVERAGE_ITEM_CORRECT: 0.0436805, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2003020, DIVERSITY_GINI: 0.1340919, SHANNON_ENTROPY: 11.4380509, 

SearchBayesianSkopt-CV: New best config found. Config 8: {'alpha': 0.5627321466334826, 'l1_ratio': 0.534948348286247, 'topK': 456, 'normalize': True} - results: ROC_AUC: 0.1882971, PRECISION: 0.0406752, PRECISION_RECALL_MIN_DEN: 0.1421550, RECALL: 0.1376502, MAP: 0.0672327, MRR: 0.1414141, NDCG: 0.1005006, F1: 0.0627938, HIT_RATE: 0.4067520, ARHR: 0.1643546, NOVELTY: 0.0048443, AVERAGE_POPULARITY: 0.0992003, DIVERSITY_MEAN_INTER_LIST: 0.9880044, DIVERSITY_HERFINDAHL: 0.9987830, COVERAGE_ITEM: 0.4466603, COVERAGE_ITEM_CORRECT: 0.0501482, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2098402, DIVERSITY_GINI: 0.1448367, SHANNON_ENTROPY: 11.6354844, 
