
SearchBayesianSkopt-CV: New best config found. Config 0: {'alpha': 0.04497755210102695, 'l1_ratio': 0.5138101035522092, 'topK': 963, 'normalize': True} - results: ROC_AUC: 0.1619917, PRECISION: 0.0339468, PRECISION_RECALL_MIN_DEN: 0.1179398, RECALL: 0.1142729, MAP: 0.0556639, MRR: 0.1198594, NDCG: 0.0838312, F1: 0.0523395, HIT_RATE: 0.3394677, ARHR: 0.1377030, NOVELTY: 0.0048299, AVERAGE_POPULARITY: 0.1174139, DIVERSITY_MEAN_INTER_LIST: 0.9816272, DIVERSITY_HERFINDAHL: 0.9981454, COVERAGE_ITEM: 0.4467757, COVERAGE_ITEM_CORRECT: 0.0364966, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1800428, DIVERSITY_GINI: 0.1465026, SHANNON_ENTROPY: 11.4563412, 

SearchBayesianSkopt-CV: New best config found. Config 1: {'alpha': 0.5493281838180109, 'l1_ratio': 0.2918694932615746, 'topK': 455, 'normalize': True} - results: ROC_AUC: 0.1779155, PRECISION: 0.0383361, PRECISION_RECALL_MIN_DEN: 0.1331582, RECALL: 0.1289517, MAP: 0.0625969, MRR: 0.1336798, NDCG: 0.0940994, F1: 0.0591001, HIT_RATE: 0.3833612, ARHR: 0.1547874, NOVELTY: 0.0048236, AVERAGE_POPULARITY: 0.1093140, DIVERSITY_MEAN_INTER_LIST: 0.9845212, DIVERSITY_HERFINDAHL: 0.9984347, COVERAGE_ITEM: 0.4485775, COVERAGE_ITEM_CORRECT: 0.0441963, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2000252, DIVERSITY_GINI: 0.1439754, SHANNON_ENTROPY: 11.4888099, 

SearchBayesianSkopt-CV: New best config found. Config 2: {'alpha': 0.9335448865374034, 'l1_ratio': 0.7749811343910084, 'topK': 134, 'normalize': True} - results: ROC_AUC: 0.1930816, PRECISION: 0.0417323, PRECISION_RECALL_MIN_DEN: 0.1468131, RECALL: 0.1422357, MAP: 0.0694767, MRR: 0.1454463, NDCG: 0.1036838, F1: 0.0645302, HIT_RATE: 0.4173230, ARHR: 0.1693866, NOVELTY: 0.0049089, AVERAGE_POPULARITY: 0.0901245, DIVERSITY_MEAN_INTER_LIST: 0.9897826, DIVERSITY_HERFINDAHL: 0.9989608, COVERAGE_ITEM: 0.4908489, COVERAGE_ITEM_CORRECT: 0.0541752, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2150497, DIVERSITY_GINI: 0.1735555, SHANNON_ENTROPY: 11.9243400, 
SearchBayesianSkopt-CV: Config 3 is suboptimal. Config: {'alpha': 0.8776590434902116, 'l1_ratio': 0.637114762945663, 'topK': 800, 'normalize': False} - results: ROC_AUC: 0.1845554, PRECISION: 0.0395158, PRECISION_RECALL_MIN_DEN: 0.1385032, RECALL: 0.1341966, MAP: 0.0649417, MRR: 0.1372657, NDCG: 0.0975414, F1: 0.0610519, HIT_RATE: 0.3951583, ARHR: 0.1591708, NOVELTY: 0.0048097, AVERAGE_POPULARITY: 0.1083442, DIVERSITY_MEAN_INTER_LIST: 0.9847857, DIVERSITY_HERFINDAHL: 0.9984612, COVERAGE_ITEM: 0.4412474, COVERAGE_ITEM_CORRECT: 0.0465371, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2057128, DIVERSITY_GINI: 0.1378108, SHANNON_ENTROPY: 11.4396419, 
SearchBayesianSkopt-CV: Config 4 is suboptimal. Config: {'alpha': 0.25785061180800656, 'l1_ratio': 0.8382374170974822, 'topK': 535, 'normalize': True} - results: ROC_AUC: 0.1777242, PRECISION: 0.0382509, PRECISION_RECALL_MIN_DEN: 0.1323514, RECALL: 0.1281350, MAP: 0.0622388, MRR: 0.1321237, NDCG: 0.0935406, F1: 0.0589119, HIT_RATE: 0.3825089, ARHR: 0.1531907, NOVELTY: 0.0048304, AVERAGE_POPULARITY: 0.1103108, DIVERSITY_MEAN_INTER_LIST: 0.9842152, DIVERSITY_HERFINDAHL: 0.9984041, COVERAGE_ITEM: 0.4519577, COVERAGE_ITEM_CORRECT: 0.0442425, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1988172, DIVERSITY_GINI: 0.1476935, SHANNON_ENTROPY: 11.5194959, 
SearchBayesianSkopt-CV: Config 5 is suboptimal. Config: {'alpha': 0.45010472724784356, 'l1_ratio': 0.34070463162983117, 'topK': 425, 'normalize': True} - results: ROC_AUC: 0.1770794, PRECISION: 0.0381696, PRECISION_RECALL_MIN_DEN: 0.1322356, RECALL: 0.1280447, MAP: 0.0621319, MRR: 0.1327649, NDCG: 0.0934456, F1: 0.0588061, HIT_RATE: 0.3816963, ARHR: 0.1537137, NOVELTY: 0.0048300, AVERAGE_POPULARITY: 0.1090134, DIVERSITY_MEAN_INTER_LIST: 0.9845997, DIVERSITY_HERFINDAHL: 0.9984426, COVERAGE_ITEM: 0.4504408, COVERAGE_ITEM_CORRECT: 0.0439423, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1992702, DIVERSITY_GINI: 0.1458140, SHANNON_ENTROPY: 11.5100199, 
SearchBayesianSkopt-CV: Config 6 is suboptimal. Config: {'alpha': 0.44634659003571586, 'l1_ratio': 0.11395969957926425, 'topK': 959, 'normalize': True} - results: ROC_AUC: 0.1730140, PRECISION: 0.0367873, PRECISION_RECALL_MIN_DEN: 0.1281239, RECALL: 0.1241457, MAP: 0.0600282, MRR: 0.1291116, NDCG: 0.0905336, F1: 0.0567530, HIT_RATE: 0.3678727, ARHR: 0.1489837, NOVELTY: 0.0048054, AVERAGE_POPULARITY: 0.1151923, DIVERSITY_MEAN_INTER_LIST: 0.9825783, DIVERSITY_HERFINDAHL: 0.9982405, COVERAGE_ITEM: 0.4433571, COVERAGE_ITEM_CORRECT: 0.0407623, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1934818, DIVERSITY_GINI: 0.1405354, SHANNON_ENTROPY: 11.3972605, 
SearchBayesianSkopt-CV: Config 7 is suboptimal. Config: {'alpha': 0.9398795406092607, 'l1_ratio': 0.8960220958040324, 'topK': 422, 'normalize': False} - results: ROC_AUC: 0.1929508, PRECISION: 0.0418698, PRECISION_RECALL_MIN_DEN: 0.1476935, RECALL: 0.1431738, MAP: 0.0692636, MRR: 0.1440061, NDCG: 0.1036873, F1: 0.0647903, HIT_RATE: 0.4186980, ARHR: 0.1677347, NOVELTY: 0.0048561, AVERAGE_POPULARITY: 0.0971330, DIVERSITY_MEAN_INTER_LIST: 0.9878724, DIVERSITY_HERFINDAHL: 0.9987698, COVERAGE_ITEM: 0.4624447, COVERAGE_ITEM_CORRECT: 0.0529432, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2154775, DIVERSITY_GINI: 0.1534341, SHANNON_ENTROPY: 11.6934745, 
SearchBayesianSkopt-CV: Config 8 is suboptimal. Config: {'alpha': 0.4400202122448458, 'l1_ratio': 0.43092240533788406, 'topK': 206, 'normalize': True} - results: ROC_AUC: 0.1778993, PRECISION: 0.0384946, PRECISION_RECALL_MIN_DEN: 0.1327571, RECALL: 0.1283879, MAP: 0.0625036, MRR: 0.1336919, NDCG: 0.0939301, F1: 0.0592274, HIT_RATE: 0.3849461, ARHR: 0.1550353, NOVELTY: 0.0048671, AVERAGE_POPULARITY: 0.1026334, DIVERSITY_MEAN_INTER_LIST: 0.9865400, DIVERSITY_HERFINDAHL: 0.9986366, COVERAGE_ITEM: 0.4624524, COVERAGE_ITEM_CORRECT: 0.0458826, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1997735, DIVERSITY_GINI: 0.1555559, SHANNON_ENTROPY: 11.6650664, 
