
SearchBayesianSkopt-CV: New best config found. Config 0: {'alpha': 0.4291750146763885, 'l1_ratio': 0.14046589581983684, 'topK': 496, 'normalize': False} - results: ROC_AUC: 0.1773226, PRECISION: 0.0376919, PRECISION_RECALL_MIN_DEN: 0.1310384, RECALL: 0.1268379, MAP: 0.0616335, MRR: 0.1321021, NDCG: 0.0926854, F1: 0.0581125, HIT_RATE: 0.3769187, ARHR: 0.1527244, NOVELTY: 0.0048120, AVERAGE_POPULARITY: 0.1109572, DIVERSITY_MEAN_INTER_LIST: 0.9840613, DIVERSITY_HERFINDAHL: 0.9983887, COVERAGE_ITEM: 0.4515727, COVERAGE_ITEM_CORRECT: 0.0429721, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1974582, DIVERSITY_GINI: 0.1412609, SHANNON_ENTROPY: 11.4315185, 

SearchBayesianSkopt-CV: New best config found. Config 1: {'alpha': 0.2801641935487785, 'l1_ratio': 0.74907718324387, 'topK': 390, 'normalize': False} - results: ROC_AUC: 0.1863177, PRECISION: 0.0400073, PRECISION_RECALL_MIN_DEN: 0.1398154, RECALL: 0.1353918, MAP: 0.0661288, MRR: 0.1395203, NDCG: 0.0989052, F1: 0.0617625, HIT_RATE: 0.4000727, ARHR: 0.1619576, NOVELTY: 0.0048434, AVERAGE_POPULARITY: 0.1012835, DIVERSITY_MEAN_INTER_LIST: 0.9873221, DIVERSITY_HERFINDAHL: 0.9987148, COVERAGE_ITEM: 0.4492551, COVERAGE_ITEM_CORRECT: 0.0488470, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2073235, DIVERSITY_GINI: 0.1452893, SHANNON_ENTROPY: 11.6105306, 

SearchBayesianSkopt-CV: New best config found. Config 2: {'alpha': 0.254780406777615, 'l1_ratio': 0.739793022496421, 'topK': 984, 'normalize': True} - results: ROC_AUC: 0.1875037, PRECISION: 0.0402911, PRECISION_RECALL_MIN_DEN: 0.1410641, RECALL: 0.1366328, MAP: 0.0665731, MRR: 0.1404992, NDCG: 0.0996720, F1: 0.0622300, HIT_RATE: 0.4029106, ARHR: 0.1628785, NOVELTY: 0.0048221, AVERAGE_POPULARITY: 0.1008382, DIVERSITY_MEAN_INTER_LIST: 0.9879292, DIVERSITY_HERFINDAHL: 0.9987755, COVERAGE_ITEM: 0.4346256, COVERAGE_ITEM_CORRECT: 0.0493474, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2087832, DIVERSITY_GINI: 0.1379103, SHANNON_ENTROPY: 11.5754144, 
SearchBayesianSkopt-CV: Config 3 is suboptimal. Config: {'alpha': 0.10466992148733437, 'l1_ratio': 0.08506628665854, 'topK': 109, 'normalize': True} - results: ROC_AUC: 0.1797396, PRECISION: 0.0382479, PRECISION_RECALL_MIN_DEN: 0.1330888, RECALL: 0.1288190, MAP: 0.0629237, MRR: 0.1340647, NDCG: 0.0943598, F1: 0.0589820, HIT_RATE: 0.3824793, ARHR: 0.1548441, NOVELTY: 0.0048844, AVERAGE_POPULARITY: 0.0943615, DIVERSITY_MEAN_INTER_LIST: 0.9895973, DIVERSITY_HERFINDAHL: 0.9989422, COVERAGE_ITEM: 0.4607430, COVERAGE_ITEM_CORRECT: 0.0476458, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1997232, DIVERSITY_GINI: 0.1562035, SHANNON_ENTROPY: 11.8069666, 
SearchBayesianSkopt-CV: Config 4 is suboptimal. Config: {'alpha': 0.09078300247247396, 'l1_ratio': 0.6772322988155293, 'topK': 261, 'normalize': True} - results: ROC_AUC: 0.1832226, PRECISION: 0.0393621, PRECISION_RECALL_MIN_DEN: 0.1371955, RECALL: 0.1327394, MAP: 0.0644845, MRR: 0.1369722, NDCG: 0.0967424, F1: 0.0607178, HIT_RATE: 0.3936205, ARHR: 0.1587868, NOVELTY: 0.0048622, AVERAGE_POPULARITY: 0.0953250, DIVERSITY_MEAN_INTER_LIST: 0.9895653, DIVERSITY_HERFINDAHL: 0.9989390, COVERAGE_ITEM: 0.4458133, COVERAGE_ITEM_CORRECT: 0.0493551, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2042783, DIVERSITY_GINI: 0.1478266, SHANNON_ENTROPY: 11.7465917, 
SearchBayesianSkopt-CV: Config 5 is suboptimal. Config: {'alpha': 0.1361137732705923, 'l1_ratio': 0.2501626736948173, 'topK': 686, 'normalize': True} - results: ROC_AUC: 0.1820741, PRECISION: 0.0392662, PRECISION_RECALL_MIN_DEN: 0.1368250, RECALL: 0.1323938, MAP: 0.0642311, MRR: 0.1363091, NDCG: 0.0963600, F1: 0.0605677, HIT_RATE: 0.3926619, ARHR: 0.1580229, NOVELTY: 0.0048190, AVERAGE_POPULARITY: 0.1017063, DIVERSITY_MEAN_INTER_LIST: 0.9880136, DIVERSITY_HERFINDAHL: 0.9987839, COVERAGE_ITEM: 0.4283041, COVERAGE_ITEM_CORRECT: 0.0474225, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2040015, DIVERSITY_GINI: 0.1348499, SHANNON_ENTROPY: 11.5619271, 
SearchBayesianSkopt-CV: Config 6 is suboptimal. Config: {'alpha': 0.9942764725197886, 'l1_ratio': 0.5790116209446283, 'topK': 81, 'normalize': False} - results: ROC_AUC: 0.1799530, PRECISION: 0.0381980, PRECISION_RECALL_MIN_DEN: 0.1323780, RECALL: 0.1280336, MAP: 0.0633000, MRR: 0.1346736, NDCG: 0.0944106, F1: 0.0588398, HIT_RATE: 0.3819797, ARHR: 0.1560592, NOVELTY: 0.0049310, AVERAGE_POPULARITY: 0.0932954, DIVERSITY_MEAN_INTER_LIST: 0.9888631, DIVERSITY_HERFINDAHL: 0.9988688, COVERAGE_ITEM: 0.4984639, COVERAGE_ITEM_CORRECT: 0.0474379, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1984900, DIVERSITY_GINI: 0.1778520, SHANNON_ENTROPY: 11.9088427, 
SearchBayesianSkopt-CV: Config 7 is suboptimal. Config: {'alpha': 0.5648613369193105, 'l1_ratio': 0.01893913255491442, 'topK': 609, 'normalize': True} - results: ROC_AUC: 0.1785476, PRECISION: 0.0381336, PRECISION_RECALL_MIN_DEN: 0.1326507, RECALL: 0.1284176, MAP: 0.0625347, MRR: 0.1336725, NDCG: 0.0938821, F1: 0.0588027, HIT_RATE: 0.3813362, ARHR: 0.1545327, NOVELTY: 0.0048059, AVERAGE_POPULARITY: 0.1089215, DIVERSITY_MEAN_INTER_LIST: 0.9852504, DIVERSITY_HERFINDAHL: 0.9985076, COVERAGE_ITEM: 0.4387757, COVERAGE_ITEM_CORRECT: 0.0437421, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1997483, DIVERSITY_GINI: 0.1357387, SHANNON_ENTROPY: 11.4379309, 

