
SearchBayesianSkopt-CV: New best config found. Config 0: {'alpha': 0.04497755210102695, 'l1_ratio': 0.5138101035522092, 'topK': 963, 'normalize': True} - results: ROC_AUC: 0.1617884, PRECISION: 0.0339042, PRECISION_RECALL_MIN_DEN: 0.1178839, RECALL: 0.1142295, MAP: 0.0555513, MRR: 0.1196381, NDCG: 0.0837194, F1: 0.0522844, HIT_RATE: 0.3390423, ARHR: 0.1374641, NOVELTY: 0.0048309, AVERAGE_POPULARITY: 0.1176104, DIVERSITY_MEAN_INTER_LIST: 0.9815409, DIVERSITY_HERFINDAHL: 0.9981367, COVERAGE_ITEM: 0.4484543, COVERAGE_ITEM_CORRECT: 0.0364504, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1799169, DIVERSITY_GINI: 0.1470419, SHANNON_ENTROPY: 11.4560324, 

SearchBayesianSkopt-CV: New best config found. Config 1: {'alpha': 0.5493281838180109, 'l1_ratio': 0.2918694932615746, 'topK': 455, 'normalize': True} - results: ROC_AUC: 0.1784773, PRECISION: 0.0383997, PRECISION_RECALL_MIN_DEN: 0.1334023, RECALL: 0.1291474, MAP: 0.0627559, MRR: 0.1340496, NDCG: 0.0943010, F1: 0.0591961, HIT_RATE: 0.3839966, ARHR: 0.1552017, NOVELTY: 0.0048189, AVERAGE_POPULARITY: 0.1114795, DIVERSITY_MEAN_INTER_LIST: 0.9838361, DIVERSITY_HERFINDAHL: 0.9983662, COVERAGE_ITEM: 0.4515034, COVERAGE_ITEM_CORRECT: 0.0441424, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2002768, DIVERSITY_GINI: 0.1441970, SHANNON_ENTROPY: 11.4636625, 

SearchBayesianSkopt-CV: New best config found. Config 2: {'alpha': 0.9335448865374034, 'l1_ratio': 0.7749811343910084, 'topK': 134, 'normalize': True} - results: ROC_AUC: 0.1929419, PRECISION: 0.0416756, PRECISION_RECALL_MIN_DEN: 0.1469794, RECALL: 0.1424145, MAP: 0.0694452, MRR: 0.1450858, NDCG: 0.1036520, F1: 0.0644806, HIT_RATE: 0.4167563, ARHR: 0.1689677, NOVELTY: 0.0049060, AVERAGE_POPULARITY: 0.0906777, DIVERSITY_MEAN_INTER_LIST: 0.9896245, DIVERSITY_HERFINDAHL: 0.9989450, COVERAGE_ITEM: 0.4906102, COVERAGE_ITEM_CORRECT: 0.0540597, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2148232, DIVERSITY_GINI: 0.1731564, SHANNON_ENTROPY: 11.9139240, 
SearchBayesianSkopt-CV: Config 3 is suboptimal. Config: {'alpha': 0.8776590434902116, 'l1_ratio': 0.637114762945663, 'topK': 800, 'normalize': False} - results: ROC_AUC: 0.1821374, PRECISION: 0.0386745, PRECISION_RECALL_MIN_DEN: 0.1361179, RECALL: 0.1319053, MAP: 0.0640837, MRR: 0.1353940, NDCG: 0.0960823, F1: 0.0598102, HIT_RATE: 0.3867446, ARHR: 0.1565703, NOVELTY: 0.0047879, AVERAGE_POPULARITY: 0.1137589, DIVERSITY_MEAN_INTER_LIST: 0.9829158, DIVERSITY_HERFINDAHL: 0.9982742, COVERAGE_ITEM: 0.4378364, COVERAGE_ITEM_CORRECT: 0.0447045, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2025922, DIVERSITY_GINI: 0.1335427, SHANNON_ENTROPY: 11.3298914, 
SearchBayesianSkopt-CV: Config 4 is suboptimal. Config: {'alpha': 0.25785061180800656, 'l1_ratio': 0.8382374170974822, 'topK': 535, 'normalize': True} - results: ROC_AUC: 0.1778590, PRECISION: 0.0382577, PRECISION_RECALL_MIN_DEN: 0.1325005, RECALL: 0.1282908, MAP: 0.0623440, MRR: 0.1324222, NDCG: 0.0936890, F1: 0.0589363, HIT_RATE: 0.3825768, ARHR: 0.1534496, NOVELTY: 0.0048286, AVERAGE_POPULARITY: 0.1108425, DIVERSITY_MEAN_INTER_LIST: 0.9840522, DIVERSITY_HERFINDAHL: 0.9983878, COVERAGE_ITEM: 0.4519500, COVERAGE_ITEM_CORRECT: 0.0442502, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1990688, DIVERSITY_GINI: 0.1474852, SHANNON_ENTROPY: 11.5119501, 
SearchBayesianSkopt-CV: Config 5 is suboptimal. Config: {'alpha': 0.45010472724784356, 'l1_ratio': 0.34070463162983117, 'topK': 425, 'normalize': True} - results: ROC_AUC: 0.1770237, PRECISION: 0.0382685, PRECISION_RECALL_MIN_DEN: 0.1327904, RECALL: 0.1285798, MAP: 0.0623121, MRR: 0.1327848, NDCG: 0.0937221, F1: 0.0589799, HIT_RATE: 0.3826845, ARHR: 0.1537430, NOVELTY: 0.0048257, AVERAGE_POPULARITY: 0.1109783, DIVERSITY_MEAN_INTER_LIST: 0.9840000, DIVERSITY_HERFINDAHL: 0.9983826, COVERAGE_ITEM: 0.4527045, COVERAGE_ITEM_CORRECT: 0.0440038, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1996225, DIVERSITY_GINI: 0.1459317, SHANNON_ENTROPY: 11.4878186, 
SearchBayesianSkopt-CV: Config 6 is suboptimal. Config: {'alpha': 0.44634659003571586, 'l1_ratio': 0.11395969957926425, 'topK': 959, 'normalize': True} - results: ROC_AUC: 0.1723062, PRECISION: 0.0365294, PRECISION_RECALL_MIN_DEN: 0.1274003, RECALL: 0.1234736, MAP: 0.0599763, MRR: 0.1286089, NDCG: 0.0902706, F1: 0.0563757, HIT_RATE: 0.3652943, ARHR: 0.1483575, NOVELTY: 0.0047939, AVERAGE_POPULARITY: 0.1188961, DIVERSITY_MEAN_INTER_LIST: 0.9812134, DIVERSITY_HERFINDAHL: 0.9981040, COVERAGE_ITEM: 0.4463215, COVERAGE_ITEM_CORRECT: 0.0401386, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1923745, DIVERSITY_GINI: 0.1395587, SHANNON_ENTROPY: 11.3321013, 
SearchBayesianSkopt-CV: Config 7 is suboptimal. Config: {'alpha': 0.9398795406092607, 'l1_ratio': 0.8960220958040324, 'topK': 422, 'normalize': False} - results: ROC_AUC: 0.1919085, PRECISION: 0.0415698, PRECISION_RECALL_MIN_DEN: 0.1464094, RECALL: 0.1419094, MAP: 0.0690476, MRR: 0.1434913, NDCG: 0.1031441, F1: 0.0643010, HIT_RATE: 0.4156979, ARHR: 0.1670689, NOVELTY: 0.0048481, AVERAGE_POPULARITY: 0.0997861, DIVERSITY_MEAN_INTER_LIST: 0.9871862, DIVERSITY_HERFINDAHL: 0.9987012, COVERAGE_ITEM: 0.4603734, COVERAGE_ITEM_CORRECT: 0.0519808, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2142444, DIVERSITY_GINI: 0.1513247, SHANNON_ENTROPY: 11.6482856, 
SearchBayesianSkopt-CV: Config 8 is suboptimal. Config: {'alpha': 0.4400202122448458, 'l1_ratio': 0.43092240533788406, 'topK': 206, 'normalize': True} - results: ROC_AUC: 0.1778639, PRECISION: 0.0385971, PRECISION_RECALL_MIN_DEN: 0.1331741, RECALL: 0.1287952, MAP: 0.0626662, MRR: 0.1338298, NDCG: 0.0941492, F1: 0.0593914, HIT_RATE: 0.3859713, ARHR: 0.1551828, NOVELTY: 0.0048654, AVERAGE_POPULARITY: 0.1034169, DIVERSITY_MEAN_INTER_LIST: 0.9862833, DIVERSITY_HERFINDAHL: 0.9986109, COVERAGE_ITEM: 0.4644158, COVERAGE_ITEM_CORRECT: 0.0458749, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1999748, DIVERSITY_GINI: 0.1557686, SHANNON_ENTROPY: 11.6538252, 
