
SearchBayesianSkopt-CV: New best config found. Config 0: {'alpha': 0.3178114114360045, 'l1_ratio': 0.1356473118261621, 'topK': 41, 'normalize': False} - results: ROC_AUC: 0.1706427, PRECISION: 0.0358276, PRECISION_RECALL_MIN_DEN: 0.1235763, RECALL: 0.1194249, MAP: 0.0592888, MRR: 0.1263956, NDCG: 0.0884766, F1: 0.0551167, HIT_RATE: 0.3582765, ARHR: 0.1460421, NOVELTY: 0.0049801, AVERAGE_POPULARITY: 0.0891935, DIVERSITY_MEAN_INTER_LIST: 0.9896939, DIVERSITY_HERFINDAHL: 0.9989519, COVERAGE_ITEM: 0.5288085, COVERAGE_ITEM_CORRECT: 0.0442733, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1875928, DIVERSITY_GINI: 0.1991971, SHANNON_ENTROPY: 12.0746190, 

SearchBayesianSkopt-CV: New best config found. Config 1: {'alpha': 0.9662964763611881, 'l1_ratio': 0.1067435912668854, 'topK': 296, 'normalize': True} - results: ROC_AUC: 0.1751187, PRECISION: 0.0374373, PRECISION_RECALL_MIN_DEN: 0.1292195, RECALL: 0.1249975, MAP: 0.0608665, MRR: 0.1305641, NDCG: 0.0915073, F1: 0.0576165, HIT_RATE: 0.3743728, ARHR: 0.1511800, NOVELTY: 0.0048509, AVERAGE_POPULARITY: 0.1061789, DIVERSITY_MEAN_INTER_LIST: 0.9853269, DIVERSITY_HERFINDAHL: 0.9985153, COVERAGE_ITEM: 0.4705679, COVERAGE_ITEM_CORRECT: 0.0434572, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1955203, DIVERSITY_GINI: 0.1535557, SHANNON_ENTROPY: 11.5766950, 

SearchBayesianSkopt-CV: New best config found. Config 2: {'alpha': 0.6070057087018691, 'l1_ratio': 0.487754460693115, 'topK': 912, 'normalize': True} - results: ROC_AUC: 0.1782008, PRECISION: 0.0377729, PRECISION_RECALL_MIN_DEN: 0.1317929, RECALL: 0.1276597, MAP: 0.0620450, MRR: 0.1329819, NDCG: 0.0932746, F1: 0.0582946, HIT_RATE: 0.3777289, ARHR: 0.1534659, NOVELTY: 0.0047927, AVERAGE_POPULARITY: 0.1119394, DIVERSITY_MEAN_INTER_LIST: 0.9842091, DIVERSITY_HERFINDAHL: 0.9984035, COVERAGE_ITEM: 0.4364350, COVERAGE_ITEM_CORRECT: 0.0426025, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1987417, DIVERSITY_GINI: 0.1336159, SHANNON_ENTROPY: 11.3771139, 
SearchBayesianSkopt-CV: Config 3 is suboptimal. Config: {'alpha': 0.7851059858682912, 'l1_ratio': 0.6692952375892629, 'topK': 565, 'normalize': True} - results: ROC_AUC: 0.1772771, PRECISION: 0.0377659, PRECISION_RECALL_MIN_DEN: 0.1308405, RECALL: 0.1266430, MAP: 0.0617350, MRR: 0.1323873, NDCG: 0.0927415, F1: 0.0581796, HIT_RATE: 0.3776594, ARHR: 0.1531025, NOVELTY: 0.0048084, AVERAGE_POPULARITY: 0.1104334, DIVERSITY_MEAN_INTER_LIST: 0.9844235, DIVERSITY_HERFINDAHL: 0.9984250, COVERAGE_ITEM: 0.4454668, COVERAGE_ITEM_CORRECT: 0.0427873, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1974833, DIVERSITY_GINI: 0.1389712, SHANNON_ENTROPY: 11.4280109, 
SearchBayesianSkopt-CV: Config 4 is suboptimal. Config: {'alpha': 0.7063007222255365, 'l1_ratio': 0.14783498822591837, 'topK': 763, 'normalize': True} - results: ROC_AUC: 0.1768151, PRECISION: 0.0375962, PRECISION_RECALL_MIN_DEN: 0.1308957, RECALL: 0.1267465, MAP: 0.0616603, MRR: 0.1320588, NDCG: 0.0926501, F1: 0.0579890, HIT_RATE: 0.3759619, ARHR: 0.1524821, NOVELTY: 0.0047928, AVERAGE_POPULARITY: 0.1129340, DIVERSITY_MEAN_INTER_LIST: 0.9837070, DIVERSITY_HERFINDAHL: 0.9983533, COVERAGE_ITEM: 0.4407469, COVERAGE_ITEM_CORRECT: 0.0422945, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1974582, DIVERSITY_GINI: 0.1348049, SHANNON_ENTROPY: 11.3627984, 
SearchBayesianSkopt-CV: Config 5 is suboptimal. Config: {'alpha': 0.37895609438207345, 'l1_ratio': 0.7451829446665567, 'topK': 957, 'normalize': False} - results: ROC_AUC: 0.1768092, PRECISION: 0.0373634, PRECISION_RECALL_MIN_DEN: 0.1302295, RECALL: 0.1261781, MAP: 0.0612523, MRR: 0.1316071, NDCG: 0.0922052, F1: 0.0576525, HIT_RATE: 0.3736337, ARHR: 0.1518836, NOVELTY: 0.0047974, AVERAGE_POPULARITY: 0.1134296, DIVERSITY_MEAN_INTER_LIST: 0.9833395, DIVERSITY_HERFINDAHL: 0.9983166, COVERAGE_ITEM: 0.4447738, COVERAGE_ITEM_CORRECT: 0.0417863, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1966528, DIVERSITY_GINI: 0.1373069, SHANNON_ENTROPY: 11.3705009, 

SearchBayesianSkopt-CV: New best config found. Config 6: {'alpha': 0.25254769900236823, 'l1_ratio': 0.8802051691683453, 'topK': 431, 'normalize': True} - results: ROC_AUC: 0.1802205, PRECISION: 0.0389933, PRECISION_RECALL_MIN_DEN: 0.1352636, RECALL: 0.1307897, MAP: 0.0633698, MRR: 0.1348530, NDCG: 0.0952021, F1: 0.0600751, HIT_RATE: 0.3899333, ARHR: 0.1563239, NOVELTY: 0.0048299, AVERAGE_POPULARITY: 0.1010559, DIVERSITY_MEAN_INTER_LIST: 0.9880342, DIVERSITY_HERFINDAHL: 0.9987860, COVERAGE_ITEM: 0.4321001, COVERAGE_ITEM_CORRECT: 0.0464447, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2028942, DIVERSITY_GINI: 0.1372598, SHANNON_ENTROPY: 11.5846213, 
SearchBayesianSkopt-CV: Config 7 is suboptimal. Config: {'alpha': 0.11267114465381525, 'l1_ratio': 0.34054430411717623, 'topK': 296, 'normalize': False} - results: ROC_AUC: 0.1786279, PRECISION: 0.0381665, PRECISION_RECALL_MIN_DEN: 0.1322996, RECALL: 0.1280112, MAP: 0.0625407, MRR: 0.1335987, NDCG: 0.0937668, F1: 0.0588000, HIT_RATE: 0.3816647, ARHR: 0.1547039, NOVELTY: 0.0048496, AVERAGE_POPULARITY: 0.1023409, DIVERSITY_MEAN_INTER_LIST: 0.9871016, DIVERSITY_HERFINDAHL: 0.9986927, COVERAGE_ITEM: 0.4542907, COVERAGE_ITEM_CORRECT: 0.0451434, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1992702, DIVERSITY_GINI: 0.1473785, SHANNON_ENTROPY: 11.6158106, 
