
SearchBayesianSkopt-CV: New best config found. Config 0: {'alpha': 0.04497755210102695, 'l1_ratio': 0.5138101035522092, 'topK': 963, 'normalize': True} - results: ROC_AUC: 0.1579112, PRECISION: 0.0330454, PRECISION_RECALL_MIN_DEN: 0.1129999, RECALL: 0.1093799, MAP: 0.0533915, MRR: 0.1166103, NDCG: 0.0806834, F1: 0.0507531, HIT_RATE: 0.3304545, ARHR: 0.1339478, NOVELTY: 0.0048455, AVERAGE_POPULARITY: 0.1177827, DIVERSITY_MEAN_INTER_LIST: 0.9813915, DIVERSITY_HERFINDAHL: 0.9981218, COVERAGE_ITEM: 0.4445890, COVERAGE_ITEM_CORRECT: 0.0347565, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1752359, DIVERSITY_GINI: 0.1446493, SHANNON_ENTROPY: 11.4373328, 

SearchBayesianSkopt-CV: New best config found. Config 1: {'alpha': 0.5493281838180109, 'l1_ratio': 0.2918694932615746, 'topK': 455, 'normalize': True} - results: ROC_AUC: 0.1702624, PRECISION: 0.0364377, PRECISION_RECALL_MIN_DEN: 0.1241923, RECALL: 0.1201351, MAP: 0.0583724, MRR: 0.1272915, NDCG: 0.0882092, F1: 0.0559131, HIT_RATE: 0.3643773, ARHR: 0.1470908, NOVELTY: 0.0048288, AVERAGE_POPULARITY: 0.1124715, DIVERSITY_MEAN_INTER_LIST: 0.9833544, DIVERSITY_HERFINDAHL: 0.9983181, COVERAGE_ITEM: 0.4450048, COVERAGE_ITEM_CORRECT: 0.0402541, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1908645, DIVERSITY_GINI: 0.1403317, SHANNON_ENTROPY: 11.4195477, 

SearchBayesianSkopt-CV: New best config found. Config 2: {'alpha': 0.9335448865374034, 'l1_ratio': 0.7749811343910084, 'topK': 134, 'normalize': True} - results: ROC_AUC: 0.1713337, PRECISION: 0.0366458, PRECISION_RECALL_MIN_DEN: 0.1244794, RECALL: 0.1201906, MAP: 0.0591473, MRR: 0.1280660, NDCG: 0.0887717, F1: 0.0561660, HIT_RATE: 0.3664576, ARHR: 0.1487510, NOVELTY: 0.0049276, AVERAGE_POPULARITY: 0.0961292, DIVERSITY_MEAN_INTER_LIST: 0.9880199, DIVERSITY_HERFINDAHL: 0.9987845, COVERAGE_ITEM: 0.4817478, COVERAGE_ITEM_CORRECT: 0.0437036, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1897320, DIVERSITY_GINI: 0.1660919, SHANNON_ENTROPY: 11.7944422, 
SearchBayesianSkopt-CV: Config 3 is suboptimal. Config: {'alpha': 0.8776590434902116, 'l1_ratio': 0.637114762945663, 'topK': 800, 'normalize': False} - results: ROC_AUC: 0.1724216, PRECISION: 0.0365678, PRECISION_RECALL_MIN_DEN: 0.1256508, RECALL: 0.1215763, MAP: 0.0588854, MRR: 0.1281631, NDCG: 0.0890374, F1: 0.0562235, HIT_RATE: 0.3656780, ARHR: 0.1480698, NOVELTY: 0.0048035, AVERAGE_POPULARITY: 0.1147843, DIVERSITY_MEAN_INTER_LIST: 0.9826050, DIVERSITY_HERFINDAHL: 0.9982431, COVERAGE_ITEM: 0.4390529, COVERAGE_ITEM_CORRECT: 0.0403311, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1916446, DIVERSITY_GINI: 0.1341115, SHANNON_ENTROPY: 11.3263014, 
SearchBayesianSkopt-CV: Config 4 is suboptimal. Config: {'alpha': 0.25785061180800656, 'l1_ratio': 0.8382374170974822, 'topK': 535, 'normalize': True} - results: ROC_AUC: 0.1653423, PRECISION: 0.0350094, PRECISION_RECALL_MIN_DEN: 0.1189469, RECALL: 0.1150275, MAP: 0.0563845, MRR: 0.1228223, NDCG: 0.0849899, F1: 0.0536789, HIT_RATE: 0.3500935, ARHR: 0.1418177, NOVELTY: 0.0048445, AVERAGE_POPULARITY: 0.1125302, DIVERSITY_MEAN_INTER_LIST: 0.9832913, DIVERSITY_HERFINDAHL: 0.9983118, COVERAGE_ITEM: 0.4455746, COVERAGE_ITEM_CORRECT: 0.0377979, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1835913, DIVERSITY_GINI: 0.1435227, SHANNON_ENTROPY: 11.4609470, 
SearchBayesianSkopt-CV: Config 5 is suboptimal. Config: {'alpha': 0.45010472724784356, 'l1_ratio': 0.34070463162983117, 'topK': 425, 'normalize': True} - results: ROC_AUC: 0.1686551, PRECISION: 0.0361440, PRECISION_RECALL_MIN_DEN: 0.1230869, RECALL: 0.1190183, MAP: 0.0579328, MRR: 0.1263745, NDCG: 0.0874880, F1: 0.0554466, HIT_RATE: 0.3614397, ARHR: 0.1461190, NOVELTY: 0.0048370, AVERAGE_POPULARITY: 0.1118857, DIVERSITY_MEAN_INTER_LIST: 0.9835262, DIVERSITY_HERFINDAHL: 0.9983352, COVERAGE_ITEM: 0.4465756, COVERAGE_ITEM_CORRECT: 0.0398152, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1890021, DIVERSITY_GINI: 0.1422654, SHANNON_ENTROPY: 11.4464694, 
SearchBayesianSkopt-CV: Config 6 is suboptimal. Config: {'alpha': 0.44634659003571586, 'l1_ratio': 0.11395969957926425, 'topK': 959, 'normalize': True} - results: ROC_AUC: 0.1684205, PRECISION: 0.0354088, PRECISION_RECALL_MIN_DEN: 0.1216140, RECALL: 0.1177757, MAP: 0.0573056, MRR: 0.1248852, NDCG: 0.0866038, F1: 0.0544459, HIT_RATE: 0.3540878, ARHR: 0.1439681, NOVELTY: 0.0048022, AVERAGE_POPULARITY: 0.1195269, DIVERSITY_MEAN_INTER_LIST: 0.9809458, DIVERSITY_HERFINDAHL: 0.9980772, COVERAGE_ITEM: 0.4383831, COVERAGE_ITEM_CORRECT: 0.0380520, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1867120, DIVERSITY_GINI: 0.1356043, SHANNON_ENTROPY: 11.3018072, 

SearchBayesianSkopt-CV: New best config found. Config 7: {'alpha': 0.9398795406092607, 'l1_ratio': 0.8960220958040324, 'topK': 422, 'normalize': False} - results: ROC_AUC: 0.1732728, PRECISION: 0.0369638, PRECISION_RECALL_MIN_DEN: 0.1261905, RECALL: 0.1219879, MAP: 0.0594736, MRR: 0.1294292, NDCG: 0.0896904, F1: 0.0567349, HIT_RATE: 0.3696383, ARHR: 0.1498063, NOVELTY: 0.0048384, AVERAGE_POPULARITY: 0.1085564, DIVERSITY_MEAN_INTER_LIST: 0.9846388, DIVERSITY_HERFINDAHL: 0.9984465, COVERAGE_ITEM: 0.4498402, COVERAGE_ITEM_CORRECT: 0.0416400, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1925255, DIVERSITY_GINI: 0.1421419, SHANNON_ENTROPY: 11.4714865, 
